period,value
2020-01-01,61703
2020-01-02,51629
2020-01-03,49022
2020-01-04,50661
2020-01-05,66785
2020-01-06,64209
2020-01-07,61124
2020-01-08,71808
2020-01-09,64882
2020-01-10,50040
2020-01-11,48287
2020-01-12,48772
2020-01-13,51304
2020-01-14,51147
2020-01-15,51432
2020-01-16,50488
2020-01-17,50967
2020-01-18,50777
2020-01-19,58493
2020-01-20,83125
2020-01-21,96327
2020-01-22,87284
2020-01-23,68072
2020-01-24,55670
2020-01-25,66741
2020-01-26,69584
2020-01-27,64776
2020-01-28,66715
2020-01-29,72322
2020-01-30,66024
2020-01-31,64232
2020-02-01,66458
2020-02-02,66571
2020-02-03,57996
2020-02-04,52011
2020-02-05,49886
2020-02-06,52174
2020-02-07,71189
2020-02-08,68942
2020-02-09,56727
2020-02-10,52871
2020-02-11,51955
2020-02-12,50919
2020-02-13,50239
2020-02-14,61778
2020-02-15,63712
2020-02-16,59976
2020-02-17,54429
2020-02-18,50837
2020-02-19,50640
2020-02-20,58019
2020-02-21,72412
2020-02-22,75447
2020-02-23,65490
2020-02-24,54361
2020-02-25,49767
2020-02-26,59068
2020-02-27,73766
2020-02-28,71927
2020-02-29,61950
2020-03-01,57904
2020-03-02,52309
2020-03-03,51417
2020-03-04,51639
2020-03-05,54257
2020-03-06,56087
2020-03-07,62103
2020-03-08,59440
2020-03-09,53421
2020-03-10,51071
2020-03-11,50919
2020-03-12,50470
2020-03-13,52563
2020-03-14,52679
2020-03-15,53125
2020-03-17,55049
2020-03-18,55889
2020-03-19,57116
2020-03-20,57080
2020-03-21,51833
2020-03-22,49566
2020-03-23,56406
2020-03-24,58448
2020-03-25,61254
2020-03-26,59425
2020-03-27,59613
2020-03-28,59691
2020-03-29,60444
2020-03-30,53945
2020-03-31,49448
2020-04-01,47605
2020-04-02,47627
2020-04-03,46482
2020-04-04,47668
2020-04-05,48816
2020-04-06,52295
2020-04-07,52769
2020-04-08,57997
2020-04-09,62697
2020-04-10,45187
2020-04-11,44928
2020-04-12,50799
2020-04-13,53487
2020-04-14,49782
2020-04-15,45411
2020-04-16,47038
2020-04-17,49651
2020-04-18,53443
2020-04-19,53227
2020-04-20,46522
2020-04-21,50569
2020-04-22,50306
2020-04-23,47433
2020-04-24,51668
2020-04-25,54253
2020-04-26,48270
2020-04-27,48865
2020-04-28,51980
