period,value
2020-01-01,345976.0
2020-01-02,315106.0
2020-01-03,324688.0
2020-01-04,356195.0
2020-01-05,342419.0
2020-01-06,345359.0
2020-01-07,341273.0
2020-01-08,335840.0
2020-01-09,299308.0
2020-01-10,284475.0
2020-01-11,396574.0
2020-01-12,403137.0
2020-01-13,369663.0
2020-01-14,316904.0
2020-01-15,300691.0
2020-01-16,387498.0
2020-01-17,404871.0
2020-01-18,357530.0
2020-01-19,424582.0
2020-01-20,457413.0
2020-01-21,438101.0
2020-01-22,421724.0
2020-01-23,383338.0
2020-01-24,389689.0
2020-01-25,369251.0
2020-01-26,341586.0
2020-01-27,346605.0
2020-01-28,381168.0
2020-01-29,388713.0
2020-01-30,376911.0
2020-01-31,346553.0
2020-02-01,339133.0
2020-02-02,292941.0
2020-02-03,280288.0
2020-02-04,350420.0
2020-02-05,407051.0
2020-02-06,408773.0
2020-02-07,393448.0
2020-02-08,364324.0
2020-02-09,332831.0
2020-02-10,361332.0
2020-02-11,363384.0
2020-02-12,383275.0
2020-02-13,448081.0
2020-02-14,463328.0
2020-02-15,384133.0
2020-02-16,318735.0
2020-02-17,306431.0
2020-02-18,343210.0
2020-02-19,363955.0
2020-02-20,391989.0
2020-02-21,409215.0
2020-02-22,359636.0
2020-02-23,310431.0
2020-02-24,319937.0
2020-02-25,359600.0
2020-02-26,394168.0
2020-02-27,373905.0
2020-02-28,337273.0
2020-02-29,323268.0
2020-03-01,281581.0
2020-03-02,273723.0
2020-03-03,284233.0
2020-03-04,298372.0
2020-03-05,308900.0
2020-03-06,311421.0
2020-03-07,312675.0
2020-03-08,274117.0
2020-03-09,271459.0
2020-03-10,294137.0
2020-03-11,267649.0
2020-03-12,262311.0
2020-03-13,295193.0
2020-03-14,326429.0
2020-03-15,331189.0
2020-03-17,293791.0
2020-03-18,273078.0
2020-03-19,255254.0
2020-03-20,301073.0
2020-03-21,318997.0
2020-03-22,324648.0
2020-03-23,294758.0
2020-03-24,296844.0
2020-03-25,278640.0
2020-03-26,259848.0
2020-03-27,246488.0
2020-03-28,244937.0
2020-03-29,245068.0
2020-03-30,252645.0
2020-03-31,249315.0
2020-04-01,258411.0
2020-04-02,248165.0
2020-04-03,269348.0
2020-04-04,310252.0
2020-04-05,271920.0
2020-04-06,253157.0
2020-04-07,249478.0
2020-04-08,263629.0
2020-04-09,245964.0
2020-04-10,263999.0
2020-04-11,256090.0
2020-04-12,257531.0
2020-04-13,318680.0
2020-04-14,301847.0
2020-04-15,288425.0
2020-04-16,281557.0
2020-04-17,297388.0
2020-04-18,290359.0
2020-04-19,243421.0
2020-04-20,247787.0
2020-04-21,241324.0
2020-04-22,251379.0
2020-04-23,242885.0
2020-04-24,241320.0
2020-04-25,242168.0
2020-04-26,242592.0
2020-04-27,243892.0
2020-04-28,249089.0
2020-04-29,246341.0
2020-04-30,242461.0
2020-05-01,248038.0
2020-05-02,261157.0
2020-05-04,247598.0
2020-05-05,238185.0
2020-05-06,236624.0
2020-05-07,242579.0
2020-05-08,245906.0
2020-05-09,247227.0
2020-05-10,240802.0
2020-05-11,266375.0
2020-05-12,275837.0
2020-05-13,261610.0
2020-05-14,253665.0
2020-05-15,240915.0
2020-05-16,236566.0
2020-05-17,243428.0
2020-05-18,239456.0
2020-05-19,237971.0
2020-05-20,245073.0
2020-05-21,243785.0
2020-05-22,251007.0
2020-05-23,270743.0
2020-05-24,286175.0
2020-05-25,270183.0
2020-05-26,271818.0
2020-05-27,261164.0
2020-05-28,258301.0
2020-05-29,259196.0
2020-05-30,251114.0
2020-05-31,267741.0
2020-06-01,287732.0
2020-06-02,307587.0
2020-06-03,334940.0
2020-06-04,318146.0
2020-06-05,331935.0
2020-06-06,358568.0
2020-06-07,360644.0
2020-06-08,340094.0
2020-06-09,344200.0
2020-06-10,266029.0
2020-06-11,293181.0
2020-06-12,314880.0
2020-06-13,330398.0
2020-06-14,334893.0
2020-06-15,336236.0
2020-06-16,327391.0
2020-06-17,332462.0
2020-06-18,341186.0
2020-06-19,318395.0
2020-06-20,307672.0
2020-06-21,324608.0
2020-06-22,321800.0
2020-06-23,303366.0
2020-06-24,310548.0
2020-06-25,342525.0
2020-06-26,360994.0
2020-06-27,332825.0
2020-06-28,365848.0
2020-06-29,370714.0
2020-06-30,358748.0
2020-07-01,339982.0
2020-07-02,364362.0
2020-07-03,367175.0
2020-07-04,349920.0
2020-07-05,362174.0
2020-07-06,381785.0
2020-07-07,388341.0
2020-07-08,400333.0
2020-07-09,377750.0
2020-07-10,365197.0
2020-07-11,386636.0
2020-07-12,361238.0
2020-07-13,354947.0
2020-07-14,383783.0
2020-07-15,381706.0
2020-07-16,373763.0
2020-07-17,380439.0
2020-07-18,400670.0
2020-07-19,395427.0
2020-07-20,368944.0
2020-07-21,366398.0
2020-07-22,379115.0
2020-07-23,387048.0
2020-07-24,397990.0
2020-07-25,395737.0
2020-07-26,397222.0
2020-07-27,357955.0
2020-07-28,348919.0
2020-07-29,342686.0
2020-07-30,342746.0
2020-07-31,297600.0
2020-08-01,296331.0
2020-08-02,309490.0
2020-08-03,294726.0
2020-08-04,277182.0
2020-08-05,287216.0
2020-08-06,313423.0
2020-08-07,331661.0
2020-08-08,353442.0
2020-08-09,372196.0
2020-08-10,382321.0
2020-08-11,316197.0
2020-08-12,346348.0
2020-08-13,352206.0
2020-08-14,363272.0
2020-08-15,354117.0
2020-08-16,322284.0
2020-08-17,334687.0
2020-08-18,311171.0
2020-08-19,305161.0
2020-08-20,312518.0
2020-08-21,324734.0
2020-08-22,334174.0
2020-08-23,353587.0
2020-08-24,374881.0
2020-08-25,381118.0
2020-08-26,360070.0
2020-08-27,342397.0
2020-08-28,364537.0
2020-08-29,313408.0
2020-08-30,302984.0
2020-08-31,309140.0
2020-09-01,289451.0
2020-09-02,296560.0
2020-09-03,329173.0
2020-09-04,307270.0
2020-09-05,329218.0
2020-09-06,351046.0
2020-09-07,356223.0
2020-09-08,323866.0
2020-09-09,294568.0
2020-09-10,281502.0
2020-09-11,274650.0
2020-09-12,269374.0
2020-09-13,263368.0
2020-09-14,274690.0
2020-09-15,280749.0
2020-09-16,288674.0
2020-09-17,270766.0
2020-09-18,252708.0
2020-09-19,243891.0
2020-09-20,251078.0
2020-09-21,260357.0
2020-09-22,250280.0
2020-09-23,254002.0
2020-09-24,262200.0
2020-09-25,269293.0
2020-09-26,288139.0
2020-09-27,267351.0
2020-09-28,246229.0
2020-09-29,244019.0
2020-09-30,254646.0
2020-10-01,247037.0
2020-10-02,249295.0
2020-10-03,244199.0
2020-10-04,244098.0
2020-10-05,262557.0
2020-10-06,252139.0
2020-10-07,270063.0
2020-10-08,268122.0
2020-10-09,270296.0
2020-10-10,264609.0
2020-10-11,280429.0
2020-10-12,261066.0
2020-10-13,251817.0
