period,value
2020-01-01,175325.0
2020-01-02,189702.0
2020-01-03,186937.0
2020-01-04,177180.0
2020-01-05,185297.0
2020-01-06,195484.0
2020-01-07,182335.0
2020-01-08,184641.0
2020-01-09,197966.0
2020-01-10,211854.0
2020-01-11,191619.0
2020-01-12,190699.0
2020-01-13,209815.0
2020-01-14,224430.0
2020-01-15,221934.0
2020-01-16,204085.0
2020-01-17,208392.0
2020-01-18,198938.0
2020-01-19,188881.0
2020-01-20,197564.0
2020-01-21,193416.0
2020-01-22,187821.0
2020-01-23,183799.0
2020-01-24,184137.0
2020-01-25,180918.0
2020-01-26,182135.0
2020-01-27,186251.0
2020-01-28,191977.0
2020-01-29,187913.0
2020-01-30,189590.0
2020-01-31,177957.0
2020-02-01,159859.0
2020-02-02,171911.0
2020-02-03,199847.0
2020-02-04,215009.0
2020-02-05,205014.0
2020-02-06,196477.0
2020-02-07,189381.0
2020-02-08,174026.0
2020-02-09,178583.0
2020-02-10,185456.0
2020-02-11,192609.0
2020-02-12,192225.0
2020-02-13,190164.0
2020-02-14,184692.0
2020-02-15,175536.0
2020-02-16,169168.0
2020-02-17,185644.0
2020-02-18,197260.0
2020-02-19,200889.0
2020-02-20,197130.0
2020-02-21,191214.0
2020-02-22,179360.0
2020-02-23,178217.0
2020-02-24,188971.0
2020-02-25,193910.0
2020-02-26,182861.0
2020-02-27,180825.0
2020-02-28,169498.0
2020-02-29,161186.0
2020-03-01,168131.0
2020-03-02,179779.0
2020-03-03,172937.0
2020-03-04,174722.0
2020-03-05,178238.0
2020-03-06,171385.0
2020-03-07,171420.0
2020-03-08,167041.0
2020-03-09,183150.0
2020-03-10,187728.0
2020-03-11,171986.0
2020-03-12,180777.0
2020-03-13,191015.0
2020-03-14,198631.0
2020-03-15,193270.0
2020-03-17,178886.0
2020-03-18,169702.0
2020-03-19,168260.0
2020-03-20,167458.0
2020-03-21,159322.0
2020-03-22,156730.0
2020-03-23,166803.0
2020-03-24,177290.0
2020-03-25,181007.0
2020-03-26,176503.0
2020-03-27,173357.0
2020-03-28,165012.0
2020-03-29,157758.0
2020-03-30,172648.0
2020-03-31,179550.0
2020-04-01,180297.0
2020-04-02,179203.0
2020-04-03,178329.0
2020-04-04,170054.0
2020-04-05,164859.0
2020-04-06,166558.0
2020-04-07,164003.0
2020-04-08,160804.0
2020-04-09,159112.0
2020-04-10,153484.0
2020-04-11,149730.0
2020-04-12,159879.0
2020-04-13,169514.0
2020-04-14,168037.0
2020-04-15,165131.0
2020-04-16,164019.0
2020-04-17,159005.0
2020-04-18,148085.0
2020-04-19,145100.0
2020-04-20,151774.0
2020-04-21,146854.0
2020-04-22,156431.0
2020-04-23,149188.0
2020-04-24,149133.0
2020-04-25,146344.0
2020-04-26,142038.0
2020-04-27,151760.0
2020-04-28,154591.0
2020-04-29,153509.0
2020-04-30,148964.0
2020-05-01,149295.0
2020-05-02,146568.0
2020-05-04,157097.0
2020-05-05,157787.0
2020-05-06,158026.0
2020-05-07,158823.0
2020-05-08,153612.0
2020-05-09,137480.0
2020-05-10,134920.0
2020-05-11,142125.0
2020-05-12,142277.0
2020-05-13,146039.0
2020-05-14,140026.0
2020-05-15,143285.0
2020-05-16,137431.0
2020-05-17,134494.0
2020-05-18,143611.0
2020-05-19,142983.0
2020-05-20,152342.0
2020-05-21,147711.0
2020-05-22,151408.0
2020-05-23,144231.0
2020-05-24,140947.0
2020-05-25,138940.0
2020-05-26,149767.0
2020-05-27,152547.0
2020-05-28,159739.0
2020-05-29,165908.0
2020-05-30,157161.0
2020-05-31,135784.0
2020-06-01,150092.0
2020-06-02,154742.0
2020-06-03,156369.0
2020-06-04,150717.0
2020-06-05,147275.0
2020-06-06,128979.0
2020-06-07,130909.0
2020-06-08,142461.0
2020-06-09,149891.0
2020-06-10,148702.0
2020-06-11,148393.0
2020-06-12,143263.0
2020-06-13,129220.0
2020-06-14,127869.0
2020-06-15,144064.0
2020-06-16,143969.0
2020-06-17,144749.0
2020-06-18,145374.0
2020-06-19,148375.0
2020-06-20,133444.0
2020-06-21,133961.0
2020-06-22,154787.0
2020-06-23,170605.0
2020-06-24,174822.0
2020-06-25,167122.0
2020-06-26,167425.0
2020-06-27,144161.0
2020-06-28,130256.0
2020-06-29,145985.0
2020-06-30,148611.0
2020-07-01,146092.0
2020-07-02,146196.0
2020-07-03,139290.0
2020-07-04,131531.0
2020-07-05,136516.0
2020-07-06,158955.0
2020-07-07,152302.0
2020-07-08,153137.0
2020-07-09,155771.0
2020-07-10,160172.0
2020-07-11,155650.0
2020-07-12,140170.0
2020-07-13,151974.0
2020-07-14,160314.0
2020-07-15,168251.0
2020-07-16,173531.0
2020-07-17,163339.0
2020-07-18,156395.0
2020-07-19,156735.0
2020-07-20,175826.0
2020-07-21,183837.0
2020-07-22,185695.0
2020-07-23,173058.0
2020-07-24,158404.0
2020-07-25,147510.0
2020-07-26,154806.0
2020-07-27,178655.0
2020-07-28,183598.0
2020-07-29,189345.0
2020-07-30,194221.0
2020-07-31,200874.0
2020-08-01,176269.0
2020-08-02,169754.0
2020-08-03,179482.0
2020-08-04,179611.0
2020-08-05,185137.0
2020-08-06,166253.0
2020-08-07,152442.0
2020-08-08,143673.0
2020-08-09,148262.0
2020-08-10,168089.0
2020-08-11,172176.0
2020-08-12,154587.0
2020-08-13,152526.0
2020-08-14,157040.0
2020-08-15,159611.0
2020-08-16,172750.0
2020-08-17,202446.0
2020-08-18,205688.0
2020-08-19,195288.0
2020-08-20,172547.0
2020-08-21,175313.0
2020-08-22,162627.0
2020-08-23,155628.0
2020-08-24,166191.0
2020-08-25,168752.0
2020-08-26,165404.0
2020-08-27,164111.0
2020-08-28,163601.0
2020-08-29,150055.0
2020-08-30,143788.0
2020-08-31,153988.0
2020-09-01,163466.0
2020-09-02,172487.0
2020-09-03,171132.0
2020-09-04,170977.0
2020-09-05,157910.0
2020-09-06,154702.0
2020-09-07,136057.0
2020-09-08,142757.0
2020-09-09,150180.0
2020-09-10,154573.0
2020-09-11,156097.0
2020-09-12,139442.0
2020-09-13,136334.0
2020-09-14,146929.0
2020-09-15,149416.0
2020-09-16,149375.0
2020-09-17,145876.0
2020-09-18,144887.0
2020-09-19,135064.0
2020-09-20,134825.0
2020-09-21,146806.0
2020-09-22,147858.0
2020-09-23,147507.0
2020-09-24,143567.0
