period,value
2020-01-01,358554.0
2020-01-02,366642.0
2020-01-03,367701.0
2020-01-04,350803.0
2020-01-05,337266.0
2020-01-06,349796.0
2020-01-07,353037.0
2020-01-08,355948.0
2020-01-09,369795.0
2020-01-10,363801.0
2020-01-11,363699.0
2020-01-12,360731.0
2020-01-13,370372.0
2020-01-14,367167.0
2020-01-15,365772.0
2020-01-16,369885.0
2020-01-17,351681.0
2020-01-18,342741.0
2020-01-19,328314.0
2020-01-20,337517.0
2020-01-21,353749.0
2020-01-22,334913.0
2020-01-23,339976.0
2020-01-24,337513.0
2020-01-25,324657.0
2020-01-26,315854.0
2020-01-27,326892.0
2020-01-28,333491.0
2020-01-29,347931.0
2020-01-30,341571.0
2020-01-31,335472.0
2020-02-01,321780.0
2020-02-02,309429.0
2020-02-03,338721.0
2020-02-04,386482.0
2020-02-05,402249.0
2020-02-06,386481.0
2020-02-07,359091.0
2020-02-08,331157.0
2020-02-09,323608.0
2020-02-10,330900.0
2020-02-11,345806.0
2020-02-12,350203.0
2020-02-13,343671.0
2020-02-14,332477.0
2020-02-15,313594.0
2020-02-16,304565.0
2020-02-17,318414.0
2020-02-18,321130.0
2020-02-19,318958.0
2020-02-20,319902.0
2020-02-21,313032.0
2020-02-22,318652.0
2020-02-23,309459.0
2020-02-24,320119.0
2020-02-25,324446.0
2020-02-26,330394.0
2020-02-27,325981.0
2020-02-28,321776.0
2020-02-29,301308.0
2020-03-01,292426.0
2020-03-02,319879.0
2020-03-03,312323.0
2020-03-04,310525.0
2020-03-05,314085.0
2020-03-06,315056.0
2020-03-07,299608.0
2020-03-08,276132.0
2020-03-09,307442.0
2020-03-10,322357.0
2020-03-11,323053.0
2020-03-12,322031.0
2020-03-13,314747.0
2020-03-14,293716.0
2020-03-15,283723.0
2020-03-17,295625.0
2020-03-18,324264.0
2020-03-19,314713.0
2020-03-20,303133.0
2020-03-21,282290.0
2020-03-22,283313.0
2020-03-23,292686.0
2020-03-24,293713.0
2020-03-25,302494.0
2020-03-26,290485.0
2020-03-27,296370.0
2020-03-28,288581.0
2020-03-29,274831.0
2020-03-30,288344.0
2020-03-31,297876.0
2020-04-01,298148.0
2020-04-02,294963.0
2020-04-03,295744.0
2020-04-04,284702.0
2020-04-05,279434.0
2020-04-06,293418.0
2020-04-07,297571.0
