period,value
2020-01-01,207989.0
2020-01-02,222545.0
2020-01-03,223434.0
2020-01-04,213794.0
2020-01-05,211245.0
2020-01-06,230603.0
2020-01-07,241216.0
2020-01-08,240416.0
2020-01-09,232740.0
2020-01-10,233966.0
2020-01-11,212914.0
2020-01-12,221933.0
2020-01-13,223979.0
2020-01-14,225774.0
2020-01-15,236375.0
2020-01-16,245278.0
2020-01-17,237652.0
2020-01-18,220634.0
2020-01-19,223448.0
2020-01-20,234795.0
2020-01-21,233491.0
2020-01-22,223257.0
2020-01-23,228546.0
2020-01-24,219201.0
2020-01-25,206739.0
2020-01-26,206733.0
2020-01-27,220414.0
2020-01-28,227791.0
2020-01-29,224901.0
2020-01-30,220803.0
2020-01-31,219011.0
2020-02-01,203370.0
2020-02-02,202339.0
2020-02-03,239966.0
2020-02-04,234133.0
2020-02-05,233409.0
2020-02-06,226632.0
2020-02-07,222482.0
2020-02-08,211820.0
2020-02-09,202485.0
2020-02-10,216352.0
2020-02-11,218826.0
2020-02-12,215901.0
2020-02-13,210150.0
2020-02-14,211199.0
2020-02-15,194980.0
2020-02-16,187229.0
2020-02-17,200036.0
2020-02-18,205650.0
2020-02-19,207836.0
2020-02-20,207825.0
2020-02-21,201971.0
2020-02-22,187760.0
2020-02-23,186726.0
2020-02-24,206432.0
2020-02-25,205201.0
2020-02-26,204187.0
2020-02-27,207290.0
2020-02-28,205895.0
2020-02-29,185900.0
2020-03-01,191880.0
2020-03-02,207226.0
2020-03-03,205582.0
2020-03-04,205257.0
2020-03-05,201530.0
2020-03-06,199457.0
2020-03-07,196397.0
2020-03-08,187810.0
2020-03-09,202247.0
2020-03-10,206627.0
2020-03-11,205368.0
2020-03-12,205003.0
2020-03-13,198896.0
2020-03-14,198171.0
2020-03-15,201306.0
2020-03-17,217930.0
2020-03-18,217348.0
2020-03-19,210206.0
2020-03-20,203736.0
2020-03-21,191504.0
2020-03-22,186247.0
2020-03-23,197604.0
2020-03-24,203519.0
2020-03-25,202846.0
2020-03-26,203890.0
2020-03-27,199500.0
2020-03-28,191359.0
2020-03-29,181753.0
2020-03-30,191935.0
2020-03-31,203269.0
2020-04-01,191493.0
2020-04-02,195030.0
2020-04-03,194629.0
2020-04-04,195794.0
2020-04-05,198164.0
2020-04-06,203608.0
2020-04-07,195128.0
2020-04-08,194867.0
2020-04-09,194584.0
2020-04-10,183859.0
2020-04-11,174521.0
2020-04-12,172666.0
2020-04-13,183078.0
2020-04-14,185829.0
2020-04-15,188248.0
2020-04-16,189752.0
2020-04-17,182731.0
2020-04-18,172858.0
2020-04-19,170372.0
2020-04-20,184835.0
2020-04-21,188383.0
2020-04-22,195708.0
2020-04-23,208797.0
2020-04-24,212747.0
2020-04-25,214278.0
2020-04-26,203139.0
2020-04-27,212895.0
2020-04-28,238675.0
2020-04-29,220313.0
2020-04-30,224439.0
2020-05-01,201086.0
2020-05-02,187184.0
2020-05-04,200338.0
2020-05-05,208110.0
2020-05-06,207200.0
2020-05-07,226077.0
2020-05-08,248798.0
2020-05-09,237476.0
2020-05-10,197684.0
2020-05-11,197910.0
2020-05-12,195143.0
2020-05-13,193896.0
2020-05-14,195657.0
2020-05-15,200336.0
2020-05-16,194231.0
2020-05-17,187254.0
2020-05-18,190501.0
2020-05-19,215287.0
2020-05-20,195180.0
2020-05-21,213715.0
2020-05-22,203652.0
2020-05-23,198058.0
2020-05-24,215385.0
2020-05-25,265998.0
2020-05-26,323365.0
2020-05-27,344844.0
2020-05-28,323726.0
2020-05-29,258429.0
2020-05-30,209436.0
2020-05-31,205205.0
2020-06-01,239244.0
2020-06-02,287544.0
2020-06-03,325558.0
2020-06-04,335814.0
2020-06-05,240424.0
2020-06-06,199221.0
2020-06-07,187770.0
2020-06-08,209848.0
2020-06-09,245696.0
2020-06-10,289275.0
2020-06-11,287725.0
2020-06-12,225960.0
2020-06-13,199212.0
2020-06-14,215156.0
2020-06-15,241488.0
2020-06-16,229341.0
2020-06-17,244212.0
2020-06-18,289713.0
2020-06-19,301696.0
2020-06-20,269384.0
2020-06-21,282358.0
2020-06-22,322077.0
2020-06-23,326040.0
2020-06-24,322556.0
2020-06-25,341235.0
2020-06-26,339941.0
2020-06-27,290564.0
2020-06-28,231776.0
2020-06-29,254036.0
2020-06-30,291369.0
2020-07-01,305194.0
2020-07-02,272000.0
2020-07-03,253739.0
2020-07-04,270918.0
2020-07-05,290997.0
2020-07-06,282055.0
2020-07-07,270380.0
2020-07-08,306561.0
2020-07-09,312653.0
2020-07-10,323404.0
2020-07-11,318335.0
2020-07-12,294614.0
2020-07-13,314690.0
2020-07-14,289656.0
2020-07-15,291980.0
2020-07-16,284611.0
2020-07-17,276033.0
2020-07-18,292035.0
2020-07-19,277929.0
2020-07-20,275725.0
2020-07-21,254901.0
2020-07-22,271457.0
2020-07-23,273518.0
2020-07-24,286910.0
2020-07-25,276409.0
2020-07-26,292188.0
2020-07-27,311318.0
2020-07-28,317693.0
2020-07-29,314799.0
2020-07-30,303289.0
2020-07-31,297865.0
2020-08-01,285365.0
2020-08-02,291970.0
2020-08-03,320495.0
2020-08-04,303966.0
2020-08-05,262237.0
2020-08-06,266293.0
2020-08-07,293983.0
2020-08-08,304527.0
2020-08-09,320844.0
2020-08-10,335879.0
2020-08-11,291906.0
2020-08-12,306589.0
2020-08-13,343425.0
2020-08-14,374616.0
2020-08-15,385244.0
2020-08-16,394979.0
2020-08-17,398101.0
2020-08-18,398197.0
2020-08-19,365288.0
2020-08-20,309078.0
2020-08-21,297747.0
2020-08-22,304902.0
2020-08-23,303033.0
2020-08-24,325791.0
2020-08-25,306526.0
2020-08-26,290504.0
2020-08-27,282286.0
2020-08-28,301492.0
2020-08-29,283418.0
2020-08-30,273073.0
2020-08-31,300240.0
2020-09-01,288420.0
2020-09-02,266458.0
2020-09-03,277692.0
2020-09-04,287299.0
2020-09-05,307778.0
2020-09-06,335797.0
2020-09-07,350401.0
2020-09-08,304214.0
2020-09-09,261363.0
2020-09-10,246876.0
2020-09-11,253309.0
2020-09-12,249471.0
2020-09-13,244005.0
2020-09-14,255113.0
2020-09-15,261987.0
2020-09-16,268343.0
