period,value
2020-01-01,754724.0
2020-01-02,826838.0
2020-01-03,801169.0
2020-01-04,809156.0
2020-01-05,819991.0
2020-01-06,857005.0
2020-01-07,803566.0
2020-01-08,865768.0
2020-01-09,914836.0
2020-01-10,926710.0
2020-01-11,862704.0
2020-01-12,879076.0
2020-01-13,976466.0
2020-01-14,1018437.0
2020-01-15,1009397.0
2020-01-16,946913.0
2020-01-17,954370.0
2020-01-18,871268.0
2020-01-19,792339.0
2020-01-20,838167.0
2020-01-21,864482.0
2020-01-22,866776.0
2020-01-23,809212.0
2020-01-24,784627.0
2020-01-25,757857.0
2020-01-26,758969.0
2020-01-27,823646.0
2020-01-28,823677.0
2020-01-29,837053.0
2020-01-30,839818.0
2020-01-31,773741.0
2020-02-01,757249.0
2020-02-02,834900.0
2020-02-03,918130.0
2020-02-04,983428.0
2020-02-05,914492.0
2020-02-06,839742.0
2020-02-07,816611.0
2020-02-08,825805.0
2020-02-09,841061.0
2020-02-10,853072.0
2020-02-11,875710.0
2020-02-12,825829.0
2020-02-13,869385.0
2020-02-14,851476.0
2020-02-15,834718.0
2020-02-16,807022.0
2020-02-17,846120.0
2020-02-18,885966.0
2020-02-19,883154.0
2020-02-20,861962.0
2020-02-21,848371.0
2020-02-22,787970.0
2020-02-23,793701.0
2020-02-24,849766.0
2020-02-25,849811.0
2020-02-26,794548.0
2020-02-27,798358.0
2020-02-28,807340.0
2020-02-29,803573.0
2020-03-01,821408.0
2020-03-02,850283.0
2020-03-03,790977.0
2020-03-04,773119.0
2020-03-05,790960.0
2020-03-06,799211.0
2020-03-07,808111.0
2020-03-08,784024.0
2020-03-09,835691.0
2020-03-10,831371.0
2020-03-11,791520.0
2020-03-12,810771.0
2020-03-13,865112.0
2020-03-14,878862.0
2020-03-15,866152.0
2020-03-17,823336.0
2020-03-18,789991.0
2020-03-19,780823.0
2020-03-20,751095.0
2020-03-21,721218.0
2020-03-22,726182.0
2020-03-23,773113.0
2020-03-24,810331.0
2020-03-25,816560.0
2020-03-26,836088.0
2020-03-27,804603.0
2020-03-28,747234.0
2020-03-29,715388.0
2020-03-30,789182.0
2020-03-31,817834.0
2020-04-01,827122.0
2020-04-02,821559.0
2020-04-03,824966.0
2020-04-04,774048.0
2020-04-05,718789.0
2020-04-06,730235.0
2020-04-07,738654.0
2020-04-08,723871.0
2020-04-09,693846.0
2020-04-10,675492.0
2020-04-11,667600.0
2020-04-12,682711.0
2020-04-13,722415.0
2020-04-14,719329.0
2020-04-15,699489.0
2020-04-16,688495.0
2020-04-17,686439.0
2020-04-18,670087.0
2020-04-19,655515.0
2020-04-20,688454.0
2020-04-21,710350.0
2020-04-22,728229.0
2020-04-23,708931.0
2020-04-24,687787.0
2020-04-25,664883.0
2020-04-26,663244.0
2020-04-27,698521.0
2020-04-28,700534.0
2020-04-29,703263.0
2020-04-30,701277.0
2020-05-01,695979.0
2020-05-02,678673.0
2020-05-04,721979.0
2020-05-05,700111.0
2020-05-06,707869.0
2020-05-07,714216.0
2020-05-08,691310.0
2020-05-09,663058.0
2020-05-10,658006.0
2020-05-11,686248.0
2020-05-12,703855.0
2020-05-13,704778.0
2020-05-14,702090.0
2020-05-15,690137.0
2020-05-16,663252.0
2020-05-17,645151.0
2020-05-18,673966.0
2020-05-19,681486.0
2020-05-20,687585.0
2020-05-21,698394.0
2020-05-22,686108.0
2020-05-23,644215.0
2020-05-24,633932.0
2020-05-25,651326.0
2020-05-26,685985.0
2020-05-27,700803.0
2020-05-28,732412.0
2020-05-29,734077.0
2020-05-30,679806.0
2020-05-31,644601.0
2020-06-01,698682.0
2020-06-02,727984.0
2020-06-03,724855.0
2020-06-04,723513.0
2020-06-05,707801.0
2020-06-06,681106.0
2020-06-07,679527.0
2020-06-08,706906.0
2020-06-09,719125.0
2020-06-10,713453.0
2020-06-11,711312.0
2020-06-12,699577.0
2020-06-13,657560.0
2020-06-14,639797.0
2020-06-15,680985.0
2020-06-16,674063.0
2020-06-17,693225.0
2020-06-18,717569.0
2020-06-19,727647.0
2020-06-20,690047.0
2020-06-21,682961.0
2020-06-22,735712.0
2020-06-23,774775.0
2020-06-24,771665.0
2020-06-25,754417.0
2020-06-26,771253.0
2020-06-27,685888.0
2020-06-28,648711.0
2020-06-29,704333.0
2020-06-30,724405.0
2020-07-01,718933.0
2020-07-02,721403.0
2020-07-03,691270.0
2020-07-04,668326.0
2020-07-05,672205.0
2020-07-06,703833.0
2020-07-07,705821.0
2020-07-08,713768.0
2020-07-09,720365.0
2020-07-10,733352.0
2020-07-11,708837.0
2020-07-12,694474.0
2020-07-13,731153.0
2020-07-14,753554.0
2020-07-15,771412.0
2020-07-16,783404.0
2020-07-17,751182.0
2020-07-18,720826.0
2020-07-19,734779.0
2020-07-20,794054.0
2020-07-21,805589.0
2020-07-22,794542.0
2020-07-23,759795.0
2020-07-24,728131.0
2020-07-25,695115.0
2020-07-26,717819.0
2020-07-27,784737.0
2020-07-28,793720.0
2020-07-29,793217.0
2020-07-30,814210.0
2020-07-31,804957.0
2020-08-01,739810.0
2020-08-02,732165.0
2020-08-03,762057.0
2020-08-04,776369.0
2020-08-05,766737.0
2020-08-06,733146.0
2020-08-07,717209.0
2020-08-08,696276.0
2020-08-09,679542.0
2020-08-10,743167.0
2020-08-11,738440.0
2020-08-12,705432.0
2020-08-13,714224.0
2020-08-14,732163.0
2020-08-15,748118.0
2020-08-16,765520.0
2020-08-17,799093.0
2020-08-18,787144.0
2020-08-19,772158.0
2020-08-20,755547.0
2020-08-21,748303.0
2020-08-22,702423.0
2020-08-23,684555.0
2020-08-24,711934.0
2020-08-25,711161.0
2020-08-26,708004.0
2020-08-27,703406.0
