period,value
2020-01-01,3139098.0
2020-01-02,3386110.0
2020-01-03,3414926.0
2020-01-04,3207631.0
2020-01-05,3152192.0
2020-01-06,3427446.0
2020-01-07,3493464.0
2020-01-08,3501133.0
2020-01-09,3525022.0
2020-01-10,3475099.0
2020-01-11,3214756.0
2020-01-12,3175417.0
2020-01-13,3458134.0
2020-01-14,3492377.0
2020-01-15,3551687.0
2020-01-16,3670343.0
2020-01-17,3564718.0
2020-01-18,3308430.0
2020-01-19,3248540.0
2020-01-20,3542339.0
2020-01-21,3557185.0
2020-01-22,3478221.0
2020-01-23,3507562.0
2020-01-24,3428159.0
2020-01-25,3161818.0
2020-01-26,3117268.0
2020-01-27,3425860.0
2020-01-28,3472321.0
2020-01-29,3489153.0
2020-01-30,3485661.0
2020-01-31,3439665.0
2020-02-01,3194611.0
2020-02-02,3094003.0
2020-02-03,3523016.0
2020-02-04,3647410.0
2020-02-05,3659508.0
2020-02-06,3562989.0
2020-02-07,3488129.0
2020-02-08,3231252.0
2020-02-09,3173132.0
2020-02-10,3504742.0
2020-02-11,3512815.0
2020-02-12,3466203.0
2020-02-13,3467305.0
2020-02-14,3437036.0
2020-02-15,3138537.0
2020-02-16,3012858.0
2020-02-17,3219109.0
2020-02-18,3382490.0
2020-02-19,3401285.0
2020-02-20,3402308.0
2020-02-21,3397293.0
2020-02-22,3143433.0
2020-02-23,3001776.0
2020-02-24,3340619.0
2020-02-25,3382803.0
2020-02-26,3377638.0
2020-02-27,3423579.0
2020-02-28,3427162.0
2020-02-29,3066338.0
2020-03-01,3049699.0
2020-03-02,3371904.0
2020-03-03,3416702.0
2020-03-04,3407584.0
2020-03-05,3426880.0
2020-03-06,3375437.0
2020-03-07,3154949.0
2020-03-08,2928645.0
2020-03-09,3387253.0
2020-03-10,3480438.0
2020-03-11,3407358.0
2020-03-12,3485792.0
2020-03-13,3439074.0
2020-03-14,3220323.0
2020-03-15,3071672.0
2020-03-17,3376833.0
2020-03-18,3440963.0
2020-03-19,3357145.0
2020-03-20,3229042.0
2020-03-21,3011583.0
2020-03-22,2912146.0
2020-03-23,3131485.0
2020-03-24,3197686.0
2020-03-25,3145990.0
2020-03-26,3119382.0
2020-03-27,3098084.0
2020-03-28,2959850.0
2020-03-29,2813606.0
2020-03-30,3021551.0
2020-03-31,3083588.0
2020-04-01,3011247.0
2020-04-02,3011701.0
2020-04-03,2948579.0
2020-04-04,2891577.0
2020-04-05,2906077.0
2020-04-06,3150282.0
2020-04-07,3126713.0
2020-04-08,3114970.0
2020-04-09,3193296.0
2020-04-10,3039657.0
2020-04-11,2754185.0
2020-04-12,2726398.0
2020-04-13,2917469.0
2020-04-14,2916270.0
2020-04-15,2956712.0
2020-04-16,2945743.0
2020-04-17,2975506.0
2020-04-18,2826317.0
2020-04-19,2688738.0
2020-04-20,2972225.0
2020-04-21,2960811.0
2020-04-22,3102566.0
2020-04-23,3295408.0
2020-04-24,3505718.0
2020-04-25,3431201.0
2020-04-26,3178851.0
2020-04-27,3366533.0
2020-04-28,3598231.0
2020-04-29,3540653.0
2020-04-30,3427554.0
2020-05-01,3258688.0
2020-05-02,3089502.0
2020-05-04,3299552.0
2020-05-05,3539609.0
2020-05-06,3695529.0
2020-05-07,3819130.0
2020-05-08,3816060.0
2020-05-09,3455138.0
2020-05-10,3160691.0
2020-05-11,3335168.0
2020-05-12,3277494.0
2020-05-13,3256208.0
2020-05-14,3260683.0
2020-05-15,3300164.0
2020-05-16,3217293.0
2020-05-17,3107917.0
2020-05-18,3224535.0
2020-05-19,3150592.0
2020-05-20,3176388.0
2020-05-21,3357549.0
2020-05-22,3310653.0
2020-05-23,3059023.0
2020-05-24,3096429.0
2020-05-25,3578876.0
2020-05-26,4218992.0
2020-05-27,4384396.0
2020-05-28,4204809.0
2020-05-29,3832449.0
2020-05-30,3357054.0
2020-05-31,3218523.0
2020-06-01,3679663.0
2020-06-02,4031304.0
2020-06-03,4490150.0
2020-06-04,4336882.0
2020-06-05,3673270.0
2020-06-06,3196776.0
2020-06-07,2993324.0
2020-06-08,3427437.0
2020-06-09,3937375.0
2020-06-10,4356337.0
2020-06-11,4346280.0
2020-06-12,3798182.0
2020-06-13,3331196.0
2020-06-14,3296636.0
2020-06-15,3750310.0
2020-06-16,3659972.0
2020-06-17,3716333.0
2020-06-18,3872777.0
2020-06-19,3916475.0
2020-06-20,3671623.0
2020-06-21,3646884.0
2020-06-22,4144590.0
2020-06-23,4283402.0
2020-06-24,4305520.0
2020-06-25,4280056.0
2020-06-26,4294154.0
2020-06-27,4007735.0
2020-06-28,3417939.0
2020-06-29,3671773.0
2020-06-30,3921414.0
2020-07-01,3937212.0
2020-07-02,3893330.0
2020-07-03,3799131.0
2020-07-04,3853319.0
2020-07-05,3968199.0
2020-07-06,4277414.0
2020-07-07,4242668.0
2020-07-08,4268962.0
2020-07-09,4358462.0
2020-07-10,4577004.0
2020-07-11,4651353.0
2020-07-12,4577854.0
2020-07-13,4728867.0
2020-07-14,4401409.0
2020-07-15,4312605.0
2020-07-16,4241948.0
2020-07-17,4254719.0
2020-07-18,4126117.0
2020-07-19,3965480.0
2020-07-20,4215685.0
2020-07-21,4233013.0
2020-07-22,4092412.0
2020-07-23,4004635.0
2020-07-24,4036846.0
2020-07-25,3931627.0
2020-07-26,3937602.0
2020-07-27,4267344.0
2020-07-28,4280028.0
2020-07-29,4298486.0
2020-07-30,4453417.0
2020-07-31,4615595.0
2020-08-01,4315821.0
2020-08-02,4121595.0
2020-08-03,4475132.0
2020-08-04,4317068.0
2020-08-05,4073205.0
2020-08-06,3982132.0
2020-08-07,4071599.0
2020-08-08,4000757.0
2020-08-09,3981345.0
2020-08-10,4359456.0
2020-08-11,4271534.0
2020-08-12,4463038.0
2020-08-13,4797684.0
2020-08-14,5242088.0
2020-08-15,5276465.0
2020-08-16,5111755.0
2020-08-17,5387783.0
2020-08-18,5500074.0
2020-08-19,5487491.0
2020-08-20,5147605.0
2020-08-21,5055282.0
2020-08-22,4912117.0
2020-08-23,4736287.0
2020-08-24,5098449.0
2020-08-25,4932150.0
2020-08-26,4821665.0
2020-08-27,4727829.0
2020-08-28,4571564.0
2020-08-29,4118939.0
2020-08-30,3875061.0
2020-08-31,4227181.0
2020-09-01,4181207.0
2020-09-02,4174957.0
2020-09-03,4333594.0
2020-09-04,4582676.0
