period,value
2020-01-01,2731440.0
2020-01-02,2945384.0
2020-01-03,2697203.0
2020-01-04,2473484.0
2020-01-05,2824998.0
2020-01-06,3077698.0
2020-01-07,3151126.0
2020-01-08,3159092.0
2020-01-09,3169900.0
2020-01-10,2808399.0
2020-01-11,2397349.0
2020-01-12,2290785.0
2020-01-13,2523716.0
2020-01-14,2532934.0
2020-01-15,2500106.0
2020-01-16,2549783.0
2020-01-17,2973474.0
2020-01-18,2988561.0
2020-01-19,2716851.0
2020-01-20,3542327.0
2020-01-21,3923980.0
2020-01-22,3809822.0
2020-01-23,3488256.0
2020-01-24,3009126.0
2020-01-25,2696338.0
2020-01-26,2913849.0
2020-01-27,3060036.0
2020-01-28,3061106.0
2020-01-29,3204288.0
2020-01-30,3112789.0
2020-01-31,3411238.0
2020-02-01,3057252.0
2020-02-02,2817447.0
2020-02-03,2681691.0
2020-02-04,2549256.0
2020-02-05,2524087.0
2020-02-06,2524860.0
2020-02-07,2778896.0
2020-02-08,3237861.0
2020-02-09,3022771.0
2020-02-10,2999082.0
2020-02-11,2621923.0
2020-02-12,2572176.0
2020-02-13,2572672.0
2020-02-14,2833072.0
2020-02-15,3082547.0
2020-02-16,2990820.0
2020-02-17,2838461.0
2020-02-18,2754104.0
2020-02-19,2804998.0
2020-02-20,3347074.0
2020-02-21,3660613.0
2020-02-22,3422292.0
2020-02-23,3016334.0
2020-02-24,2955889.0
2020-02-25,2700386.0
2020-02-26,2658784.0
2020-02-27,3022720.0
2020-02-28,3207330.0
2020-02-29,3084974.0
2020-03-01,3003884.0
2020-03-02,2849497.0
2020-03-03,2608431.0
2020-03-04,2630388.0
2020-03-05,2804249.0
2020-03-06,2927374.0
2020-03-07,2891400.0
2020-03-08,2730946.0
2020-03-09,2788556.0
2020-03-10,2539779.0
2020-03-11,2497615.0
2020-03-12,2499402.0
2020-03-13,2465790.0
2020-03-14,2281804.0
2020-03-15,2307062.0
2020-03-17,2586729.0
2020-03-18,2519194.0
2020-03-19,2547864.0
2020-03-20,2638237.0
2020-03-21,2411905.0
2020-03-22,2259823.0
2020-03-23,2552900.0
2020-03-24,2507844.0
2020-03-25,2469810.0
2020-03-26,2403272.0
2020-03-27,2425883.0
2020-03-28,2481836.0
2020-03-29,2531124.0
2020-03-30,2405320.0
2020-03-31,2325054.0
2020-04-01,2435000.0
2020-04-02,2416204.0
2020-04-03,2326070.0
2020-04-04,2179329.0
2020-04-05,2137958.0
2020-04-06,2381680.0
2020-04-07,2455296.0
2020-04-08,2582168.0
2020-04-09,2473370.0
2020-04-10,2193742.0
2020-04-11,2210601.0
2020-04-12,2186543.0
2020-04-13,2363990.0
2020-04-14,2377042.0
2020-04-15,2380013.0
2020-04-16,2438771.0
2020-04-17,2344853.0
2020-04-18,2181162.0
2020-04-19,2204803.0
2020-04-20,2315184.0
2020-04-21,2375247.0
2020-04-22,2327843.0
2020-04-23,2350232.0
2020-04-24,2376225.0
2020-04-25,2202772.0
2020-04-26,2193871.0
2020-04-27,2316345.0
2020-04-28,2391065.0
2020-04-29,2464792.0
2020-04-30,2352676.0
2020-05-01,2265201.0
2020-05-02,2203566.0
2020-05-04,2718200.0
2020-05-05,2564039.0
2020-05-06,2445233.0
2020-05-07,2381777.0
2020-05-08,2359161.0
2020-05-09,2233351.0
2020-05-10,2219103.0
2020-05-11,2331107.0
2020-05-12,2393716.0
2020-05-13,2386219.0
2020-05-14,2499602.0
2020-05-15,2582269.0
2020-05-16,2623431.0
2020-05-17,2619578.0
2020-05-18,2646327.0
2020-05-19,2498161.0
2020-05-20,2458223.0
2020-05-21,2467245.0
2020-05-22,2533709.0
2020-05-23,2646654.0
2020-05-24,2704860.0
2020-05-25,2511938.0
2020-05-26,2629012.0
2020-05-27,2633695.0
2020-05-28,2896992.0
2020-05-29,2883981.0
2020-05-30,2880189.0
2020-05-31,2584320.0
2020-06-01,2626505.0
