period,value
2020-01-01,3411382.0
2020-01-02,3435350.0
2020-01-03,3501921.0
2020-01-04,3494762.0
2020-01-05,3366612.0
2020-01-06,3617545.0
2020-01-07,3632664.0
2020-01-08,3683489.0
2020-01-09,3423018.0
2020-01-10,3563800.0
2020-01-11,3887168.0
2020-01-12,3759974.0
2020-01-13,3773852.0
2020-01-14,3534330.0
2020-01-15,3585576.0
2020-01-16,4004566.0
2020-01-17,3923313.0
2020-01-18,3611947.0
2020-01-19,3787561.0
2020-01-20,4053166.0
2020-01-21,4123439.0
2020-01-22,3975629.0
2020-01-23,3811097.0
2020-01-24,3828621.0
2020-01-25,3565836.0
2020-01-26,3344971.0
2020-01-27,3577680.0
2020-01-28,3775882.0
2020-01-29,3828397.0
2020-01-30,3787030.0
2020-01-31,3663688.0
2020-02-01,3409563.0
2020-02-02,3185685.0
2020-02-03,3437234.0
2020-02-04,3824158.0
2020-02-05,3986874.0
2020-02-06,3985721.0
2020-02-07,3836144.0
2020-02-08,3515727.0
2020-02-09,3333358.0
2020-02-10,3693718.0
2020-02-11,3802535.0
2020-02-12,3891839.0
2020-02-13,4216860.0
2020-02-14,4125406.0
2020-02-15,3527728.0
2020-02-16,3251812.0
2020-02-17,3373113.0
2020-02-18,3590772.0
2020-02-19,3805448.0
2020-02-20,3954395.0
2020-02-21,3869200.0
2020-02-22,3449373.0
2020-02-23,3267947.0
2020-02-24,3467223.0
2020-02-25,3673874.0
2020-02-26,3842597.0
2020-02-27,3762274.0
2020-02-28,3491107.0
2020-02-29,3247939.0
2020-03-01,3071031.0
2020-03-02,3292567.0
2020-03-03,3294451.0
2020-03-04,3341845.0
2020-03-05,3384999.0
2020-03-06,3368019.0
2020-03-07,3185931.0
2020-03-08,3004553.0
2020-03-09,3304941.0
2020-03-10,3342465.0
2020-03-11,3239118.0
2020-03-12,3244227.0
2020-03-13,3337988.0
2020-03-14,3293015.0
2020-03-15,3279542.0
2020-03-17,3332227.0
2020-03-18,3241559.0
2020-03-19,3241573.0
2020-03-20,3396267.0
2020-03-21,3281519.0
2020-03-22,3130615.0
2020-03-23,3191554.0
2020-03-24,3143707.0
2020-03-25,3163743.0
2020-03-26,3215098.0
2020-03-27,3156584.0
2020-03-28,2965252.0
2020-03-29,2860679.0
2020-03-30,3053623.0
2020-03-31,3030241.0
2020-04-01,3056703.0
2020-04-02,3120351.0
2020-04-03,3316065.0
2020-04-04,3182235.0
2020-04-05,2960238.0
2020-04-06,3042773.0
2020-04-07,3138090.0
2020-04-08,3249973.0
2020-04-09,3043333.0
2020-04-10,2975009.0
2020-04-11,2859051.0
2020-04-12,2911405.0
2020-04-13,3277234.0
2020-04-14,3254076.0
2020-04-15,3182148.0
2020-04-16,3186562.0
2020-04-17,3168444.0
2020-04-18,2974535.0
2020-04-19,2786837.0
2020-04-20,2995993.0
2020-04-21,3022192.0
2020-04-22,2847067.0
2020-04-23,2564515.0
2020-04-24,2950377.0
2020-04-25,2761444.0
2020-04-26,2783237.0
2020-04-27,3020313.0
2020-04-28,3127574.0
2020-04-29,2968867.0
2020-04-30,3011806.0
2020-05-01,3132399.0
2020-05-02,3105293.0
2020-05-04,3247796.0
2020-05-05,3000851.0
2020-05-06,2940528.0
2020-05-07,3016507.0
2020-05-08,2877306.0
2020-05-09,2750603.0
2020-05-10,2685205.0
2020-05-11,2952268.0
2020-05-12,3001322.0
2020-05-13,3052996.0
2020-05-14,3214923.0
2020-05-15,3083444.0
2020-05-16,2857866.0
2020-05-17,2867699.0
2020-05-18,3116174.0
2020-05-19,3182365.0
2020-05-20,3174117.0
2020-05-21,3186028.0
2020-05-22,3222683.0
2020-05-23,3173396.0
2020-05-24,3155142.0
2020-05-25,2901734.0
2020-05-26,3070218.0
2020-05-27,3184437.0
2020-05-28,3218955.0
2020-05-29,3275355.0
2020-05-30,3139175.0
2020-05-31,3201602.0
2020-06-01,3635849.0
2020-06-02,3871996.0
2020-06-03,4135188.0
2020-06-04,4148943.0
2020-06-05,4206566.0
2020-06-06,4198384.0
2020-06-07,4149600.0
2020-06-08,4320860.0
2020-06-09,4035885.0
