period,value
2020-01-01,28154.0
2020-01-02,30279.0
2020-01-03,30291.0
2020-01-04,29131.0
2020-01-05,31877.0
2020-01-06,33646.0
2020-01-07,32641.0
2020-01-08,31318.0
2020-01-09,34397.0
2020-01-10,37012.0
2020-01-11,33698.0
2020-01-12,33239.0
2020-01-13,42958.0
2020-01-14,46461.0
2020-01-15,49375.0
2020-01-16,42788.0
2020-01-17,43843.0
2020-01-18,39969.0
2020-01-19,35946.0
2020-01-20,34050.0
2020-01-21,33982.0
2020-01-22,35462.0
2020-01-23,33774.0
2020-01-24,32350.0
2020-01-25,31769.0
2020-01-26,29812.0
2020-01-27,31603.0
2020-01-28,31825.0
2020-01-29,32568.0
2020-01-30,33146.0
2020-01-31,31314.0
2020-02-01,26664.0
2020-02-02,30838.0
2020-02-03,34987.0
2020-02-04,37853.0
2020-02-05,33270.0
2020-02-06,31705.0
2020-02-07,30499.0
2020-02-08,28325.0
2020-02-09,30540.0
2020-02-10,31017.0
2020-02-11,29148.0
2020-02-12,28653.0
2020-02-13,31800.0
2020-02-14,29768.0
2020-02-15,29704.0
2020-02-16,28781.0
2020-02-17,30005.0
2020-02-18,31611.0
2020-02-19,32823.0
2020-02-20,33022.0
2020-02-21,32221.0
2020-02-22,28104.0
2020-02-23,27247.0
2020-02-24,28825.0
2020-02-25,29675.0
2020-02-26,27576.0
2020-02-27,25683.0
2020-02-28,25811.0
2020-02-29,25384.0
2020-03-01,27326.0
2020-03-02,25123.0
2020-03-03,23417.0
2020-03-04,24136.0
2020-03-05,26208.0
2020-03-06,25802.0
2020-03-07,24112.0
2020-03-08,23724.0
2020-03-09,27401.0
2020-03-10,27980.0
2020-03-11,25103.0
2020-03-12,26413.0
2020-03-13,29922.0
2020-03-14,31848.0
2020-03-15,32314.0
2020-03-17,27406.0
2020-03-18,25375.0
2020-03-19,23928.0
2020-03-20,22491.0
2020-03-21,20655.0
2020-03-22,20543.0
2020-03-23,21753.0
2020-03-24,25061.0
2020-03-25,24682.0
2020-03-26,25071.0
2020-03-27,21918.0
2020-03-28,21268.0
2020-03-29,19633.0
2020-03-30,21685.0
2020-03-31,23698.0
2020-04-01,22891.0
2020-04-02,26445.0
2020-04-03,26023.0
2020-04-04,23997.0
2020-04-05,21359.0
2020-04-06,21175.0
2020-04-07,19625.0
2020-04-08,19768.0
2020-04-09,18581.0
2020-04-10,16645.0
2020-04-11,17144.0
2020-04-12,20802.0
2020-04-13,22418.0
2020-04-14,18737.0
2020-04-15,17574.0
2020-04-16,19743.0
2020-04-17,19515.0
2020-04-18,16618.0
2020-04-19,16727.0
2020-04-20,17630.0
2020-04-21,17156.0
2020-04-22,18499.0
2020-04-23,18464.0
2020-04-24,17974.0
2020-04-25,17037.0
2020-04-26,17410.0
2020-04-27,17314.0
2020-04-28,18164.0
2020-04-29,17436.0
2020-04-30,17030.0
2020-05-01,18114.0
2020-05-02,17499.0
2020-05-04,19467.0
2020-05-05,17438.0
2020-05-06,17304.0
2020-05-07,18744.0
2020-05-08,17688.0
2020-05-09,16750.0
