period,value
2020-01-01,2552077.0
2020-01-02,2758959.0
2020-01-03,2774889.0
2020-01-04,2601111.0
2020-01-05,2559322.0
2020-01-06,2788429.0
2020-01-07,2841047.0
2020-01-08,2848340.0
2020-01-09,2875601.0
2020-01-10,2824756.0
2020-01-11,2612807.0
2020-01-12,2576651.0
2020-01-13,2816478.0
2020-01-14,2839596.0
2020-01-15,2888208.0
2020-01-16,2986268.0
2020-01-17,2897600.0
2020-01-18,2690393.0
2020-01-19,2646382.0
2020-01-20,2894207.0
2020-01-21,2903019.0
2020-01-22,2829808.0
2020-01-23,2856475.0
2020-01-24,2794890.0
2020-01-25,2567199.0
2020-01-26,2539909.0
2020-01-27,2793428.0
2020-01-28,2833081.0
2020-01-29,2853703.0
2020-01-30,2850850.0
2020-01-31,2807439.0
2020-02-01,2603888.0
2020-02-02,2523411.0
2020-02-03,2864666.0
2020-02-04,2971600.0
2020-02-05,2976818.0
2020-02-06,2895414.0
2020-02-07,2834007.0
2020-02-08,2620799.0
2020-02-09,2582211.0
2020-02-10,2865782.0
2020-02-11,2872917.0
2020-02-12,2824588.0
2020-02-13,2830516.0
2020-02-14,2803094.0
2020-02-15,2553530.0
2020-02-16,2442154.0
2020-02-17,2623890.0
2020-02-18,2767896.0
2020-02-19,2785375.0
2020-02-20,2782033.0
2020-02-21,2784328.0
2020-02-22,2579820.0
2020-02-23,2445283.0
2020-02-24,2723135.0
2020-02-25,2762690.0
2020-02-26,2763452.0
2020-02-27,2797836.0
2020-02-28,2798600.0
2020-02-29,2496148.0
2020-03-01,2486483.0
2020-03-02,2759908.0
2020-03-03,2794465.0
2020-03-04,2789184.0
2020-03-05,2807279.0
2020-03-06,2770470.0
2020-03-07,2581976.0
2020-03-08,2382166.0
2020-03-09,2779251.0
2020-03-10,2856730.0
2020-03-11,2785806.0
2020-03-12,2862767.0
2020-03-13,2824899.0
2020-03-14,2627275.0
2020-03-15,2499079.0
2020-03-17,2745534.0
2020-03-18,2820966.0
2020-03-19,2749898.0
2020-03-20,2630710.0
2020-03-21,2457288.0
2020-03-22,2370995.0
2020-03-23,2549014.0
2020-03-24,2602642.0
2020-03-25,2560472.0
2020-03-26,2539050.0
2020-03-27,2518635.0
2020-03-28,2409128.0
2020-03-29,2280706.0
2020-03-30,2462551.0
2020-03-31,2506446.0
2020-04-01,2443180.0
2020-04-02,2452222.0
2020-04-03,2398292.0
2020-04-04,2351759.0
2020-04-05,2377700.0
2020-04-06,2577536.0
2020-04-07,2558493.0
2020-04-08,2550960.0
2020-04-09,2616671.0
2020-04-10,2481217.0
2020-04-11,2238099.0
2020-04-12,2220982.0
2020-04-13,2379552.0
2020-04-14,2370168.0
2020-04-15,2396028.0
2020-04-16,2388714.0
2020-04-17,2433295.0
2020-04-18,2309239.0
2020-04-19,2182152.0
2020-04-20,2428035.0
2020-04-21,2398796.0
2020-04-22,2517163.0
2020-04-23,2645092.0
2020-04-24,2804826.0
2020-04-25,2743606.0
2020-04-26,2546271.0
2020-04-27,2707209.0
2020-04-28,2895196.0
2020-04-29,2874128.0
2020-04-30,2760717.0
2020-05-01,2682639.0
2020-05-02,2511491.0
2020-05-04,2669727.0
2020-05-05,2857125.0
2020-05-06,2969874.0
2020-05-07,3062278.0
2020-05-08,3068066.0
2020-05-09,2809854.0
2020-05-10,2558753.0
2020-05-11,2700622.0
2020-05-12,2663247.0
2020-05-13,2644856.0
2020-05-14,2659366.0
2020-05-15,2677786.0
2020-05-16,2612119.0
2020-05-17,2514857.0
2020-05-18,2626236.0
2020-05-19,2536130.0
2020-05-20,2575421.0
2020-05-21,2711310.0
2020-05-22,2671409.0
2020-05-23,2467014.0
2020-05-24,2479932.0
2020-05-25,2865296.0
2020-05-26,3392107.0
2020-05-27,3525542.0
2020-05-28,3385729.0
2020-05-29,3110497.0
2020-05-30,2726415.0
2020-05-31,2603141.0
2020-06-01,2969683.0
2020-06-02,3247518.0
2020-06-03,3604993.0
2020-06-04,3485710.0
2020-06-05,2982616.0
2020-06-06,2592402.0
2020-06-07,2406807.0
2020-06-08,2782650.0
2020-06-09,3183924.0
2020-06-10,3500376.0
2020-06-11,3499866.0
2020-06-12,3080693.0
2020-06-13,2700566.0
2020-06-14,2657255.0
2020-06-15,3030431.0
2020-06-16,2966154.0
2020-06-17,3004820.0
2020-06-18,3117741.0
2020-06-19,3149344.0
2020-06-20,2966747.0
2020-06-21,2919978.0
2020-06-22,3323190.0
2020-06-23,3443854.0
2020-06-24,3465580.0
2020-06-25,3434115.0
2020-06-26,3443413.0
2020-06-27,3252736.0
2020-06-28,2779736.0
2020-06-29,2968944.0
2020-06-30,3156461.0
2020-07-01,3152361.0
2020-07-02,3134644.0
2020-07-03,3057624.0
2020-07-04,3079053.0
2020-07-05,3157814.0
2020-07-06,3425712.0
2020-07-07,3406831.0
2020-07-08,3411287.0
2020-07-09,3493204.0
2020-07-10,3675587.0
2020-07-11,3738871.0
2020-07-12,3682997.0
2020-07-13,3791333.0
2020-07-14,3542010.0
2020-07-15,3483533.0
2020-07-16,3427845.0
2020-07-17,3445828.0
2020-07-18,3321294.0
2020-07-19,3189584.0
2020-07-20,3411935.0
2020-07-21,3440984.0
2020-07-22,3308413.0
2020-07-23,3234849.0
2020-07-24,3249574.0
2020-07-25,3129795.0
2020-07-26,3124844.0
2020-07-27,3418191.0
2020-07-28,3457102.0
2020-07-29,3498507.0
2020-07-30,3612065.0
2020-07-31,3743576.0
2020-08-01,3476562.0
2020-08-02,3293429.0
2020-08-03,3598035.0
2020-08-04,3484954.0
2020-08-05,3303814.0
2020-08-06,3224162.0
2020-08-07,3284383.0
2020-08-08,3213167.0
2020-08-09,3200637.0
2020-08-10,3510337.0
2020-08-11,3463701.0
2020-08-12,3609590.0
2020-08-13,3880005.0
2020-08-14,4221799.0
2020-08-15,4227992.0
2020-08-16,4098041.0
2020-08-17,4329944.0
2020-08-18,4493010.0
2020-08-19,4436872.0
2020-08-20,4173713.0
2020-08-21,4127548.0
2020-08-22,3988014.0
2020-08-23,3828640.0
2020-08-24,4129447.0
2020-08-25,4006017.0
2020-08-26,3906834.0
2020-08-27,3821649.0
2020-08-28,3696822.0
2020-08-29,3329502.0
2020-08-30,3125298.0
2020-08-31,3406992.0
2020-09-01,3384756.0
2020-09-02,3396369.0
2020-09-03,3513339.0
2020-09-04,3714089.0
2020-09-05,3986040.0
2020-09-06,4240544.0
2020-09-07,4016748.0
2020-09-08,3684090.0
2020-09-09,3437969.0
2020-09-10,3228242.0
2020-09-11,3191831.0
2020-09-12,3067459.0
2020-09-13,2976826.0
2020-09-14,3320594.0
2020-09-15,3382146.0
2020-09-16,3450246.0
2020-09-17,3477647.0
2020-09-18,3531014.0
2020-09-19,3264233.0
2020-09-20,3085545.0
2020-09-21,3323836.0
2020-09-22,3346898.0
2020-09-23,3348360.0
2020-09-24,3409576.0
2020-09-25,3259759.0
2020-09-26,3092064.0
2020-09-27,3129028.0
2020-09-28,3608997.0
2020-09-29,3674872.0
2020-09-30,3804187.0
2020-10-01,3856873.0
2020-10-02,3749184.0
2020-10-03,3400038.0
2020-10-04,3186770.0
2020-10-05,3372705.0
2020-10-06,3288553.0
2020-10-07,3190493.0
2020-10-08,3025078.0
2020-10-09,2969155.0
2020-10-10,2810790.0
2020-10-11,2698457.0
2020-10-12,3146929.0
2020-10-13,3368200.0
2020-10-14,3389966.0
2020-10-15,3448888.0
2020-10-16,3478506.0
2020-10-17,3146313.0
2020-10-18,2946020.0
2020-10-19,3144089.0
2020-10-20,3104795.0
2020-10-21,3071082.0
2020-10-22,2981592.0
2020-10-23,2908108.0
