period,value
2020-01-01,782430.0
2020-01-02,829526.0
2020-01-03,719548.0
2020-01-04,662257.0
2020-01-05,810330.0
2020-01-06,882039.0
2020-01-07,919258.0
2020-01-08,928257.0
2020-01-09,919040.0
2020-01-10,775679.0
2020-01-11,654031.0
2020-01-12,632637.0
2020-01-13,689349.0
2020-01-14,693518.0
2020-01-15,680271.0
2020-01-16,693688.0
2020-01-17,881282.0
2020-01-18,843605.0
2020-01-19,722242.0
2020-01-20,1053232.0
2020-01-21,1169035.0
2020-01-22,1081375.0
2020-01-23,995386.0
2020-01-24,783484.0
2020-01-25,681400.0
2020-01-26,818817.0
2020-01-27,861166.0
2020-01-28,868028.0
2020-01-29,928850.0
2020-01-30,879259.0
2020-01-31,978796.0
2020-02-01,873507.0
2020-02-02,794888.0
2020-02-03,726389.0
2020-02-04,692908.0
2020-02-05,687070.0
2020-02-06,691430.0
2020-02-07,737066.0
2020-02-08,900302.0
2020-02-09,838520.0
2020-02-10,796882.0
2020-02-11,695688.0
2020-02-12,694561.0
2020-02-13,695782.0
2020-02-14,778012.0
2020-02-15,896682.0
2020-02-16,833350.0
2020-02-17,758145.0
2020-02-18,769833.0
2020-02-19,787423.0
2020-02-20,997636.0
2020-02-21,1136492.0
2020-02-22,1020473.0
2020-02-23,856347.0
2020-02-24,822500.0
2020-02-25,730044.0
2020-02-26,699418.0
2020-02-27,831368.0
2020-02-28,899786.0
2020-02-29,866872.0
2020-03-01,858933.0
2020-03-02,767726.0
2020-03-03,694631.0
2020-03-04,719942.0
2020-03-05,795375.0
2020-03-06,805282.0
2020-03-07,815331.0
2020-03-08,774698.0
2020-03-09,771319.0
2020-03-10,683690.0
2020-03-11,675427.0
2020-03-12,677420.0
2020-03-13,669707.0
2020-03-14,606854.0
2020-03-15,645147.0
2020-03-17,712084.0
2020-03-18,682795.0
2020-03-19,697088.0
2020-03-20,743621.0
2020-03-21,649836.0
2020-03-22,632456.0
2020-03-23,727084.0
2020-03-24,692803.0
2020-03-25,698864.0
2020-03-26,678367.0
2020-03-27,681391.0
2020-03-28,712205.0
2020-03-29,743850.0
2020-03-30,686420.0
2020-03-31,650897.0
2020-04-01,710592.0
2020-04-02,679906.0
2020-04-03,651075.0
2020-04-04,610302.0
2020-04-05,596473.0
2020-04-06,663457.0
2020-04-07,685923.0
2020-04-08,722800.0
2020-04-09,686973.0
2020-04-10,586158.0
2020-04-11,618779.0
2020-04-12,588076.0
2020-04-13,661846.0
2020-04-14,650462.0
2020-04-15,655400.0
2020-04-16,692004.0
2020-04-17,658107.0
2020-04-18,594733.0
2020-04-19,596689.0
2020-04-20,633231.0
2020-04-21,660640.0
2020-04-22,633406.0
2020-04-23,641835.0
2020-04-24,666409.0
2020-04-25,595355.0
2020-04-26,610968.0
2020-04-27,627015.0
2020-04-28,659801.0
2020-04-29,690516.0
2020-04-30,648248.0
2020-05-01,607033.0
2020-05-02,603056.0
2020-05-04,753483.0
2020-05-05,678423.0
2020-05-06,663880.0
2020-05-07,640650.0
2020-05-08,638427.0
2020-05-09,606041.0
2020-05-10,609461.0
2020-05-11,641208.0
2020-05-12,660411.0
2020-05-13,663152.0
2020-05-14,697105.0
2020-05-15,736551.0
2020-05-16,769613.0
2020-05-17,748388.0
2020-05-18,751637.0
2020-05-19,679621.0
2020-05-20,674251.0
2020-05-21,695356.0
2020-05-22,756580.0
2020-05-23,768496.0
2020-05-24,780972.0
2020-05-25,701560.0
2020-05-26,731177.0
2020-05-27,776493.0
2020-05-28,846022.0
2020-05-29,822379.0
2020-05-30,825804.0
2020-05-31,710286.0
2020-06-01,719071.0
2020-06-02,793008.0
2020-06-03,927825.0
2020-06-04,967460.0
2020-06-05,924358.0
2020-06-06,922770.0
2020-06-07,909188.0
2020-06-08,926219.0
2020-06-09,975695.0
2020-06-10,1010817.0
2020-06-11,926919.0
2020-06-12,844809.0
