period,value
2020-01-01,76991.0
2020-01-02,79453.0
2020-01-03,67810.0
2020-01-04,70996.0
2020-01-05,81464.0
2020-01-06,77834.0
2020-01-07,79255.0
2020-01-08,80452.0
2020-01-09,80245.0
2020-01-10,66865.0
2020-01-11,58839.0
2020-01-12,59595.0
2020-01-13,67015.0
2020-01-14,63533.0
2020-01-15,62822.0
2020-01-16,69051.0
2020-01-17,80953.0
2020-01-18,78499.0
2020-01-19,80287.0
2020-01-20,104699.0
2020-01-21,106091.0
2020-01-22,99165.0
2020-01-23,84691.0
2020-01-24,79024.0
2020-01-25,81239.0
2020-01-26,81883.0
2020-01-27,82028.0
2020-01-28,80111.0
2020-01-29,80607.0
2020-01-30,76696.0
2020-01-31,84044.0
2020-02-01,77535.0
2020-02-02,70823.0
2020-02-03,67493.0
2020-02-04,66093.0
2020-02-05,64487.0
2020-02-06,64318.0
2020-02-07,84560.0
2020-02-08,94216.0
2020-02-09,81835.0
2020-02-10,77042.0
2020-02-11,65178.0
2020-02-12,67635.0
2020-02-13,68769.0
2020-02-14,85491.0
2020-02-15,86002.0
2020-02-16,81074.0
2020-02-17,77160.0
2020-02-18,69846.0
2020-02-19,73531.0
2020-02-20,87148.0
2020-02-21,90573.0
2020-02-22,83346.0
2020-02-23,75280.0
2020-02-24,76175.0
2020-02-25,67036.0
2020-02-26,72444.0
2020-02-27,89143.0
2020-02-28,88244.0
2020-02-29,85897.0
2020-03-01,77091.0
2020-03-02,73999.0
2020-03-03,68143.0
2020-03-04,68856.0
2020-03-05,72788.0
2020-03-06,84136.0
2020-03-07,78734.0
2020-03-08,71177.0
2020-03-09,66968.0
2020-03-10,64429.0
2020-03-11,62413.0
2020-03-12,64087.0
2020-03-13,59695.0
2020-03-14,59588.0
2020-03-15,58189.0
2020-03-17,64519.0
2020-03-18,62616.0
2020-03-19,59065.0
2020-03-20,56940.0
2020-03-21,54197.0
2020-03-22,60118.0
2020-03-23,51762.0
2020-03-24,65326.0
2020-03-25,61015.0
2020-03-26,60410.0
2020-03-27,57560.0
2020-03-28,55309.0
2020-03-29,52831.0
2020-03-30,54883.0
2020-03-31,62290.0
2020-04-01,69852.0
2020-04-02,63565.0
2020-04-03,61543.0
2020-04-04,54089.0
2020-04-05,52394.0
2020-04-06,55910.0
2020-04-07,55580.0
2020-04-08,55617.0
2020-04-09,53760.0
2020-04-10,58311.0
2020-04-11,58034.0
2020-04-12,56008.0
2020-04-13,54280.0
2020-04-14,57928.0
2020-04-15,64377.0
2020-04-16,65782.0
2020-04-17,60358.0
2020-04-18,53455.0
2020-04-19,58649.0
2020-04-20,58488.0
2020-04-21,59685.0
2020-04-22,58952.0
2020-04-23,59517.0
2020-04-24,55688.0
2020-04-25,51785.0
2020-04-26,53762.0
2020-04-27,60462.0
2020-04-28,59804.0
2020-04-29,56477.0
2020-04-30,60847.0
2020-05-01,58953.0
2020-05-02,54288.0
2020-05-04,56340.0
2020-05-05,56702.0
2020-05-06,57692.0
2020-05-07,61174.0
2020-05-08,62649.0
2020-05-09,49113.0
2020-05-10,58831.0
2020-05-11,60723.0
2020-05-12,63814.0
2020-05-13,59923.0
2020-05-14,58318.0
2020-05-15,56413.0
2020-05-16,54658.0
2020-05-17,54759.0
2020-05-18,57051.0
2020-05-19,56268.0
2020-05-20,60987.0
2020-05-21,58867.0
2020-05-22,55740.0
2020-05-23,55799.0
2020-05-24,55676.0
2020-05-25,57201.0
2020-05-26,59417.0
2020-05-27,58408.0
2020-05-28,61643.0
2020-05-29,60960.0
2020-05-30,57834.0
2020-05-31,54390.0
2020-06-01,58646.0
2020-06-02,62664.0
2020-06-03,61452.0
2020-06-04,65707.0
2020-06-05,58858.0
2020-06-06,57680.0
2020-06-07,66244.0
2020-06-08,71833.0
2020-06-09,75030.0
2020-06-10,68830.0
2020-06-11,66957.0
2020-06-12,62837.0
2020-06-13,57688.0
2020-06-14,54055.0
2020-06-15,57496.0
2020-06-16,58102.0
2020-06-17,58471.0
2020-06-18,59689.0
2020-06-19,60144.0
2020-06-20,60155.0
2020-06-21,61162.0
2020-06-22,65965.0
2020-06-23,65112.0
2020-06-24,65349.0
2020-06-25,67118.0
2020-06-26,66346.0
2020-06-27,60370.0
2020-06-28,62752.0
2020-06-29,68816.0
2020-06-30,68491.0
2020-07-01,69702.0
2020-07-02,70686.0
2020-07-03,68695.0
2020-07-04,63616.0
2020-07-05,67475.0
2020-07-06,71117.0
2020-07-07,68222.0
2020-07-08,71581.0
2020-07-09,72281.0
2020-07-10,70965.0
2020-07-11,66187.0
2020-07-12,65136.0
2020-07-13,72512.0
2020-07-14,75057.0
2020-07-15,77958.0
2020-07-16,79939.0
2020-07-17,78137.0
2020-07-18,72322.0
2020-07-19,70581.0
2020-07-20,75658.0
2020-07-21,73339.0
2020-07-22,73993.0
2020-07-23,73745.0
2020-07-24,66393.0
2020-07-25,65466.0
2020-07-26,68040.0
2020-07-27,73177.0
2020-07-28,73395.0
2020-07-29,75696.0
2020-07-30,75538.0
2020-07-31,76059.0
2020-08-01,71302.0
2020-08-02,69157.0
2020-08-03,65385.0
2020-08-04,68373.0
2020-08-05,67651.0
2020-08-06,70809.0
2020-08-07,69474.0
2020-08-08,67868.0
2020-08-09,67496.0
2020-08-10,70507.0
2020-08-11,73942.0
2020-08-12,75202.0
2020-08-13,75456.0
2020-08-14,71045.0
2020-08-15,65838.0
2020-08-16,66507.0
2020-08-17,71149.0
2020-08-18,69035.0
2020-08-19,67461.0
2020-08-20,67317.0
2020-08-21,63859.0
2020-08-22,64438.0
2020-08-23,64831.0
2020-08-24,69303.0
2020-08-25,69658.0
2020-08-26,74158.0
2020-08-27,74191.0
2020-08-28,73652.0
2020-08-29,69161.0
2020-08-30,68244.0
2020-08-31,71643.0
2020-09-01,76269.0
2020-09-02,79574.0
2020-09-03,77826.0
2020-09-04,75576.0
2020-09-05,62998.0
2020-09-06,57866.0
2020-09-07,60826.0
2020-09-08,65242.0
2020-09-09,66328.0
2020-09-10,72383.0
2020-09-11,72831.0
2020-09-12,63761.0
2020-09-13,64308.0
2020-09-14,68329.0
2020-09-15,62335.0
2020-09-16,61104.0
2020-09-17,61453.0
2020-09-18,60011.0
2020-09-19,54045.0
2020-09-20,51736.0
2020-09-21,56593.0
2020-09-22,56385.0
2020-09-23,55144.0
2020-09-24,55585.0
2020-09-25,55238.0
2020-09-26,53430.0
2020-09-27,53800.0
2020-09-28,61114.0
2020-09-29,58917.0
2020-09-30,59407.0
2020-10-01,59570.0
2020-10-02,59739.0
2020-10-03,59302.0
2020-10-04,57630.0
2020-10-05,60618.0
2020-10-06,60315.0
2020-10-07,59843.0
2020-10-08,60773.0
2020-10-09,58052.0
2020-10-10,56439.0
2020-10-11,56247.0
2020-10-12,61180.0
2020-10-13,60052.0
2020-10-14,60842.0
2020-10-15,60710.0
2020-10-16,61020.0
2020-10-17,63208.0
2020-10-18,61489.0
2020-10-19,62376.0
2020-10-20,60579.0
2020-10-21,61219.0
2020-10-22,60891.0
2020-10-23,59749.0
2020-10-24,56675.0
2020-10-25,55670.0
2020-10-26,60361.0
2020-10-27,60929.0
2020-10-28,61246.0
2020-10-29,62657.0
2020-10-30,61676.0
2020-10-31,65347.0
2020-11-01,62090.0
2020-11-02,77653.0
2020-11-03,74147.0
2020-11-04,69144.0
2020-11-05,67591.0
2020-11-06,63860.0
2020-11-07,59015.0
2020-11-08,56571.0
2020-11-09,58602.0
2020-11-10,58747.0
2020-11-11,60866.0
2020-11-12,60055.0
2020-11-13,59096.0
2020-11-14,60932.0
2020-11-15,58754.0
2020-11-16,70953.0
2020-11-17,76297.0
2020-11-18,78639.0
2020-11-19,75562.0
2020-11-20,71198.0
2020-11-21,65116.0
2020-11-22,61758.0
2020-11-23,71725.0
2020-11-24,78871.0
2020-11-25,69082.0
2020-11-26,57332.0
2020-11-27,61120.0
2020-11-28,60059.0
2020-11-29,68357.0
2020-11-30,76692.0
2020-12-01,95731.0
2020-12-02,92597.0
2020-12-03,84371.0
2020-12-04,73760.0
2020-12-05,77545.0
2020-12-06,78002.0
2020-12-07,86581.0
2020-12-08,94989.0
2020-12-09,86860.0
2020-12-10,75738.0
2020-12-11,72934.0
2020-12-12,64993.0
2020-12-13,61729.0
2020-12-14,77435.0
