period,value
2020-01-01,25672.0
2020-01-02,26868.0
2020-01-03,26520.0
2020-01-04,25329.0
2020-01-05,28092.0
2020-01-06,29490.0
2020-01-07,28471.0
2020-01-08,27344.0
2020-01-09,29441.0
2020-01-10,31209.0
2020-01-11,28321.0
2020-01-12,29068.0
2020-01-13,38836.0
2020-01-14,40578.0
2020-01-15,41236.0
2020-01-16,36905.0
2020-01-17,36506.0
2020-01-18,33429.0
2020-01-19,30488.0
2020-01-20,29546.0
2020-01-21,29710.0
2020-01-22,30029.0
2020-01-23,28906.0
2020-01-24,27781.0
2020-01-25,27107.0
2020-01-26,26178.0
2020-01-27,27141.0
2020-01-28,27363.0
2020-01-29,27836.0
2020-01-30,28580.0
2020-01-31,27367.0
2020-02-01,23526.0
2020-02-02,27101.0
2020-02-03,30207.0
2020-02-04,32960.0
2020-02-05,29672.0
2020-02-06,28587.0
2020-02-07,27412.0
2020-02-08,25689.0
2020-02-09,27457.0
2020-02-10,28143.0
2020-02-11,26308.0
2020-02-12,25962.0
2020-02-13,28162.0
2020-02-14,26761.0
2020-02-15,26333.0
2020-02-16,26206.0
2020-02-17,27197.0
2020-02-18,28057.0
2020-02-19,28767.0
2020-02-20,28789.0
2020-02-21,28405.0
2020-02-22,24993.0
2020-02-23,24812.0
2020-02-24,25935.0
2020-02-25,26690.0
2020-02-26,25092.0
2020-02-27,24018.0
2020-02-28,24040.0
2020-02-29,23269.0
2020-03-01,24662.0
2020-03-02,23769.0
2020-03-03,22262.0
2020-03-04,22457.0
2020-03-05,23976.0
2020-03-06,23748.0
2020-03-07,22568.0
2020-03-08,23034.0
2020-03-09,25005.0
2020-03-10,25716.0
2020-03-11,23483.0
2020-03-12,24363.0
2020-03-13,26599.0
2020-03-14,29002.0
2020-03-15,28911.0
2020-03-17,25060.0
2020-03-18,23487.0
2020-03-19,22254.0
2020-03-20,20425.0
2020-03-21,19303.0
2020-03-22,19383.0
2020-03-23,22109.0
2020-03-24,21499.0
2020-03-25,21310.0
2020-03-26,21953.0
2020-03-27,20031.0
2020-03-28,19146.0
2020-03-29,17963.0
2020-03-30,19173.0
2020-03-31,20986.0
2020-04-01,21669.0
2020-04-02,23108.0
2020-04-03,22841.0
2020-04-04,21849.0
2020-04-05,19793.0
2020-04-06,19399.0
2020-04-07,18568.0
2020-04-08,18392.0
2020-04-09,18328.0
2020-04-10,17248.0
2020-04-11,17953.0
2020-04-12,20915.0
2020-04-13,22082.0
2020-04-14,19424.0
2020-04-15,18303.0
2020-04-16,20142.0
2020-04-17,20071.0
2020-04-18,17822.0
2020-04-19,17677.0
2020-04-20,18539.0
2020-04-21,18678.0
2020-04-22,19465.0
2020-04-23,19405.0
2020-04-24,19320.0
2020-04-25,18300.0
2020-04-26,18368.0
2020-04-27,18884.0
2020-04-28,19986.0
2020-04-29,19552.0
2020-04-30,19361.0
2020-05-01,21022.0
2020-05-02,19382.0
2020-05-04,21009.0
2020-05-05,20126.0
2020-05-06,19443.0
2020-05-07,20254.0
2020-05-08,19890.0
2020-05-09,19294.0
2020-05-10,18940.0
2020-05-11,19810.0
2020-05-12,19562.0
2020-05-13,19087.0
2020-05-14,18532.0
2020-05-15,18093.0
2020-05-16,17137.0
2020-05-17,16732.0
2020-05-18,17581.0
2020-05-19,17596.0
2020-05-20,19035.0
2020-05-21,18771.0
2020-05-22,19313.0
2020-05-23,18971.0
2020-05-24,18734.0
2020-05-25,19051.0
2020-05-26,20075.0
2020-05-27,20693.0
2020-05-28,21104.0
2020-05-29,25480.0
2020-05-30,19473.0
2020-05-31,17165.0
