period,value
2020-01-01,1310631.0
2020-01-02,1445792.0
2020-01-03,1353931.0
2020-01-04,1239710.0
2020-01-05,1397829.0
2020-01-06,1499512.0
2020-01-07,1544335.0
2020-01-08,1549025.0
2020-01-09,1532374.0
2020-01-10,1376730.0
2020-01-11,1169518.0
2020-01-12,1104390.0
2020-01-13,1257427.0
2020-01-14,1259220.0
2020-01-15,1253165.0
2020-01-16,1277757.0
2020-01-17,1468771.0
2020-01-18,1479747.0
2020-01-19,1346416.0
2020-01-20,1755731.0
2020-01-21,1851374.0
2020-01-22,1810103.0
2020-01-23,1683453.0
2020-01-24,1511157.0
2020-01-25,1366104.0
2020-01-26,1440018.0
2020-01-27,1516145.0
2020-01-28,1502719.0
2020-01-29,1557950.0
2020-01-30,1500879.0
2020-01-31,1678582.0
2020-02-01,1428485.0
2020-02-02,1320586.0
2020-02-03,1301706.0
2020-02-04,1243091.0
2020-02-05,1257372.0
2020-02-06,1272231.0
2020-02-07,1426661.0
2020-02-08,1641543.0
2020-02-09,1456858.0
2020-02-10,1518467.0
2020-02-11,1310190.0
2020-02-12,1296883.0
2020-02-13,1303518.0
2020-02-14,1433515.0
2020-02-15,1517811.0
2020-02-16,1465323.0
2020-02-17,1410000.0
2020-02-18,1358941.0
2020-02-19,1389617.0
2020-02-20,1637638.0
2020-02-21,1687327.0
2020-02-22,1539457.0
2020-02-23,1374735.0
2020-02-24,1428689.0
2020-02-25,1332227.0
2020-02-26,1345086.0
2020-02-27,1524897.0
2020-02-28,1567507.0
2020-02-29,1478814.0
2020-03-01,1422437.0
2020-03-02,1388133.0
2020-03-03,1306141.0
2020-03-04,1320185.0
2020-03-05,1376754.0
2020-03-06,1453301.0
2020-03-07,1385955.0
2020-03-08,1295970.0
2020-03-09,1349081.0
2020-03-10,1237653.0
2020-03-11,1235013.0
2020-03-12,1235172.0
2020-03-13,1203764.0
2020-03-14,1103278.0
2020-03-15,1119766.0
2020-03-17,1286109.0
2020-03-18,1251483.0
2020-03-19,1257270.0
2020-03-20,1283768.0
2020-03-21,1159779.0
2020-03-22,1075524.0
2020-03-23,1285356.0
2020-03-24,1243319.0
2020-03-25,1206165.0
2020-03-26,1189155.0
2020-03-27,1200057.0
2020-03-28,1205083.0
2020-03-29,1207557.0
2020-03-30,1149505.0
2020-03-31,1141834.0
2020-04-01,1202000.0
2020-04-02,1194714.0
2020-04-03,1136282.0
2020-04-04,1053544.0
2020-04-05,1036171.0
2020-04-06,1175098.0
2020-04-07,1187306.0
2020-04-08,1253815.0
2020-04-09,1174165.0
2020-04-10,1034747.0
2020-04-11,1061289.0
2020-04-12,1026795.0
2020-04-13,1107901.0
2020-04-14,1108333.0
2020-04-15,1112651.0
2020-04-16,1157171.0
2020-04-17,1111944.0
2020-04-18,1011452.0
2020-04-19,1043009.0
2020-04-20,1115383.0
2020-04-21,1131241.0
2020-04-22,1113880.0
2020-04-23,1129376.0
2020-04-24,1129138.0
2020-04-25,1019680.0
2020-04-26,1010498.0
2020-04-27,1114524.0
2020-04-28,1145042.0
2020-04-29,1158387.0
2020-04-30,1112142.0
2020-05-01,1088332.0
2020-05-02,1044242.0
2020-05-04,1298269.0
2020-05-05,1176110.0
2020-05-06,1125889.0
2020-05-07,1137203.0
2020-05-08,1141111.0
2020-05-09,1071859.0
2020-05-10,1049808.0
2020-05-11,1117951.0
2020-05-12,1162046.0
2020-05-13,1141714.0
2020-05-14,1189976.0
2020-05-15,1231571.0
2020-05-16,1238189.0
2020-05-17,1230633.0
2020-05-18,1240259.0
2020-05-19,1166416.0
2020-05-20,1178571.0
2020-05-21,1169956.0
2020-05-22,1158175.0
2020-05-23,1213073.0
2020-05-24,1248072.0
2020-05-25,1152062.0
2020-05-26,1260811.0
2020-05-27,1236217.0
2020-05-28,1366618.0
2020-05-29,1337058.0
2020-05-30,1352798.0
2020-05-31,1198162.0
2020-06-01,1243894.0
2020-06-02,1392076.0
2020-06-03,1607792.0
2020-06-04,1655806.0
2020-06-05,1518514.0
2020-06-06,1523112.0
2020-06-07,1546150.0
2020-06-08,1631377.0
2020-06-09,1719735.0
2020-06-10,1668257.0
2020-06-11,1673964.0
2020-06-12,1470722.0
2020-06-13,1305947.0
2020-06-14,1245034.0
2020-06-15,1194534.0
2020-06-16,1155699.0
2020-06-17,1191125.0
2020-06-18,1290388.0
2020-06-19,1377389.0
2020-06-20,1328688.0
2020-06-21,1453089.0
2020-06-22,1629123.0
2020-06-23,1545266.0
2020-06-24,1564073.0
2020-06-25,1542265.0
2020-06-26,1537015.0
2020-06-27,1427651.0
2020-06-28,1448364.0
2020-06-29,1664007.0
2020-06-30,1586660.0
2020-07-01,1607424.0
2020-07-02,1636273.0
2020-07-03,1587431.0
2020-07-04,1565663.0
2020-07-05,1561310.0
2020-07-06,1611001.0
2020-07-07,1551664.0
2020-07-08,1644813.0
2020-07-09,1667977.0
2020-07-10,1724745.0
2020-07-11,1586423.0
2020-07-12,1560130.0
2020-07-13,1769125.0
2020-07-14,1807862.0
2020-07-15,1821293.0
2020-07-16,1819711.0
2020-07-17,1809054.0
2020-07-18,1650410.0
2020-07-19,1695313.0
2020-07-20,1853682.0
2020-07-21,1800881.0
2020-07-22,1812571.0
2020-07-23,1771087.0
2020-07-24,1609983.0
2020-07-25,1580513.0
2020-07-26,1655853.0
2020-07-27,1869956.0
2020-07-28,1864389.0
2020-07-29,1774103.0
2020-07-30,1754441.0
2020-07-31,1845599.0
2020-08-01,1712247.0
2020-08-02,1700831.0
2020-08-03,1581098.0
2020-08-04,1647755.0
2020-08-05,1723310.0
2020-08-06,1691368.0
2020-08-07,1584437.0
2020-08-08,1598887.0
2020-08-09,1612095.0
2020-08-10,1724329.0
2020-08-11,1729827.0
2020-08-12,1767941.0
2020-08-13,1699682.0
2020-08-14,1650111.0
2020-08-15,1468212.0
2020-08-16,1382551.0
2020-08-17,1577199.0
2020-08-18,1613115.0
2020-08-19,1596032.0
2020-08-20,1559085.0
2020-08-21,1457135.0
2020-08-22,1469135.0
2020-08-23,1478069.0
2020-08-24,1585477.0
2020-08-25,1662865.0
2020-08-26,1766862.0
2020-08-27,1816958.0
2020-08-28,1806199.0
2020-08-29,1634129.0
2020-08-30,1563403.0
2020-08-31,1609958.0
2020-09-01,1678719.0
2020-09-02,1837725.0
2020-09-03,1862580.0
2020-09-04,1777528.0
2020-09-05,1396311.0
2020-09-06,1243055.0
2020-09-07,1295495.0
2020-09-08,1459839.0
2020-09-09,1519719.0
2020-09-10,1606521.0
2020-09-11,1683804.0
2020-09-12,1426961.0
2020-09-13,1401019.0
2020-09-14,1562854.0
2020-09-15,1366322.0
2020-09-16,1304594.0
2020-09-17,1296938.0
2020-09-18,1324984.0
2020-09-19,1080158.0
2020-09-20,1039538.0
2020-09-21,1169933.0
2020-09-22,1196016.0
2020-09-23,1225407.0
2020-09-24,1227989.0
2020-09-25,1197672.0
2020-09-26,1134251.0
2020-09-27,1147494.0
2020-09-28,1382456.0
2020-09-29,1321612.0
2020-09-30,1203536.0
2020-10-01,1246860.0
2020-10-02,1167930.0
2020-10-03,1081056.0
2020-10-04,1063705.0
2020-10-05,1199475.0
2020-10-06,1233636.0
2020-10-07,1279851.0
2020-10-08,1329599.0
2020-10-09,1196252.0
2020-10-10,1144089.0
2020-10-11,1157683.0
2020-10-12,1289675.0
2020-10-13,1328670.0
2020-10-14,1221655.0
2020-10-15,1263218.0
2020-10-16,1200645.0
2020-10-17,1096463.0
2020-10-18,1106821.0
2020-10-19,1224900.0
2020-10-20,1245791.0
2020-10-21,1315997.0
2020-10-22,1309091.0
2020-10-23,1283776.0
2020-10-24,1215534.0
2020-10-25,1109390.0
2020-10-26,1204537.0
2020-10-27,1236009.0
2020-10-28,1249332.0
2020-10-29,1319729.0
2020-10-30,1149490.0
2020-10-31,1113283.0
2020-11-01,1141083.0
2020-11-02,1356845.0
2020-11-03,1359119.0
2020-11-04,1310679.0
2020-11-05,1278989.0
2020-11-06,1212922.0
2020-11-07,1126650.0
2020-11-08,1110029.0
2020-11-09,1231570.0
2020-11-10,1260699.0
2020-11-11,1355710.0
2020-11-12,1298024.0
2020-11-13,1207241.0
2020-11-14,1122070.0
2020-11-15,1113124.0
2020-11-16,1273449.0
2020-11-17,1376257.0
2020-11-18,1447802.0
2020-11-19,1477235.0
2020-11-20,1363344.0
2020-11-21,1194091.0
2020-11-22,1153596.0
2020-11-23,1273955.0
2020-11-24,1424482.0
2020-11-25,1336686.0
2020-11-26,1103019.0
2020-11-27,1076438.0
2020-11-28,1092823.0
2020-11-29,1196238.0
2020-11-30,1341714.0
2020-12-01,1601373.0
2020-12-02,1636265.0
2020-12-03,1574456.0
2020-12-04,1383886.0
2020-12-05,1335132.0
2020-12-06,1414581.0
2020-12-07,1533032.0
2020-12-08,1672695.0
2020-12-09,1636468.0
2020-12-10,1460343.0
2020-12-11,1390074.0
2020-12-12,1235955.0
2020-12-13,1146889.0
2020-12-14,1370656.0
2020-12-15,1605949.0
2020-12-16,1732977.0
2020-12-17,1604346.0
2020-12-18,1632180.0
2020-12-19,1595953.0
2020-12-20,1409956.0
2020-12-21,1402301.0
2020-12-22,1433831.0
2020-12-23,1457172.0
2020-12-24,1232069.0
2020-12-25,1630145.0
2020-12-26,1715681.0
2020-12-27,1559526.0
2020-12-28,1506717.0
2020-12-29,1464086.0
2020-12-30,1556398.0
2020-12-31,1328645.0
2021-01-01,1300260.0
2021-01-02,1245890.0
2021-01-03,1225125.0
2021-01-04,1473750.0
2021-01-05,1532858.0
2021-01-06,1592887.0
2021-01-07,1673165.0
2021-01-08,1695345.0
2021-01-09,1562727.0
2021-01-10,1575024.0
2021-01-11,1673253.0
2021-01-12,1515073.0
2021-01-13,1603743.0
2021-01-14,1525662.0
2021-01-15,1606886.0
2021-01-16,1593286.0
2021-01-17,1540252.0
2021-01-18,1617037.0
2021-01-19,1595543.0
2021-01-20,1487377.0
2021-01-21,1494084.0
2021-01-22,1438736.0
2021-01-23,1478339.0
2021-01-24,1461333.0
2021-01-25,1481661.0
2021-01-26,1449245.0
2021-01-27,1374697.0
2021-01-28,1627456.0
2021-01-29,1748542.0
2021-01-30,1660054.0
2021-01-31,1622829.0
2021-02-01,1696906.0
2021-02-02,1758244.0
2021-02-03,1730263.0
2021-02-04,1705343.0
2021-02-05,1482640.0
2021-02-06,1529267.0
2021-02-07,1478500.0
2021-02-08,1591542.0
2021-02-09,1378167.0
2021-02-10,1383395.0
2021-02-11,1429748.0
2021-02-12,1724358.0
2021-02-13,1636584.0
2021-02-14,1553011.0
2021-02-15,1677200.0
2021-02-16,1594212.0
2021-02-17,1685703.0
2021-02-18,1745657.0
2021-02-19,1580119.0
2021-02-20,1561245.0
2021-02-21,1533260.0
2021-02-22,1581940.0
2021-02-23,1449376.0
2021-02-24,1358224.0
2021-02-25,1272524.0
2021-02-26,1404046.0
2021-02-27,1314238.0
2021-02-28,1155567.0
2021-03-01,1250328.0
2021-03-02,1474581.0
2021-03-03,1396593.0
2021-03-04,1337905.0
2021-03-05,1354730.0
2021-03-06,1308966.0
2021-03-07,1370173.0
2021-03-08,1454933.0
2021-03-09,1368214.0
2021-03-10,1289608.0
2021-03-11,1225571.0
2021-03-12,1192973.0
2021-03-13,1081260.0
2021-03-14,1050561.0
2021-03-15,1261951.0
2021-03-16,1428442.0
2021-03-17,1339566.0
2021-03-18,1279228.0
2021-03-19,1293442.0
2021-03-20,1319686.0
2021-03-21,1184504.0
2021-03-22,1247103.0
2021-03-23,1235373.0
2021-03-24,1216801.0
2021-03-25,1237323.0
2021-03-26,1248133.0
2021-03-27,1126961.0
2021-03-28,1093025.0
2021-03-29,1228964.0
2021-03-30,1253210.0
2021-03-31,1224029.0
2021-04-01,1316098.0
2021-04-02,1380610.0
2021-04-03,1269341.0
2021-04-04,1132433.0
2021-04-05,1193820.0
2021-04-06,1229201.0
2021-04-07,1262145.0
2021-04-08,1239660.0
2021-04-09,1264076.0
2021-04-10,1130691.0
2021-04-11,1115446.0
2021-04-12,1234868.0
2021-04-13,1226506.0
2021-04-14,1274703.0
2021-04-15,1208473.0
2021-04-16,1158728.0
2021-04-17,1079917.0
2021-04-18,1070713.0
2021-04-19,1190226.0
2021-04-20,1209530.0
2021-04-21,1209442.0
2021-04-22,1309535.0
2021-04-23,1268091.0
2021-04-24,1185374.0
2021-04-25,1083327.0
2021-04-26,1222370.0
2021-04-27,1285306.0
2021-04-28,1381420.0
2021-04-29,1419710.0
2021-04-30,1294401.0
2021-05-01,1101965.0
2021-05-02,1147807.0
2021-05-03,1303450.0
2021-05-04,1342813.0
2021-05-05,1371728.0
2021-05-06,1216399.0
2021-05-07,1158034.0
2021-05-08,1088059.0
2021-05-09,1106854.0
2021-05-10,1326423.0
2021-05-11,1245686.0
2021-05-12,1229712.0
2021-05-13,1232370.0
2021-05-14,1189303.0
2021-05-15,1113637.0
2021-05-16,1105434.0
2021-05-17,1269384.0
2021-05-18,1276426.0
2021-05-19,1341227.0
2021-05-20,1385448.0
2021-05-21,1363185.0
2021-05-22,1288554.0
2021-05-23,1410963.0
2021-05-24,1617456.0
2021-05-25,1634860.0
2021-05-26,1690961.0
2021-05-27,1649305.0
2021-05-28,1564320.0
2021-05-29,1304048.0
2021-05-30,1057980.0
2021-05-31,1124134.0
2021-06-01,1328873.0
2021-06-02,1402489.0
2021-06-03,1472136.0
2021-06-04,1536430.0
2021-06-05,1484882.0
2021-06-06,1486092.0
2021-06-07,1592061.0
2021-06-08,1606912.0
2021-06-09,1668377.0
2021-06-10,1648333.0
2021-06-11,1635831.0
2021-06-12,1446236.0
2021-06-13,1428024.0
2021-06-14,1683892.0
2021-06-15,1607538.0
2021-06-16,1520162.0
2021-06-17,1445438.0
2021-06-18,1543925.0
2021-06-19,1540219.0
2021-06-20,1377211.0
2021-06-21,1754968.0
2021-06-22,1536769.0
2021-06-23,1442419.0
2021-06-24,1411705.0
2021-06-25,1408362.0
2021-06-26,1486791.0
2021-06-27,1581133.0
2021-06-28,1770475.0
2021-06-29,1726274.0
2021-06-30,1790759.0
2021-07-01,1772597.0
2021-07-02,1505184.0
2021-07-03,1306604.0
2021-07-04,1328344.0
2021-07-05,1542518.0
2021-07-06,1706896.0
2021-07-07,1690123.0
2021-07-08,1590206.0
2021-07-09,1637180.0
2021-07-10,1603658.0
2021-07-11,1635494.0
2021-07-12,1767288.0
2021-07-13,1708680.0
2021-07-14,1737873.0
2021-07-15,1796675.0
2021-07-16,1821037.0
2021-07-17,1703541.0
2021-07-18,1529926.0
2021-07-19,1529080.0
2021-07-20,1537029.0
2021-07-21,1697776.0
2021-07-22,1701316.0
2021-07-23,1689654.0
2021-07-24,1604306.0
2021-07-25,1626049.0
2021-07-26,1764719.0
2021-07-27,1800808.0
2021-07-28,1868721.0
2021-07-29,1896951.0
2021-07-30,1872647.0
2021-07-31,1704182.0
2021-08-01,1636583.0
2021-08-02,1617056.0
2021-08-03,1474090.0
2021-08-04,1467525.0
2021-08-05,1562778.0
2021-08-06,1513889.0
2021-08-07,1447133.0
2021-08-08,1517575.0
2021-08-09,1753948.0
2021-08-10,1838370.0
2021-08-11,1820340.0
2021-08-12,1839942.0
2021-08-13,1891670.0
2021-08-14,1649411.0
2021-08-15,1515747.0
2021-08-16,1634016.0
2021-08-17,1613987.0
2021-08-18,1781417.0
2021-08-19,1822116.0
2021-08-20,1746999.0
2021-08-21,1626755.0
2021-08-22,1616163.0
2021-08-23,1807503.0
2021-08-24,1888464.0
2021-08-25,1875913.0
2021-08-26,1820119.0
2021-08-27,1809121.0
2021-08-28,1742966.0
2021-08-29,1705354.0
2021-08-30,1831389.0
2021-08-31,1725545.0
2021-09-01,1627154.0
2021-09-02,1499205.0
2021-09-03,1373567.0
2021-09-04,1301766.0
2021-09-05,1348113.0
2021-09-06,1413058.0
2021-09-07,1564741.0
2021-09-08,1619877.0
2021-09-09,1500348.0
2021-09-10,1342197.0
2021-09-11,1283682.0
2021-09-12,1357950.0
2021-09-13,1578784.0
2021-09-14,1621619.0
2021-09-15,1573081.0
2021-09-16,1490730.0
2021-09-17,1513812.0
2021-09-18,1488550.0
2021-09-19,1469899.0
2021-09-20,1496610.0
2021-09-21,1397472.0
2021-09-22,1456314.0
2021-09-23,1261378.0
2021-09-24,1201247.0
2021-09-25,1136625.0
2021-09-26,1153226.0
2021-09-27,1327367.0
2021-09-28,1412595.0
2021-09-29,1463369.0
2021-09-30,1414152.0
2021-10-01,1353260.0
2021-10-02,1297528.0
2021-10-03,1313776.0
2021-10-04,1424679.0
2021-10-05,1457348.0
2021-10-06,1465476.0
2021-10-07,1377459.0
2021-10-08,1311908.0
2021-10-09,1225807.0
2021-10-10,1225656.0
2021-10-11,1300020.0
2021-10-12,1362562.0
2021-10-13,1393703.0
2021-10-14,1420597.0
2021-10-15,1405933.0
2021-10-16,1215170.0
2021-10-17,1078408.0
2021-10-18,1230634.0
2021-10-19,1248281.0
2021-10-20,1256724.0
2021-10-21,1269883.0
2021-10-22,1265444.0
2021-10-23,1124943.0
2021-10-24,1127160.0
2021-10-25,1286092.0
2021-10-26,1229124.0
2021-10-27,1256926.0
2021-10-28,1275042.0
2021-10-29,1221461.0
2021-10-30,1134974.0
2021-10-31,1115127.0
2021-11-01,1257014.0
2021-11-02,1288318.0
2021-11-03,1335522.0
2021-11-04,1442197.0
2021-11-05,1479118.0
2021-11-06,1351866.0
2021-11-07,1276803.0
2021-11-08,1353112.0
2021-11-09,1322539.0
2021-11-10,1279677.0
2021-11-11,1292292.0
2021-11-12,1225327.0
2021-11-13,1241894.0
2021-11-14,1345839.0
2021-11-15,1425708.0
2021-11-16,1417147.0
2021-11-17,1306886.0
2021-11-18,1288306.0
2021-11-19,1398937.0
2021-11-20,1464750.0
2021-11-21,1368014.0
2021-11-22,1368835.0
2021-11-23,1601471.0
2021-11-24,1618894.0
