period,value
2020-01-01,93282.0
2020-01-02,107681.0
2020-01-03,108079.0
2020-01-04,102559.0
2020-01-05,97727.0
2020-01-06,105111.0
2020-01-07,106484.0
2020-01-08,104569.0
2020-01-09,100464.0
2020-01-10,102189.0
2020-01-11,99484.0
2020-01-12,92068.0
2020-01-13,97905.0
2020-01-14,99805.0
2020-01-15,98654.0
2020-01-16,101401.0
2020-01-17,96021.0
2020-01-18,89348.0
2020-01-19,86118.0
2020-01-20,94797.0
2020-01-21,104628.0
2020-01-22,98567.0
2020-01-23,97743.0
2020-01-24,95755.0
2020-01-25,88842.0
2020-01-26,84950.0
2020-01-27,96015.0
2020-01-28,98181.0
2020-01-29,100563.0
2020-01-30,98029.0
2020-01-31,97770.0
2020-02-01,92010.0
2020-02-02,87537.0
2020-02-03,93382.0
2020-02-04,100604.0
2020-02-05,110707.0
2020-02-06,107095.0
2020-02-07,97361.0
2020-02-08,89938.0
2020-02-09,83529.0
2020-02-10,91820.0
2020-02-11,108333.0
2020-02-12,107788.0
2020-02-13,102066.0
2020-02-14,98178.0
2020-02-15,89225.0
2020-02-16,84466.0
2020-02-17,93206.0
2020-02-18,96899.0
2020-02-19,99018.0
2020-02-20,99757.0
2020-02-21,104837.0
2020-02-22,92316.0
2020-02-23,84757.0
2020-02-24,96230.0
2020-02-25,101276.0
2020-02-26,106889.0
2020-02-27,104858.0
2020-02-28,100396.0
2020-02-29,89389.0
2020-03-01,86692.0
2020-03-02,95878.0
2020-03-03,102565.0
2020-03-04,99735.0
2020-03-05,98539.0
2020-03-06,94828.0
2020-03-07,89555.0
2020-03-08,83302.0
2020-03-09,93417.0
2020-03-10,95301.0
2020-03-11,96013.0
2020-03-12,95451.0
2020-03-13,94819.0
2020-03-14,87853.0
2020-03-15,83478.0
2020-03-17,93597.0
2020-03-18,96128.0
2020-03-19,93364.0
2020-03-20,91465.0
2020-03-21,86449.0
2020-03-22,81031.0
2020-03-23,89834.0
2020-03-24,91433.0
2020-03-25,93992.0
2020-03-26,94130.0
2020-03-27,89738.0
2020-03-28,84396.0
2020-03-29,81119.0
2020-03-30,86792.0
2020-03-31,90473.0
2020-04-01,93273.0
2020-04-02,92456.0
2020-04-03,90771.0
2020-04-04,85852.0
2020-04-05,82853.0
2020-04-06,89235.0
2020-04-07,91945.0
2020-04-08,93742.0
2020-04-09,92156.0
2020-04-10,86822.0
2020-04-11,80455.0
2020-04-12,75729.0
2020-04-13,84975.0
2020-04-14,86223.0
2020-04-15,87666.0
2020-04-16,90485.0
2020-04-17,92048.0
2020-04-18,84595.0
2020-04-19,81828.0
2020-04-20,90757.0
2020-04-21,98330.0
2020-04-22,96080.0
2020-04-23,97952.0
2020-04-24,105115.0
2020-04-25,96098.0
2020-04-26,102636.0
2020-04-27,115098.0
2020-04-28,118214.0
2020-04-29,109829.0
2020-04-30,117404.0
2020-05-01,123526.0
2020-05-02,118885.0
2020-05-04,122389.0
2020-05-05,113050.0
2020-05-06,122835.0
2020-05-07,130993.0
2020-05-08,105263.0
2020-05-09,104190.0
2020-05-10,101806.0
2020-05-11,112663.0
2020-05-12,116752.0
2020-05-13,120691.0
2020-05-14,116238.0
2020-05-15,118394.0
2020-05-16,118657.0
2020-05-17,119427.0
2020-05-18,136090.0
2020-05-19,139577.0
2020-05-20,126246.0
2020-05-21,118107.0
2020-05-22,118531.0
2020-05-23,116840.0
2020-05-24,112625.0
2020-05-25,110427.0
2020-05-26,118379.0
2020-05-27,133274.0
2020-05-28,143619.0
2020-05-29,140668.0
2020-05-30,133695.0
2020-05-31,128811.0
2020-06-01,139944.0
2020-06-02,148706.0
2020-06-03,159810.0
2020-06-04,164285.0
2020-06-05,168176.0
2020-06-06,162722.0
2020-06-07,140098.0
2020-06-08,144404.0
2020-06-09,121834.0
2020-06-10,130555.0
2020-06-11,144754.0
2020-06-12,143171.0
2020-06-13,127261.0
2020-06-14,131185.0
2020-06-15,148823.0
2020-06-16,153067.0
2020-06-17,157151.0
2020-06-18,151014.0
2020-06-19,148865.0
2020-06-20,143947.0
2020-06-21,143207.0
2020-06-22,164823.0
2020-06-23,163316.0
2020-06-24,160619.0
2020-06-25,161248.0
2020-06-26,164421.0
2020-06-27,148827.0
2020-06-28,141530.0
2020-06-29,152948.0
2020-06-30,154082.0
2020-07-01,144933.0
2020-07-02,159202.0
2020-07-03,161574.0
2020-07-04,156024.0
