period,value
2020-01-01,2520757.0
2020-01-02,2741917.0
2020-01-03,2976877.0
2020-01-04,2672986.0
2020-01-05,2557105.0
2020-01-06,2844176.0
2020-01-07,2765675.0
2020-01-08,2740588.0
2020-01-09,2759895.0
2020-01-10,2690614.0
2020-01-11,2711491.0
2020-01-12,2862877.0
2020-01-13,2950939.0
2020-01-14,2938140.0
2020-01-15,2909141.0
2020-01-16,2867590.0
2020-01-17,2682784.0
2020-01-18,2562950.0
2020-01-19,2599596.0
2020-01-20,2803041.0
2020-01-21,3268069.0
2020-01-22,3635399.0
2020-01-23,2819659.0
2020-01-24,2617465.0
2020-01-25,2551352.0
2020-01-26,2667446.0
2020-01-27,2651311.0
2020-01-28,2701961.0
2020-01-29,2861006.0
2020-01-30,2737763.0
2020-01-31,2683094.0
2020-02-01,2609194.0
2020-02-02,2712545.0
2020-02-03,2788093.0
2020-02-04,2705525.0
2020-02-05,2713324.0
2020-02-06,2991468.0
2020-02-07,2646466.0
2020-02-08,2701758.0
2020-02-09,2615829.0
2020-02-10,2838523.0
2020-02-11,3017769.0
2020-02-12,3119841.0
2020-02-13,3225170.0
2020-02-14,2923845.0
2020-02-15,2609786.0
2020-02-16,2719371.0
2020-02-17,3010141.0
2020-02-18,3157711.0
2020-02-19,3199680.0
2020-02-20,3164936.0
2020-02-21,2937296.0
2020-02-22,2819737.0
2020-02-23,2624742.0
2020-02-24,2713015.0
2020-02-25,2868664.0
2020-02-26,2881801.0
2020-02-27,2677322.0
2020-02-28,2847457.0
2020-02-29,2670437.0
2020-03-01,2662244.0
2020-03-02,2636666.0
2020-03-03,2781080.0
2020-03-04,3068844.0
2020-03-05,3313541.0
2020-03-06,2783660.0
2020-03-07,2507568.0
2020-03-08,2266332.0
2020-03-09,2637415.0
2020-03-10,2740278.0
2020-03-11,2856021.0
2020-03-12,2940285.0
2020-03-13,2963539.0
2020-03-14,2901357.0
2020-03-15,3100939.0
2020-03-17,3153574.0
2020-03-18,3212085.0
2020-03-19,3230763.0
2020-03-20,3231438.0
2020-03-21,3150248.0
2020-03-22,3110564.0
2020-03-23,3206418.0
2020-03-24,3205016.0
2020-03-25,3301018.0
2020-03-26,3347968.0
2020-03-27,3365244.0
2020-03-28,3264661.0
2020-03-29,3323138.0
2020-03-30,3463174.0
2020-03-31,3403051.0
2020-04-01,2852315.0
2020-04-02,2689266.0
2020-04-03,2785191.0
2020-04-04,2920744.0
2020-04-05,2631150.0
2020-04-06,2898544.0
2020-04-07,3183157.0
2020-04-08,3392519.0
2020-04-09,3561001.0
2020-04-10,3279340.0
2020-04-11,2928885.0
2020-04-12,3445367.0
2020-04-13,3816117.0
2020-04-14,3725093.0
2020-04-15,3613913.0
2020-04-16,2969410.0
2020-04-17,3170421.0
