period,value
2020-01-01,186533.0
2020-01-02,204097.0
2020-01-03,219789.0
2020-01-04,199768.0
2020-01-05,192813.0
2020-01-06,218411.0
2020-01-07,211696.0
2020-01-08,208574.0
2020-01-09,205499.0
2020-01-10,201853.0
2020-01-11,194243.0
2020-01-12,206484.0
2020-01-13,222806.0
2020-01-14,220853.0
2020-01-15,224091.0
2020-01-16,219535.0
2020-01-17,202795.0
2020-01-18,188982.0
2020-01-19,191788.0
2020-01-20,200372.0
2020-01-21,248335.0
2020-01-22,277936.0
2020-01-23,211841.0
2020-01-24,194136.0
2020-01-25,180842.0
2020-01-26,192140.0
2020-01-27,195142.0
2020-01-28,196562.0
2020-01-29,206772.0
2020-01-30,197767.0
2020-01-31,194447.0
2020-02-01,189119.0
2020-02-02,201138.0
2020-02-03,209639.0
2020-02-04,208595.0
2020-02-05,200650.0
2020-02-06,221893.0
2020-02-07,190612.0
2020-02-08,196956.0
2020-02-09,188122.0
2020-02-10,208296.0
2020-02-11,223683.0
2020-02-12,232405.0
2020-02-13,238067.0
2020-02-14,205731.0
2020-02-15,188315.0
2020-02-16,197829.0
2020-02-17,218456.0
2020-02-18,229655.0
2020-02-19,233165.0
2020-02-20,228573.0
2020-02-21,212456.0
2020-02-22,205191.0
2020-02-23,188222.0
2020-02-24,198800.0
2020-02-25,212463.0
2020-02-26,204578.0
2020-02-27,198885.0
2020-02-28,216620.0
2020-02-29,200220.0
2020-03-01,196707.0
2020-03-02,195423.0
2020-03-03,207874.0
2020-03-04,230318.0
2020-03-05,246915.0
2020-03-06,201251.0
2020-03-07,185686.0
2020-03-08,176102.0
2020-03-09,193998.0
2020-03-10,200389.0
2020-03-11,212816.0
2020-03-12,219985.0
2020-03-13,225588.0
2020-03-14,221491.0
2020-03-15,226851.0
2020-03-17,233262.0
2020-03-18,236196.0
2020-03-19,235684.0
2020-03-20,235050.0
2020-03-21,228102.0
2020-03-22,225843.0
2020-03-23,239647.0
2020-03-24,236654.0
2020-03-25,238352.0
2020-03-26,240190.0
2020-03-27,248478.0
2020-03-28,241527.0
