period,value
2020-01-01,585985.0
2020-01-02,610141.0
2020-01-03,647522.0
2020-01-04,589871.0
2020-01-05,618886.0
2020-01-06,707968.0
2020-01-07,674204.0
2020-01-08,671709.0
2020-01-09,646829.0
2020-01-10,598599.0
2020-01-11,622342.0
2020-01-12,644776.0
2020-01-13,659842.0
2020-01-14,639423.0
2020-01-15,652155.0
2020-01-16,642042.0
2020-01-17,599704.0
2020-01-18,575479.0
2020-01-19,578325.0
2020-01-20,653587.0
2020-01-21,860511.0
2020-01-22,930699.0
2020-01-23,661321.0
2020-01-24,588085.0
2020-01-25,579595.0
2020-01-26,637914.0
2020-01-27,616021.0
2020-01-28,618831.0
2020-01-29,675774.0
2020-01-30,630098.0
2020-01-31,608546.0
2020-02-01,613145.0
2020-02-02,671409.0
2020-02-03,667848.0
2020-02-04,620590.0
2020-02-05,600018.0
2020-02-06,653986.0
2020-02-07,597773.0
2020-02-08,664248.0
2020-02-09,603246.0
2020-02-10,622764.0
2020-02-11,656108.0
2020-02-12,687416.0
2020-02-13,707978.0
2020-02-14,616558.0
2020-02-15,583568.0
2020-02-16,603873.0
2020-02-17,651096.0
2020-02-18,686527.0
2020-02-19,681209.0
2020-02-20,675769.0
2020-02-21,680529.0
2020-02-22,699125.0
2020-02-23,606685.0
2020-02-24,607715.0
2020-02-25,624720.0
2020-02-26,596840.0
2020-02-27,646518.0
2020-02-28,713453.0
2020-02-29,648687.0
2020-03-01,645836.0
2020-03-02,606536.0
2020-03-03,609178.0
2020-03-04,676650.0
2020-03-05,731182.0
2020-03-06,585523.0
2020-03-07,596051.0
2020-03-08,582729.0
2020-03-09,587660.0
2020-03-10,599988.0
2020-03-11,628338.0
2020-03-12,649839.0
2020-03-13,668038.0
2020-03-14,670963.0
2020-03-15,689356.0
2020-03-17,699237.0
2020-03-18,714458.0
2020-03-19,716889.0
2020-03-20,722414.0
2020-03-21,709249.0
2020-03-22,705090.0
2020-03-23,728775.0
2020-03-24,718330.0
2020-03-25,735603.0
2020-03-26,744176.0
2020-03-27,759517.0
2020-03-28,753817.0
2020-03-29,756628.0
2020-03-30,774186.0
2020-03-31,748882.0
2020-04-01,586140.0
2020-04-02,569965.0
2020-04-03,598218.0
2020-04-04,626549.0
2020-04-05,538608.0
2020-04-06,606543.0
2020-04-07,685566.0
2020-04-08,739243.0
2020-04-09,778641.0
2020-04-10,691863.0
2020-04-11,616873.0
2020-04-12,786700.0
2020-04-13,866059.0
2020-04-14,805080.0
2020-04-15,738007.0
2020-04-16,549513.0
2020-04-17,630465.0
2020-04-18,632640.0
2020-04-19,745672.0
2020-04-20,729749.0
2020-04-21,677442.0
2020-04-22,654659.0
2020-04-23,766895.0
2020-04-24,623979.0
2020-04-25,695412.0
2020-04-26,717064.0
2020-04-27,593698.0
2020-04-28,631478.0
2020-04-29,700563.0
2020-04-30,632610.0
2020-05-01,590632.0
2020-05-02,625282.0
2020-05-04,739374.0
2020-05-05,752829.0
2020-05-06,745068.0
2020-05-07,588904.0
2020-05-08,613000.0
2020-05-09,661168.0
2020-05-10,614907.0
2020-05-11,685142.0
2020-05-12,679392.0
2020-05-13,703619.0
2020-05-14,715314.0
2020-05-15,750458.0
2020-05-16,768425.0
2020-05-17,798706.0
2020-05-18,701707.0
2020-05-19,776354.0
2020-05-20,795059.0
2020-05-21,843459.0
2020-05-22,853113.0
2020-05-23,842953.0
2020-05-24,772357.0
2020-05-25,683197.0
2020-05-26,804917.0
2020-05-27,833925.0
2020-05-28,823208.0
2020-05-29,817210.0
2020-05-30,830259.0
2020-05-31,859970.0
2020-06-01,881052.0
2020-06-02,831486.0
2020-06-03,754408.0
2020-06-04,703944.0
2020-06-05,751516.0
2020-06-06,671829.0
2020-06-07,736006.0
2020-06-08,857908.0
2020-06-09,877267.0
2020-06-10,880374.0
2020-06-11,870503.0
2020-06-12,864605.0
2020-06-13,790863.0
2020-06-14,801314.0
2020-06-15,841253.0
2020-06-16,802316.0
2020-06-17,831068.0
2020-06-18,853300.0
2020-06-19,844066.0
2020-06-20,876944.0
2020-06-21,899996.0
2020-06-22,947883.0
2020-06-23,931031.0
2020-06-24,994468.0
2020-06-25,996395.0
2020-06-26,1000231.0
2020-06-27,969839.0
2020-06-28,981714.0
2020-06-29,1021606.0
2020-06-30,1016489.0
2020-07-01,925392.0
2020-07-02,934810.0
2020-07-03,896792.0
2020-07-04,848270.0
2020-07-05,811067.0
2020-07-06,841485.0
2020-07-07,870597.0
2020-07-08,880956.0
2020-07-09,983896.0
2020-07-10,958051.0
2020-07-11,912802.0
2020-07-12,958293.0
2020-07-13,976295.0
2020-07-14,999637.0
2020-07-15,936467.0
2020-07-16,927907.0
2020-07-17,927724.0
2020-07-18,872821.0
2020-07-19,919465.0
2020-07-20,955368.0
2020-07-21,904837.0
2020-07-22,835816.0
2020-07-23,787200.0
2020-07-24,888098.0
2020-07-25,883117.0
2020-07-26,890366.0
2020-07-27,890150.0
2020-07-28,825159.0
2020-07-29,863723.0
2020-07-30,947796.0
2020-07-31,979854.0
2020-08-01,983583.0
2020-08-02,900214.0
2020-08-03,978307.0
2020-08-04,983471.0
2020-08-05,922405.0
2020-08-06,930344.0
2020-08-07,921966.0
2020-08-08,941058.0
2020-08-09,918657.0
2020-08-10,954388.0
2020-08-11,903861.0
2020-08-12,896586.0
2020-08-13,920247.0
2020-08-14,937334.0
2020-08-15,911825.0
2020-08-16,906541.0
2020-08-17,851043.0
2020-08-18,851636.0
2020-08-19,829986.0
2020-08-20,841456.0
2020-08-21,789519.0
2020-08-22,773529.0
2020-08-23,877950.0
2020-08-24,951618.0
2020-08-25,1009084.0
2020-08-26,1006919.0
2020-08-27,972195.0
2020-08-28,979013.0
2020-08-29,909528.0
2020-08-30,771158.0
2020-08-31,793112.0
2020-09-01,897913.0
2020-09-02,945486.0
2020-09-03,992425.0
2020-09-04,987646.0
2020-09-05,962837.0
2020-09-06,894754.0
2020-09-07,833863.0
2020-09-08,864345.0
2020-09-09,862178.0
2020-09-10,849640.0
2020-09-11,859736.0
2020-09-12,790181.0
2020-09-13,749984.0
2020-09-14,805482.0
2020-09-15,821571.0
2020-09-16,871737.0
2020-09-17,854427.0
2020-09-18,890162.0
2020-09-19,834361.0
2020-09-20,765668.0
2020-09-21,791998.0
2020-09-22,747243.0
2020-09-23,768186.0
2020-09-24,834191.0
2020-09-25,909614.0
2020-09-26,887913.0
2020-09-27,846436.0
2020-09-28,813176.0
2020-09-29,795892.0
2020-09-30,629762.0
2020-10-01,665257.0
2020-10-02,656109.0
2020-10-03,641879.0
2020-10-04,631230.0
2020-10-05,740627.0
2020-10-06,879700.0
2020-10-07,904848.0
2020-10-08,901277.0
2020-10-09,867059.0
2020-10-10,841159.0
2020-10-11,812272.0
2020-10-12,805912.0
2020-10-13,804566.0
2020-10-14,819894.0
2020-10-15,827656.0
2020-10-16,812378.0
2020-10-17,732610.0
2020-10-18,736228.0
2020-10-19,743327.0
2020-10-20,763512.0
2020-10-21,746456.0
2020-10-22,771038.0
2020-10-23,759170.0
2020-10-24,749974.0
2020-10-25,788884.0
2020-10-26,833295.0
2020-10-27,852594.0
2020-10-28,868786.0
2020-10-29,861746.0
2020-10-30,647331.0
2020-10-31,643064.0
2020-11-01,746311.0
2020-11-02,569168.0
2020-11-03,570721.0
2020-11-04,596193.0
2020-11-05,663979.0
2020-11-06,682754.0
2020-11-07,692456.0
2020-11-08,684634.0
2020-11-09,737598.0
2020-11-10,785522.0
2020-11-11,738875.0
2020-11-12,735408.0
2020-11-13,683562.0
2020-11-14,667915.0
2020-11-15,718452.0
2020-11-16,688308.0
2020-11-17,575019.0
2020-11-18,569884.0
2020-11-19,578165.0
2020-11-20,599317.0
2020-11-21,587591.0
2020-11-22,599002.0
2020-11-23,609320.0
2020-11-24,599617.0
2020-11-25,642626.0
2020-11-26,651099.0
2020-11-27,625298.0
2020-11-28,616138.0
2020-11-29,628160.0
2020-11-30,604545.0
2020-12-01,666264.0
2020-12-02,806275.0
2020-12-03,688932.0
2020-12-04,583640.0
2020-12-05,575329.0
2020-12-06,589965.0
2020-12-07,623598.0
2020-12-08,758944.0
2020-12-09,794555.0
2020-12-10,694513.0
2020-12-11,650433.0
2020-12-12,586890.0
2020-12-13,582185.0
2020-12-14,609627.0
2020-12-15,593325.0
2020-12-16,606730.0
2020-12-17,628263.0
2020-12-18,770124.0
2020-12-19,675086.0
2020-12-20,604493.0
2020-12-21,599564.0
2020-12-22,651548.0
2020-12-23,661064.0
2020-12-24,612566.0
2020-12-25,752050.0
2020-12-26,942143.0
2020-12-27,829688.0
2020-12-28,659083.0
2020-12-29,614038.0
2020-12-30,593559.0
2020-12-31,609062.0
2021-01-01,618461.0
2021-01-02,609467.0
2021-01-03,561272.0
2021-01-04,637909.0
2021-01-05,681302.0
2021-01-06,689885.0
2021-01-07,634832.0
2021-01-08,607924.0
2021-01-09,736201.0
2021-01-10,795958.0
2021-01-11,664702.0
2021-01-12,621123.0
2021-01-13,720061.0
2021-01-14,715886.0
2021-01-15,706080.0
2021-01-16,678995.0
2021-01-17,728717.0
2021-01-18,716324.0
2021-01-19,761875.0
2021-01-20,692911.0
2021-01-21,634256.0
2021-01-22,582843.0
2021-01-23,558944.0
2021-01-24,569644.0
2021-01-25,601429.0
2021-01-26,597933.0
2021-01-27,609860.0
2021-01-28,599192.0
2021-01-29,706514.0
2021-01-30,643197.0
2021-01-31,577170.0
2021-02-01,675231.0
2021-02-02,846718.0
2021-02-03,858570.0
2021-02-04,846385.0
2021-02-05,660797.0
2021-02-06,579145.0
2021-02-07,585863.0
2021-02-08,600289.0
2021-02-09,637706.0
2021-02-10,647820.0
2021-02-11,641822.0
2021-02-12,645732.0
2021-02-13,605904.0
2021-02-14,617093.0
2021-02-15,677863.0
2021-02-16,600517.0
2021-02-17,604682.0
2021-02-18,674309.0
2021-02-19,627784.0
2021-02-20,605764.0
2021-02-21,599730.0
2021-02-22,604922.0
2021-02-23,590924.0
2021-02-24,609865.0
2021-02-25,606508.0
2021-02-26,624718.0
2021-02-27,665824.0
2021-02-28,697138.0
2021-03-01,736201.0
2021-03-02,680230.0
2021-03-03,613360.0
2021-03-04,579754.0
2021-03-05,583432.0
2021-03-06,563742.0
2021-03-07,574438.0
2021-03-08,627986.0
2021-03-09,603140.0
2021-03-10,583757.0
2021-03-11,600804.0
2021-03-12,611631.0
2021-03-13,599941.0
2021-03-14,599655.0
2021-03-15,657969.0
2021-03-16,686499.0
2021-03-17,716069.0
2021-03-18,691651.0
2021-03-19,577881.0
2021-03-20,553936.0
2021-03-21,592470.0
2021-03-22,592636.0
2021-03-23,604068.0
2021-03-24,627167.0
2021-03-25,725422.0
2021-03-26,783912.0
2021-03-27,783164.0
2021-03-28,751551.0
2021-03-29,738236.0
2021-03-30,753292.0
2021-03-31,811178.0
2021-04-01,619431.0
2021-04-02,585387.0
2021-04-03,587984.0
2021-04-04,566776.0
2021-04-05,602294.0
2021-04-06,622024.0
2021-04-07,650605.0
2021-04-08,663773.0
2021-04-09,691183.0
2021-04-10,686288.0
2021-04-11,566013.0
2021-04-12,657680.0
2021-04-13,692292.0
2021-04-14,721057.0
2021-04-15,695157.0
2021-04-16,707029.0
2021-04-17,715944.0
2021-04-18,703087.0
2021-04-19,641402.0
2021-04-20,628941.0
2021-04-21,688491.0
2021-04-22,620630.0
2021-04-23,647626.0
2021-04-24,734350.0
2021-04-25,733146.0
2021-04-26,707918.0
2021-04-27,721995.0
2021-04-28,741598.0
2021-04-29,803776.0
2021-04-30,801289.0
2021-05-01,784498.0
2021-05-02,813865.0
2021-05-03,887232.0
2021-05-04,926234.0
2021-05-05,923476.0
2021-05-06,862420.0
2021-05-07,726985.0
2021-05-08,661694.0
2021-05-09,776685.0
2021-05-10,865918.0
2021-05-11,842943.0
2021-05-12,857519.0
2021-05-13,693672.0
2021-05-14,694507.0
2021-05-15,665690.0
2021-05-16,675436.0
2021-05-17,730073.0
2021-05-18,721040.0
2021-05-19,771560.0
2021-05-20,761066.0
2021-05-21,747792.0
2021-05-22,728905.0
2021-05-23,742819.0
2021-05-24,812391.0
2021-05-25,833794.0
2021-05-26,854704.0
2021-05-27,876453.0
2021-05-28,883413.0
2021-05-29,841332.0
2021-05-30,808377.0
2021-05-31,834027.0
2021-06-01,853093.0
2021-06-02,851454.0
2021-06-03,855677.0
2021-06-04,830676.0
2021-06-05,850489.0
2021-06-06,909059.0
2021-06-07,912397.0
2021-06-08,957124.0
2021-06-09,945023.0
2021-06-10,962173.0
2021-06-11,975332.0
2021-06-12,927269.0
2021-06-13,863867.0
2021-06-14,847545.0
2021-06-15,831730.0
2021-06-16,816849.0
2021-06-17,838075.0
2021-06-18,851376.0
2021-06-19,901830.0
2021-06-20,893200.0
2021-06-21,899069.0
2021-06-22,850244.0
2021-06-23,845154.0
2021-06-24,821743.0
2021-06-25,774246.0
2021-06-26,802714.0
2021-06-27,870421.0
2021-06-28,909425.0
2021-06-29,835290.0
2021-06-30,782532.0
2021-07-01,815931.0
2021-07-02,831259.0
2021-07-03,733937.0
2021-07-04,813347.0
2021-07-05,878536.0
2021-07-06,813393.0
2021-07-07,817525.0
2021-07-08,840535.0
2021-07-09,898350.0
2021-07-10,886359.0
2021-07-11,842015.0
2021-07-12,816528.0
2021-07-13,875621.0
2021-07-14,845759.0
2021-07-15,909342.0
2021-07-16,948847.0
2021-07-17,934630.0
2021-07-18,912509.0
2021-07-19,905946.0
2021-07-20,935968.0
2021-07-21,975167.0
2021-07-22,1000974.0
2021-07-23,939427.0
2021-07-24,928907.0
2021-07-25,940561.0
2021-07-26,994765.0
2021-07-27,958142.0
2021-07-28,889149.0
2021-07-29,860081.0
2021-07-30,951021.0
2021-07-31,995844.0
2021-08-01,959121.0
2021-08-02,939317.0
2021-08-03,838890.0
2021-08-04,805482.0
2021-08-05,826790.0
2021-08-06,931574.0
2021-08-07,913289.0
2021-08-08,927011.0
2021-08-09,951046.0
2021-08-10,945016.0
2021-08-11,949186.0
2021-08-12,918432.0
2021-08-13,874107.0
2021-08-14,823619.0
2021-08-15,818643.0
2021-08-16,879499.0
2021-08-17,981128.0
2021-08-18,1012294.0
2021-08-19,1015831.0
2021-08-20,995987.0
2021-08-21,972108.0
2021-08-22,956039.0
2021-08-23,950545.0
2021-08-24,921391.0
2021-08-25,932997.0
2021-08-26,874118.0
2021-08-27,867477.0
2021-08-28,904366.0
2021-08-29,948885.0
2021-08-30,979084.0
2021-08-31,972715.0
2021-09-01,800279.0
2021-09-02,889444.0
2021-09-03,896823.0
2021-09-04,873777.0
2021-09-05,881534.0
2021-09-06,908331.0
2021-09-07,903179.0
2021-09-08,904885.0
2021-09-09,827571.0
2021-09-10,853360.0
2021-09-11,793910.0
2021-09-12,854164.0
2021-09-13,911024.0
2021-09-14,854566.0
2021-09-15,869323.0
2021-09-16,841437.0
2021-09-17,827857.0
2021-09-18,814993.0
2021-09-19,832267.0
2021-09-20,835311.0
2021-09-21,865378.0
2021-09-22,879541.0
2021-09-23,847759.0
2021-09-24,837053.0
2021-09-25,833085.0
2021-09-26,817760.0
2021-09-27,808148.0
2021-09-28,787368.0
2021-09-29,796946.0
2021-09-30,827987.0
2021-10-01,835813.0
2021-10-02,840925.0
2021-10-03,788283.0
2021-10-04,829309.0
2021-10-05,828659.0
2021-10-06,858530.0
2021-10-07,904258.0
2021-10-08,840267.0
2021-10-09,786893.0
2021-10-10,782816.0
2021-10-11,795807.0
2021-10-12,832275.0
2021-10-13,850260.0
2021-10-14,858416.0
2021-10-15,834675.0
2021-10-16,804328.0
2021-10-17,702545.0
2021-10-18,659559.0
2021-10-19,682710.0
2021-10-20,699095.0
2021-10-21,736445.0
