period,value
2020-01-01,1310408.0
2020-01-02,1470235.0
2020-01-03,1615785.0
2020-01-04,1439301.0
2020-01-05,1286699.0
2020-01-06,1403062.0
2020-01-07,1383413.0
2020-01-08,1361401.0
2020-01-09,1418064.0
2020-01-10,1433408.0
2020-01-11,1426803.0
2020-01-12,1530667.0
2020-01-13,1563802.0
2020-01-14,1583404.0
2020-01-15,1532016.0
2020-01-16,1523333.0
2020-01-17,1430632.0
2020-01-18,1369856.0
2020-01-19,1408290.0
2020-01-20,1451953.0
2020-01-21,1534936.0
2020-01-22,1769192.0
2020-01-23,1418726.0
2020-01-24,1355574.0
2020-01-25,1321088.0
2020-01-26,1331716.0
2020-01-27,1348373.0
2020-01-28,1377263.0
2020-01-29,1433222.0
2020-01-30,1395771.0
2020-01-31,1387724.0
2020-02-01,1325139.0
2020-02-02,1329431.0
2020-02-03,1403847.0
2020-02-04,1387913.0
2020-02-05,1426936.0
2020-02-06,1605446.0
2020-02-07,1379837.0
2020-02-08,1334470.0
2020-02-09,1356456.0
2020-02-10,1518686.0
2020-02-11,1626427.0
2020-02-12,1669805.0
2020-02-13,1721263.0
2020-02-14,1583499.0
2020-02-15,1358381.0
2020-02-16,1445031.0
2020-02-17,1608920.0
2020-02-18,1686757.0
2020-02-19,1727475.0
2020-02-20,1710606.0
2020-02-21,1467996.0
2020-02-22,1357070.0
2020-02-23,1337982.0
2020-02-24,1421994.0
2020-02-25,1564217.0
2020-02-26,1623884.0
2020-02-27,1350196.0
2020-02-28,1393226.0
2020-02-29,1343084.0
2020-03-01,1342104.0
2020-03-02,1372884.0
2020-03-03,1495360.0
2020-03-04,1656800.0
2020-03-05,1813358.0
2020-03-06,1550352.0
2020-03-07,1288722.0
2020-03-08,1239290.0
2020-03-09,1376026.0
2020-03-10,1450483.0
2020-03-11,1507688.0
2020-03-12,1553884.0
2020-03-13,1537114.0
2020-03-14,1483097.0
2020-03-15,1656148.0
2020-03-17,1706129.0
2020-03-18,1693632.0
2020-03-19,1703258.0
2020-03-20,1704932.0
2020-03-21,1651054.0
2020-03-22,1638831.0
2020-03-23,1685530.0
2020-03-24,1702939.0
2020-03-25,1755277.0
2020-03-26,1773729.0
2020-03-27,1765288.0
2020-03-28,1684941.0
2020-03-29,1744331.0
2020-03-30,1828528.0
2020-03-31,1828244.0
2020-04-01,1593172.0
2020-04-02,1466943.0
2020-04-03,1504418.0
2020-04-04,1573558.0
2020-04-05,1474756.0
2020-04-06,1587780.0
2020-04-07,1718351.0
2020-04-08,1826407.0
2020-04-09,1903235.0
2020-04-10,1844573.0
2020-04-11,1658324.0
2020-04-12,1869490.0
2020-04-13,2038304.0
2020-04-14,2014860.0
2020-04-15,2017514.0
2020-04-16,1722152.0
2020-04-17,1769136.0
2020-04-18,1751844.0
2020-04-19,1870132.0
2020-04-20,1959699.0
2020-04-21,1860551.0
2020-04-22,1743223.0
2020-04-23,1910687.0
2020-04-24,1848908.0
2020-04-25,1773495.0
2020-04-26,1590204.0
2020-04-27,1517942.0
2020-04-28,1545169.0
2020-04-29,1725917.0
2020-04-30,1566974.0
2020-05-01,1471540.0
2020-05-02,1521616.0
2020-05-04,1756359.0
2020-05-05,1842392.0
2020-05-06,1846226.0
2020-05-07,1600755.0
2020-05-08,1577503.0
2020-05-09,1662639.0
2020-05-10,1424241.0
2020-05-11,1646707.0
2020-05-12,1679593.0
2020-05-13,1691711.0
2020-05-14,1642311.0
2020-05-15,1622410.0
2020-05-16,1739976.0
2020-05-17,1823522.0
2020-05-18,1692228.0
2020-05-19,1820833.0
2020-05-20,1910771.0
2020-05-21,1947846.0
2020-05-22,1957890.0
2020-05-23,1892849.0
2020-05-24,1625679.0
2020-05-25,1581063.0
2020-05-26,1779732.0
2020-05-27,1898651.0
2020-05-28,2005144.0
2020-05-29,2030117.0
2020-05-30,2014126.0
2020-05-31,2033374.0
2020-06-01,2083509.0
2020-06-02,1950346.0
2020-06-03,1734234.0
2020-06-04,1667809.0
2020-06-05,1831371.0
2020-06-06,1839968.0
2020-06-07,1982703.0
2020-06-08,2107143.0
2020-06-09,2167022.0
2020-06-10,2182549.0
2020-06-11,2062068.0
2020-06-12,2030565.0
2020-06-13,1944698.0
2020-06-14,1897541.0
2020-06-15,1936336.0
2020-06-16,1923358.0
2020-06-17,1910742.0
2020-06-18,1876998.0
2020-06-19,1835423.0
2020-06-20,1997472.0
2020-06-21,2025255.0
2020-06-22,2193548.0
2020-06-23,2250287.0
2020-06-24,2314837.0
2020-06-25,2345260.0
2020-06-26,2323714.0
2020-06-27,2252660.0
2020-06-28,2231732.0
2020-06-29,2293132.0
2020-06-30,2297221.0
2020-07-01,2237635.0
2020-07-02,2213968.0
2020-07-03,2196284.0
2020-07-04,2116030.0
2020-07-05,1976093.0
2020-07-06,1953624.0
2020-07-07,2117713.0
2020-07-08,2192472.0
2020-07-09,2312070.0
2020-07-10,2251835.0
2020-07-11,2030211.0
2020-07-12,1992209.0
2020-07-13,2210612.0
2020-07-14,2234643.0
2020-07-15,2145383.0
2020-07-16,2161113.0
2020-07-17,2037626.0
2020-07-18,1880770.0
2020-07-19,2084401.0
2020-07-20,2144937.0
2020-07-21,1996596.0
2020-07-22,1871489.0
2020-07-23,1849888.0
2020-07-24,2048872.0
2020-07-25,2029158.0
2020-07-26,2027067.0
2020-07-27,2094281.0
2020-07-28,2068271.0
2020-07-29,2134771.0
2020-07-30,2237248.0
2020-07-31,2310805.0
2020-08-01,2094211.0
2020-08-02,1960076.0
2020-08-03,2128948.0
2020-08-04,2170259.0
2020-08-05,2062247.0
2020-08-06,2117845.0
2020-08-07,2166551.0
2020-08-08,2181775.0
2020-08-09,2164898.0
2020-08-10,2254913.0
2020-08-11,2163691.0
2020-08-12,2135979.0
2020-08-13,2225357.0
2020-08-14,2243808.0
2020-08-15,2062502.0
2020-08-16,2120853.0
2020-08-17,2152268.0
2020-08-18,2158244.0
2020-08-19,1970008.0
2020-08-20,2007874.0
2020-08-21,2110896.0
2020-08-22,2065976.0
2020-08-23,2215992.0
2020-08-24,2330520.0
2020-08-25,2369402.0
2020-08-26,2302029.0
2020-08-27,2321961.0
2020-08-28,2329644.0
2020-08-29,2239496.0
2020-08-30,2097679.0
2020-08-31,2047275.0
2020-09-01,2199705.0
2020-09-02,2306649.0
2020-09-03,2353829.0
2020-09-04,2345795.0
2020-09-05,2184178.0
2020-09-06,1954028.0
2020-09-07,1901578.0
2020-09-08,1995247.0
2020-09-09,1907362.0
2020-09-10,1969953.0
2020-09-11,2074432.0
2020-09-12,1822441.0
2020-09-13,1796056.0
2020-09-14,2016697.0
2020-09-15,2093338.0
2020-09-16,2155074.0
2020-09-17,2172977.0
2020-09-18,2156518.0
2020-09-19,2075687.0
2020-09-20,2032563.0
2020-09-21,1909599.0
2020-09-22,1878929.0
2020-09-23,1902654.0
2020-09-24,1927464.0
2020-09-25,2000568.0
2020-09-26,2007936.0
2020-09-27,1991286.0
2020-09-28,2036610.0
2020-09-29,2049195.0
2020-09-30,1815004.0
2020-10-01,1791223.0
2020-10-02,1547604.0
2020-10-03,1604558.0
2020-10-04,1762195.0
2020-10-05,1997596.0
2020-10-06,2094209.0
2020-10-07,2135968.0
2020-10-08,2105222.0
2020-10-09,2062857.0
2020-10-10,1985562.0
2020-10-11,1999700.0
2020-10-12,2013167.0
2020-10-13,1936255.0
2020-10-14,1958325.0
2020-10-15,2004158.0
2020-10-16,1876128.0
2020-10-17,1835211.0
2020-10-18,1898008.0
2020-10-19,1790627.0
2020-10-20,1790055.0
2020-10-21,1688838.0
2020-10-22,1788001.0
2020-10-23,1846907.0
2020-10-24,1800492.0
2020-10-25,1772975.0
2020-10-26,1951624.0
2020-10-27,2055383.0
2020-10-28,2061748.0
2020-10-29,2077536.0
2020-10-30,1859803.0
2020-10-31,1751712.0
2020-11-01,1916719.0
2020-11-02,1594196.0
2020-11-03,1523592.0
2020-11-04,1602306.0
2020-11-05,1735728.0
2020-11-06,1767966.0
2020-11-07,1677893.0
2020-11-08,1607742.0
2020-11-09,1804242.0
2020-11-10,1877753.0
2020-11-11,1861533.0
2020-11-12,1809264.0
2020-11-13,1769426.0
2020-11-14,1629867.0
2020-11-15,1745775.0
2020-11-16,1761991.0
2020-11-17,1573017.0
2020-11-18,1455775.0
2020-11-19,1462555.0
2020-11-20,1502195.0
2020-11-21,1503592.0
2020-11-22,1502305.0
2020-11-23,1513673.0
2020-11-24,1507980.0
2020-11-25,1554697.0
2020-11-26,1586951.0
2020-11-27,1503822.0
2020-11-28,1474296.0
2020-11-29,1511451.0
2020-11-30,1511726.0
2020-12-01,1326549.0
2020-12-02,1461139.0
2020-12-03,1405129.0
2020-12-04,1379730.0
2020-12-05,1438746.0
2020-12-06,1444983.0
2020-12-07,1438476.0
2020-12-08,1450281.0
2020-12-09,1523595.0
2020-12-10,1456078.0
2020-12-11,1376219.0
2020-12-12,1377955.0
2020-12-13,1430911.0
2020-12-14,1528780.0
2020-12-15,1530370.0
2020-12-16,1574822.0
2020-12-17,1557172.0
2020-12-18,1439273.0
2020-12-19,1408952.0
2020-12-20,1433267.0
2020-12-21,1438210.0
2020-12-22,1411578.0
2020-12-23,1470412.0
2020-12-24,1541518.0
2020-12-25,1421123.0
2020-12-26,1635037.0
2020-12-27,1508406.0
2020-12-28,1395500.0
2020-12-29,1386627.0
2020-12-30,1411493.0
2020-12-31,1543990.0
2021-01-01,1539787.0
2021-01-02,1508312.0
2021-01-03,1438722.0
2021-01-04,1410344.0
2021-01-05,1407764.0
2021-01-06,1412674.0
2021-01-07,1403098.0
2021-01-08,1352083.0
2021-01-09,1414127.0
2021-01-10,1490060.0
2021-01-11,1416481.0
2021-01-12,1387688.0
2021-01-13,1457974.0
2021-01-14,1432549.0
2021-01-15,1447852.0
2021-01-16,1375698.0
2021-01-17,1435019.0
2021-01-18,1433483.0
2021-01-19,1491436.0
2021-01-20,1435209.0
2021-01-21,1396742.0
2021-01-22,1314068.0
2021-01-23,1332327.0
2021-01-24,1373932.0
2021-01-25,1456663.0
2021-01-26,1507562.0
2021-01-27,1536108.0
2021-01-28,1389894.0
2021-01-29,1406526.0
2021-01-30,1332648.0
2021-01-31,1343029.0
2021-02-01,1393398.0
2021-02-02,1593213.0
2021-02-03,1684912.0
2021-02-04,1658369.0
2021-02-05,1455634.0
2021-02-06,1409902.0
2021-02-07,1490879.0
2021-02-08,1540878.0
2021-02-09,1560365.0
2021-02-10,1562464.0
2021-02-11,1567478.0
2021-02-12,1590532.0
2021-02-13,1598718.0
2021-02-14,1636116.0
2021-02-15,1745822.0
2021-02-16,1609227.0
2021-02-17,1636477.0
2021-02-18,1754050.0
2021-02-19,1684850.0
2021-02-20,1374154.0
2021-02-21,1362381.0
2021-02-22,1545065.0
2021-02-23,1549340.0
2021-02-24,1526477.0
2021-02-25,1544606.0
2021-02-26,1632704.0
2021-02-27,1677307.0
2021-02-28,1702572.0
2021-03-01,1790873.0
2021-03-02,1738580.0
2021-03-03,1620244.0
2021-03-04,1413533.0
2021-03-05,1423474.0
2021-03-06,1351798.0
2021-03-07,1330112.0
2021-03-08,1367175.0
2021-03-09,1364353.0
2021-03-10,1389432.0
2021-03-11,1453524.0
2021-03-12,1469023.0
2021-03-13,1450200.0
2021-03-14,1433172.0
2021-03-15,1607248.0
2021-03-16,1631880.0
2021-03-17,1697361.0
2021-03-18,1766117.0
2021-03-19,1599193.0
2021-03-20,1376054.0
2021-03-21,1340213.0
2021-03-22,1378249.0
2021-03-23,1425984.0
2021-03-24,1558876.0
2021-03-25,1784174.0
2021-03-26,1842632.0
2021-03-27,1785377.0
2021-03-28,1808958.0
2021-03-29,1823972.0
2021-03-30,1856445.0
2021-03-31,1887887.0
2021-04-01,1684537.0
2021-04-02,1361671.0
2021-04-03,1307817.0
2021-04-04,1313263.0
2021-04-05,1412267.0
2021-04-06,1448703.0
2021-04-07,1486471.0
2021-04-08,1550040.0
2021-04-09,1607270.0
2021-04-10,1635015.0
2021-04-11,1540703.0
2021-04-12,1593734.0
2021-04-13,1675948.0
2021-04-14,1699185.0
2021-04-15,1681820.0
2021-04-16,1749401.0
2021-04-17,1782863.0
2021-04-18,1847840.0
2021-04-19,1847451.0
2021-04-20,1693593.0
2021-04-21,1693099.0
2021-04-22,1656141.0
2021-04-23,1631478.0
2021-04-24,1787048.0
2021-04-25,1910479.0
2021-04-26,1823785.0
2021-04-27,1770475.0
2021-04-28,1812529.0
2021-04-29,1980917.0
2021-04-30,1980283.0
2021-05-01,1904252.0
2021-05-02,1951847.0
2021-05-03,2101191.0
2021-05-04,2155035.0
2021-05-05,2168831.0
2021-05-06,2067743.0
2021-05-07,1874988.0
2021-05-08,1702944.0
2021-05-09,1804771.0
2021-05-10,2024276.0
2021-05-11,2084999.0
2021-05-12,2094758.0
2021-05-13,1875047.0
2021-05-14,1771982.0
2021-05-15,1783435.0
2021-05-16,1679620.0
2021-05-17,1791237.0
2021-05-18,1841780.0
2021-05-19,1849748.0
2021-05-20,1814444.0
2021-05-21,1755450.0
2021-05-22,1695500.0
2021-05-23,1700306.0
2021-05-24,1823198.0
2021-05-25,1889152.0
2021-05-26,1931333.0
2021-05-27,1948154.0
2021-05-28,1956485.0
2021-05-29,1943404.0
2021-05-30,1872067.0
2021-05-31,1891403.0
2021-06-01,1882344.0
2021-06-02,1904535.0
2021-06-03,1896936.0
2021-06-04,1955675.0
2021-06-05,1970323.0
2021-06-06,2055427.0
2021-06-07,2089745.0
2021-06-08,2005100.0
2021-06-09,2119704.0
2021-06-10,2151686.0
2021-06-11,2161763.0
2021-06-12,2048366.0
2021-06-13,2003272.0
2021-06-14,1842614.0
2021-06-15,1848142.0
2021-06-16,1749273.0
2021-06-17,1831730.0
2021-06-18,1978721.0
2021-06-19,2091969.0
2021-06-20,2078119.0
2021-06-21,2144758.0
2021-06-22,2151896.0
2021-06-23,1961586.0
2021-06-24,1839693.0
2021-06-25,1830400.0
2021-06-26,1919617.0
2021-06-27,2009645.0
2021-06-28,1948650.0
2021-06-29,1876050.0
2021-06-30,1775804.0
2021-07-01,1855685.0
2021-07-02,1994811.0
2021-07-03,2047474.0
2021-07-04,2098776.0
2021-07-05,2034250.0
2021-07-06,1866900.0
2021-07-07,1968989.0
2021-07-08,2035588.0
2021-07-09,2094390.0
2021-07-10,1928301.0
2021-07-11,1973955.0
2021-07-12,1913687.0
2021-07-13,1914696.0
2021-07-14,1985313.0
2021-07-15,2102961.0
2021-07-16,2129594.0
2021-07-17,2011216.0
2021-07-18,2069317.0
2021-07-19,2179035.0
2021-07-20,2056391.0
2021-07-21,2198717.0
2021-07-22,2307600.0
2021-07-23,2216505.0
2021-07-24,2111449.0
2021-07-25,2073508.0
2021-07-26,2136465.0
2021-07-27,2143313.0
2021-07-28,2049778.0
2021-07-29,2082590.0
2021-07-30,2360409.0
2021-07-31,2278807.0
2021-08-01,2233030.0
2021-08-02,2162217.0
2021-08-03,1904424.0
2021-08-04,1821789.0
2021-08-05,2046497.0
2021-08-06,2188986.0
2021-08-07,2088805.0
2021-08-08,2093503.0
2021-08-09,2232778.0
2021-08-10,2230912.0
2021-08-11,2220116.0
2021-08-12,2211024.0
2021-08-13,2097039.0
2021-08-14,1936451.0
2021-08-15,1899093.0
2021-08-16,2182046.0
2021-08-17,2285669.0
2021-08-18,2334336.0
2021-08-19,2303788.0
2021-08-20,2258305.0
2021-08-21,2252552.0
2021-08-22,2242678.0
2021-08-23,2246960.0
2021-08-24,2231114.0
2021-08-25,2158664.0
2021-08-26,2105974.0
2021-08-27,2141851.0
2021-08-28,2152136.0
2021-08-29,2175023.0
2021-08-30,2190084.0
2021-08-31,2136532.0
2021-09-01,2084031.0
2021-09-02,1917951.0
2021-09-03,1923670.0
2021-09-04,1908922.0
2021-09-05,1948305.0
2021-09-06,2055934.0
2021-09-07,2052201.0
2021-09-08,2056353.0
2021-09-09,2051679.0
2021-09-10,2070520.0
2021-09-11,2024257.0
2021-09-12,2086890.0
2021-09-13,2002027.0
2021-09-14,2039187.0
2021-09-15,2049766.0
2021-09-16,1919335.0
2021-09-17,1894821.0
2021-09-18,1928110.0
2021-09-19,1965561.0
2021-09-20,2014065.0
2021-09-21,1839078.0
2021-09-22,1853205.0
2021-09-23,1936929.0
2021-09-24,1917371.0
2021-09-25,1855277.0
2021-09-26,1899875.0
2021-09-27,1906661.0
2021-09-28,1879716.0
2021-09-29,1885162.0
2021-09-30,1949558.0
2021-10-01,1839119.0
2021-10-02,1805296.0
2021-10-03,1849803.0
2021-10-04,1927795.0
2021-10-05,2012409.0
2021-10-06,2093236.0
2021-10-07,2159646.0
2021-10-08,2042494.0
2021-10-09,1785732.0
2021-10-10,1800787.0
2021-10-11,1882020.0
2021-10-12,1943788.0
2021-10-13,1970790.0
2021-10-14,1989281.0
2021-10-15,1929206.0
2021-10-16,1889843.0
2021-10-17,1826404.0
2021-10-18,1755897.0
2021-10-19,1727721.0
2021-10-20,1792558.0
2021-10-21,1880726.0
2021-10-22,1778349.0
2021-10-23,1892874.0
2021-10-24,1789773.0
2021-10-25,1920477.0
2021-10-26,1977897.0
2021-10-27,1850476.0
2021-10-28,1886511.0
2021-10-29,1740774.0
2021-10-30,1585045.0
2021-10-31,1500855.0
2021-11-01,1531659.0
2021-11-02,1561847.0
2021-11-03,1647124.0
2021-11-04,1613765.0
2021-11-05,1508103.0
2021-11-06,1387418.0
2021-11-07,1343307.0
2021-11-08,1376889.0
2021-11-09,1410764.0
2021-11-10,1520269.0
2021-11-11,1622086.0
2021-11-12,1586750.0
2021-11-13,1581027.0
2021-11-14,1377812.0
2021-11-15,1386920.0
2021-11-16,1436944.0
2021-11-17,1563194.0
2021-11-18,1580147.0
2021-11-19,1560934.0
2021-11-20,1512732.0
2021-11-21,1555973.0
2021-11-22,1545425.0
2021-11-23,1354149.0
2021-11-24,1374130.0
2021-11-25,1381417.0
2021-11-26,1370169.0
2021-11-27,1334937.0
2021-11-28,1337980.0
2021-11-29,1366793.0
2021-11-30,1408780.0
2021-12-01,1421269.0
2021-12-02,1408127.0
2021-12-03,1381364.0
2021-12-04,1357147.0
2021-12-05,1455253.0
