period,value
2020-01-01,61530.0
2020-01-02,66188.0
2020-01-03,66491.0
2020-01-04,66390.0
2020-01-05,68751.0
2020-01-06,70403.0
2020-01-07,67723.0
2020-01-08,70489.0
2020-01-09,74193.0
2020-01-10,76710.0
2020-01-11,70676.0
2020-01-12,69885.0
2020-01-13,83151.0
2020-01-14,86937.0
2020-01-15,85983.0
2020-01-16,80301.0
2020-01-17,81337.0
2020-01-18,76200.0
2020-01-19,71163.0
2020-01-20,72517.0
2020-01-21,73969.0
2020-01-22,74404.0
2020-01-23,72583.0
2020-01-24,70136.0
2020-01-25,69510.0
2020-01-26,67546.0
2020-01-27,69593.0
2020-01-28,70067.0
2020-01-29,72717.0
2020-01-30,74462.0
2020-01-31,69357.0
2020-02-01,64638.0
2020-02-02,68775.0
2020-02-03,74048.0
2020-02-04,78995.0
2020-02-05,72478.0
2020-02-06,73169.0
2020-02-07,71147.0
2020-02-08,68671.0
2020-02-09,69345.0
2020-02-10,70863.0
2020-02-11,69161.0
2020-02-12,67852.0
2020-02-13,70473.0
2020-02-14,69156.0
2020-02-15,68830.0
2020-02-16,66593.0
2020-02-17,67815.0
2020-02-18,70529.0
2020-02-19,72180.0
2020-02-20,71972.0
2020-02-21,70351.0
2020-02-22,67036.0
2020-02-23,66384.0
2020-02-24,68754.0
2020-02-25,69752.0
2020-02-26,68336.0
2020-02-27,67042.0
2020-02-28,65213.0
2020-02-29,64738.0
2020-03-01,66120.0
2020-03-02,66441.0
2020-03-03,64260.0
2020-03-04,64925.0
2020-03-05,67076.0
2020-03-06,66070.0
2020-03-07,64181.0
2020-03-08,63032.0
2020-03-09,67268.0
2020-03-10,69187.0
2020-03-11,66139.0
2020-03-12,67669.0
2020-03-13,71190.0
2020-03-14,75089.0
2020-03-15,73509.0
2020-03-17,66754.0
2020-03-18,65484.0
2020-03-19,64699.0
2020-03-20,64127.0
2020-03-21,62207.0
2020-03-22,63056.0
2020-03-23,64705.0
2020-03-24,66708.0
2020-03-25,68620.0
2020-03-26,66930.0
2020-03-27,64190.0
2020-03-28,61349.0
2020-03-29,61048.0
2020-03-30,64825.0
2020-03-31,67330.0
2020-04-01,67760.0
2020-04-02,69996.0
2020-04-03,70843.0
2020-04-04,68502.0
2020-04-05,64084.0
2020-04-06,67667.0
2020-04-07,67898.0
2020-04-08,68780.0
2020-04-09,69469.0
2020-04-10,69982.0
2020-04-11,68161.0
2020-04-12,67626.0
2020-04-13,70161.0
2020-04-14,69429.0
2020-04-15,69530.0
2020-04-16,70481.0
2020-04-17,71104.0
2020-04-18,65714.0
2020-04-19,64091.0
2020-04-20,67622.0
2020-04-21,70321.0
2020-04-22,70487.0
2020-04-23,69233.0
2020-04-24,68515.0
2020-04-25,66078.0
2020-04-26,64440.0
2020-04-27,68477.0
2020-04-28,71304.0
2020-04-29,72901.0
2020-04-30,72720.0
2020-05-01,72853.0
2020-05-02,69704.0
2020-05-04,71260.0
2020-05-05,72907.0
2020-05-06,72500.0
2020-05-07,72359.0
2020-05-08,71778.0
2020-05-09,69244.0
2020-05-10,65650.0
2020-05-11,66567.0
2020-05-12,68786.0
2020-05-13,68661.0
2020-05-14,68730.0
2020-05-15,69572.0
2020-05-16,68660.0
2020-05-17,64424.0
2020-05-18,66496.0
2020-05-19,67118.0
2020-05-20,66824.0
2020-05-21,66761.0
2020-05-22,68257.0
2020-05-23,66329.0
2020-05-24,65428.0
