period,value
2020-01-01,22138.0
2020-01-02,22233.0
2020-01-03,23212.0
2020-01-04,21667.0
2020-01-05,23357.0
2020-01-06,26742.0
2020-01-07,25293.0
2020-01-08,26113.0
2020-01-09,25826.0
2020-01-10,22822.0
2020-01-11,23529.0
2020-01-12,24716.0
2020-01-13,26024.0
2020-01-14,24392.0
2020-01-15,24815.0
2020-01-16,23800.0
2020-01-17,21710.0
2020-01-18,21307.0
2020-01-19,21451.0
2020-01-20,26043.0
2020-01-21,32912.0
2020-01-22,32440.0
2020-01-23,24982.0
2020-01-24,22435.0
2020-01-25,21960.0
2020-01-26,24166.0
2020-01-27,23729.0
2020-01-28,24421.0
2020-01-29,27483.0
2020-01-30,25119.0
2020-01-31,23520.0
2020-02-01,23327.0
2020-02-02,24890.0
2020-02-03,25035.0
2020-02-04,23705.0
2020-02-05,23652.0
2020-02-07,22047.0
2020-02-08,24384.0
2020-02-09,22988.0
2020-02-10,23133.0
2020-02-11,24426.0
2020-02-12,24696.0
2020-02-13,25428.0
2020-02-14,22224.0
2020-02-15,21932.0
2020-02-16,21714.0
2020-02-17,22703.0
2020-02-18,24709.0
2020-02-19,24926.0
2020-02-20,23300.0
2020-02-21,27219.0
2020-02-22,27074.0
2020-02-23,23677.0
2020-02-24,22673.0
2020-02-25,22724.0
2020-02-26,22584.0
2020-02-27,24880.0
2020-02-28,27049.0
2020-02-29,23982.0
2020-03-01,23563.0
2020-03-02,22135.0
2020-03-03,22417.0
2020-03-04,24338.0
2020-03-05,25523.0
2020-03-06,20941.0
2020-03-07,21523.0
2020-03-08,22061.0
2020-03-09,22550.0
2020-03-10,23098.0
2020-03-11,23512.0
2020-03-12,24123.0
2020-03-13,24438.0
2020-03-14,24895.0
2020-03-15,25572.0
2020-03-17,26601.0
2020-03-18,27738.0
2020-03-19,27658.0
2020-03-20,27265.0
2020-03-21,25509.0
2020-03-22,25539.0
2020-03-23,27490.0
2020-03-24,25840.0
2020-03-25,27229.0
2020-03-26,28139.0
2020-03-27,27957.0
2020-03-28,27552.0
2020-03-29,28609.0
2020-03-30,28684.0
2020-03-31,25667.0
2020-04-01,20577.0
2020-04-02,20912.0
2020-04-03,21583.0
2020-04-04,22086.0
2020-04-05,20872.0
2020-04-06,23282.0
2020-04-07,25390.0
2020-04-08,27129.0
2020-04-09,30559.0
2020-04-10,23692.0
2020-04-11,21506.0
2020-04-12,28037.0
2020-04-13,29964.0
2020-04-14,26396.0
2020-04-15,23392.0
2020-04-16,20665.0
2020-04-17,22792.0
2020-04-18,23365.0
2020-04-19,27390.0
2020-04-20,28365.0
2020-04-21,25180.0
2020-04-22,24055.0
2020-04-23,27690.0
2020-04-24,23819.0
2020-04-25,26827.0
2020-04-26,25002.0
2020-04-27,21559.0
2020-04-28,23249.0
2020-04-29,25877.0
2020-04-30,24147.0
2020-05-01,22120.0
2020-05-02,23157.0
2020-05-04,27328.0
2020-05-05,27389.0
2020-05-06,26718.0
2020-05-07,21314.0
2020-05-08,21910.0
2020-05-09,23102.0
2020-05-10,20741.0
2020-05-11,24388.0
2020-05-12,23305.0
2020-05-13,25436.0
2020-05-14,26244.0
2020-05-15,27375.0
2020-05-16,26839.0
2020-05-17,29259.0
2020-05-18,28597.0
2020-05-19,29810.0
2020-05-20,29848.0
2020-05-21,32572.0
2020-05-22,33567.0
2020-05-23,32229.0
2020-05-24,30200.0
2020-05-25,27048.0
2020-05-26,27773.0
2020-05-27,30832.0
2020-05-28,30526.0
2020-05-29,29015.0
2020-05-30,30608.0
2020-05-31,33386.0
2020-06-01,32574.0
2020-06-02,31048.0
2020-06-03,28569.0
2020-06-04,27719.0
2020-06-05,28579.0
2020-06-06,25925.0
2020-06-07,26326.0
2020-06-08,32234.0
2020-06-09,31877.0
2020-06-10,32056.0
2020-06-11,30511.0
2020-06-12,31855.0
2020-06-13,28943.0
2020-06-14,29614.0
2020-06-15,30716.0
2020-06-16,29532.0
2020-06-17,28769.0
2020-06-18,32166.0
2020-06-19,31899.0
2020-06-20,32221.0
2020-06-21,33233.0
2020-06-22,34950.0
2020-06-23,35631.0
2020-06-24,37931.0
2020-06-25,37655.0
2020-06-26,38324.0
2020-06-27,32963.0
2020-06-28,36053.0
2020-06-29,37183.0
2020-06-30,34449.0
2020-07-01,31510.0
2020-07-02,32998.0
2020-07-03,32189.0
2020-07-04,28286.0
2020-07-05,29779.0
