period,value
2020-01-01,6006.0
2020-01-02,6647.0
2020-01-03,7274.0
2020-01-04,7429.0
2020-01-05,5548.0
2020-01-06,5408.0
2020-01-07,5755.0
2020-01-08,5679.0
2020-01-09,6345.0
2020-01-10,6759.0
2020-01-11,7335.0
2020-01-12,7464.0
2020-01-13,7389.0
2020-01-14,7247.0
2020-01-15,6694.0
2020-01-16,6599.0
2020-01-17,6053.0
2020-01-18,6212.0
2020-01-19,6580.0
2020-01-20,6221.0
2020-01-21,5271.0
2020-01-22,5609.0
2020-01-23,5491.0
2020-01-24,5902.0
2020-01-25,6114.0
2020-01-26,5455.0
2020-01-27,5456.0
2020-01-28,5985.0
2020-01-29,6098.0
2020-01-30,6205.0
2020-01-31,6015.0
2020-02-01,5764.0
2020-02-02,5275.0
2020-02-03,5486.0
2020-02-04,5852.0
2020-02-05,6473.0
2020-02-06,7442.0
2020-02-07,6102.0
2020-02-08,5452.0
2020-02-09,6312.0
2020-02-10,6813.0
2020-02-11,7342.0
2020-02-12,7484.0
2020-02-13,7704.0
2020-02-14,7319.0
2020-02-15,6754.0
2020-02-16,7044.0
2020-02-17,7398.0
2020-02-18,7513.0
2020-02-19,7742.0
2020-02-20,7548.0
2020-02-21,6435.0
2020-02-22,5586.0
2020-02-23,5962.0
2020-02-24,6269.0
2020-02-25,7251.0
2020-02-26,7766.0
2020-02-27,5628.0
2020-02-28,5123.0
2020-02-29,5199.0
2020-03-01,5439.0
2020-03-02,5919.0
2020-03-03,6668.0
2020-03-04,7526.0
2020-03-05,8695.0
2020-03-06,7559.0
2020-03-07,5755.0
2020-03-08,5535.0
2020-03-09,6232.0
2020-03-10,6636.0
2020-03-11,6805.0
2020-03-12,6985.0
2020-03-13,7276.0
2020-03-14,7836.0
2020-03-15,7868.0
2020-03-17,7737.0
2020-03-18,7618.0
2020-03-19,7836.0
2020-03-20,7875.0
2020-03-21,7852.0
2020-03-22,7575.0
2020-03-23,7523.0
2020-03-24,7498.0
2020-03-25,7835.0
2020-03-26,7650.0
2020-03-27,7962.0
2020-03-28,7593.0
2020-03-29,8117.0
2020-03-30,8330.0
2020-03-31,8362.0
2020-04-01,7761.0
2020-04-02,7113.0
2020-04-03,7219.0
2020-04-04,7413.0
2020-04-05,7561.0
2020-04-06,7950.0
2020-04-07,8508.0
2020-04-08,8704.0
