period,value
2020-01-01,34244.0
2020-01-02,38687.0
2020-01-03,41566.0
2020-01-04,37614.0
2020-01-05,37108.0
2020-01-06,36432.0
2020-01-07,36666.0
2020-01-08,37190.0
2020-01-09,36682.0
2020-01-10,36746.0
2020-01-11,34972.0
2020-01-12,33868.0
2020-01-13,36865.0
2020-01-14,37501.0
2020-01-15,38068.0
2020-01-16,37944.0
2020-01-17,36459.0
2020-01-18,34700.0
2020-01-19,33376.0
2020-01-20,36076.0
2020-01-21,35503.0
2020-01-22,36165.0
2020-01-23,36312.0
2020-01-24,36160.0
2020-01-25,33748.0
2020-01-26,32068.0
2020-01-27,35128.0
2020-01-28,35983.0
2020-01-29,35999.0
2020-01-30,36418.0
2020-01-31,36182.0
2020-02-01,33533.0
2020-02-02,31083.0
2020-02-03,34933.0
2020-02-04,36755.0
2020-02-05,37868.0
2020-02-06,36938.0
2020-02-07,36117.0
2020-02-08,32837.0
2020-02-09,31001.0
2020-02-10,35694.0
2020-02-11,35024.0
2020-02-12,36008.0
2020-02-13,36125.0
2020-02-14,35401.0
2020-02-15,32544.0
2020-02-16,30780.0
2020-02-17,34506.0
2020-02-18,35469.0
2020-02-19,35731.0
2020-02-20,35717.0
2020-02-21,35742.0
2020-02-22,32802.0
2020-02-23,32173.0
2020-02-24,36187.0
2020-02-25,37039.0
2020-02-26,36083.0
2020-02-27,36435.0
2020-02-28,37027.0
2020-02-29,33312.0
2020-03-01,31015.0
2020-03-02,34748.0
2020-03-03,36398.0
2020-03-04,36543.0
2020-03-05,37231.0
2020-03-06,38195.0
2020-03-07,34271.0
2020-03-08,30712.0
2020-03-09,35548.0
2020-03-10,35555.0
2020-03-11,35559.0
2020-03-12,35788.0
2020-03-13,33972.0
2020-03-14,32707.0
2020-03-15,31318.0
2020-03-17,35341.0
2020-03-18,34890.0
2020-03-19,34888.0
2020-03-20,33571.0
2020-03-21,32391.0
2020-03-22,31552.0
2020-03-23,34888.0
2020-03-24,35747.0
2020-03-25,35320.0
2020-03-26,33944.0
2020-03-27,34036.0
2020-03-28,32524.0
2020-03-29,31239.0
2020-03-30,35359.0
2020-03-31,35940.0
2020-04-01,35650.0
2020-04-02,35896.0
2020-04-03,35341.0
2020-04-04,33627.0
2020-04-05,31376.0
2020-04-06,33369.0
2020-04-07,33522.0
2020-04-08,30966.0
2020-04-09,31449.0
2020-04-10,31499.0
2020-04-11,29364.0
2020-04-12,28662.0
2020-04-13,32003.0
2020-04-14,33906.0
2020-04-15,35126.0
2020-04-16,37209.0
2020-04-17,35716.0
2020-04-18,31676.0
2020-04-19,31645.0
2020-04-20,35442.0
2020-04-21,37084.0
2020-04-22,44307.0
2020-04-23,50800.0
2020-04-24,54872.0
2020-04-25,53807.0
2020-04-26,54760.0
2020-04-27,57794.0
2020-04-28,58496.0
2020-04-29,60070.0
2020-04-30,57278.0
2020-05-01,2720.0
2020-05-02,50729.0
2020-05-04,56283.0
2020-05-05,62777.0
2020-05-06,66997.0
2020-05-07,67367.0
2020-05-08,63941.0
2020-05-09,59024.0
2020-05-10,58797.0
2020-05-11,55502.0
2020-05-12,49205.0
2020-05-13,47140.0
2020-05-14,49648.0
2020-05-15,52664.0
2020-05-16,54841.0
2020-05-17,54088.0
2020-05-18,51699.0
2020-05-19,42214.0
2020-05-20,44214.0
2020-05-21,51099.0
2020-05-22,54055.0
2020-05-23,49001.0
2020-05-24,51663.0
2020-05-25,59433.0
2020-05-26,68320.0
2020-05-27,71424.0
2020-05-28,71237.0
2020-05-29,69430.0
2020-05-30,58167.0
2020-05-31,56431.0
2020-06-01,62213.0
2020-06-02,67619.0
2020-06-03,76794.0
2020-06-04,77108.0
2020-06-05,61501.0
2020-06-06,48325.0
2020-06-07,46576.0
2020-06-08,47986.0
2020-06-09,53658.0
2020-06-10,62189.0
2020-06-11,67796.0
2020-06-12,66419.0
2020-06-13,57447.0
2020-06-14,55676.0
2020-06-15,63546.0
2020-06-16,65896.0
2020-06-17,62745.0
2020-06-18,64976.0
2020-06-19,65683.0
2020-06-20,66613.0
2020-06-21,66791.0
2020-06-22,71679.0
2020-06-23,73944.0
2020-06-24,75301.0
2020-06-25,73071.0
2020-06-26,76631.0
2020-06-27,73882.0
2020-06-28,64388.0
2020-06-29,55429.0
2020-06-30,61511.0
2020-07-01,65501.0
2020-07-02,67256.0
2020-07-03,69480.0
2020-07-04,75710.0
2020-07-05,76434.0
2020-07-06,76326.0
2020-07-07,76191.0
2020-07-08,76050.0
2020-07-09,74808.0
2020-07-10,79264.0
2020-07-11,81331.0
2020-07-12,86284.0
2020-07-13,90376.0
2020-07-14,80770.0
2020-07-15,76325.0
2020-07-16,77723.0
2020-07-17,79990.0
2020-07-18,78025.0
2020-07-19,79281.0
2020-07-20,82068.0
2020-07-21,81488.0
2020-07-22,81005.0
2020-07-23,74373.0
2020-07-24,73725.0
2020-07-25,71408.0
2020-07-26,74782.0
2020-07-27,82396.0
2020-07-28,84056.0
2020-07-29,83873.0
2020-07-30,90660.0
2020-07-31,98237.0
2020-08-01,89675.0
2020-08-02,81893.0
2020-08-03,83088.0
2020-08-04,83322.0
2020-08-05,76354.0
2020-08-06,71837.0
2020-08-07,69082.0
2020-08-08,71666.0
2020-08-09,73248.0
2020-08-10,77938.0
2020-08-11,82957.0
2020-08-12,84491.0
2020-08-13,92327.0
2020-08-14,96558.0
2020-08-15,91723.0
2020-08-16,90967.0
2020-08-17,93496.0
2020-08-18,4346.0
2020-08-19,86457.0
2020-08-20,90997.0
2020-08-21,86203.0
2020-08-22,83076.0
2020-08-23,84093.0
2020-08-24,92611.0
2020-08-25,93130.0
2020-08-26,91299.0
2020-08-27,88275.0
2020-08-28,86952.0
2020-08-29,81291.0
2020-08-30,74747.0
2020-08-31,81542.0
2020-09-01,78055.0
2020-09-02,79415.0
2020-09-03,81458.0
2020-09-04,85440.0
2020-09-05,88948.0
2020-09-06,84979.0
2020-09-07,80563.0
2020-09-08,71821.0
2020-09-09,57504.0
2020-09-10,55334.0
2020-09-11,54094.0
2020-09-12,54310.0
2020-09-13,55463.0
2020-09-14,64064.0
2020-09-15,69075.0
2020-09-16,74612.0
2020-09-17,74928.0
2020-09-18,73361.0
2020-09-19,68865.0
2020-09-20,67364.0
2020-09-21,70739.0
2020-09-22,70660.0
2020-09-23,68760.0
2020-09-24,70069.0
2020-09-25,67037.0
2020-09-26,61745.0
2020-09-27,59863.0
2020-09-28,65251.0
2020-09-29,66074.0
2020-09-30,67857.0
2020-10-01,67073.0
2020-10-02,64589.0
2020-10-03,59712.0
2020-10-04,58362.0
2020-10-05,63745.0
2020-10-06,61910.0
2020-10-07,62380.0
2020-10-08,60469.0
2020-10-09,56082.0
2020-10-10,51248.0
2020-10-11,51098.0
2020-10-12,57082.0
2020-10-13,58287.0
2020-10-14,59223.0
2020-10-15,59417.0
2020-10-16,60567.0
2020-10-17,54638.0
2020-10-18,53786.0
2020-10-19,58258.0
2020-10-20,57585.0
2020-10-21,54794.0
2020-10-22,53262.0
2020-10-23,49863.0
2020-10-24,45381.0
2020-10-25,39668.0
2020-10-26,35323.0
2020-10-27,36743.0
2020-10-28,36545.0
2020-10-29,37749.0
2020-10-30,39411.0
2020-10-31,38370.0
2020-11-01,40831.0
2020-11-02,45204.0
2020-11-03,46943.0
2020-11-04,48049.0
2020-11-05,48173.0
2020-11-06,44129.0
2020-11-07,34407.0
2020-11-08,31523.0
2020-11-09,34343.0
2020-11-10,35611.0
2020-11-11,35076.0
2020-11-12,35593.0
2020-11-13,35462.0
2020-11-14,34118.0
2020-11-15,33201.0
2020-11-16,37030.0
2020-11-17,37537.0
2020-11-18,38074.0
2020-11-19,38856.0
2020-11-20,38470.0
2020-11-21,36675.0
2020-11-22,34377.0
2020-11-23,37138.0
2020-11-24,37576.0
2020-11-25,36682.0
2020-11-26,33461.0
2020-11-27,33809.0
2020-11-28,34009.0
2020-11-29,32892.0
2020-11-30,35786.0
2020-12-01,36171.0
2020-12-02,36254.0
2020-12-03,36375.0
2020-12-04,37023.0
2020-12-05,34809.0
2020-12-06,33350.0
2020-12-07,36802.0
2020-12-08,37184.0
2020-12-09,36945.0
2020-12-10,36719.0
2020-12-11,37038.0
2020-12-12,37165.0
2020-12-13,33316.0
2020-12-14,36764.0
2020-12-15,37287.0
2020-12-16,37992.0
2020-12-17,38891.0
2020-12-18,37720.0
2020-12-19,35113.0
2020-12-20,34064.0
2020-12-21,36973.0
2020-12-22,37191.0
2020-12-23,37639.0
2020-12-24,37423.0
2020-12-25,32772.0
2020-12-26,33978.0
2020-12-27,34080.0
2020-12-28,36792.0
2020-12-29,37165.0
2020-12-30,37300.0
2020-12-31,37449.0
2021-01-01,32752.0
2021-01-02,33996.0
2021-01-03,33143.0
2021-01-04,36504.0
2021-01-05,36082.0
2021-01-06,36206.0
2021-01-07,36371.0
2021-01-08,36115.0
2021-01-09,33878.0
2021-01-10,32155.0
2021-01-11,35748.0
2021-01-12,36366.0
2021-01-13,36560.0
2021-01-14,36061.0
2021-01-15,35784.0
2021-01-16,33637.0
2021-01-17,31787.0
2021-01-18,34392.0
2021-01-19,35116.0
2021-01-20,34950.0
2021-01-21,34310.0
2021-01-22,34743.0
2021-01-23,33450.0
2021-01-24,31588.0
2021-01-25,35303.0
2021-01-26,37072.0
2021-01-27,36651.0
2021-01-28,36384.0
2021-01-29,35531.0
2021-01-30,33128.0
2021-01-31,31740.0
2021-02-01,34521.0
2021-02-02,34833.0
2021-02-03,35163.0
2021-02-04,34630.0
2021-02-05,34744.0
2021-02-06,32298.0
2021-02-07,31013.0
2021-02-08,34271.0
2021-02-09,35759.0
2021-02-10,35510.0
2021-02-11,35995.0
2021-02-12,35483.0
2021-02-13,33097.0
2021-02-14,30956.0
2021-02-15,34586.0
2021-02-16,35286.0
2021-02-17,35079.0
2021-02-18,35498.0
2021-02-19,35431.0
2021-02-20,33122.0
2021-02-21,30888.0
2021-02-22,34835.0
2021-02-23,35443.0
2021-02-24,35649.0
2021-02-25,33942.0
2021-02-26,34609.0
2021-02-27,33029.0
2021-02-28,30468.0
2021-03-01,34500.0
2021-03-02,35002.0
2021-03-03,35048.0
2021-03-04,34966.0
2021-03-05,35397.0
2021-03-06,34260.0
2021-03-07,32562.0
2021-03-08,35588.0
2021-03-09,35282.0
2021-03-10,35371.0
2021-03-11,35322.0
2021-03-12,35364.0
2021-03-13,32943.0
2021-03-14,28678.0
2021-03-15,34055.0
2021-03-16,34934.0
2021-03-17,35201.0
2021-03-18,35716.0
2021-03-19,36962.0
2021-03-20,35298.0
2021-03-21,30977.0
2021-03-22,34686.0
2021-03-23,34791.0
2021-03-24,35328.0
2021-03-25,34992.0
2021-03-26,35271.0
2021-03-27,33977.0
2021-03-28,34096.0
2021-03-29,40577.0
2021-03-30,41481.0
2021-03-31,39711.0
2021-04-01,41403.0
2021-04-02,46781.0
2021-04-03,48318.0
2021-04-04,47280.0
2021-04-05,51186.0
2021-04-06,49305.0
2021-04-07,52157.0
2021-04-08,54216.0
2021-04-09,52463.0
2021-04-10,51045.0
2021-04-11,46551.0
2021-04-12,50253.0
2021-04-13,43967.0
2021-04-14,40639.0
2021-04-15,40622.0
2021-04-16,43969.0
2021-04-17,42448.0
2021-04-18,39960.0
2021-04-19,47495.0
2021-04-20,50530.0
2021-04-21,41787.0
2021-04-22,41127.0
2021-04-23,43469.0
2021-04-24,42800.0
2021-04-25,39796.0
2021-04-26,37506.0
2021-04-27,36504.0
2021-04-28,42827.0
2021-04-29,52778.0
2021-04-30,60887.0
2021-05-01,54651.0
2021-05-02,41808.0
2021-05-03,49668.0
2021-05-04,54242.0
2021-05-05,54705.0
2021-05-06,56260.0
2021-05-07,54870.0
2021-05-08,50806.0
2021-05-09,50295.0
2021-05-10,54956.0
2021-05-11,57154.0
2021-05-12,58064.0
2021-05-13,59723.0
2021-05-14,60224.0
2021-05-15,51365.0
2021-05-16,40176.0
2021-05-17,46150.0
2021-05-18,56331.0
2021-05-19,60130.0
2021-05-20,52190.0
2021-05-21,41854.0
2021-05-22,38509.0
2021-05-23,42415.0
2021-05-24,53251.0
2021-05-25,60992.0
2021-05-26,63103.0
2021-05-27,61342.0
2021-05-28,62121.0
2021-05-29,58717.0
2021-05-30,56592.0
2021-05-31,60608.0
2021-06-01,64040.0
2021-06-02,69432.0
2021-06-03,70631.0
2021-06-04,71152.0
2021-06-05,68873.0
2021-06-06,60622.0
2021-06-07,59381.0
2021-06-08,55288.0
2021-06-09,60299.0
2021-06-10,55850.0
2021-06-11,62756.0
2021-06-12,68613.0
2021-06-13,71232.0
2021-06-14,75703.0
2021-06-15,82645.0
2021-06-16,80388.0
2021-06-17,88115.0
2021-06-18,95362.0
2021-06-19,89402.0
2021-06-20,83138.0
2021-06-21,81693.0
2021-06-22,74978.0
2021-06-23,73063.0
2021-06-24,76663.0
2021-06-25,74812.0
2021-06-26,78191.0
2021-06-27,84712.0
2021-06-28,90889.0
2021-06-29,80684.0
