period,value
2020-01-01,211851.0
2020-01-02,221462.0
2020-01-03,220050.0
2020-01-04,219090.0
2020-01-05,223316.0
2020-01-06,232960.0
2020-01-07,218926.0
2020-01-08,220819.0
2020-01-09,227627.0
2020-01-10,238612.0
2020-01-11,221730.0
2020-01-12,221530.0
2020-01-13,233929.0
2020-01-14,234918.0
2020-01-15,245003.0
2020-01-16,232035.0
2020-01-17,223879.0
2020-01-18,222543.0
2020-01-19,220538.0
2020-01-20,230925.0
2020-01-21,217897.0
2020-01-22,219492.0
2020-01-23,210755.0
2020-01-24,211638.0
2020-01-25,204936.0
2020-01-26,203733.0
2020-01-27,211670.0
2020-01-28,213826.0
2020-01-29,217250.0
2020-01-30,216355.0
2020-01-31,214467.0
2020-02-01,207177.0
2020-02-02,218473.0
2020-02-03,244649.0
2020-02-04,246429.0
2020-02-05,240227.0
2020-02-06,223350.0
2020-02-07,206035.0
2020-02-08,208409.0
2020-02-09,213070.0
2020-02-10,228186.0
2020-02-11,229612.0
2020-02-12,221866.0
2020-02-13,221384.0
2020-02-14,219034.0
2020-02-15,215678.0
2020-02-16,208539.0
2020-02-17,229191.0
2020-02-18,233996.0
2020-02-19,238958.0
2020-02-20,242492.0
2020-02-21,231396.0
2020-02-22,216594.0
2020-02-23,211595.0
2020-02-24,224248.0
2020-02-25,224365.0
2020-02-26,216835.0
2020-02-27,213910.0
2020-02-28,207557.0
2020-02-29,198045.0
2020-03-01,202826.0
2020-03-02,216367.0
2020-03-03,198627.0
2020-03-04,198392.0
2020-03-05,197739.0
2020-03-06,190143.0
2020-03-07,187033.0
2020-03-08,182796.0
2020-03-09,199302.0
2020-03-10,198756.0
2020-03-11,197643.0
2020-03-12,198984.0
2020-03-13,204004.0
2020-03-14,193252.0
2020-03-15,190352.0
2020-03-17,186577.0
2020-03-18,194007.0
2020-03-19,194336.0
2020-03-20,185576.0
2020-03-21,178939.0
2020-03-22,177945.0
2020-03-23,190388.0
2020-03-24,190753.0
2020-03-25,197264.0
2020-03-26,201952.0
2020-03-27,201082.0
2020-03-28,184647.0
2020-03-29,178834.0
2020-03-30,193323.0
2020-03-31,192150.0
2020-04-01,200635.0
2020-04-02,202609.0
2020-04-03,196568.0
2020-04-04,184434.0
2020-04-05,174685.0
