period,value
2020-01-01,151934.0
2020-01-02,152659.0
2020-01-03,158535.0
2020-01-04,144233.0
2020-01-05,157117.0
2020-01-06,173770.0
2020-01-07,166732.0
2020-01-08,178120.0
2020-01-09,171279.0
2020-01-10,148582.0
2020-01-11,149309.0
2020-01-12,153172.0
2020-01-13,161226.0
2020-01-14,157859.0
2020-01-15,163385.0
2020-01-16,156733.0
2020-01-17,145627.0
2020-01-18,141024.0
2020-01-19,134816.0
2020-01-20,184366.0
2020-01-21,229428.0
2020-01-22,237473.0
2020-01-23,174903.0
2020-01-24,151308.0
2020-01-25,147203.0
2020-01-26,157331.0
2020-01-27,154931.0
2020-01-28,170309.0
2020-01-29,190258.0
2020-01-30,172435.0
2020-01-31,158625.0
2020-02-01,167485.0
2020-02-02,167284.0
2020-02-03,162503.0
2020-02-04,157825.0
2020-02-05,153204.0
2020-02-06,157556.0
2020-02-07,150831.0
2020-02-08,163660.0
2020-02-09,152779.0
2020-02-10,154119.0
2020-02-11,157798.0
2020-02-12,162469.0
2020-02-13,167915.0
2020-02-14,152201.0
2020-02-15,152379.0
2020-02-16,138054.0
2020-02-17,143194.0
2020-02-18,156375.0
2020-02-19,155580.0
2020-02-20,152481.0
2020-02-21,207725.0
2020-02-22,192409.0
2020-02-23,157870.0
2020-02-24,147162.0
2020-02-25,141594.0
2020-02-26,141825.0
2020-02-27,169489.0
2020-02-28,182003.0
2020-02-29,160908.0
2020-03-01,163995.0
2020-03-02,151742.0
2020-03-03,148302.0
2020-03-04,154224.0
2020-03-05,154155.0
2020-03-06,141987.0
2020-03-07,155367.0
2020-03-08,148694.0
2020-03-09,149761.0
2020-03-10,147304.0
2020-03-11,154333.0
2020-03-12,151726.0
2020-03-13,157764.0
2020-03-14,154948.0
2020-03-15,155219.0
2020-03-17,165837.0
2020-03-18,172726.0
2020-03-19,173133.0
2020-03-20,173965.0
2020-03-21,169856.0
2020-03-22,158869.0
2020-03-23,170738.0
2020-03-24,172681.0
2020-03-25,182872.0
2020-03-26,176003.0
2020-03-27,184263.0
2020-03-28,181043.0
2020-03-29,175253.0
2020-03-30,183279.0
2020-03-31,171294.0
2020-04-01,142586.0
2020-04-02,143463.0
2020-04-03,145842.0
2020-04-04,150612.0
2020-04-05,135806.0
2020-04-06,154921.0
2020-04-07,166768.0
2020-04-08,174597.0
2020-04-09,193090.0
2020-04-10,149782.0
2020-04-11,136910.0
2020-04-12,158553.0
2020-04-13,166962.0
2020-04-14,161847.0
2020-04-15,146778.0
2020-04-16,140367.0
2020-04-17,147532.0
2020-04-18,152388.0
2020-04-19,160854.0
2020-04-20,168935.0
2020-04-21,165050.0
2020-04-22,152263.0
2020-04-23,166031.0
2020-04-24,156184.0
2020-04-25,175959.0
2020-04-26,159663.0
2020-04-27,143586.0
2020-04-28,154383.0
2020-04-29,169013.0
2020-04-30,162950.0
2020-05-01,150386.0
2020-05-02,150864.0
2020-05-04,178410.0
2020-05-05,191669.0
2020-05-06,178185.0
2020-05-07,146081.0
2020-05-08,150828.0
2020-05-09,143960.0
2020-05-10,135967.0
2020-05-11,161026.0
2020-05-12,153236.0
2020-05-13,164795.0
2020-05-14,166385.0
2020-05-15,171879.0
2020-05-16,172987.0
2020-05-17,176802.0
2020-05-18,185679.0
2020-05-19,200194.0
2020-05-20,195852.0
2020-05-21,200892.0
2020-05-22,205574.0
2020-05-23,196094.0
