period,value
2020-01-01,317391.0
2020-01-02,334743.0
2020-01-03,342544.0
2020-01-04,325087.0
2020-01-05,316182.0
2020-01-06,338340.0
2020-01-07,339217.0
2020-01-08,340962.0
2020-01-09,345548.0
2020-01-10,346126.0
2020-01-11,324285.0
2020-01-12,313363.0
2020-01-13,347804.0
2020-01-14,356587.0
2020-01-15,355219.0
2020-01-16,365917.0
2020-01-17,359521.0
2020-01-18,331606.0
2020-01-19,315181.0
2020-01-20,343061.0
2020-01-21,351740.0
2020-01-22,356276.0
2020-01-23,353885.0
2020-01-24,347180.0
2020-01-25,326271.0
2020-01-26,311547.0
2020-01-27,345380.0
2020-01-28,343373.0
2020-01-29,342246.0
2020-01-30,344785.0
2020-01-31,345214.0
2020-02-01,324806.0
2020-02-02,310018.0
2020-02-03,350836.0
2020-02-04,370572.0
2020-02-05,377388.0
2020-02-06,370866.0
2020-02-07,363003.0
2020-02-08,336423.0
2020-02-09,329820.0
2020-02-10,354910.0
2020-02-11,353125.0
2020-02-12,357144.0
2020-02-13,357412.0
2020-02-14,354887.0
2020-02-15,327955.0
2020-02-16,325674.0
2020-02-17,331244.0
2020-02-18,340739.0
2020-02-19,338555.0
2020-02-20,343080.0
2020-02-21,341863.0
2020-02-22,313539.0
2020-02-23,309990.0
2020-02-24,342285.0
2020-02-25,344121.0
2020-02-26,340031.0
2020-02-27,348615.0
2020-02-28,352538.0
2020-02-29,322341.0
2020-03-01,312635.0
2020-03-02,337730.0
2020-03-03,346807.0
2020-03-04,342944.0
2020-03-05,346915.0
2020-03-06,334760.0
2020-03-07,312368.0
2020-03-08,301349.0
2020-03-09,338058.0
2020-03-10,347580.0
2020-03-11,347163.0
2020-03-12,349286.0
2020-03-13,349185.0
2020-03-14,333375.0
2020-03-15,312326.0
2020-03-17,345179.0
2020-03-18,335873.0
2020-03-19,330753.0
2020-03-20,329986.0
2020-03-21,301964.0
2020-03-22,296743.0
2020-03-23,319380.0
2020-03-24,324673.0
2020-03-25,315805.0
2020-03-26,310714.0
2020-03-27,314983.0
2020-03-28,298572.0
2020-03-29,293936.0
2020-03-30,301738.0
2020-03-31,306925.0
2020-04-01,310109.0
2020-04-02,297372.0
2020-04-03,289164.0
2020-04-04,281691.0
2020-04-05,271457.0
2020-04-06,304972.0
2020-04-07,309134.0
2020-04-08,307598.0
2020-04-09,326286.0
2020-04-10,314188.0
2020-04-11,285246.0
2020-04-12,279031.0
2020-04-13,292645.0
2020-04-14,294921.0
2020-04-15,305063.0
2020-04-16,296700.0
2020-04-17,291011.0
2020-04-18,283351.0
2020-04-19,277658.0
2020-04-20,291296.0
2020-04-21,303491.0
2020-04-22,310651.0
2020-04-23,354466.0
2020-04-24,395814.0
2020-04-25,383888.0
2020-04-26,342209.0
2020-04-27,352227.0
2020-04-28,364948.0
2020-04-29,345912.0
2020-04-30,347479.0
2020-05-01,336469.0
2020-05-02,307504.0
2020-05-04,338279.0
2020-05-05,374169.0
2020-05-06,414799.0
2020-05-07,423478.0
2020-05-08,392194.0
2020-05-09,339762.0
2020-05-10,313156.0
2020-05-11,344388.0
2020-05-12,332855.0
2020-05-13,334108.0
2020-05-14,319644.0
2020-05-15,332959.0
2020-05-16,321067.0
2020-05-17,320383.0
2020-05-18,322517.0
2020-05-19,322886.0
2020-05-20,325711.0
2020-05-21,342190.0
2020-05-22,343881.0
2020-05-23,310405.0
2020-05-24,314774.0
2020-05-25,346139.0
2020-05-26,382099.0
2020-05-27,385528.0
2020-05-28,368466.0
2020-05-29,345172.0
2020-05-30,325282.0
2020-05-31,320311.0
2020-06-01,367238.0
2020-06-02,380294.0
2020-06-03,428896.0
2020-06-04,382697.0
2020-06-05,342843.0
2020-06-06,322918.0
2020-06-07,322679.0
2020-06-08,354656.0
2020-06-09,416145.0
2020-06-10,454290.0
2020-06-11,440008.0
2020-06-12,383870.0
2020-06-13,340546.0
2020-06-14,335202.0
2020-06-15,372845.0
2020-06-16,357667.0
2020-06-17,362444.0
2020-06-18,353445.0
2020-06-19,349234.0
2020-06-20,322365.0
2020-06-21,334451.0
2020-06-22,374994.0
2020-06-23,383979.0
2020-06-24,387222.0
2020-06-25,375755.0
2020-06-26,377598.0
2020-06-27,336246.0
2020-06-28,301321.0
2020-06-29,350027.0
2020-06-30,361887.0
2020-07-01,363244.0
2020-07-02,370887.0
2020-07-03,373279.0
2020-07-04,384750.0
2020-07-05,400029.0
2020-07-06,446369.0
2020-07-07,442745.0
2020-07-08,424220.0
2020-07-09,425135.0
2020-07-10,444977.0
2020-07-11,461462.0
2020-07-12,464391.0
2020-07-13,477825.0
2020-07-14,436556.0
2020-07-15,408341.0
2020-07-16,399845.0
2020-07-17,402247.0
2020-07-18,386929.0
2020-07-19,373317.0
2020-07-20,396863.0
2020-07-21,405685.0
2020-07-22,382434.0
2020-07-23,372430.0
2020-07-24,375404.0
2020-07-25,406989.0
2020-07-26,399634.0
2020-07-27,402693.0
2020-07-28,367080.0
2020-07-29,359393.0
2020-07-30,396799.0
2020-07-31,425364.0
2020-08-01,417745.0
2020-08-02,409035.0
2020-08-03,421389.0
2020-08-04,392952.0
2020-08-05,383361.0
2020-08-06,373377.0
2020-08-07,374749.0
2020-08-08,362392.0
2020-08-09,338256.0
2020-08-10,380589.0
2020-08-11,380294.0
2020-08-12,409018.0
2020-08-13,426452.0
2020-08-14,489643.0
2020-08-15,513027.0
2020-08-16,469902.0
2020-08-17,501021.0
2020-08-18,539021.0
2020-08-19,542592.0
2020-08-20,522190.0
2020-08-21,495640.0
2020-08-22,490485.0
2020-08-23,475125.0
2020-08-24,497045.0
2020-08-25,471294.0
2020-08-26,479426.0
2020-08-27,487456.0
2020-08-28,435033.0
2020-08-29,377212.0
2020-08-30,359870.0
2020-08-31,390031.0
2020-09-01,382092.0
2020-09-02,386570.0
2020-09-03,413495.0
2020-09-04,447066.0
2020-09-05,527761.0
2020-09-06,584433.0
2020-09-07,518902.0
2020-09-08,434968.0
2020-09-09,403293.0
2020-09-10,362064.0
2020-09-11,351145.0
2020-09-12,344401.0
2020-09-13,347907.0
2020-09-14,390487.0
2020-09-15,400279.0
2020-09-16,414802.0
2020-09-17,404860.0
2020-09-18,424230.0
2020-09-19,395888.0
2020-09-20,341908.0
2020-09-21,379082.0
2020-09-22,408627.0
2020-09-23,399796.0
2020-09-24,406492.0
2020-09-25,403065.0
2020-09-26,374741.0
2020-09-27,376833.0
2020-09-28,427500.0
2020-09-29,442509.0
2020-09-30,480871.0
2020-10-01,491473.0
2020-10-02,475660.0
2020-10-03,425573.0
2020-10-04,403803.0
2020-10-05,411872.0
2020-10-06,405570.0
2020-10-07,392607.0
2020-10-08,385840.0
2020-10-09,365170.0
2020-10-10,335020.0
2020-10-11,334707.0
2020-10-12,394498.0
2020-10-13,436254.0
2020-10-14,442104.0
2020-10-15,438488.0
2020-10-16,453100.0
2020-10-17,398029.0
2020-10-18,368767.0
2020-10-19,366939.0
2020-10-20,347034.0
2020-10-21,357638.0
2020-10-22,335240.0
2020-10-23,326678.0
2020-10-24,287455.0
2020-10-25,284246.0
2020-10-26,315032.0
2020-10-27,320296.0
2020-10-28,323297.0
2020-10-29,335475.0
2020-10-30,339261.0
2020-10-31,316513.0
2020-11-01,262035.0
2020-11-02,64482.0
2020-11-03,339414.0
2020-11-04,344758.0
2020-11-05,366637.0
2020-11-06,335991.0
2020-11-07,303560.0
2020-11-08,304238.0
2020-11-09,331566.0
2020-11-10,339938.0
2020-11-11,334450.0
2020-11-12,339942.0
2020-11-13,349551.0
2020-11-14,323117.0
2020-11-15,315112.0
2020-11-16,345864.0
2020-11-17,336303.0
2020-11-18,332588.0
2020-11-19,356888.0
2020-11-20,335450.0
2020-11-21,319408.0
2020-11-22,311057.0
2020-11-23,334307.0
2020-11-24,340649.0
2020-11-25,341202.0
2020-11-26,322655.0
2020-11-27,321325.0
2020-11-28,322795.0
2020-11-29,317794.0
2020-11-30,343493.0
2020-12-01,347959.0
2020-12-02,349070.0
2020-12-03,347269.0
2020-12-04,368261.0
2020-12-05,334170.0
2020-12-06,323656.0
2020-12-07,356397.0
2020-12-08,348576.0
2020-12-09,348676.0
2020-12-10,347185.0
2020-12-11,354099.0
2020-12-12,335630.0
2020-12-13,328666.0
2020-12-14,344666.0
2020-12-15,355700.0
2020-12-16,352938.0
2020-12-17,356401.0
2020-12-18,358571.0
2020-12-19,331176.0
2020-12-20,326073.0
2020-12-21,346214.0
2020-12-22,346053.0
2020-12-23,327692.0
2020-12-24,342022.0
2020-12-25,311954.0
2020-12-26,318484.0
2020-12-27,311548.0
2020-12-28,352098.0
2020-12-29,343079.0
2020-12-30,354288.0
2020-12-31,346866.0
2021-01-01,319457.0
2021-01-02,323419.0
2021-01-03,317854.0
2021-01-04,339494.0
2021-01-05,339525.0
2021-01-06,334658.0
2021-01-07,351597.0
2021-01-08,332769.0
2021-01-09,300467.0
2021-01-10,278330.0
2021-01-11,305016.0
2021-01-12,289568.0
2021-01-13,302505.0
2021-01-14,320303.0
2021-01-15,314655.0
2021-01-16,301609.0
2021-01-17,293454.0
2021-01-18,295795.0
2021-01-19,316620.0
2021-01-20,324636.0
2021-01-21,320971.0
2021-01-22,323989.0
2021-01-23,318119.0
2021-01-24,298007.0
2021-01-25,303011.0
2021-01-26,327964.0
2021-01-27,337464.0
2021-01-28,328481.0
2021-01-29,323469.0
2021-01-30,281679.0
2021-01-31,272217.0
2021-02-01,290660.0
2021-02-02,278082.0
2021-02-03,287639.0
2021-02-04,311166.0
2021-02-05,329372.0
2021-02-06,321172.0
2021-02-07,310272.0
2021-02-08,335660.0
2021-02-09,342018.0
2021-02-10,336374.0
2021-02-11,339964.0
2021-02-12,337108.0
2021-02-13,319879.0
2021-02-14,312240.0
2021-02-15,337548.0
2021-02-16,354008.0
2021-02-17,361818.0
2021-02-18,354310.0
2021-02-19,361340.0
2021-02-20,318452.0
2021-02-21,310760.0
2021-02-22,329214.0
2021-02-23,311836.0
2021-02-24,274565.0
2021-02-25,303984.0
2021-02-26,318754.0
2021-02-27,292733.0
2021-02-28,260466.0
2021-03-01,264446.0
2021-03-02,284120.0
2021-03-03,287096.0
2021-03-04,300010.0
2021-03-05,304632.0
2021-03-06,328297.0
2021-03-07,305046.0
2021-03-08,331061.0
2021-03-09,328410.0
2021-03-10,318183.0
2021-03-11,285609.0
2021-03-12,292082.0
2021-03-13,301678.0
2021-03-14,296339.0
2021-03-15,347216.0
2021-03-16,345194.0
2021-03-17,338652.0
2021-03-18,314020.0
2021-03-19,317994.0
2021-03-20,323909.0
2021-03-21,312167.0
2021-03-22,317093.0
2021-03-23,312311.0
2021-03-24,296385.0
2021-03-25,320133.0
2021-03-26,324995.0
2021-03-27,323550.0
2021-03-28,313486.0
2021-03-29,349666.0
2021-03-30,335541.0
2021-03-31,342792.0
2021-04-01,345157.0
2021-04-02,320170.0
2021-04-03,302320.0
2021-04-04,285225.0
2021-04-05,289746.0
2021-04-06,282551.0
2021-04-07,293074.0
2021-04-08,309880.0
2021-04-09,321387.0
2021-04-10,306468.0
2021-04-11,276552.0
2021-04-12,265051.0
2021-04-13,322169.0
2021-04-14,310645.0
2021-04-15,288598.0
2021-04-16,287829.0
2021-04-17,287933.0
2021-04-18,306142.0
2021-04-19,323362.0
2021-04-20,295311.0
2021-04-21,317380.0
2021-04-22,333630.0
2021-04-23,336617.0
2021-04-24,326310.0
2021-04-25,308796.0
