period,value
2020-01-01,399587.0
2020-01-02,443126.0
2020-01-03,415644.0
2020-01-04,426052.0
2020-01-05,427533.0
2020-01-06,474094.0
2020-01-07,472728.0
2020-01-08,478078.0
2020-01-09,464965.0
2020-01-10,404679.0
2020-01-11,366704.0
2020-01-12,400035.0
2020-01-13,452780.0
2020-01-14,432388.0
2020-01-15,426676.0
2020-01-16,460316.0
2020-01-17,522480.0
2020-01-18,431895.0
2020-01-19,513234.0
2020-01-20,595783.0
2020-01-21,566151.0
2020-01-22,553805.0
2020-01-23,489888.0
2020-01-24,452706.0
2020-01-25,467690.0
2020-01-26,441419.0
2020-01-27,471556.0
2020-01-28,504886.0
2020-01-29,504170.0
2020-01-30,475171.0
2020-01-31,472182.0
2020-02-01,436406.0
2020-02-02,404942.0
2020-02-03,414751.0
2020-02-04,411057.0
2020-02-05,475594.0
2020-02-06,492335.0
2020-02-07,535189.0
2020-02-08,488677.0
2020-02-09,455309.0
2020-02-10,451232.0
2020-02-11,478923.0
2020-02-12,496930.0
2020-02-13,511775.0
2020-02-14,572734.0
2020-02-15,497628.0
2020-02-16,414703.0
2020-02-17,452304.0
2020-02-18,437415.0
2020-02-19,476698.0
2020-02-20,507872.0
2020-02-21,524426.0
2020-02-22,461870.0
2020-02-23,421122.0
2020-02-24,454696.0
2020-02-25,435432.0
2020-02-26,485298.0
2020-02-27,524143.0
2020-02-28,492815.0
2020-02-29,470728.0
2020-03-01,420113.0
2020-03-02,425368.0
2020-03-03,416552.0
2020-03-04,434111.0
2020-03-05,429966.0
2020-03-06,475457.0
2020-03-07,424399.0
2020-03-08,378824.0
2020-03-09,409875.0
2020-03-10,405234.0
2020-03-11,413571.0
2020-03-12,413173.0
2020-03-13,392507.0
2020-03-14,414318.0
2020-03-15,424210.0
2020-03-17,425943.0
2020-03-18,418043.0
2020-03-19,396048.0
2020-03-20,376634.0
2020-03-21,388896.0
2020-03-22,392732.0
2020-03-23,388592.0
2020-03-24,389727.0
2020-03-25,369314.0
2020-03-26,360402.0
2020-03-27,352642.0
2020-03-28,348645.0
2020-03-29,316345.0
2020-03-30,329240.0
2020-03-31,363749.0
2020-04-01,378487.0
2020-04-02,365900.0
2020-04-03,350922.0
2020-04-04,321604.0
2020-04-05,315726.0
2020-04-06,348501.0
2020-04-07,364043.0
2020-04-08,387683.0
2020-04-09,338408.0
2020-04-10,352031.0
2020-04-11,332769.0
2020-04-12,318416.0
2020-04-13,359924.0
2020-04-14,393280.0
2020-04-15,399237.0
2020-04-16,383935.0
2020-04-17,365039.0
2020-04-18,346166.0
2020-04-19,340488.0
2020-04-20,345501.0
2020-04-21,331370.0
2020-04-22,339355.0
2020-04-23,334540.0
2020-04-24,324174.0
2020-04-25,306656.0
2020-04-26,322041.0
2020-04-27,346814.0
2020-04-28,337054.0
2020-04-29,333031.0
2020-04-30,354976.0
2020-05-01,346380.0
2020-05-02,338035.0
2020-05-04,353763.0
2020-05-05,349269.0
2020-05-06,361005.0
2020-05-07,362438.0
2020-05-08,359665.0
2020-05-09,351311.0
2020-05-10,327367.0
2020-05-11,370419.0
2020-05-12,365246.0
2020-05-13,368102.0
2020-05-14,384682.0
2020-05-15,375420.0
2020-05-16,377326.0
2020-05-17,374737.0
2020-05-18,389575.0
2020-05-19,369979.0
2020-05-20,357086.0
2020-05-21,360161.0
2020-05-22,377216.0
2020-05-23,376058.0
2020-05-24,401045.0
2020-05-25,413700.0
2020-05-26,450584.0
2020-05-27,436538.0
2020-05-28,453412.0
2020-05-29,417603.0
2020-05-30,360387.0
2020-05-31,343893.0
2020-06-01,401755.0
2020-06-02,473766.0
2020-06-03,506670.0
2020-06-04,493693.0
2020-06-05,493820.0
2020-06-06,501565.0
2020-06-07,458430.0
2020-06-08,500754.0
2020-06-09,530494.0
2020-06-10,542765.0
2020-06-11,467502.0
2020-06-12,460386.0
2020-06-13,427837.0
2020-06-14,374963.0
2020-06-15,424867.0
2020-06-16,438413.0
2020-06-17,453205.0
2020-06-18,467821.0
2020-06-19,493835.0
2020-06-20,482455.0
2020-06-21,424968.0
2020-06-22,497080.0
2020-06-23,476924.0
2020-06-24,466474.0
2020-06-25,478774.0
2020-06-26,501483.0
2020-06-27,432986.0
2020-06-28,410825.0
2020-06-29,517119.0
2020-06-30,508565.0
2020-07-01,527803.0
2020-07-02,545146.0
2020-07-03,511053.0
2020-07-04,505916.0
2020-07-05,510641.0
2020-07-06,567227.0
2020-07-07,584079.0
2020-07-08,579907.0
2020-07-09,583411.0
2020-07-10,574037.0
2020-07-11,502238.0
2020-07-12,462487.0
2020-07-13,518628.0
2020-07-14,535853.0
2020-07-15,573883.0
2020-07-16,578130.0
2020-07-17,538593.0
2020-07-18,550532.0
2020-07-19,574070.0
2020-07-20,584672.0
2020-07-21,605987.0
2020-07-22,572545.0
2020-07-23,533797.0
2020-07-24,557744.0
2020-07-25,532406.0
2020-07-26,522960.0
2020-07-27,575962.0
2020-07-28,568318.0
2020-07-29,584713.0
2020-07-30,532014.0
2020-07-31,498176.0
2020-08-01,469906.0
2020-08-02,440151.0
2020-08-03,496403.0
2020-08-04,472744.0
2020-08-05,471266.0
2020-08-06,483545.0
2020-08-07,491956.0
2020-08-08,471260.0
2020-08-09,482943.0
2020-08-10,526978.0
2020-08-11,547438.0
2020-08-12,552000.0
2020-08-13,549140.0
2020-08-14,506807.0
2020-08-15,492501.0
2020-08-16,480516.0
2020-08-17,526967.0
2020-08-18,500592.0
2020-08-19,476824.0
2020-08-20,484490.0
2020-08-21,478926.0
2020-08-22,451535.0
2020-08-23,460530.0
2020-08-24,546138.0
2020-08-25,562525.0
2020-08-26,566829.0
2020-08-27,548510.0
2020-08-28,521392.0
2020-08-29,464822.0
2020-08-30,421619.0
2020-08-31,489831.0
2020-09-01,529961.0
2020-09-02,546613.0
2020-09-03,539107.0
2020-09-04,485642.0
2020-09-05,400526.0
2020-09-06,408351.0
2020-09-07,445155.0
2020-09-08,516436.0
2020-09-09,528072.0
2020-09-10,538716.0
2020-09-11,481105.0
2020-09-12,451779.0
2020-09-13,440399.0
2020-09-14,469454.0
2020-09-15,431164.0
2020-09-16,451529.0
2020-09-17,457193.0
2020-09-18,399828.0
2020-09-19,344802.0
2020-09-20,342544.0
2020-09-21,395567.0
2020-09-22,397322.0
2020-09-23,391123.0
2020-09-24,403526.0
2020-09-25,408159.0
2020-09-26,376898.0
2020-09-27,373071.0
2020-09-28,388662.0
2020-09-29,367694.0
2020-09-30,381143.0
2020-10-01,375772.0
2020-10-02,368417.0
2020-10-03,335418.0
2020-10-04,330452.0
2020-10-05,382544.0
2020-10-06,390030.0
2020-10-07,408712.0
2020-10-08,409111.0
2020-10-09,401730.0
2020-10-10,362966.0
2020-10-11,364267.0
2020-10-12,413083.0
2020-10-13,388584.0
2020-10-14,395983.0
2020-10-15,389770.0
2020-10-16,381805.0
2020-10-17,358804.0
2020-10-18,346075.0
2020-10-19,383713.0
2020-10-20,391198.0
2020-10-21,413078.0
2020-10-22,422981.0
2020-10-23,408720.0
2020-10-24,334549.0
2020-10-25,334683.0
2020-10-26,377642.0
2020-10-27,395502.0
2020-10-28,396696.0
2020-10-29,397973.0
2020-10-30,407397.0
2020-10-31,378226.0
2020-11-01,368426.0
2020-11-02,449237.0
2020-11-03,426513.0
2020-11-04,409716.0
2020-11-05,398828.0
2020-11-06,395273.0
2020-11-07,355863.0
2020-11-08,350299.0
2020-11-09,394519.0
2020-11-10,400984.0
2020-11-11,390631.0
2020-11-12,427482.0
2020-11-13,420413.0
2020-11-14,399597.0
2020-11-15,369971.0
2020-11-16,443079.0
2020-11-17,458479.0
2020-11-18,483205.0
2020-11-19,445140.0
2020-11-20,414381.0
2020-11-21,372983.0
2020-11-22,384878.0
2020-11-23,455449.0
2020-11-24,451487.0
2020-11-25,425080.0
2020-11-26,361712.0
2020-11-27,358567.0
2020-11-28,384323.0
2020-11-29,405842.0
2020-11-30,500014.0
2020-12-01,547400.0
2020-12-02,543809.0
2020-12-03,523456.0
2020-12-04,478247.0
2020-12-05,456957.0
2020-12-06,467261.0
2020-12-07,530805.0
2020-12-08,542317.0
2020-12-09,495715.0
2020-12-10,472799.0
2020-12-11,439119.0
2020-12-12,394315.0
2020-12-13,419007.0
2020-12-14,511991.0
2020-12-15,547460.0
2020-12-16,528651.0
2020-12-17,556587.0
2020-12-18,546669.0
2020-12-19,492059.0
2020-12-20,452627.0
2020-12-21,490089.0
2020-12-22,484722.0
2020-12-23,472087.0
2020-12-24,479258.0
2020-12-25,573607.0
2020-12-26,537030.0
2020-12-27,450718.0
2020-12-28,447006.0
2020-12-29,487487.0
2020-12-30,433246.0
2020-12-31,441317.0
2021-01-01,417008.0
2021-01-02,417879.0
2021-01-03,446345.0
2021-01-04,495788.0
2021-01-05,519566.0
2021-01-06,529153.0
2021-01-07,532252.0
2021-01-08,544004.0
2021-01-09,522502.0
2021-01-10,515989.0
2021-01-11,569683.0
2021-01-12,570563.0
2021-01-13,534743.0
2021-01-14,502120.0
2021-01-15,496779.0
2021-01-16,506167.0
2021-01-17,494421.0
2021-01-18,530821.0
2021-01-19,499725.0
2021-01-20,518771.0
2021-01-21,502087.0
2021-01-22,513524.0
2021-01-23,513988.0
2021-01-24,482365.0
2021-01-25,510690.0
2021-01-26,471573.0
2021-01-27,533461.0
2021-01-28,584823.0
2021-01-29,575870.0
2021-01-30,521896.0
2021-01-31,468539.0
2021-02-01,576833.0
2021-02-02,575891.0
2021-02-03,552359.0
2021-02-04,558517.0
2021-02-05,524215.0
2021-02-06,484298.0
2021-02-07,522063.0
2021-02-08,566957.0
2021-02-09,547440.0
2021-02-10,569736.0
2021-02-11,586188.0
2021-02-12,596308.0
2021-02-13,563903.0
2021-02-14,578897.0
2021-02-15,616309.0
2021-02-16,646681.0
2021-02-17,653953.0
2021-02-18,588208.0
2021-02-19,598447.0
2021-02-20,579162.0
2021-02-21,520633.0
2021-02-22,502783.0
2021-02-23,478299.0
2021-02-24,452273.0
2021-02-25,463733.0
2021-02-26,493156.0
2021-02-27,405606.0
2021-02-28,379712.0
2021-03-01,463632.0
2021-03-02,499436.0
2021-03-03,481209.0
2021-03-08,461010.0
2021-03-09,441019.0
2021-03-10,421078.0
2021-03-11,404682.0
2021-03-12,399274.0
