period,value
2020-01-01,8769127.0
2020-01-02,9088191.0
2020-01-03,9093585.0
2020-01-04,9046027.0
2020-01-05,8909567.0
2020-01-06,9547878.0
2020-01-07,9720265.0
2020-01-08,10123930.0
2020-01-09,9602668.0
2020-01-10,9131003.0
2020-01-11,9046979.0
2020-01-12,9325063.0
2020-01-13,9776635.0
2020-01-14,9501180.0
2020-01-15,9489369.0
2020-01-16,10071203.0
2020-01-17,10211053.0
2020-01-18,9289728.0
2020-01-19,10028284.0
2020-01-20,10944766.0
2020-01-21,10934769.0
2020-01-22,10697917.0
2020-01-23,10053103.0
2020-01-24,9778810.0
2020-01-25,9322259.0
2020-01-26,9010607.0
2020-01-27,9804013.0
2020-01-28,10096680.0
2020-01-29,10075782.0
2020-01-30,9979646.0
2020-01-31,9639600.0
2020-02-01,9008948.0
2020-02-02,8425527.0
2020-02-03,8973557.0
2020-02-04,9371106.0
2020-02-05,9908837.0
2020-02-06,10297457.0
2020-02-07,10180799.0
2020-02-08,9303727.0
2020-02-09,8966523.0
2020-02-10,9567587.0
2020-02-11,9759706.0
2020-02-12,9989119.0
2020-02-13,10590125.0
2020-02-14,10913929.0
2020-02-15,9614064.0
2020-02-16,8678065.0
2020-02-17,9382988.0
2020-02-18,9539866.0
2020-02-19,9975115.0
2020-02-20,10457718.0
2020-02-21,10332870.0
2020-02-22,9225972.0
2020-02-23,8526699.0
2020-02-24,9172120.0
2020-02-25,9409742.0
2020-02-26,9976033.0
2020-02-27,10208694.0
2020-02-28,9805564.0
2020-02-29,8955433.0
2020-03-01,8288254.0
2020-03-02,8840636.0
2020-03-03,8920370.0
2020-03-04,9000687.0
2020-03-05,9038933.0
2020-03-06,9191217.0
2020-03-07,8510611.0
2020-03-08,7731038.0
2020-03-09,8673476.0
2020-03-10,8890666.0
2020-03-11,8926576.0
2020-03-12,8898413.0
2020-03-13,8865239.0
2020-03-14,8735365.0
2020-03-15,8619418.0
2020-03-17,8991911.0
2020-03-18,9033342.0
2020-03-19,8939462.0
2020-03-20,8802995.0
2020-03-21,8465347.0
2020-03-22,8415739.0
2020-03-23,8805961.0
2020-03-24,8752717.0
2020-03-25,8535959.0
2020-03-26,8403127.0
2020-03-27,8318141.0
2020-03-28,7933989.0
2020-03-29,7523249.0
2020-03-30,8053253.0
2020-03-31,8204534.0
2020-04-01,8047165.0
2020-04-02,7941036.0
2020-04-03,7929251.0
2020-04-04,7595020.0
2020-04-05,7437691.0
2020-04-06,7947625.0
2020-04-07,8109479.0
2020-04-08,8262442.0
2020-04-09,8130087.0
2020-04-10,7691188.0
2020-04-11,7295153.0
2020-04-12,7433171.0
2020-04-13,8124449.0
2020-04-14,8341934.0
2020-04-15,8333808.0
2020-04-16,8176816.0
2020-04-17,8079298.0
2020-04-18,7478966.0
2020-04-19,7283730.0
2020-04-20,7778382.0
2020-04-21,7897373.0
2020-04-22,7898085.0
2020-04-23,7902525.0
2020-04-24,7666156.0
2020-04-25,7278510.0
2020-04-26,7169002.0
2020-04-27,7683332.0
2020-04-28,7819138.0
2020-04-29,7685478.0
2020-04-30,7732586.0
2020-05-01,7622033.0
2020-05-02,7404829.0
2020-05-04,7921374.0
2020-05-05,8070731.0
2020-05-06,7862746.0
2020-05-07,7745371.0
2020-05-08,7734238.0
2020-05-09,7224707.0
2020-05-10,7165523.0
2020-05-11,7922019.0
2020-05-12,7979091.0
2020-05-13,8090315.0
2020-05-14,8108128.0
2020-05-15,7975305.0
2020-05-16,7608659.0
2020-05-17,7592523.0
2020-05-18,8165582.0
2020-05-19,8218791.0
2020-05-20,8177330.0
2020-05-21,8337225.0
2020-05-22,8402017.0
2020-05-23,8055221.0
2020-05-24,8297482.0
2020-05-25,8710331.0
2020-05-26,9654785.0
2020-05-27,9533216.0
2020-05-28,9158389.0
2020-05-29,8604821.0
2020-05-30,7831801.0
2020-05-31,7764455.0
2020-06-01,8919143.0
2020-06-02,10191260.0
2020-06-03,10330668.0
2020-06-04,10269761.0
2020-06-05,10353157.0
2020-06-06,9649237.0
2020-06-07,9311210.0
2020-06-08,10421060.0
2020-06-09,10862532.0
2020-06-10,10127212.0
2020-06-11,9314519.0
2020-06-12,9326490.0
2020-06-13,8688934.0
2020-06-14,8533180.0
2020-06-15,9619893.0
2020-06-16,10118886.0
2020-06-17,10411094.0
2020-06-18,10558601.0
2020-06-19,10545055.0
2020-06-20,9988266.0
2020-06-21,9576112.0
2020-06-22,10045659.0
2020-06-23,9701365.0
2020-06-24,9550501.0
2020-06-25,10084266.0
2020-06-26,10460720.0
2020-06-27,10147711.0
2020-06-28,10262634.0
2020-06-29,11261617.0
2020-06-30,11321151.0
2020-07-01,11344121.0
2020-07-02,11515775.0
2020-07-03,11003595.0
2020-07-04,10561689.0
2020-07-05,10704656.0
2020-07-06,11762468.0
2020-07-07,12009935.0
2020-07-08,12169847.0
2020-07-09,12116038.0
2020-07-10,11501092.0
2020-07-11,10931456.0
2020-07-12,10412948.0
2020-07-13,11137901.0
2020-07-14,11352992.0
2020-07-15,11367439.0
2020-07-16,11138510.0
2020-07-17,11596752.0
2020-07-18,11611440.0
2020-07-19,11040725.0
2020-07-20,11186022.0
2020-07-21,11203054.0
2020-07-22,11239727.0
2020-07-23,11217892.0
2020-07-24,11407439.0
2020-07-25,11210524.0
2020-07-26,11237715.0
2020-07-27,11433759.0
2020-07-28,11274688.0
2020-07-29,11494297.0
2020-07-30,11079517.0
2020-07-31,10513301.0
2020-08-01,9580568.0
2020-08-02,9378616.0
2020-08-03,10047308.0
2020-08-04,9788770.0
2020-08-05,9805494.0
2020-08-06,10130169.0
2020-08-07,10466283.0
2020-08-08,10460075.0
2020-08-09,10822855.0
2020-08-10,11566674.0
2020-08-11,11076666.0
2020-08-12,10978740.0
2020-08-13,11254175.0
2020-08-14,11144495.0
2020-08-15,10534455.0
2020-08-16,10199500.0
2020-08-17,10776295.0
2020-08-18,10460559.0
2020-08-19,10305375.0
2020-08-20,10513834.0
2020-08-21,10772338.0
2020-08-22,10446255.0
2020-08-23,10745980.0
2020-08-24,11956771.0
2020-08-25,11867118.0
2020-08-26,11736594.0
2020-08-27,11333910.0
2020-08-28,10867837.0
2020-08-29,9561538.0
2020-08-30,8910535.0
2020-08-31,9885656.0
2020-09-01,10078576.0
2020-09-02,10332069.0
2020-09-03,10260196.0
2020-09-04,9490997.0
2020-09-05,8845531.0
2020-09-06,8849332.0
2020-09-07,9137902.0
2020-09-08,9642290.0
2020-09-09,9714895.0
2020-09-10,9588096.0
2020-09-11,9354336.0
2020-09-12,8928449.0
2020-09-13,8801246.0
2020-09-14,9341110.0
2020-09-15,9360901.0
2020-09-16,9349540.0
