period,value
2020-01-01,8023564.0
2020-01-02,8329959.0
2020-01-03,8353253.0
2020-01-04,8263780.0
2020-01-05,8139615.0
2020-01-06,8728425.0
2020-01-07,8906264.0
2020-01-08,9310012.0
2020-01-09,8838395.0
2020-01-10,8441849.0
2020-01-11,8283701.0
2020-01-12,8521891.0
2020-01-13,8954192.0
2020-01-14,8751888.0
2020-01-15,8762002.0
2020-01-16,9223389.0
2020-01-17,9283702.0
2020-01-18,8500303.0
2020-01-19,9090468.0
2020-01-20,9891570.0
2020-01-21,9930517.0
2020-01-22,9722388.0
2020-01-23,9179877.0
2020-01-24,8936415.0
2020-01-25,8485318.0
2020-01-26,8227602.0
2020-01-27,8985852.0
2020-01-28,9210626.0
2020-01-29,9182899.0
2020-01-30,9127564.0
2020-01-31,8820865.0
2020-02-01,8233409.0
2020-02-02,7727644.0
2020-02-03,8278518.0
2020-02-04,8609629.0
2020-02-05,9026192.0
2020-02-06,9396349.0
2020-02-07,9252162.0
2020-02-08,8450726.0
2020-02-09,8178383.0
2020-02-10,8755023.0
2020-02-11,8917399.0
2020-02-12,9108914.0
2020-02-13,9630269.0
2020-02-14,9877867.0
2020-02-15,8732303.0
2020-02-16,7944627.0
2020-02-17,8624253.0
2020-02-18,8759241.0
2020-02-19,9134462.0
2020-02-20,9557857.0
2020-02-21,9399229.0
2020-02-22,8404466.0
2020-02-23,7795146.0
2020-02-24,8397487.0
2020-02-25,8614710.0
2020-02-26,9096567.0
2020-02-27,9310646.0
2020-02-28,8975476.0
2020-02-29,8161437.0
2020-03-01,7586560.0
2020-03-02,8141545.0
2020-03-03,8219585.0
2020-03-04,8268204.0
2020-03-05,8300067.0
2020-03-06,8404339.0
2020-03-07,7773537.0
2020-03-08,7078097.0
2020-03-09,7992142.0
2020-03-10,8191295.0
2020-03-11,8245356.0
2020-03-12,8222929.0
2020-03-13,8177539.0
2020-03-14,7994618.0
2020-03-15,7864019.0
2020-03-17,8272177.0
2020-03-18,8342221.0
2020-03-19,8288160.0
2020-03-20,8125288.0
2020-03-21,7757454.0
2020-03-22,7698359.0
2020-03-23,8122611.0
2020-03-24,8066146.0
2020-03-25,7888005.0
2020-03-26,7782877.0
2020-03-27,7719011.0
2020-03-28,7340407.0
2020-03-29,6961836.0
2020-03-30,7471368.0
2020-03-31,7591470.0
2020-04-01,7410267.0
2020-04-02,7326971.0
2020-04-03,7308981.0
2020-04-04,6963164.0
2020-04-05,6850045.0
2020-04-06,7345967.0
2020-04-07,7495958.0
2020-04-08,7611130.0
2020-04-09,7545715.0
2020-04-10,7075158.0
2020-04-11,6706294.0
2020-04-12,6857224.0
2020-04-13,7445845.0
2020-04-14,7646807.0
2020-04-15,7646146.0
2020-04-16,7511324.0
2020-04-17,7416871.0
2020-04-18,6842441.0
2020-04-19,6699821.0
2020-04-20,7185094.0
2020-04-21,7324679.0
2020-04-22,7307351.0
2020-04-23,7325100.0
2020-04-24,7100662.0
2020-04-25,6729686.0
2020-04-26,6604369.0
2020-04-27,7092626.0
2020-04-28,7232995.0
2020-04-29,7106106.0
2020-04-30,7135149.0
2020-05-01,7027615.0
2020-05-02,6805637.0
2020-05-04,7320013.0
2020-05-05,7483277.0
2020-05-06,7265117.0
2020-05-07,7140354.0
2020-05-08,7128667.0
2020-05-09,6626169.0
2020-05-10,6597354.0
2020-05-11,7285225.0
2020-05-12,7338008.0
2020-05-13,7460603.0
2020-05-14,7469781.0
2020-05-15,7358970.0
2020-05-16,6994767.0
2020-05-17,6974358.0
2020-05-18,7536551.0
2020-05-19,7610841.0
2020-05-20,7575171.0
2020-05-21,7733279.0
2020-05-22,7773794.0
2020-05-23,7408420.0
2020-05-24,7610262.0
2020-05-25,8026448.0
2020-05-26,8932383.0
2020-05-27,8835514.0
2020-05-28,8446676.0
2020-05-29,7928022.0
2020-05-30,7220300.0
2020-05-31,7152821.0
2020-06-01,8229656.0
2020-06-02,9409907.0
2020-06-03,9489058.0
2020-06-04,9457922.0
2020-06-05,9527402.0
2020-06-06,8789104.0
2020-06-07,8492136.0
2020-06-08,9580212.0
2020-06-09,9987838.0
2020-06-10,9318418.0
2020-06-11,8553836.0
2020-06-12,8551224.0
2020-06-13,7930699.0
2020-06-14,7823324.0
2020-06-15,8858790.0
2020-06-16,9353082.0
2020-06-17,9625427.0
2020-06-18,9749594.0
2020-06-19,9732825.0
2020-06-20,9198139.0
2020-06-21,8826536.0
2020-06-22,9226779.0
2020-06-23,8921075.0
2020-06-24,8773479.0
2020-06-25,9262967.0
2020-06-26,9598243.0
2020-06-27,9381900.0
2020-06-28,9485961.0
2020-06-29,10373784.0
2020-06-30,10453838.0
2020-07-01,10476336.0
2020-07-02,10606267.0
2020-07-03,10125367.0
2020-07-04,9705853.0
2020-07-05,9831841.0
2020-07-06,10813456.0
2020-07-07,11037515.0
2020-07-08,11189607.0
2020-07-09,11154877.0
2020-07-10,10561858.0
2020-07-11,10042582.0
2020-07-12,9589223.0
2020-07-13,10264326.0
2020-07-14,10433356.0
2020-07-15,10411850.0
2020-07-16,10186617.0
2020-07-17,10677720.0
2020-07-18,10660238.0
2020-07-19,10071228.0
2020-07-20,10232406.0
2020-07-21,10230669.0
2020-07-22,10288067.0
2020-07-23,10297047.0
2020-07-24,10451705.0
2020-07-25,10282381.0
2020-07-26,10317533.0
2020-07-27,10499842.0
2020-07-28,10357451.0
2020-07-29,10566898.0
2020-07-30,10204757.0
2020-07-31,9717525.0
2020-08-01,8814331.0
2020-08-02,8628975.0
2020-08-03,9256179.0
2020-08-04,9038844.0
2020-08-05,9047012.0
2020-08-06,9333201.0
2020-08-07,9642666.0
2020-08-08,9635373.0
2020-08-09,9967716.0
2020-08-10,10657375.0
2020-08-11,10213031.0
2020-08-12,10080392.0
2020-08-13,10352829.0
2020-08-14,10274416.0
2020-08-15,9687837.0
2020-08-16,9396700.0
2020-08-17,9914641.0
2020-08-18,9648796.0
2020-08-19,9523390.0
2020-08-20,9716826.0
2020-08-21,9968678.0
2020-08-22,9660546.0
2020-08-23,9931863.0
2020-08-24,11035752.0
2020-08-25,10923475.0
2020-08-26,10809695.0
2020-08-27,10443003.0
2020-08-28,9981908.0
2020-08-29,8783308.0
2020-08-30,8185932.0
2020-08-31,9086685.0
2020-09-01,9259164.0
2020-09-02,9488896.0
2020-09-03,9391916.0
2020-09-04,8698085.0
2020-09-05,8115787.0
2020-09-06,8089935.0
2020-09-07,8336524.0
2020-09-08,8801988.0
2020-09-09,8892255.0
2020-09-10,8767878.0
2020-09-11,8598581.0
2020-09-12,8207296.0
2020-09-13,8097479.0
2020-09-14,8596966.0
2020-09-15,8648988.0
2020-09-16,8609337.0
2020-09-17,8439620.0
2020-09-18,7886115.0
2020-09-19,7149424.0
2020-09-20,7019859.0
2020-09-21,7843623.0
2020-09-22,8081500.0
2020-09-23,8251753.0
2020-09-24,8230559.0
2020-09-25,8258310.0
2020-09-26,7895892.0
2020-09-27,7793218.0
2020-09-28,7899828.0
2020-09-29,7656206.0
2020-09-30,7755871.0
2020-10-01,7765440.0
2020-10-02,7614618.0
2020-10-03,7144333.0
2020-10-04,7036065.0
2020-10-05,7787268.0
2020-10-06,7883223.0
2020-10-07,8114657.0
2020-10-08,8074994.0
2020-10-09,7968573.0
2020-10-10,7269436.0
2020-10-11,7398504.0
2020-10-12,8065861.0
2020-10-13,7911726.0
2020-10-14,7896275.0
2020-10-15,7901637.0
2020-10-16,7719156.0
2020-10-17,7237787.0
2020-10-18,7265166.0
2020-10-19,8244074.0
2020-10-20,8275070.0
2020-10-21,8235781.0
2020-10-22,8384762.0
2020-10-23,8153138.0
2020-10-24,7505168.0
2020-10-25,7451453.0
2020-10-26,8294375.0
2020-10-27,8423124.0
2020-10-28,8167442.0
2020-10-29,8046327.0
2020-10-30,8001284.0
2020-10-31,7420177.0
2020-11-01,7685737.0
2020-11-02,8242806.0
2020-11-03,7997930.0
2020-11-04,7845924.0
2020-11-05,7787112.0
2020-11-06,7696200.0
2020-11-07,7212519.0
2020-11-08,7138162.0
2020-11-09,8009050.0
2020-11-10,8181543.0
2020-11-11,8132983.0
2020-11-12,8263277.0
2020-11-13,8214089.0
2020-11-14,7828896.0
2020-11-15,7561530.0
2020-11-16,8256300.0
2020-11-17,8410110.0
2020-11-18,8351357.0
2020-11-19,8077742.0
2020-11-20,7892551.0
2020-11-21,7582053.0
2020-11-22,7653749.0
2020-11-23,8322218.0
2020-11-24,8450817.0
2020-11-25,8150425.0
2020-11-26,7346103.0
2020-11-27,7444265.0
2020-11-28,7496542.0
2020-11-29,7692983.0
2020-11-30,9001645.0
2020-12-01,9253972.0
2020-12-02,8974863.0
2020-12-03,8756558.0
2020-12-04,8611338.0
2020-12-05,8316549.0
2020-12-06,8218215.0
2020-12-07,8936060.0
2020-12-08,8892207.0
2020-12-09,8529265.0
2020-12-10,8406761.0
2020-12-11,8308004.0
2020-12-12,7992070.0
2020-12-13,8221808.0
2020-12-14,9346096.0
2020-12-15,9637491.0
2020-12-16,9563519.0
2020-12-17,9601364.0
2020-12-18,9356414.0
2020-12-19,8484107.0
2020-12-20,8195240.0
2020-12-21,8746046.0
2020-12-22,8698847.0
2020-12-23,8485981.0
2020-12-24,8866405.0
2020-12-25,8879243.0
2020-12-26,8552285.0
2020-12-27,8149905.0
2020-12-28,8728416.0
2020-12-29,8922642.0
2020-12-30,8551312.0
2020-12-31,8536567.0
2021-01-01,8225701.0
2021-01-02,8379245.0
2021-01-03,8375290.0
2021-01-04,8904054.0
2021-01-05,8919560.0
2021-01-06,8978805.0
2021-01-07,9229408.0
2021-01-08,9376534.0
2021-01-09,9012198.0
2021-01-10,9112394.0
2021-01-11,9767865.0
2021-01-12,9531521.0
2021-01-13,9041210.0
2021-01-14,8895075.0
2021-01-15,8971351.0
2021-01-16,8699589.0
2021-01-17,8444658.0
2021-01-18,8996197.0
2021-01-19,9029248.0
2021-01-20,8974115.0
2021-01-21,8635537.0
2021-01-22,8887616.0
2021-01-23,8607666.0
2021-01-24,8235319.0
2021-01-25,8898474.0
2021-01-26,8908181.0
2021-01-27,9244492.0
2021-01-28,9588084.0
2021-01-29,9299598.0
2021-01-30,8525006.0
2021-01-31,8310547.0
2021-02-01,9318464.0
2021-02-02,9455164.0
2021-02-03,9186842.0
2021-02-04,9127919.0
2021-02-05,9378109.0
2021-02-06,9177768.0
2021-02-07,9432066.0
2021-02-08,9902496.0
2021-02-09,9758732.0
2021-02-10,9893582.0
2021-02-11,10195408.0
2021-02-12,10481434.0
2021-02-13,10362771.0
2021-02-14,10638521.0
2021-02-15,11297027.0
2021-02-16,10829669.0
2021-02-17,10650121.0
2021-02-18,10224500.0
2021-02-19,10041212.0
2021-02-20,9231475.0
2021-02-21,8607005.0
2021-02-22,8621797.0
2021-02-23,8423859.0
2021-02-24,8299319.0
2021-02-25,8478509.0
2021-02-26,8482991.0
2021-02-27,7708913.0
2021-02-28,7693845.0
2021-03-01,8630692.0
2021-03-02,8815944.0
2021-03-03,8392046.0
2021-03-04,8352563.0
2021-03-05,8357366.0
2021-03-06,7747898.0
2021-03-07,7579791.0
2021-03-08,8029212.0
2021-03-09,7892131.0
2021-03-10,7846471.0
2021-03-11,7875949.0
2021-03-12,7937774.0
2021-03-13,7469580.0
2021-03-14,7198791.0
2021-03-15,8470784.0
2021-03-16,8360937.0
2021-03-17,8240989.0
2021-03-18,8266667.0
2021-03-19,8185955.0
2021-03-20,7518398.0
2021-03-21,7235291.0
2021-03-22,7783995.0
2021-03-23,7836911.0
2021-03-24,7783945.0
2021-03-25,7946110.0
2021-03-26,7906669.0
2021-03-27,7477001.0
2021-03-28,7268141.0
2021-03-29,7847808.0
2021-03-30,7908478.0
2021-03-31,8084812.0
2021-04-01,8208221.0
2021-04-02,7771489.0
2021-04-03,7146818.0
2021-04-04,6840472.0
2021-04-05,7674408.0
2021-04-06,7881163.0
2021-04-07,7931215.0
2021-04-08,7895502.0
2021-04-09,7913454.0
2021-04-10,7252951.0
2021-04-11,7128812.0
2021-04-12,7867116.0
2021-04-13,7859259.0
2021-04-14,7825548.0
2021-04-15,7887677.0
2021-04-16,7670818.0
2021-04-17,7094330.0
2021-04-18,6998976.0
2021-04-19,7806366.0
2021-04-20,8103096.0
2021-04-21,8107057.0
2021-04-22,7920055.0
2021-04-23,7748664.0
2021-04-24,7334109.0
2021-04-25,7084927.0
2021-04-26,7864224.0
2021-04-27,8111546.0
2021-04-28,8179525.0
2021-04-29,8089604.0
2021-04-30,7716899.0
2021-05-01,7252482.0
2021-05-02,7306887.0
2021-05-03,8222891.0
2021-05-04,7967784.0
2021-05-05,7657151.0
2021-05-06,7759129.0
2021-05-07,7626479.0
2021-05-08,7234447.0
2021-05-09,7232028.0
2021-05-10,7906938.0
2021-05-11,7844840.0
2021-05-12,7728668.0
2021-05-13,7743966.0
2021-05-14,7665843.0
2021-05-15,7136621.0
2021-05-16,7179755.0
2021-05-17,7947130.0
2021-05-18,8122244.0
2021-05-19,8413227.0
2021-05-20,8831895.0
2021-05-21,8914715.0
2021-05-22,8531720.0
2021-05-23,8365687.0
2021-05-24,9187604.0
2021-05-25,9518817.0
2021-05-26,9044158.0
2021-05-27,8675190.0
2021-05-28,8089864.0
2021-05-29,7145774.0
2021-05-30,6970515.0
2021-05-31,7313968.0
2021-06-01,8294610.0
2021-06-02,8546857.0
2021-06-03,8991739.0
2021-06-04,9438689.0
2021-06-05,9311063.0
2021-06-06,9306168.0
2021-06-07,10195219.0
2021-06-08,10374794.0
2021-06-09,10654022.0
2021-06-10,10830613.0
2021-06-11,10807317.0
2021-06-12,10073488.0
2021-06-13,9782621.0
2021-06-14,10008721.0
2021-06-15,9764989.0
2021-06-16,9695951.0
2021-06-17,10132357.0
2021-06-18,10415866.0
2021-06-19,9311535.0
2021-06-20,9256686.0
2021-06-21,8945274.0
2021-06-22,8578646.0
2021-06-23,9172980.0
2021-06-24,9819997.0
2021-06-25,9901868.0
2021-06-26,9510741.0
2021-06-27,9499596.0
2021-06-28,10356234.0
2021-06-29,10542048.0
2021-06-30,10395901.0
2021-07-01,10105098.0
2021-07-02,9319144.0
2021-07-03,8809438.0
2021-07-04,9436284.0
2021-07-05,10311207.0
2021-07-06,10870818.0
2021-07-07,10126321.0
2021-07-08,9642205.0
2021-07-09,9347874.0
2021-07-10,8837430.0
2021-07-11,8590561.0
2021-07-12,9431305.0
2021-07-13,9998157.0
2021-07-14,10305350.0
2021-07-15,10339767.0
2021-07-16,9644374.0
2021-07-17,9231984.0
2021-07-18,9336714.0
2021-07-19,10252092.0
2021-07-20,10265919.0
2021-07-21,10090259.0
2021-07-22,10350243.0
2021-07-23,10802472.0
2021-07-24,10597831.0
2021-07-25,10281126.0
2021-07-26,11122816.0
2021-07-27,11178371.0
2021-07-28,11376442.0
2021-07-29,11345513.0
2021-07-30,10185390.0
2021-07-31,9265585.0
2021-08-01,9017263.0
2021-08-02,9441571.0
2021-08-03,9657015.0
2021-08-04,9908442.0
2021-08-05,10007994.0
2021-08-06,10114950.0
2021-08-07,9847586.0
2021-08-08,10062952.0
2021-08-09,10939510.0
2021-08-10,11453908.0
2021-08-11,11200668.0
2021-08-12,10790327.0
2021-08-13,10132464.0
2021-08-14,9282517.0
2021-08-15,8999415.0
2021-08-16,9916478.0
2021-08-17,10463294.0
2021-08-18,10811887.0
2021-08-19,10991721.0
2021-08-20,11019559.0
2021-08-21,10183340.0
2021-08-22,9984096.0
2021-08-23,11063828.0
2021-08-24,11378398.0
2021-08-25,11299968.0
2021-08-26,11038113.0
2021-08-27,10776881.0
2021-08-28,10422293.0
2021-08-29,9778713.0
2021-08-30,9508102.0
2021-08-31,9274810.0
2021-09-01,9115578.0
2021-09-02,8770889.0
2021-09-03,8538604.0
2021-09-04,8071890.0
2021-09-05,8065059.0
2021-09-06,8190821.0
2021-09-07,9136856.0
2021-09-08,8877496.0
2021-09-09,8655225.0
2021-09-10,8677297.0
2021-09-11,8658565.0
2021-09-12,8715762.0
2021-09-13,9349772.0
2021-09-14,9506148.0
2021-09-15,8976715.0
2021-09-16,9218833.0
2021-09-17,9400960.0
2021-09-18,8838961.0
2021-09-19,8994842.0
2021-09-20,9712707.0
2021-09-21,8972812.0
2021-09-22,8087724.0
2021-09-23,7931418.0
2021-09-24,7911760.0
2021-09-25,7442019.0
2021-09-26,7651197.0
2021-09-27,8932714.0
2021-09-28,8924577.0
2021-09-29,8965283.0
2021-09-30,9048037.0
2021-10-01,8846340.0
2021-10-02,8244684.0
2021-10-03,8183456.0
2021-10-04,8686543.0
2021-10-05,8620331.0
2021-10-06,8642217.0
2021-10-07,8724694.0
2021-10-08,8743484.0
2021-10-09,8359365.0
2021-10-10,8375942.0
2021-10-11,8849915.0
2021-10-12,8649959.0
2021-10-13,8682531.0
2021-10-14,8730485.0
2021-10-15,8393073.0
2021-10-16,7279734.0
2021-10-17,7133497.0
2021-10-18,7893599.0
2021-10-19,7997934.0
2021-10-20,8180632.0
2021-10-21,8236308.0
2021-10-22,8109588.0
2021-10-23,7646480.0
2021-10-24,7673855.0
2021-10-25,8293430.0
2021-10-26,8195198.0
2021-10-27,8180033.0
2021-10-28,8052221.0
2021-10-29,7867839.0
2021-10-30,7325046.0
2021-10-31,7292371.0
2021-11-01,8210773.0
2021-11-02,8341222.0
2021-11-03,8420023.0
2021-11-04,8440095.0
2021-11-05,8308113.0
2021-11-06,7690101.0
2021-11-07,7675783.0
2021-11-08,8033255.0
2021-11-09,8066004.0
2021-11-10,8056638.0
2021-11-11,8037626.0
2021-11-12,8273045.0
2021-11-13,8042205.0
2021-11-14,8014767.0
2021-11-15,8550006.0
2021-11-16,8374117.0
2021-11-17,8215005.0
2021-11-18,8571641.0
2021-11-19,8705361.0
2021-11-20,8021441.0
2021-11-21,7795957.0
2021-11-22,8731722.0
2021-11-23,8779910.0
2021-11-24,8401067.0
2021-11-25,7656979.0
2021-11-26,8127177.0
2021-11-27,8018181.0
2021-11-28,7979861.0
2021-11-29,8752803.0
2021-11-30,8536658.0
2021-12-01,8395739.0
2021-12-02,8206056.0
2021-12-03,8220138.0
2021-12-04,7935174.0
2021-12-05,7942665.0
2021-12-06,8895940.0
2021-12-07,9462077.0
2021-12-08,9135823.0
2021-12-09,8880208.0
2021-12-10,8572138.0
2021-12-11,8072140.0
2021-12-12,8171340.0
2021-12-13,8673093.0
2021-12-14,8514573.0
2021-12-15,8198567.0
2021-12-16,8442648.0
2021-12-17,8861628.0
2021-12-18,8442480.0
2021-12-19,8578120.0
2021-12-20,9351084.0
2021-12-21,9355208.0
2021-12-22,9326914.0
2021-12-23,8662252.0
2021-12-24,7560623.0
2021-12-25,7218642.0
2021-12-26,7673857.0
2021-12-27,8128075.0
2021-12-28,8644060.0
2021-12-29,8757725.0
2021-12-30,8602138.0
2021-12-31,8139820.0
2022-01-01,8235346.0
2022-01-02,9006922.0
2022-01-03,9795209.0
2022-01-04,9656673.0
2022-01-05,9510490.0
2022-01-06,10045153.0
2022-01-07,10339002.0
2022-01-08,9162417.0
2022-01-09,8685979.0
2022-01-10,9804696.0
2022-01-11,9733341.0
2022-01-12,9012580.0
2022-01-13,8922798.0
2022-01-14,9065515.0
2022-01-15,8968316.0
2022-01-16,9178469.0
2022-01-17,9398333.0
2022-01-18,9168152.0
2022-01-19,9275593.0
2022-01-20,10326519.0
2022-01-21,10554090.0
2022-01-22,9805282.0
2022-01-23,9360018.0
2022-01-24,9754900.0
2022-01-25,10039105.0
2022-01-26,10354000.0
2022-01-27,9858837.0
2022-01-28,9867699.0
2022-01-29,9494016.0
2022-01-30,8857829.0
