period,value
2020-01-01,1532884.0
2020-01-02,1658907.0
2020-01-03,1627893.0
2020-01-04,1535801.0
2020-01-05,1576574.0
2020-01-06,1758293.0
2020-01-07,1703263.0
2020-01-08,1714331.0
2020-01-09,1782943.0
2020-01-10,1707335.0
2020-01-11,1438846.0
2020-01-12,1395395.0
2020-01-13,1681763.0
2020-01-14,1664561.0
2020-01-15,1618861.0
2020-01-16,1683891.0
2020-01-17,1829384.0
2020-01-18,1818585.0
2020-01-19,1652384.0
2020-01-20,1823321.0
2020-01-21,1856794.0
2020-01-22,1801458.0
2020-01-23,1736218.0
2020-01-24,1639434.0
2020-01-25,1568491.0
2020-01-26,1470621.0
2020-01-27,1624566.0
2020-01-28,1670189.0
2020-01-29,1653268.0
2020-01-30,1696281.0
2020-01-31,1649615.0
2020-02-01,1579571.0
2020-02-02,1536854.0
2020-02-03,1623967.0
2020-02-04,1639294.0
2020-02-05,1626565.0
2020-02-06,1716467.0
2020-02-07,1693658.0
2020-02-08,1637522.0
2020-02-09,1636762.0
2020-02-10,1683005.0
2020-02-11,1672303.0
2020-02-12,1591755.0
2020-02-13,1689469.0
2020-02-14,1702958.0
2020-02-15,1688301.0
2020-02-16,1563410.0
2020-02-17,1582833.0
2020-02-18,1737668.0
2020-02-19,1605780.0
2020-02-20,1699720.0
2020-02-21,1701252.0
2020-02-22,1515964.0
2020-02-23,1451909.0
2020-02-24,1513178.0
2020-02-25,1536590.0
2020-02-26,1550908.0
2020-02-27,1597290.0
2020-02-28,1611279.0
2020-02-29,1571472.0
2020-03-01,1566236.0
2020-03-02,1570839.0
2020-03-03,1464875.0
2020-03-04,1494638.0
2020-03-05,1475127.0
2020-03-06,1543966.0
2020-03-07,1457009.0
2020-03-08,1363503.0
2020-03-09,1430926.0
2020-03-10,1438316.0
2020-03-11,1417020.0
2020-03-12,1535392.0
2020-03-13,1546324.0
2020-03-14,1352329.0
2020-03-15,1328429.0
2020-03-17,1599708.0
2020-03-18,1445203.0
2020-03-19,1544005.0
2020-03-20,1457141.0
2020-03-21,1275327.0
2020-03-22,1343959.0
2020-03-23,1615082.0
2020-03-24,1478824.0
2020-03-25,1523118.0
2020-03-26,1370738.0
2020-03-27,1285966.0
2020-03-28,1317708.0
2020-03-29,1426417.0
2020-03-30,1511891.0
2020-03-31,1435001.0
2020-04-01,1416225.0
2020-04-02,1445877.0
2020-04-03,1488004.0
2020-04-04,1295269.0
2020-04-05,1271780.0
2020-04-06,1280557.0
2020-04-07,1281069.0
2020-04-08,1352607.0
2020-04-09,1454157.0
2020-04-10,1353541.0
2020-04-11,1264870.0
2020-04-12,1227926.0
2020-04-13,1392661.0
2020-04-14,1266388.0
2020-04-15,1326121.0
2020-04-16,1382506.0
2020-04-17,1333358.0
2020-04-18,1385084.0
2020-04-19,1219205.0
2020-04-20,1318611.0
2020-04-21,1423045.0
2020-04-22,1411178.0
2020-04-23,1354926.0
2020-04-24,1408056.0
2020-04-25,1208466.0
2020-04-26,1332946.0
2020-04-27,1471416.0
2020-04-28,1326950.0
2020-04-29,1294486.0
2020-04-30,1416511.0
2020-05-01,1323894.0
2020-05-02,1140357.0
2020-05-04,1262879.0
2020-05-05,1218396.0
2020-05-06,1283471.0
2020-05-07,1256647.0
2020-05-08,1297028.0
2020-05-09,1280351.0
2020-05-10,1222880.0
2020-05-11,1314115.0
2020-05-12,1280364.0
2020-05-13,1262303.0
2020-05-14,1238545.0
2020-05-15,1292629.0
2020-05-16,1191084.0
2020-05-17,1172127.0
2020-05-18,1302856.0
2020-05-19,1224686.0
2020-05-20,1237059.0
2020-05-21,1276982.0
2020-05-22,1329759.0
2020-05-23,1244878.0
2020-05-24,1136247.0
2020-05-25,1219118.0
2020-05-26,1416137.0
2020-05-27,1565961.0
2020-05-28,1637698.0
2020-05-29,1673849.0
2020-05-30,1473772.0
2020-05-31,1234463.0
2020-06-01,1279490.0
2020-06-02,1338978.0
2020-06-03,1468345.0
2020-06-04,1611810.0
2020-06-05,1667066.0
2020-06-06,1609064.0
2020-06-07,1302785.0
2020-06-08,1425905.0
2020-06-09,1545647.0
2020-06-10,1600981.0
2020-06-11,1663614.0
2020-06-12,1631758.0
2020-06-13,1293863.0
2020-06-14,1237605.0
2020-06-15,1395760.0
2020-06-16,1449792.0
2020-06-17,1534491.0
2020-06-18,1774916.0
2020-06-19,1904469.0
2020-06-20,1885849.0
2020-06-21,1884653.0
2020-06-22,1982246.0
2020-06-23,2028715.0
2020-06-24,2002698.0
2020-06-25,1825172.0
2020-06-26,1805273.0
2020-06-27,1630121.0
2020-06-28,1669949.0
2020-06-29,1730691.0
2020-06-30,1651414.0
2020-07-01,1676333.0
2020-07-02,1859120.0
2020-07-03,1688517.0
2020-07-04,1562963.0
2020-07-05,1698526.0
2020-07-06,1811563.0
2020-07-07,1701012.0
2020-07-08,1928770.0
2020-07-09,2136943.0
2020-07-10,2053191.0
2020-07-11,2028707.0
2020-07-12,1998879.0
2020-07-13,2047581.0
2020-07-14,1885811.0
2020-07-15,1720643.0
2020-07-16,1643775.0
2020-07-17,1631520.0
2020-07-18,1854694.0
2020-07-19,2076470.0
2020-07-20,2338735.0
2020-07-21,2185893.0
2020-07-22,2069213.0
2020-07-23,2153940.0
2020-07-24,1990621.0
2020-07-25,1950917.0
2020-07-26,2055934.0
2020-07-27,2386975.0
2020-07-28,2455930.0
2020-07-29,2194220.0
2020-07-30,2194165.0
2020-07-31,2007502.0
2020-08-01,1936097.0
2020-08-02,1991166.0
2020-08-03,2278543.0
2020-08-04,1960443.0
2020-08-05,1893452.0
2020-08-06,1747908.0
2020-08-07,1706278.0
2020-08-08,1724763.0
2020-08-09,1940688.0
2020-08-10,2281066.0
2020-08-11,2383241.0
2020-08-12,2375423.0
2020-08-13,2121489.0
2020-08-14,1969475.0
2020-08-15,1603158.0
2020-08-16,1521923.0
2020-08-17,1667161.0
2020-08-18,1773018.0
2020-08-19,1664701.0
2020-08-20,1613875.0
2020-08-21,1777589.0
2020-08-22,1798484.0
2020-08-23,1835773.0
2020-08-24,2105260.0
2020-08-25,2065675.0
2020-08-26,1576680.0
2020-08-27,1597214.0
2020-08-28,1667338.0
2020-08-29,1665158.0
2020-08-30,1463070.0
2020-08-31,1496348.0
2020-09-01,1568264.0
2020-09-02,1680137.0
2020-09-03,1798647.0
2020-09-04,1746607.0
2020-09-05,1395353.0
2020-09-06,1447735.0
2020-09-07,1545402.0
2020-09-08,1803512.0
2020-09-09,1835505.0
2020-09-10,1951690.0
2020-09-11,1611825.0
2020-09-12,1310226.0
2020-09-13,1358039.0
2020-09-14,1518952.0
2020-09-15,1379802.0
2020-09-16,1416847.0
2020-09-17,1500253.0
2020-09-18,1405851.0
2020-09-19,1241478.0
2020-09-20,1252008.0
2020-09-21,1376452.0
2020-09-22,1406370.0
2020-09-23,1418859.0
2020-09-24,1474337.0
2020-09-25,1466168.0
2020-09-26,1383077.0
2020-09-27,1499275.0
2020-09-28,1698662.0
2020-09-29,1683021.0
2020-09-30,1575752.0
2020-10-01,1455498.0
2020-10-02,1453737.0
2020-10-03,1267212.0
2020-10-04,1293188.0
2020-10-05,1431895.0
2020-10-06,1433784.0
2020-10-07,1441364.0
2020-10-08,1384856.0
2020-10-09,1378612.0
2020-10-10,1303460.0
2020-10-11,1249000.0
2020-10-12,1424102.0
2020-10-13,1519586.0
2020-10-14,1407192.0
2020-10-15,1402411.0
2020-10-16,1469762.0
2020-10-17,1298531.0
2020-10-18,1289867.0
2020-10-19,1423725.0
2020-10-20,1468031.0
2020-10-21,1478487.0
2020-10-22,1456313.0
2020-10-23,1439366.0
2020-10-24,1344200.0
2020-10-25,1321149.0
2020-10-26,1510235.0
2020-10-27,1455947.0
2020-10-28,1529861.0
2020-10-29,1560529.0
2020-10-30,1636179.0
2020-10-31,1476904.0
2020-11-01,1511285.0
2020-11-02,1581656.0
2020-11-03,1577386.0
2020-11-04,1527199.0
2020-11-05,1456752.0
2020-11-06,1399040.0
2020-11-07,1294559.0
2020-11-08,1291458.0
2020-11-09,1420519.0
2020-11-10,1435616.0
2020-11-11,1506773.0
2020-11-12,1506363.0
2020-11-13,1538841.0
2020-11-14,1421984.0
2020-11-15,1472495.0
2020-11-16,1502337.0
2020-11-17,1584898.0
2020-11-18,1669886.0
2020-11-19,1667680.0
2020-11-20,1501914.0
2020-11-21,1396976.0
2020-11-22,1481288.0
2020-11-23,1617844.0
2020-11-24,1618393.0
2020-11-25,1625707.0
2020-11-26,1472969.0
2020-11-27,1404058.0
2020-11-28,1395401.0
2020-11-29,1398534.0
2020-11-30,1603325.0
2020-12-01,1512099.0
2020-12-02,1611933.0
2020-12-03,1586544.0
2020-12-04,1564128.0
2020-12-05,1603783.0
2020-12-06,1572492.0
2020-12-07,1741616.0
2020-12-08,1804150.0
2020-12-09,1788397.0
2020-12-10,1679746.0
2020-12-11,1641649.0
2020-12-12,1593960.0
2020-12-13,1481087.0
2020-12-14,1737277.0
2020-12-15,1763342.0
2020-12-16,1891954.0
2020-12-17,1894786.0
2020-12-18,1894449.0
2020-12-19,1791488.0
2020-12-20,1745191.0
2020-12-21,1777065.0
2020-12-22,1726778.0
2020-12-23,1716800.0
2020-12-24,1575223.0
2020-12-25,1456679.0
2020-12-26,1576396.0
2020-12-27,1623845.0
2020-12-28,1699442.0
2020-12-29,1697024.0
2020-12-30,1750552.0
2020-12-31,1649648.0
2021-01-01,1586245.0
2021-01-02,1565816.0
2021-01-03,1648479.0
2021-01-04,1704565.0
2021-01-05,1718068.0
2021-01-06,1705336.0
2021-01-07,1708628.0
2021-01-08,1706501.0
2021-01-09,1628256.0
2021-01-10,1576276.0
2021-01-11,1795445.0
2021-01-12,1727864.0
2021-01-13,1679791.0
2021-01-14,1694378.0
2021-01-15,1636979.0
2021-01-16,1547710.0
2021-01-17,1497764.0
2021-01-18,1595886.0
2021-01-19,1685431.0
2021-01-20,1720131.0
2021-01-21,1804827.0
2021-01-22,1709518.0
2021-01-23,1651265.0
2021-01-24,1706474.0
2021-01-25,1782584.0
2021-01-26,1794782.0
2021-01-27,1784598.0
2021-01-28,1839409.0
2021-01-29,1982330.0
2021-01-30,1871938.0
2021-01-31,1839266.0
