period,value
2020-01-01,456136.0
2020-01-02,462494.0
2020-01-03,463763.0
2020-01-04,449490.0
2020-01-05,449075.0
2020-01-06,464376.0
2020-01-07,463119.0
2020-01-08,461144.0
2020-01-09,464788.0
2020-01-10,470028.0
2020-01-11,462487.0
2020-01-12,463837.0
2020-01-13,473091.0
2020-01-14,473994.0
2020-01-15,474543.0
2020-01-16,472145.0
2020-01-17,464326.0
2020-01-18,457914.0
2020-01-19,448601.0
2020-01-20,455080.0
2020-01-21,451836.0
2020-01-22,450058.0
2020-01-23,452266.0
2020-01-24,447151.0
2020-01-25,432542.0
2020-01-26,430205.0
2020-01-27,445337.0
2020-01-28,449143.0
2020-01-29,453028.0
2020-01-30,449946.0
2020-01-31,446096.0
2020-02-01,431257.0
2020-02-02,428690.0
2020-02-03,471120.0
2020-02-04,495627.0
2020-02-05,486838.0
2020-02-06,463521.0
2020-02-07,449492.0
2020-02-08,431609.0
2020-02-09,439834.0
2020-02-10,453568.0
2020-02-11,451921.0
2020-02-12,451380.0
2020-02-13,451311.0
2020-02-14,447198.0
2020-02-15,431748.0
2020-02-16,422322.0
2020-02-17,433661.0
2020-02-18,443743.0
2020-02-19,447865.0
2020-02-20,446919.0
2020-02-21,442274.0
2020-02-22,431896.0
2020-02-23,420289.0
2020-02-24,434813.0
2020-02-25,439344.0
2020-02-26,440869.0
2020-02-27,437704.0
2020-02-28,434813.0
2020-02-29,420447.0
2020-03-01,421883.0
2020-03-02,445443.0
2020-03-03,436680.0
2020-03-04,426911.0
2020-03-05,428659.0
2020-03-06,427448.0
2020-03-07,413211.0
2020-03-08,394920.0
2020-03-09,421538.0
2020-03-10,424494.0
2020-03-11,421233.0
2020-03-12,422862.0
2020-03-13,427011.0
2020-03-14,414416.0
2020-03-15,409391.0
2020-03-17,423936.0
2020-03-18,423990.0
2020-03-19,418534.0
2020-03-20,413892.0
2020-03-21,387767.0
2020-03-22,381371.0
2020-03-23,394640.0
2020-03-24,394016.0
2020-03-25,392151.0
2020-03-26,400232.0
2020-03-27,401864.0
2020-03-28,386136.0
2020-03-29,379672.0
2020-03-30,393683.0
2020-03-31,387969.0
2020-04-01,390057.0
2020-04-02,389832.0
2020-04-03,387164.0
2020-04-04,377187.0
2020-04-05,374816.0
2020-04-06,392943.0
2020-04-07,385254.0
2020-04-08,383244.0
2020-04-09,385682.0
2020-04-10,382725.0
2020-04-11,367392.0
2020-04-12,367265.0
2020-04-13,380866.0
2020-04-14,380476.0
2020-04-15,385715.0
2020-04-16,390795.0
2020-04-17,390775.0
2020-04-18,374091.0
2020-04-19,375495.0
2020-04-20,393291.0
2020-04-21,395048.0
2020-04-22,409041.0
2020-04-23,429699.0
2020-04-24,432057.0
2020-04-25,426280.0
2020-04-26,446478.0
2020-04-27,477375.0
2020-04-28,497510.0
2020-04-29,519842.0
2020-04-30,515828.0
2020-05-01,490108.0
2020-05-02,463663.0
2020-05-04,459973.0
2020-05-05,465134.0
2020-05-06,489894.0
2020-05-07,486398.0
2020-05-08,484090.0
2020-05-09,499205.0
2020-05-10,513447.0
2020-05-11,502560.0
2020-05-12,455125.0
2020-05-13,448556.0
2020-05-14,456852.0
2020-05-15,481599.0
2020-05-16,491171.0
2020-05-17,499539.0
2020-05-18,483468.0
2020-05-19,420952.0
2020-05-20,421940.0
2020-05-21,452709.0
2020-05-22,461751.0
2020-05-23,424928.0
2020-05-24,431207.0
2020-05-25,471914.0
2020-05-26,553120.0
2020-05-27,619644.0
2020-05-28,653436.0
2020-05-29,637671.0
2020-05-30,566784.0
2020-05-31,514157.0
2020-06-01,546839.0
2020-06-02,571478.0
2020-06-03,621960.0
2020-06-04,650299.0
2020-06-05,622972.0
2020-06-06,497857.0
2020-06-07,449884.0
2020-06-08,431128.0
2020-06-09,467182.0
2020-06-10,531262.0
2020-06-11,582558.0
2020-06-12,577311.0
2020-06-13,493564.0
2020-06-14,511780.0
2020-06-15,557173.0
2020-06-16,578148.0
2020-06-17,549588.0
2020-06-18,547727.0
2020-06-19,576086.0
2020-06-20,609972.0
2020-06-21,636504.0
2020-06-22,680815.0
2020-06-23,695062.0
2020-06-24,680663.0
2020-06-25,687180.0
2020-06-26,685050.0
2020-06-27,672947.0
2020-06-28,640720.0
2020-06-29,543898.0
2020-06-30,559629.0
2020-07-01,598889.0
2020-07-02,617340.0
2020-07-03,628171.0
2020-07-04,629127.0
2020-07-05,649148.0
2020-07-06,669250.0
2020-07-07,663365.0
2020-07-08,652392.0
2020-07-09,649396.0
2020-07-10,694728.0
2020-07-11,748157.0
2020-07-12,784052.0
2020-07-13,788105.0
2020-07-14,723282.0
2020-07-15,709560.0
2020-07-16,711139.0
2020-07-17,730658.0
2020-07-18,723214.0
2020-07-19,707652.0
2020-07-20,730971.0
2020-07-21,718852.0
2020-07-22,706145.0
2020-07-23,673200.0
2020-07-24,657064.0
2020-07-25,658265.0
2020-07-26,661987.0
2020-07-27,705811.0
2020-07-28,715375.0
2020-07-29,728575.0
2020-07-30,741383.0
2020-07-31,779782.0
2020-08-01,756217.0
2020-08-02,706017.0
2020-08-03,703776.0
2020-08-04,702634.0
2020-08-05,682288.0
2020-08-06,667619.0
2020-08-07,642776.0
2020-08-08,647355.0
2020-08-09,662458.0
2020-08-10,686823.0
2020-08-11,699720.0
2020-08-12,681929.0
2020-08-13,706239.0
2020-08-14,752594.0
2020-08-15,766693.0
2020-08-16,767577.0
2020-08-17,791511.0
2020-08-18,791125.0
2020-08-19,770444.0
2020-08-20,772432.0
2020-08-21,759414.0
2020-08-22,731122.0
2020-08-23,707299.0
2020-08-24,731827.0
2020-08-25,741189.0
2020-08-26,726779.0
2020-08-27,711278.0
2020-08-28,695869.0
2020-08-29,691820.0
2020-08-30,650514.0
2020-08-31,653149.0
2020-09-01,637284.0
2020-09-02,642966.0
2020-09-03,690447.0
2020-09-04,711801.0
2020-09-05,707977.0
2020-09-06,724052.0
2020-09-07,679777.0
2020-09-08,546156.0
2020-09-09,476914.0
2020-09-10,497597.0
2020-09-11,505717.0
2020-09-12,535973.0
2020-09-13,557093.0
2020-09-14,594688.0
2020-09-15,603289.0
2020-09-16,609024.0
2020-09-17,606643.0
2020-09-18,593812.0
2020-09-19,590180.0
2020-09-20,567728.0
2020-09-21,597808.0
2020-09-22,598050.0
2020-09-23,586648.0
2020-09-24,593719.0
2020-09-25,581837.0
2020-09-26,554476.0
2020-09-27,545620.0
2020-09-28,527061.0
2020-09-29,518375.0
2020-09-30,533462.0
2020-10-01,549872.0
2020-10-02,540629.0
2020-10-03,522739.0
2020-10-04,514948.0
2020-10-05,523679.0
2020-10-06,521857.0
2020-10-07,519151.0
2020-10-08,520198.0
2020-10-09,504473.0
2020-10-10,476955.0
2020-10-11,488766.0
2020-10-12,494691.0
2020-10-13,493303.0
2020-10-14,504212.0
2020-10-15,498179.0
2020-10-16,476420.0
2020-10-17,464297.0
2020-10-18,467740.0
2020-10-19,485884.0
2020-10-20,481029.0
2020-10-21,470463.0
2020-10-22,469344.0
2020-10-23,446694.0
2020-10-24,430620.0
2020-10-25,430003.0
2020-10-26,420989.0
2020-10-27,422934.0
2020-10-28,422178.0
2020-10-29,425171.0
2020-10-30,417777.0
2020-10-31,409832.0
2020-11-01,430340.0
2020-11-02,443813.0
2020-11-03,452301.0
2020-11-04,450697.0
2020-11-05,446398.0
2020-11-06,447395.0
2020-11-07,418826.0
2020-11-08,424500.0
2020-11-09,443084.0
2020-11-10,442512.0
2020-11-11,437447.0
2020-11-12,437370.0
2020-11-13,435751.0
2020-11-14,415950.0
2020-11-15,408863.0
2020-11-16,422149.0
2020-11-17,422452.0
2020-11-18,429341.0
2020-11-19,427593.0
2020-11-20,434685.0
2020-11-21,421677.0
2020-11-22,415158.0
2020-11-23,435890.0
2020-11-24,433877.0
2020-11-25,441997.0
2020-11-26,435502.0
2020-11-27,433195.0
2020-11-28,435696.0
2020-11-29,432863.0
2020-11-30,445258.0
2020-12-01,447958.0
2020-12-02,450430.0
2020-12-03,459558.0
2020-12-04,464750.0
2020-12-05,448486.0
2020-12-06,442609.0
2020-12-07,449503.0
2020-12-08,450303.0
2020-12-09,450215.0
2020-12-10,452192.0
2020-12-11,468193.0
2020-12-12,453617.0
2020-12-13,465274.0
2020-12-14,472077.0
2020-12-15,470229.0
2020-12-16,471211.0
2020-12-17,470199.0
2020-12-18,463395.0
2020-12-19,453815.0
2020-12-20,448173.0
2020-12-21,453245.0
2020-12-22,451135.0
2020-12-23,468495.0
2020-12-24,478352.0
2020-12-25,449063.0
2020-12-26,453863.0
2020-12-27,458823.0
2020-12-28,477167.0
2020-12-29,470983.0
2020-12-30,474313.0
2020-12-31,470973.0
2021-01-01,448386.0
2021-01-02,449452.0
2021-01-03,442635.0
2021-01-04,454011.0
2021-01-05,450897.0
2021-01-06,456820.0
2021-01-07,460930.0
2021-01-08,458703.0
2021-01-09,446397.0
2021-01-10,451373.0
2021-01-11,461053.0
2021-01-12,466943.0
2021-01-13,451144.0
2021-01-14,442439.0
2021-01-15,436708.0
2021-01-16,418359.0
2021-01-17,417579.0
2021-01-18,432238.0
2021-01-19,450195.0
2021-01-20,442844.0
2021-01-21,440794.0
2021-01-22,442889.0
2021-01-23,440628.0
2021-01-24,440044.0
2021-01-25,479164.0
2021-01-26,490941.0
2021-01-27,483272.0
