period,value
2020-01-01,4302831.0
2020-01-02,4538652.0
2020-01-03,4503762.0
2020-01-04,4381331.0
2020-01-05,4400074.0
2020-01-06,4664058.0
2020-01-07,4497135.0
2020-01-08,4601682.0
2020-01-09,4755010.0
2020-01-10,4836982.0
2020-01-11,4595657.0
2020-01-12,4590442.0
2020-01-13,4974863.0
2020-01-14,5041958.0
2020-01-15,5049803.0
2020-01-16,4891683.0
2020-01-17,4871076.0
2020-01-18,4614943.0
2020-01-19,4406830.0
2020-01-20,4614895.0
2020-01-21,4616013.0
2020-01-22,4584818.0
2020-01-23,4482676.0
2020-01-24,4388242.0
2020-01-25,4194115.0
2020-01-26,4174787.0
2020-01-27,4510921.0
2020-01-28,4512650.0
2020-01-29,4540895.0
2020-01-30,4554475.0
2020-01-31,4387810.0
2020-02-01,4144290.0
2020-02-02,4284294.0
2020-02-03,4819452.0
2020-02-04,5058090.0
2020-02-05,4879831.0
2020-02-06,4619964.0
2020-02-07,4496714.0
2020-02-08,4342489.0
2020-02-09,4437575.0
2020-02-10,4653517.0
2020-02-11,4701875.0
2020-02-12,4592478.0
2020-02-13,4664035.0
2020-02-14,4521205.0
2020-02-15,4368203.0
2020-02-16,4251611.0
2020-02-17,4509482.0
2020-02-18,4686659.0
2020-02-19,4729178.0
2020-02-20,4672304.0
2020-02-21,4558432.0
2020-02-22,4253926.0
2020-02-23,4226499.0
2020-02-24,4534900.0
2020-02-25,4619594.0
2020-02-26,4452884.0
2020-02-27,4364647.0
2020-02-28,4305765.0
2020-02-29,4168442.0
2020-03-01,4255366.0
2020-03-02,4496577.0
2020-03-03,4299006.0
2020-03-04,4232081.0
2020-03-05,4253195.0
2020-03-06,4232385.0
2020-03-07,4092275.0
2020-03-08,4021001.0
2020-03-09,4313314.0
2020-03-10,4305123.0
2020-03-11,4185892.0
2020-03-12,4244209.0
2020-03-13,4467863.0
2020-03-14,4399748.0
2020-03-15,4298738.0
2020-03-17,4251149.0
2020-03-18,4147263.0
2020-03-19,4205733.0
2020-03-20,4147408.0
2020-03-21,3906241.0
2020-03-22,3848303.0
2020-03-23,4072003.0
2020-03-24,4140757.0
2020-03-25,4136246.0
2020-03-26,4169449.0
2020-03-27,4143135.0
2020-03-28,3905128.0
2020-03-29,3759558.0
2020-03-30,4012395.0
2020-03-31,4043818.0
2020-04-01,4056318.0
2020-04-02,4171912.0
2020-04-03,4135769.0
2020-04-04,3880374.0
2020-04-05,3703217.0
2020-04-06,3843039.0
2020-04-07,3805222.0
2020-04-08,3770245.0
2020-04-09,3715127.0
2020-04-10,3646046.0
2020-04-11,3585276.0
2020-04-12,3699580.0
2020-04-13,3979175.0
2020-04-14,3939842.0
2020-04-15,3864104.0
2020-04-16,4234784.0
2020-04-17,4186647.0
2020-04-18,3660550.0
2020-04-19,3577528.0
2020-04-20,3739005.0
2020-04-21,3759474.0
2020-04-22,3825601.0
2020-04-23,3815053.0
2020-04-24,3754977.0
2020-04-25,3610742.0
2020-04-26,3604886.0
2020-04-27,3819806.0
2020-04-28,3834035.0
2020-04-29,3890731.0
2020-04-30,3894056.0
2020-05-01,3876272.0
2020-05-02,3700439.0
2020-05-04,3867549.0
2020-05-05,3802403.0
2020-05-06,3888920.0
2020-05-07,3900892.0
2020-05-08,3850974.0
2020-05-09,3762834.0
2020-05-10,3711142.0
2020-05-11,3935478.0
2020-05-12,3881407.0
2020-05-13,3844262.0
2020-05-14,3833581.0
2020-05-15,3817760.0
2020-05-16,3676936.0
2020-05-17,3666314.0
2020-05-18,3958437.0
2020-05-19,3931572.0
2020-05-20,3915978.0
2020-05-21,3853257.0
2020-05-22,3868079.0
2020-05-23,3602508.0
2020-05-24,3496335.0
2020-05-25,3591837.0
2020-05-26,3958616.0
2020-05-27,4163398.0
2020-05-28,4360414.0
2020-05-29,4484387.0
2020-05-30,4171352.0
2020-05-31,3946108.0
2020-06-01,4323488.0
2020-06-02,4381010.0
2020-06-03,4464299.0
2020-06-04,4451696.0
2020-06-05,4446537.0
2020-06-06,3950031.0
2020-06-07,3799226.0
2020-06-08,3920866.0
2020-06-09,3897149.0
2020-06-10,4043334.0
2020-06-11,4257220.0
2020-06-12,4344016.0
2020-06-13,4038791.0
2020-06-14,3949070.0
2020-06-15,4229848.0
2020-06-16,4272312.0
2020-06-17,4183415.0
2020-06-18,4065067.0
2020-06-19,4132081.0
2020-06-20,4077678.0
2020-06-21,4153941.0
2020-06-22,4562930.0
2020-06-23,4795445.0
2020-06-24,4843698.0
2020-06-25,4765913.0
2020-06-26,4749710.0
2020-06-27,4430611.0
2020-06-28,4199769.0
2020-06-29,4227205.0
2020-06-30,4042370.0
2020-07-01,4221324.0
2020-07-02,4416840.0
2020-07-03,4362893.0
2020-07-04,4236643.0
2020-07-05,4282396.0
2020-07-06,4665412.0
2020-07-07,4718602.0
2020-07-08,4675648.0
2020-07-09,4708405.0
2020-07-10,4853570.0
2020-07-11,4767048.0
2020-07-12,4748551.0
2020-07-13,4928135.0
2020-07-14,4762883.0
2020-07-15,4801981.0
2020-07-16,4918113.0
2020-07-17,4929372.0
2020-07-18,4774565.0
2020-07-19,4718341.0
2020-07-20,5073780.0
2020-07-21,5080706.0
2020-07-22,4937491.0
2020-07-23,4823626.0
2020-07-24,4657642.0
2020-07-25,4456560.0
2020-07-26,4558836.0
2020-07-27,4990831.0
2020-07-28,4970699.0
2020-07-29,4995280.0
2020-07-30,5094973.0
2020-07-31,5139467.0
2020-08-01,4826499.0
2020-08-02,4754265.0
2020-08-03,4935547.0
2020-08-04,4984953.0
2020-08-05,4935049.0
2020-08-06,4769381.0
2020-08-07,4657821.0
2020-08-08,4490634.0
2020-08-09,4482239.0
2020-08-10,4829407.0
2020-08-11,4853115.0
2020-08-12,4703544.0
2020-08-13,4732994.0
2020-08-14,4800036.0
2020-08-15,4781776.0
2020-08-16,4881912.0
2020-08-17,5289122.0
2020-08-18,5272799.0
2020-08-19,5128747.0
2020-08-20,4999170.0
2020-08-21,4915321.0
2020-08-22,4671245.0
2020-08-23,4573338.0
2020-08-24,4889787.0
2020-08-25,4904063.0
2020-08-26,4805196.0
2020-08-27,4778938.0
2020-08-28,4621773.0
2020-08-29,4337654.0
2020-08-30,4181174.0
2020-08-31,4254491.0
2020-09-01,4379242.0
2020-09-02,4593705.0
2020-09-03,4671239.0
2020-09-04,4705837.0
2020-09-05,4511163.0
2020-09-06,4463348.0
2020-09-07,4274607.0
2020-09-08,3927030.0
2020-09-09,3953339.0
2020-09-10,4006710.0
2020-09-11,3909836.0
2020-09-12,3795445.0
2020-09-13,3826375.0
2020-09-14,4124457.0
2020-09-15,4155920.0
2020-09-16,4097236.0
2020-09-17,4137075.0
2020-09-18,4084188.0
2020-09-19,3925009.0
2020-09-20,3801045.0
2020-09-21,4092756.0
2020-09-22,4154767.0
2020-09-23,4124882.0
2020-09-24,4119196.0
2020-09-25,4072809.0
2020-09-26,3829682.0
2020-09-27,3667964.0
2020-09-28,3850479.0
2020-09-29,3946293.0
2020-09-30,3952253.0
2020-10-01,3947917.0
2020-10-02,3910212.0
2020-10-03,3683593.0
2020-10-04,3677973.0
2020-10-05,3909888.0
2020-10-06,3941887.0
2020-10-07,3927714.0
2020-10-08,3938070.0
2020-10-09,4184272.0
2020-10-10,4008554.0
2020-10-11,3658009.0
2020-10-12,3826675.0
2020-10-13,3903580.0
2020-10-14,3900581.0
2020-10-15,3907095.0
2020-10-16,3861990.0
2020-10-17,3635523.0
2020-10-18,3658990.0
2020-10-19,3861855.0
2020-10-20,3867063.0
2020-10-21,3940388.0
2020-10-22,4075867.0
2020-10-23,4221746.0
2020-10-24,3963369.0
2020-10-25,4221926.0
2020-10-26,4497538.0
2020-10-27,4319860.0
2020-10-28,4129308.0
2020-10-29,3993985.0
2020-10-30,3919581.0
2020-10-31,3773571.0
2020-11-01,3913967.0
2020-11-02,4017416.0
2020-11-03,4033932.0
2020-11-04,3850002.0
2020-11-05,3859714.0
2020-11-06,3961995.0
2020-11-07,3939788.0
2020-11-08,4078869.0
2020-11-09,4545888.0
2020-11-10,4397392.0
2020-11-11,4348150.0
2020-11-12,4431799.0
2020-11-13,4328746.0
2020-11-14,4182590.0
2020-11-15,4011892.0
2020-11-16,4155014.0
2020-11-17,4109913.0
2020-11-18,4125939.0
2020-11-19,4159755.0
2020-11-20,4259177.0
2020-11-21,4159919.0
2020-11-22,4239485.0
2020-11-23,4371355.0
2020-11-24,4376371.0
2020-11-25,4423053.0
2020-11-26,4148525.0
2020-11-27,4125797.0
2020-11-28,4155720.0
2020-11-29,4238298.0
2020-11-30,4420968.0
2020-12-01,4511830.0
2020-12-02,4617792.0
2020-12-03,4623613.0
2020-12-04,4579759.0
2020-12-05,4425189.0
2020-12-06,4301025.0
2020-12-07,4529081.0
2020-12-08,4457642.0
2020-12-09,4374072.0
2020-12-10,4609118.0
2020-12-11,4725731.0
2020-12-12,4607554.0
2020-12-13,4612754.0
2020-12-14,4674735.0
2020-12-15,4704242.0
2020-12-16,4610262.0
2020-12-17,4592795.0
2020-12-18,4551607.0
2020-12-19,4346267.0
2020-12-20,4224955.0
2020-12-21,4321279.0
2020-12-22,4545817.0
2020-12-23,4785080.0
2020-12-24,4664333.0
2020-12-25,4356027.0
2020-12-26,4262883.0
2020-12-27,4321744.0
2020-12-28,4777920.0
2020-12-29,4823593.0
2020-12-30,4750919.0
2020-12-31,4484598.0
2021-01-01,4613430.0
2021-01-02,4642937.0
2021-01-03,4595232.0
2021-01-04,4839053.0
2021-01-05,4918679.0
2021-01-06,4893339.0
2021-01-07,4915434.0
2021-01-08,4905586.0
2021-01-09,4881401.0
2021-01-10,4764767.0
2021-01-11,4996799.0
2021-01-12,4852903.0
2021-01-13,4607884.0
2021-01-14,4828456.0
2021-01-15,4810130.0
2021-01-16,4619829.0
2021-01-17,4546807.0
2021-01-18,4855879.0
2021-01-19,5048016.0
2021-01-20,5012421.0
2021-01-21,4894639.0
2021-01-22,4921143.0
2021-01-23,4917661.0
2021-01-24,4933572.0
2021-01-25,5170951.0
2021-01-26,5310146.0
2021-01-27,5199086.0
2021-01-28,4974836.0
2021-01-29,4862258.0
2021-01-30,4647352.0
2021-01-31,4563972.0
2021-02-01,4778568.0
2021-02-02,4768543.0
2021-02-03,4854063.0
2021-02-04,4970118.0
2021-02-05,4862539.0
2021-02-06,4697283.0
2021-02-07,4630437.0
2021-02-08,5008551.0
2021-02-09,5116577.0
2021-02-10,5194544.0
2021-02-11,5344985.0
2021-02-12,5507944.0
