period,value
2020-01-01,166348.0
2020-01-02,173846.0
2020-01-03,174086.0
2020-01-04,170316.0
2020-01-05,172479.0
2020-01-06,176605.0
2020-01-07,172979.0
2020-01-08,173561.0
2020-01-09,180653.0
2020-01-10,186765.0
2020-01-11,176950.0
2020-01-12,179918.0
2020-01-13,195501.0
2020-01-14,198592.0
2020-01-15,197220.0
2020-01-16,190882.0
2020-01-17,187023.0
2020-01-18,181658.0
2020-01-19,172632.0
2020-01-20,176248.0
2020-01-21,171161.0
2020-01-22,171961.0
2020-01-23,170846.0
2020-01-24,168442.0
2020-01-25,163831.0
2020-01-26,169482.0
2020-01-27,177388.0
2020-01-28,178803.0
2020-01-29,172657.0
2020-01-30,174224.0
2020-01-31,174723.0
2020-02-01,162149.0
2020-02-02,172437.0
2020-02-03,184651.0
2020-02-04,189656.0
2020-02-05,188846.0
2020-02-06,183294.0
2020-02-07,178948.0
2020-02-08,172131.0
2020-02-09,179121.0
2020-02-10,181368.0
2020-02-11,185389.0
2020-02-12,182159.0
2020-02-13,178000.0
2020-02-14,176743.0
2020-02-15,173397.0
2020-02-16,169169.0
2020-02-17,178264.0
2020-02-18,185602.0
2020-02-19,187213.0
2020-02-20,185155.0
2020-02-21,179978.0
2020-02-22,162580.0
2020-02-23,159182.0
2020-02-24,177824.0
2020-02-25,178102.0
2020-02-26,177170.0
2020-02-27,173651.0
2020-02-28,168919.0
2020-02-29,164132.0
2020-03-01,167080.0
2020-03-02,175840.0
2020-03-03,168023.0
2020-03-04,167795.0
2020-03-05,166072.0
2020-03-06,160481.0
2020-03-07,159305.0
2020-03-08,158755.0
2020-03-09,170655.0
2020-03-10,170025.0
2020-03-11,165002.0
2020-03-12,171486.0
2020-03-13,182275.0
2020-03-14,187977.0
2020-03-15,186325.0
2020-03-17,176404.0
2020-03-18,175991.0
2020-03-19,179125.0
2020-03-20,174101.0
2020-03-21,163472.0
2020-03-22,161308.0
2020-03-23,164587.0
2020-03-24,166731.0
2020-03-25,169041.0
2020-03-26,168902.0
2020-03-27,166687.0
2020-03-28,161063.0
2020-03-29,155844.0
2020-03-30,160019.0
2020-03-31,165275.0
2020-04-01,172658.0
2020-04-02,172924.0
2020-04-03,165171.0
2020-04-04,156127.0
2020-04-05,151578.0
2020-04-06,154480.0
2020-04-07,152584.0
2020-04-08,151579.0
2020-04-09,151548.0
2020-04-10,149132.0
2020-04-11,160583.0
2020-04-12,162645.0
2020-04-13,168876.0
2020-04-14,166461.0
2020-04-15,167365.0
2020-04-16,164575.0
2020-04-17,160467.0
2020-04-18,150110.0
2020-04-19,149191.0
2020-04-20,152155.0
2020-04-21,148138.0
2020-04-22,151085.0
2020-04-23,149254.0
2020-04-24,149531.0
2020-04-25,145767.0
2020-04-26,142349.0
2020-04-27,149664.0
2020-04-28,148725.0
2020-04-29,149774.0
2020-04-30,149643.0
