period,value
2020-01-01,1974540.0
2020-01-02,2081785.0
2020-01-03,2055917.0
2020-01-04,1950945.0
2020-01-05,1987119.0
2020-01-06,2162835.0
2020-01-07,2164057.0
2020-01-08,2219027.0
2020-01-09,2281318.0
2020-01-10,2138430.0
2020-01-11,1866003.0
2020-01-12,1838750.0
2020-01-13,2102284.0
2020-01-14,2089543.0
2020-01-15,2041297.0
2020-01-16,2134281.0
2020-01-17,2297643.0
2020-01-18,2235281.0
2020-01-19,2067503.0
2020-01-20,2283463.0
2020-01-21,2329793.0
2020-01-22,2249576.0
2020-01-23,2192792.0
2020-01-24,2096012.0
2020-01-25,2012510.0
2020-01-26,1949491.0
2020-01-27,2121586.0
2020-01-28,2140311.0
2020-01-29,2169018.0
2020-01-30,2216819.0
2020-01-31,2165589.0
2020-02-01,2009126.0
2020-02-02,1968744.0
2020-02-03,2054721.0
2020-02-04,2075189.0
2020-02-05,2108980.0
2020-02-06,2168499.0
2020-02-07,2161337.0
2020-02-08,2076458.0
2020-02-09,2028861.0
2020-02-10,2122837.0
2020-02-11,2099997.0
2020-02-12,2079486.0
2020-02-13,2147597.0
2020-02-14,2223338.0
2020-02-15,2172042.0
2020-02-16,2004819.0
2020-02-17,2032630.0
2020-02-18,2140685.0
2020-02-19,2087490.0
2020-02-20,2201040.0
2020-02-21,2200365.0
2020-02-22,1980263.0
2020-02-23,1877627.0
2020-02-24,1983172.0
2020-02-25,2021157.0
2020-02-26,2056046.0
2020-02-27,2125861.0
2020-02-28,2173180.0
2020-02-29,2072799.0
2020-03-01,1975807.0
2020-03-02,2013101.0
2020-03-03,1960281.0
2020-03-04,1968551.0
2020-03-05,1970347.0
2020-03-06,2046963.0
2020-03-07,1903845.0
2020-03-08,1758382.0
2020-03-09,1877507.0
2020-03-10,1914590.0
2020-03-11,1926700.0
2020-03-12,1969756.0
2020-03-13,1924327.0
2020-03-14,1810378.0
2020-03-15,1772342.0
2020-03-17,1972973.0
2020-03-18,1881784.0
2020-03-19,1899115.0
2020-03-20,1837045.0
2020-03-21,1725174.0
2020-03-22,1762328.0
2020-03-23,1980173.0
2020-03-24,1852436.0
2020-03-25,1871113.0
2020-03-26,1770043.0
2020-03-27,1698394.0
2020-03-28,1739369.0
2020-03-29,1722250.0
2020-03-30,1808717.0
2020-03-31,1808913.0
2020-04-01,1748708.0
2020-04-02,1756902.0
2020-04-03,1790933.0
2020-04-04,1635265.0
2020-04-05,1610075.0
2020-04-06,1667807.0
2020-04-07,1653646.0
2020-04-08,1694196.0
2020-04-09,1768223.0
2020-04-10,1791896.0
2020-04-11,1665750.0
2020-04-12,1615913.0
2020-04-13,1745207.0
2020-04-14,1704596.0
2020-04-15,1732035.0
2020-04-16,1772711.0
2020-04-17,1778013.0
2020-04-18,1728571.0
2020-04-19,1622417.0
2020-04-20,1702403.0
2020-04-21,1796314.0
