period,value
2020-01-01,686151.0
2020-01-02,710936.0
2020-01-03,705097.0
2020-01-04,682526.0
2020-01-05,682638.0
2020-01-06,709965.0
2020-01-07,695708.0
2020-01-08,706789.0
2020-01-09,709508.0
2020-01-10,710568.0
2020-01-11,696062.0
2020-01-12,684357.0
2020-01-13,718622.0
2020-01-14,714712.0
2020-01-15,707689.0
2020-01-16,707504.0
2020-01-17,694838.0
2020-01-18,686861.0
2020-01-19,677520.0
2020-01-20,719347.0
2020-01-21,705563.0
2020-01-22,691602.0
2020-01-23,693375.0
2020-01-24,691584.0
2020-01-25,657161.0
2020-01-26,645902.0
2020-01-27,693363.0
2020-01-28,695706.0
2020-01-29,695174.0
2020-01-30,692820.0
2020-01-31,686465.0
2020-02-01,640069.0
2020-02-02,618933.0
2020-02-03,709011.0
2020-02-04,720287.0
2020-02-05,710300.0
2020-02-06,695099.0
2020-02-07,683237.0
2020-02-08,649519.0
2020-02-09,644731.0
2020-02-10,696212.0
2020-02-11,704075.0
2020-02-12,696099.0
2020-02-13,684200.0
2020-02-14,673985.0
2020-02-15,651945.0
2020-02-16,637262.0
2020-02-17,673686.0
2020-02-18,701832.0
2020-02-19,705024.0
2020-02-20,706280.0
2020-02-21,688151.0
2020-02-22,654707.0
2020-02-23,635990.0
2020-02-24,675892.0
2020-02-25,685358.0
2020-02-26,682838.0
2020-02-27,666797.0
2020-02-28,650271.0
2020-02-29,612464.0
2020-03-01,632917.0
2020-03-02,685618.0
2020-03-03,677636.0
2020-03-04,653966.0
2020-03-05,628512.0
2020-03-06,616033.0
2020-03-07,598162.0
2020-03-08,579645.0
2020-03-09,637647.0
2020-03-10,620031.0
2020-03-11,620048.0
2020-03-12,615210.0
2020-03-13,626940.0
2020-03-14,615895.0
2020-03-15,595187.0
2020-03-17,625819.0
2020-03-18,602457.0
2020-03-19,628573.0
2020-03-20,634332.0
2020-03-21,593465.0
2020-03-22,579247.0
2020-03-23,617615.0
2020-03-24,598353.0
2020-03-25,590058.0
2020-03-26,595605.0
2020-03-27,592155.0
2020-03-28,571541.0
2020-03-29,547921.0
2020-03-30,571667.0
2020-03-31,570116.0
2020-04-01,545114.0
2020-04-02,580141.0
2020-04-03,551001.0
2020-04-04,532348.0
2020-04-05,526515.0
2020-04-06,557772.0
2020-04-07,546022.0
2020-04-08,547263.0
2020-04-09,547184.0
2020-04-10,539901.0
2020-04-11,546214.0
2020-04-12,539786.0
2020-04-13,586712.0
2020-04-14,579898.0
2020-04-15,580510.0
2020-04-16,572678.0
2020-04-17,565627.0
2020-04-18,534897.0
2020-04-19,536894.0
2020-04-20,556570.0
2020-04-21,558626.0
2020-04-22,550076.0
2020-04-23,568559.0
2020-04-24,533483.0
2020-04-25,508793.0
2020-04-26,504389.0
2020-04-27,541301.0
2020-04-28,518519.0
2020-04-29,557187.0
2020-04-30,545486.0
2020-05-01,537064.0
2020-05-02,515806.0
2020-05-04,572349.0
2020-05-05,558849.0
2020-05-06,571839.0
2020-05-07,556902.0
2020-05-08,558539.0
2020-05-09,552404.0
2020-05-10,518010.0
2020-05-11,582271.0
2020-05-12,582976.0
2020-05-13,553325.0
2020-05-14,545987.0
2020-05-15,546079.0
2020-05-16,526142.0
2020-05-17,544918.0
2020-05-18,631524.0
2020-05-19,604686.0
2020-05-20,577350.0
2020-05-21,578311.0
2020-05-22,586104.0
2020-05-23,536328.0
2020-05-24,519496.0
2020-05-25,543266.0
2020-05-26,598524.0
2020-05-27,616254.0
2020-05-28,667503.0
2020-05-29,694952.0
2020-05-30,667203.0
2020-05-31,637609.0
2020-06-01,708964.0
2020-06-02,692683.0
2020-06-03,707306.0
2020-06-04,710533.0
2020-06-05,703858.0
2020-06-06,618695.0
2020-06-07,546060.0
2020-06-08,579318.0
2020-06-09,568170.0
2020-06-10,599237.0
2020-06-11,659067.0
2020-06-12,703060.0
2020-06-13,665532.0
2020-06-14,601152.0
2020-06-15,658934.0
2020-06-16,625715.0
2020-06-17,590528.0
2020-06-18,574389.0
2020-06-19,596693.0
2020-06-20,587749.0
2020-06-21,637514.0
2020-06-22,712392.0
2020-06-23,724343.0
2020-06-24,742832.0
2020-06-25,726269.0
2020-06-26,721173.0
2020-06-27,716546.0
2020-06-28,657985.0
2020-06-29,561637.0
2020-06-30,548518.0
2020-07-01,597897.0
2020-07-02,652049.0
2020-07-03,683096.0
2020-07-04,685591.0
2020-07-05,687146.0
2020-07-06,765908.0
2020-07-07,782072.0
2020-07-08,738066.0
2020-07-09,742935.0
2020-07-10,767312.0
2020-07-11,749581.0
2020-07-12,751730.0
2020-07-13,791746.0
2020-07-14,754393.0
2020-07-15,739271.0
2020-07-16,757061.0
2020-07-17,781831.0
2020-07-18,775478.0
2020-07-19,738336.0
2020-07-20,762306.0
2020-07-21,764830.0
2020-07-22,708860.0
2020-07-23,713245.0
2020-07-24,703525.0
2020-07-25,718911.0
2020-07-26,735906.0
2020-07-27,772550.0
2020-07-28,757534.0
2020-07-29,740715.0
2020-07-30,784413.0
2020-07-31,798910.0
2020-08-01,769101.0
2020-08-02,769019.0
2020-08-03,793111.0
2020-08-04,776576.0
2020-08-05,765888.0
2020-08-06,769087.0
2020-08-07,752343.0
2020-08-08,695183.0
2020-08-09,701020.0
2020-08-10,752159.0
2020-08-11,756387.0
2020-08-12,750167.0
2020-08-13,749822.0
2020-08-14,737950.0
2020-08-15,711679.0
2020-08-16,720082.0
2020-08-17,799959.0
2020-08-18,803053.0
2020-08-19,811896.0
2020-08-20,789383.0
2020-08-21,754442.0
2020-08-22,742779.0
2020-08-23,731263.0
2020-08-24,786191.0
2020-08-25,779441.0
2020-08-26,766714.0
2020-08-27,774649.0
2020-08-28,735314.0
2020-08-29,691928.0
2020-08-30,679074.0
2020-08-31,632638.0
2020-09-01,606516.0
2020-09-02,645331.0
2020-09-03,699465.0
2020-09-04,709397.0
2020-09-05,693299.0
2020-09-06,686542.0
2020-09-07,642970.0
2020-09-08,545304.0
2020-09-09,544360.0
2020-09-10,578644.0
2020-09-11,583848.0
2020-09-12,585337.0
2020-09-13,598677.0
2020-09-14,661040.0
2020-09-15,649898.0
2020-09-16,636414.0
2020-09-17,658228.0
2020-09-18,647664.0
2020-09-19,622285.0
2020-09-20,565518.0
2020-09-21,639844.0
2020-09-22,670272.0
2020-09-23,667578.0
2020-09-24,662731.0
2020-09-25,641765.0
2020-09-26,591177.0
2020-09-27,561360.0
2020-09-28,586597.0
2020-09-29,606468.0
2020-09-30,609904.0
2020-10-01,612427.0
2020-10-02,601053.0
2020-10-03,562675.0
2020-10-04,568903.0
2020-10-05,615010.0
2020-10-06,603615.0
2020-10-07,597828.0
2020-10-08,608474.0
2020-10-09,583318.0
2020-10-10,567168.0
2020-10-11,529869.0
2020-10-12,567371.0
2020-10-13,565742.0
2020-10-14,578235.0
2020-10-15,563885.0
2020-10-16,554515.0
2020-10-17,535838.0
2020-10-18,521861.0
2020-10-19,587247.0
2020-10-20,583827.0
2020-10-21,587032.0
2020-10-22,596721.0
2020-10-23,605797.0
2020-10-24,601842.0
2020-10-25,614750.0
2020-10-26,664315.0
2020-10-27,615279.0
2020-10-28,611258.0
2020-10-29,620152.0
2020-10-30,604157.0
2020-10-31,580262.0
2020-11-01,587541.0
2020-11-02,606672.0
2020-11-03,585649.0
2020-11-04,582673.0
2020-11-05,590057.0
2020-11-06,586511.0
2020-11-07,559153.0
2020-11-08,595787.0
2020-11-09,649436.0
2020-11-10,637434.0
2020-11-11,647808.0
2020-11-12,640193.0
2020-11-13,630120.0
2020-11-14,609974.0
2020-11-15,589988.0
2020-11-16,619213.0
2020-11-17,611743.0
2020-11-18,599068.0
2020-11-19,601744.0
2020-11-20,622289.0
2020-11-21,613604.0
2020-11-22,617874.0
2020-11-23,649143.0
2020-11-24,647932.0
2020-11-25,628546.0
2020-11-26,607297.0
2020-11-27,588241.0
2020-11-28,606429.0
2020-11-29,617583.0
2020-11-30,661522.0
2020-12-01,643958.0
2020-12-02,673951.0
2020-12-03,677468.0
2020-12-04,674794.0
2020-12-05,645219.0
2020-12-06,639655.0
2020-12-07,674455.0
2020-12-08,661804.0
2020-12-09,662496.0
2020-12-10,668445.0
2020-12-11,683836.0
2020-12-12,663780.0
2020-12-13,687250.0
2020-12-14,689487.0
2020-12-15,690586.0
2020-12-16,668386.0
2020-12-17,680456.0
2020-12-18,665747.0
2020-12-19,642434.0
2020-12-20,627613.0
2020-12-21,629714.0
2020-12-22,676385.0
2020-12-23,671819.0
2020-12-24,643440.0
2020-12-25,595092.0
2020-12-26,618636.0
2020-12-27,621610.0
2020-12-28,689833.0
2020-12-29,679340.0
2020-12-30,686043.0
2020-12-31,664603.0
2021-01-01,648949.0
2021-01-02,641955.0
2021-01-03,630828.0
2021-01-04,673430.0
2021-01-05,675545.0
2021-01-06,706127.0
2021-01-07,700743.0
2021-01-08,699620.0
2021-01-09,683282.0
2021-01-10,680070.0
2021-01-11,704909.0
2021-01-12,692450.0
2021-01-13,677907.0
2021-01-14,683848.0
2021-01-15,675991.0
2021-01-16,643830.0
2021-01-17,639058.0
2021-01-18,677153.0
2021-01-19,675839.0
2021-01-20,667131.0
2021-01-21,671119.0
2021-01-22,673403.0
2021-01-23,658776.0
2021-01-24,660760.0
2021-01-25,697979.0
2021-01-26,691499.0
2021-01-27,697008.0
2021-01-28,670908.0
2021-01-29,645343.0
2021-01-30,631658.0
2021-01-31,628147.0
2021-02-01,676349.0
2021-02-02,650032.0
2021-02-03,645543.0
2021-02-04,672631.0
2021-02-05,674924.0
2021-02-06,624297.0
2021-02-07,581666.0
2021-02-08,634593.0
2021-02-09,651336.0
2021-02-10,629639.0
2021-02-11,612667.0
2021-02-12,598657.0
2021-02-13,600321.0
2021-02-14,603496.0
