period,value
2020-01-01,259523.0
2020-01-02,293918.0
2020-01-03,299149.0
2020-01-04,279876.0
2020-01-05,290977.0
2020-01-06,307517.0
2020-01-07,304510.0
2020-01-08,309981.0
2020-01-09,324012.0
2020-01-10,328070.0
2020-01-11,295991.0
2020-01-12,299614.0
2020-01-13,343667.0
2020-01-14,358277.0
2020-01-15,366404.0
2020-01-16,350218.0
2020-01-17,351128.0
2020-01-18,306754.0
2020-01-19,288453.0
2020-01-20,311055.0
2020-01-21,315020.0
2020-01-22,313885.0
2020-01-23,297273.0
2020-01-24,283312.0
2020-01-25,265512.0
2020-01-26,260246.0
2020-01-27,298117.0
2020-01-28,293799.0
2020-01-29,307192.0
2020-01-30,296007.0
2020-01-31,273473.0
2020-02-01,259940.0
2020-02-02,285492.0
2020-02-03,333320.0
2020-02-04,352503.0
2020-02-05,319823.0
2020-02-06,293446.0
2020-02-07,281217.0
2020-02-08,280773.0
2020-02-09,291810.0
2020-02-10,310714.0
2020-02-11,310678.0
2020-02-12,299334.0
2020-02-13,313790.0
2020-02-14,296506.0
2020-02-15,287170.0
2020-02-16,272288.0
2020-02-17,303324.0
2020-02-18,321898.0
2020-02-19,320001.0
2020-02-20,307715.0
2020-02-21,301497.0
2020-02-22,273182.0
2020-02-23,269410.0
2020-02-24,300153.0
2020-02-25,301948.0
2020-02-26,284532.0
2020-02-27,285709.0
2020-02-28,280389.0
2020-02-29,272707.0
2020-03-01,281951.0
2020-03-02,299163.0
2020-03-03,279744.0
2020-03-04,274483.0
2020-03-05,280304.0
2020-03-06,277663.0
2020-03-07,271970.0
2020-03-08,271258.0
2020-03-09,293558.0
2020-03-10,293072.0
2020-03-11,280938.0
2020-03-12,290318.0
2020-03-13,303070.0
2020-03-14,302811.0
2020-03-15,308989.0
2020-03-17,300245.0
2020-03-18,283802.0
2020-03-19,281042.0
2020-03-20,264984.0
2020-03-21,242416.0
2020-03-22,240919.0
2020-03-23,265495.0
2020-03-24,288097.0
2020-03-25,295847.0
2020-03-26,293927.0
2020-03-27,279544.0
2020-03-28,253243.0
2020-03-29,239735.0
2020-03-30,268267.0
2020-03-31,275451.0
2020-04-01,287484.0
2020-04-02,285923.0
2020-04-03,281492.0
2020-04-04,268940.0
2020-04-05,249399.0
2020-04-06,265081.0
2020-04-07,258952.0
2020-04-08,258930.0
2020-04-09,252335.0
2020-04-10,237870.0
2020-04-11,222011.0
2020-04-12,225941.0
2020-04-13,253107.0
2020-04-14,255312.0
2020-04-15,249441.0
2020-04-16,251708.0
2020-04-17,245038.0
2020-04-18,227653.0
2020-04-19,224424.0
2020-04-20,245084.0
2020-04-21,246024.0
2020-04-22,252582.0
2020-04-23,244649.0
2020-04-24,240689.0
2020-04-25,225114.0
2020-04-26,219698.0
2020-04-27,236432.0
2020-04-28,242075.0
2020-04-29,241604.0
2020-04-30,237362.0
2020-05-01,239449.0
2020-05-02,225813.0
2020-05-04,247722.0
2020-05-05,246935.0
2020-05-06,242859.0
2020-05-07,250190.0
2020-05-08,244409.0
2020-05-09,232064.0
2020-05-10,225014.0
2020-05-11,241779.0
2020-05-12,245677.0
2020-05-13,249151.0
2020-05-14,247973.0
2020-05-15,238783.0
2020-05-16,221695.0
2020-05-17,215299.0
2020-05-18,237720.0
2020-05-19,240766.0
2020-05-20,240848.0
2020-05-21,239963.0
2020-05-22,236852.0
2020-05-23,217752.0
2020-05-24,208819.0
2020-05-25,217570.0
2020-05-26,250560.0
2020-05-27,264993.0
2020-05-28,278414.0
2020-05-29,281049.0
2020-05-30,237800.0
2020-05-31,211339.0
2020-06-01,244969.0
2020-06-02,258055.0
2020-06-03,260990.0
2020-06-04,258858.0
2020-06-05,247429.0
2020-06-06,224942.0
2020-06-07,223043.0
2020-06-08,244547.0
2020-06-09,248904.0
2020-06-10,258495.0
2020-06-11,260350.0
2020-06-12,245272.0
2020-06-13,226312.0
2020-06-14,219843.0
2020-06-15,241097.0
2020-06-16,246817.0
2020-06-17,252994.0
2020-06-18,261169.0
2020-06-19,271109.0
2020-06-20,251029.0
2020-06-21,245756.0
2020-06-22,281580.0
2020-06-23,313524.0
2020-06-24,304994.0
2020-06-25,296600.0
2020-06-26,307597.0
2020-06-27,266466.0
2020-06-28,229124.0
2020-06-29,261237.0
2020-06-30,263305.0
2020-07-01,259937.0
2020-07-02,266543.0
2020-07-03,254933.0
2020-07-04,240359.0
2020-07-05,241564.0
2020-07-06,269617.0
2020-07-07,269214.0
2020-07-08,276332.0
2020-07-09,279547.0
2020-07-10,279486.0
2020-07-11,273958.0
2020-07-12,258823.0
2020-07-13,282614.0
2020-07-14,294313.0
2020-07-15,312263.0
2020-07-16,321940.0
2020-07-17,299805.0
2020-07-18,279299.0
2020-07-19,287714.0
2020-07-20,328514.0
2020-07-21,337735.0
2020-07-22,325971.0
2020-07-23,303041.0
2020-07-24,283318.0
2020-07-25,265307.0
2020-07-26,286088.0
2020-07-27,326237.0
2020-07-28,336354.0
2020-07-29,340291.0
2020-07-30,345531.0
2020-07-31,332640.0
2020-08-01,293039.0
2020-08-02,284123.0
2020-08-03,307392.0
2020-08-04,317062.0
2020-08-05,313739.0
2020-08-06,282947.0
2020-08-07,270315.0
2020-08-08,263162.0
2020-08-09,261524.0
2020-08-10,304808.0
2020-08-11,303051.0
2020-08-12,280921.0
2020-08-13,283045.0
2020-08-14,294242.0
2020-08-15,305564.0
2020-08-16,305785.0
2020-08-17,333188.0
2020-08-18,339160.0
2020-08-19,321003.0
2020-08-20,311495.0
2020-08-21,304095.0
2020-08-22,276016.0
2020-08-23,270047.0
2020-08-24,293105.0
2020-08-25,299318.0
2020-08-26,293707.0
2020-08-27,291382.0
2020-08-28,288894.0
2020-08-29,265558.0
2020-08-30,244561.0
2020-08-31,276636.0
2020-09-01,303359.0
2020-09-02,322874.0
2020-09-03,324817.0
2020-09-04,312128.0
2020-09-05,277074.0
2020-09-06,273492.0
2020-09-07,277841.0
2020-09-08,265862.0
2020-09-09,270977.0
2020-09-10,271551.0
2020-09-11,263026.0
2020-09-12,240502.0
2020-09-13,231921.0
2020-09-14,255052.0
2020-09-15,261984.0
2020-09-16,264437.0
2020-09-17,267415.0
2020-09-18,255563.0
2020-09-19,236557.0
2020-09-20,230770.0
2020-09-21,255168.0
2020-09-22,262279.0
2020-09-23,261099.0
2020-09-24,259566.0
2020-09-25,250369.0
2020-09-26,231747.0
2020-09-27,227735.0
2020-09-28,258834.0
2020-09-29,268447.0
2020-09-30,264300.0
2020-10-01,264482.0
2020-10-02,262841.0
2020-10-03,242609.0
2020-10-04,232910.0
2020-10-05,258026.0
2020-10-06,266544.0
2020-10-07,262640.0
2020-10-08,260391.0
2020-10-09,256383.0
2020-10-10,235726.0
2020-10-11,233932.0
2020-10-12,251255.0
2020-10-13,260272.0
2020-10-14,258999.0
2020-10-15,265257.0
2020-10-16,262221.0
2020-10-17,233340.0
2020-10-18,231687.0
2020-10-19,249803.0
2020-10-20,257793.0
2020-10-21,263806.0
2020-10-22,283319.0
2020-10-23,289579.0
2020-10-24,261163.0
2020-10-25,280887.0
2020-10-26,308482.0
2020-10-27,300678.0
2020-10-28,286504.0
2020-10-29,277474.0
2020-10-30,269623.0
2020-10-31,253570.0
2020-11-01,262858.0
2020-11-02,280856.0
2020-11-03,288202.0
2020-11-04,269270.0
2020-11-05,264390.0
2020-11-06,275060.0
2020-11-07,280036.0
2020-11-08,294546.0
2020-11-09,335042.0
2020-11-10,312110.0
2020-11-11,306424.0
2020-11-12,328951.0
2020-11-13,305019.0
2020-11-14,293722.0
2020-11-15,271309.0
2020-11-16,286336.0
2020-11-17,284973.0
2020-11-18,293826.0
2020-11-19,299968.0
2020-11-20,317939.0
2020-11-21,311967.0
2020-11-22,315719.0
2020-11-23,314791.0
2020-11-24,313485.0
2020-11-25,311959.0
2020-11-26,288329.0
2020-11-27,297391.0
2020-11-28,302802.0
2020-11-29,308142.0
2020-11-30,324150.0
2020-12-01,332480.0
2020-12-02,339875.0
2020-12-03,339022.0
2020-12-04,337192.0
2020-12-05,327270.0
2020-12-06,306160.0
2020-12-07,331570.0
2020-12-08,324653.0
2020-12-09,314488.0
