period,value
2020-01-01,269407.0
2020-01-02,300170.0
2020-01-03,291420.0
2020-01-04,286944.0
2020-01-05,293073.0
2020-01-06,314134.0
2020-01-07,300093.0
2020-01-08,312134.0
2020-01-09,330127.0
2020-01-10,323537.0
2020-01-11,300100.0
2020-01-12,303412.0
2020-01-13,337403.0
2020-01-14,340972.0
2020-01-15,354822.0
2020-01-16,334192.0
2020-01-17,338716.0
2020-01-18,302192.0
2020-01-19,282446.0
2020-01-20,312406.0
2020-01-21,312212.0
2020-01-22,311339.0
2020-01-23,296642.0
2020-01-24,287650.0
2020-01-25,266188.0
2020-01-26,268593.0
2020-01-27,305733.0
2020-01-28,302044.0
2020-01-29,306644.0
2020-01-30,297982.0
2020-01-31,280764.0
2020-02-01,271274.0
2020-02-02,295135.0
2020-02-03,328828.0
2020-02-04,346139.0
2020-02-05,321935.0
2020-02-06,295643.0
2020-02-07,288933.0
2020-02-08,286217.0
2020-02-09,296237.0
2020-02-10,313372.0
2020-02-11,327082.0
2020-02-12,310435.0
2020-02-13,327584.0
2020-02-14,308091.0
2020-02-15,295134.0
2020-02-16,280664.0
2020-02-17,305649.0
2020-02-18,318719.0
2020-02-19,310277.0
2020-02-20,305557.0
2020-02-21,299991.0
2020-02-22,280316.0
2020-02-23,280033.0
2020-02-24,307985.0
2020-02-25,307799.0
2020-02-26,289057.0
2020-02-27,292491.0
2020-02-28,288700.0
2020-02-29,285465.0
2020-03-01,292607.0
2020-03-02,310695.0
2020-03-03,285234.0
2020-03-04,280771.0
2020-03-05,288983.0
2020-03-06,296147.0
2020-03-07,286689.0
2020-03-08,277780.0
2020-03-09,306844.0
2020-03-10,298594.0
2020-03-11,292734.0
2020-03-12,299840.0
2020-03-13,316126.0
2020-03-14,312478.0
2020-03-15,302586.0
2020-03-17,290870.0
2020-03-18,282447.0
2020-03-19,280615.0
2020-03-20,268164.0
2020-03-21,252750.0
2020-03-22,254626.0
2020-03-23,280323.0
2020-03-24,293911.0
2020-03-25,292580.0
2020-03-26,293723.0
2020-03-27,290818.0
2020-03-28,267487.0
2020-03-29,255874.0
2020-03-30,284775.0
2020-03-31,283658.0
2020-04-01,294359.0
2020-04-02,289568.0
2020-04-03,292679.0
2020-04-04,271225.0
2020-04-05,252805.0
2020-04-06,266068.0
2020-04-07,262791.0
2020-04-08,262427.0
2020-04-09,253564.0
2020-04-10,245110.0
2020-04-11,235529.0
2020-04-12,238131.0
2020-04-13,257122.0
2020-04-14,255412.0
2020-04-15,253472.0
2020-04-16,251243.0
2020-04-17,248327.0
2020-04-18,242561.0
2020-04-19,235579.0
2020-04-20,250349.0
2020-04-21,252260.0
2020-04-22,261278.0
2020-04-23,252611.0
2020-04-24,252273.0
2020-04-25,234615.0
2020-04-26,232311.0
2020-04-27,248815.0
2020-04-28,248950.0
2020-04-29,247666.0
2020-04-30,244021.0
2020-05-01,247206.0
2020-05-02,239308.0
2020-05-04,255282.0
2020-05-05,249037.0
2020-05-06,247951.0
2020-05-07,250532.0
2020-05-08,249100.0
2020-05-09,251789.0
2020-05-10,254499.0
2020-05-11,252885.0
2020-05-12,248852.0
2020-05-13,249897.0
2020-05-14,254281.0
2020-05-15,244938.0
2020-05-16,234330.0
2020-05-17,228953.0
2020-05-18,252559.0
2020-05-19,253853.0
2020-05-20,256940.0
2020-05-21,252623.0
2020-05-22,249816.0
2020-05-23,231540.0
2020-05-24,226939.0
2020-05-25,234043.0
2020-05-26,252336.0
2020-05-27,262156.0
2020-05-28,288163.0
2020-05-29,282181.0
2020-05-30,234634.0
2020-05-31,221720.0
2020-06-01,247862.0
2020-06-02,254360.0
2020-06-03,272977.0
2020-06-04,251238.0
2020-06-05,247463.0
2020-06-06,232273.0
2020-06-07,232391.0
2020-06-08,250390.0
2020-06-09,256754.0
2020-06-10,260116.0
2020-06-11,258747.0
2020-06-12,249881.0
2020-06-13,234676.0
2020-06-14,229343.0
2020-06-15,251302.0
2020-06-16,253880.0
2020-06-17,254291.0
2020-06-18,260640.0
2020-06-19,274176.0
2020-06-20,247135.0
2020-06-21,238182.0
2020-06-22,274982.0
2020-06-23,314389.0
2020-06-24,295648.0
2020-06-25,282292.0
2020-06-26,296338.0
2020-06-27,248112.0
2020-06-28,232548.0
2020-06-29,255322.0
2020-06-30,255282.0
2020-07-01,251119.0
2020-07-02,249582.0
2020-07-03,237700.0
2020-07-04,228845.0
2020-07-05,233021.0
2020-07-06,251615.0
2020-07-07,254459.0
2020-07-08,261983.0
2020-07-09,264717.0
2020-07-10,276585.0
2020-07-11,253776.0
2020-07-12,248939.0
2020-07-13,269752.0
2020-07-14,283803.0
2020-07-15,303052.0
2020-07-16,307561.0
2020-07-17,275240.0
2020-07-18,260599.0
2020-07-19,290344.0
2020-07-20,334582.0
2020-07-21,332119.0
2020-07-22,304730.0
2020-07-23,278578.0
2020-07-24,258137.0
2020-07-25,250442.0
2020-07-26,298192.0
2020-07-27,352805.0
2020-07-28,335833.0
2020-07-29,330303.0
2020-07-30,346566.0
2020-07-31,326200.0
2020-08-01,278041.0
2020-08-02,286463.0
2020-08-03,306572.0
2020-08-04,317885.0
2020-08-05,313436.0
2020-08-06,271916.0
2020-08-07,267542.0
2020-08-08,256650.0
2020-08-09,255651.0
2020-08-10,308606.0
2020-08-11,283091.0
2020-08-12,268313.0
2020-08-13,268001.0
2020-08-14,285076.0
2020-08-15,312491.0
2020-08-16,327434.0
2020-08-17,343170.0
2020-08-18,327781.0
2020-08-19,315366.0
2020-08-20,307038.0
2020-08-21,292022.0
2020-08-22,261259.0
2020-08-23,262721.0
2020-08-24,285353.0
2020-08-25,286807.0
2020-08-26,284287.0
2020-08-27,284840.0
2020-08-28,284400.0
2020-08-29,255493.0
2020-08-30,239757.0
2020-08-31,271886.0
2020-09-01,299293.0
2020-09-02,327853.0
2020-09-03,333831.0
2020-09-04,313482.0
2020-09-05,257213.0
2020-09-06,266857.0
2020-09-07,284736.0
2020-09-08,268999.0
2020-09-09,287294.0
2020-09-10,281284.0
2020-09-11,252487.0
2020-09-12,239483.0
2020-09-13,238959.0
2020-09-14,259296.0
2020-09-15,272264.0
2020-09-16,271617.0
2020-09-17,274869.0
2020-09-18,270738.0
