period,value
2020-01-01,10058723.0
2020-01-02,10908749.0
2020-01-03,10340652.0
2020-01-04,9876810.0
2020-01-05,10500727.0
2020-01-06,11169442.0
2020-01-07,11657298.0
2020-01-08,11912976.0
2020-01-09,11979735.0
2020-01-10,10746416.0
2020-01-11,9340629.0
2020-01-12,9233569.0
2020-01-13,10647010.0
2020-01-14,10816506.0
2020-01-15,10543479.0
2020-01-16,11034707.0
2020-01-17,12116036.0
2020-01-18,11566838.0
2020-01-19,11357447.0
2020-01-20,12763216.0
2020-01-21,12884324.0
2020-01-22,12516159.0
2020-01-23,12028101.0
2020-01-24,11091662.0
2020-01-25,10343771.0
2020-01-26,10510931.0
2020-01-27,11438769.0
2020-01-28,11557638.0
2020-01-29,11667722.0
2020-01-30,11903796.0
2020-01-31,11461926.0
2020-02-01,10587521.0
2020-02-02,10064686.0
2020-02-03,10237015.0
2020-02-04,10245493.0
2020-02-05,11002441.0
2020-02-06,11293277.0
2020-02-07,11303277.0
2020-02-08,10931579.0
2020-02-09,10543409.0
2020-02-10,11019755.0
2020-02-11,10820991.0
2020-02-12,11177605.0
2020-02-13,11347597.0
2020-02-14,12147309.0
2020-02-15,11781304.0
2020-02-16,10484906.0
2020-02-17,10816941.0
2020-02-18,10737833.0
2020-02-19,10973301.0
2020-02-20,12053282.0
2020-02-21,12145843.0
2020-02-22,10751325.0
2020-02-23,10079541.0
2020-02-24,10676112.0
2020-02-25,10573700.0
2020-02-26,10765956.0
2020-02-27,11623753.0
2020-02-28,11635421.0
2020-02-29,11190003.0
2020-03-01,10422173.0
2020-03-02,10418640.0
2020-03-03,10170053.0
2020-03-04,10196139.0
2020-03-05,10413525.0
2020-03-06,11004296.0
2020-03-07,10143035.0
2020-03-08,9734292.0
2020-03-09,9826505.0
2020-03-10,9777256.0
2020-03-11,9951051.0
2020-03-12,9936692.0
2020-03-13,9562674.0
2020-03-14,9380204.0
2020-03-15,9493581.0
2020-03-17,10111437.0
2020-03-18,9973245.0
2020-03-19,9709642.0
2020-03-20,9357493.0
2020-03-21,9127299.0
2020-03-22,9336877.0
2020-03-23,10187336.0
2020-03-24,9744556.0
2020-03-25,9775576.0
2020-03-26,9311978.0
2020-03-27,8892210.0
2020-03-28,8612770.0
2020-03-29,8439807.0
2020-03-30,9006465.0
2020-03-31,9534472.0
2020-04-01,9516181.0
2020-04-02,9198068.0
2020-04-03,8918490.0
2020-04-04,8314047.0
2020-04-05,8100941.0
2020-04-06,8585770.0
2020-04-07,8664045.0
2020-04-08,8563430.0
2020-04-09,9373263.0
2020-04-10,9004509.0
2020-04-11,8410928.0
2020-04-12,7982600.0
2020-04-13,8765511.0
2020-04-14,9040107.0
2020-04-15,9389059.0
2020-04-16,9408102.0
2020-04-17,9383139.0
2020-04-18,8657180.0
2020-04-19,8304863.0
2020-04-20,8665463.0
2020-04-21,8898119.0
2020-04-22,9096965.0
2020-04-23,8938973.0
2020-04-24,8716661.0
2020-04-25,8082341.0
2020-04-26,8300606.0
2020-04-27,8972859.0
2020-04-28,8772045.0
2020-04-29,8673076.0
2020-04-30,8814389.0
2020-05-01,8529130.0
2020-05-02,7869736.0
2020-05-04,8506501.0
2020-05-05,8722536.0
2020-05-06,8958363.0
2020-05-07,8712571.0
2020-05-08,8915276.0
2020-05-09,8810918.0
2020-05-10,8254337.0
2020-05-11,9066925.0
2020-05-12,8964874.0
2020-05-13,8799555.0
2020-05-14,8805339.0
2020-05-15,9161837.0
2020-05-16,8635059.0
2020-05-17,8298560.0
2020-05-18,8858727.0
2020-05-19,8720823.0
2020-05-20,8730822.0
2020-05-21,8758898.0
2020-05-22,8837406.0
2020-05-23,8683073.0
2020-05-24,8656512.0
2020-05-25,9225215.0
2020-05-26,10655681.0
2020-05-27,10775487.0
2020-05-28,10796290.0
2020-05-29,10603736.0
2020-05-30,9186587.0
2020-05-31,8164630.0
2020-06-01,8891462.0
2020-06-02,10082313.0
2020-06-03,11321999.0
2020-06-04,11819818.0
2020-06-05,11715568.0
2020-06-06,11089486.0
2020-06-07,9657804.0
2020-06-08,10691999.0
2020-06-09,12151703.0
2020-06-10,12958222.0
2020-06-11,11592787.0
2020-06-12,10844510.0
2020-06-13,8939758.0
2020-06-14,8492318.0
2020-06-15,9540386.0
2020-06-16,10003338.0
2020-06-17,10319732.0
2020-06-18,10887683.0
2020-06-19,11315635.0
2020-06-20,10859225.0
2020-06-21,10970900.0
2020-06-22,12202768.0
2020-06-23,12011575.0
2020-06-24,11465957.0
2020-06-25,11290059.0
2020-06-26,11474474.0
2020-06-27,11317385.0
2020-06-28,11614841.0
2020-06-29,12769494.0
2020-06-30,12554477.0
2020-07-01,12468506.0
2020-07-02,12779073.0
2020-07-03,12780883.0
2020-07-04,12251526.0
2020-07-05,12525699.0
2020-07-06,13719981.0
2020-07-07,13562265.0
2020-07-08,13804478.0
2020-07-09,14213543.0
2020-07-10,13204411.0
2020-07-11,12162508.0
2020-07-12,11562291.0
2020-07-13,12952896.0
2020-07-14,12603414.0
2020-07-15,13010474.0
2020-07-16,12890086.0
2020-07-17,13455004.0
2020-07-18,13412560.0
2020-07-19,13537256.0
2020-07-20,14481354.0
2020-07-21,14065657.0
2020-07-22,13682065.0
2020-07-23,13318393.0
2020-07-24,12935557.0
2020-07-25,12757038.0
2020-07-26,13416249.0
2020-07-27,14370483.0
2020-07-28,14421703.0
2020-07-29,14065408.0
2020-07-30,13472251.0
2020-07-31,12402398.0
2020-08-01,11771466.0
2020-08-02,11988127.0
2020-08-03,12214868.0
2020-08-04,11379256.0
2020-08-05,11573013.0
2020-08-06,11621881.0
2020-08-07,11731744.0
2020-08-08,11447997.0
2020-08-09,12244873.0
2020-08-10,13721806.0
2020-08-11,13596315.0
2020-08-12,13407035.0
2020-08-13,13169855.0
2020-08-14,12908985.0
2020-08-15,11251049.0
