period,value
2020-01-01,200679.0
2020-01-02,209087.0
2020-01-03,204761.0
2020-01-04,197120.0
2020-01-05,191549.0
2020-01-06,200236.0
2020-01-07,200930.0
2020-01-08,203250.0
2020-01-09,205669.0
2020-01-10,204510.0
2020-01-11,202075.0
2020-01-12,195575.0
2020-01-13,197628.0
2020-01-14,193555.0
2020-01-15,188679.0
2020-01-16,204786.0
2020-01-17,196227.0
2020-01-18,191726.0
2020-01-19,192010.0
2020-01-20,194886.0
2020-01-21,200552.0
2020-01-22,193213.0
2020-01-23,192872.0
2020-01-24,189905.0
2020-01-25,184553.0
2020-01-26,183224.0
2020-01-27,198461.0
2020-01-28,192807.0
2020-01-29,192920.0
2020-01-30,190629.0
2020-01-31,190135.0
2020-02-01,182342.0
2020-02-02,180077.0
2020-02-03,187475.0
2020-02-04,200780.0
2020-02-05,209235.0
2020-02-06,203805.0
2020-02-07,186745.0
2020-02-08,177405.0
2020-02-09,178573.0
2020-02-10,188944.0
2020-02-11,205540.0
2020-02-12,196343.0
2020-02-13,193082.0
2020-02-14,187562.0
2020-02-15,179282.0
2020-02-16,177543.0
2020-02-17,179325.0
2020-02-18,179692.0
2020-02-19,182916.0
2020-02-20,186752.0
2020-02-21,192209.0
2020-02-22,184128.0
2020-02-23,186273.0
2020-02-24,187281.0
2020-02-25,196626.0
2020-02-26,195970.0
2020-02-27,189249.0
2020-02-28,184642.0
2020-02-29,176739.0
2020-03-01,177011.0
2020-03-02,180228.0
2020-03-03,182676.0
2020-03-04,178803.0
2020-03-05,178433.0
2020-03-06,177923.0
2020-03-07,172568.0
2020-03-08,168778.0
2020-03-09,173793.0
2020-03-10,175484.0
2020-03-11,176034.0
2020-03-12,174981.0
2020-03-13,177029.0
2020-03-14,169197.0
2020-03-15,168699.0
2020-03-17,167658.0
2020-03-18,172884.0
2020-03-19,177388.0
2020-03-20,171344.0
2020-03-21,168377.0
2020-03-22,166551.0
2020-03-23,165734.0
2020-03-24,162079.0
2020-03-25,165165.0
2020-03-26,167726.0
2020-03-27,165863.0
2020-03-28,170589.0
2020-03-29,167202.0
2020-03-30,166269.0
2020-03-31,161828.0
2020-04-01,161092.0
2020-04-02,160982.0
2020-04-03,159345.0
2020-04-04,159228.0
2020-04-05,156801.0
2020-04-06,160314.0
2020-04-07,156403.0
2020-04-08,155711.0
2020-04-09,154617.0
2020-04-10,152176.0
2020-04-11,154149.0
2020-04-12,154548.0
2020-04-13,169754.0
2020-04-14,162623.0
2020-04-15,162864.0
2020-04-16,158960.0
2020-04-17,155354.0
2020-04-18,152754.0
2020-04-19,150788.0
2020-04-20,155045.0
2020-04-21,154814.0
2020-04-22,155411.0
2020-04-23,155308.0
2020-04-24,155126.0
2020-04-25,151432.0
2020-04-26,157694.0
2020-04-27,165669.0
2020-04-28,169718.0
2020-04-29,164563.0
2020-04-30,171187.0
2020-05-01,173230.0
2020-05-02,169273.0
2020-05-04,173726.0
2020-05-05,167198.0
2020-05-06,169871.0
2020-05-07,177667.0
2020-05-08,160939.0
2020-05-09,161215.0
2020-05-10,159864.0
2020-05-11,163174.0
2020-05-12,164618.0
2020-05-13,168857.0
2020-05-14,169243.0
2020-05-15,170155.0
2020-05-16,170392.0
2020-05-17,176083.0
2020-05-18,189485.0
2020-05-19,186581.0
2020-05-20,175915.0
2020-05-21,166591.0
2020-05-22,166776.0
2020-05-23,167347.0
2020-05-24,165135.0
2020-05-25,160885.0
2020-05-26,169512.0
2020-05-27,182859.0
2020-05-28,193811.0
2020-05-29,195331.0
2020-05-30,195890.0
2020-05-31,184862.0
2020-06-01,192703.0
2020-06-02,191290.0
2020-06-03,200333.0
2020-06-04,208590.0
2020-06-05,212256.0
2020-06-06,203401.0
2020-06-07,189921.0
2020-06-08,190882.0
2020-06-09,164969.0
2020-06-10,178064.0
2020-06-11,192563.0
2020-06-12,196556.0
2020-06-13,185857.0
2020-06-14,185462.0
2020-06-15,199562.0
2020-06-16,197897.0
2020-06-17,205128.0
2020-06-18,198803.0
2020-06-19,198456.0
2020-06-20,194829.0
2020-06-21,197505.0
2020-06-22,217834.0
2020-06-23,214092.0
2020-06-24,210950.0
2020-06-25,217185.0
2020-06-26,209058.0
2020-06-27,206946.0
2020-06-28,206766.0
2020-06-29,213393.0
2020-06-30,205629.0
2020-07-01,204607.0
2020-07-02,217513.0
2020-07-03,223780.0
2020-07-04,216672.0
2020-07-05,216852.0
2020-07-06,228571.0
2020-07-07,230691.0
2020-07-08,232219.0
2020-07-09,238234.0
2020-07-10,243652.0
2020-07-11,240072.0
2020-07-12,237738.0
2020-07-13,239277.0
2020-07-14,227696.0
2020-07-15,222486.0
2020-07-16,226914.0
2020-07-17,227182.0
2020-07-18,221241.0
2020-07-19,217663.0
2020-07-20,224212.0
2020-07-21,221981.0
2020-07-22,209342.0
2020-07-23,203233.0
2020-07-24,201582.0
2020-07-25,194181.0
2020-07-26,192427.0
2020-07-27,200093.0
2020-07-28,207878.0
2020-07-29,219409.0
2020-07-30,225898.0
2020-07-31,223233.0
2020-08-01,201502.0
2020-08-02,199950.0
2020-08-03,209502.0
2020-08-04,225011.0
2020-08-05,220451.0
2020-08-06,221003.0
2020-08-07,216413.0
2020-08-08,216345.0
2020-08-09,219734.0
2020-08-10,228748.0
2020-08-11,225988.0
2020-08-12,225742.0
2020-08-13,235762.0
2020-08-14,234354.0
2020-08-15,223072.0
2020-08-16,214479.0
2020-08-17,227256.0
2020-08-18,221921.0
2020-08-19,224873.0
2020-08-20,231115.0
2020-08-21,233061.0
2020-08-22,222720.0
2020-08-23,220756.0
2020-08-24,223960.0
2020-08-25,220200.0
2020-08-26,223561.0
2020-08-27,228107.0
2020-08-28,228323.0
2020-08-29,208844.0
2020-08-30,203128.0
2020-08-31,207076.0
2020-09-01,192264.0
2020-09-02,195538.0
2020-09-03,210400.0
2020-09-04,218589.0
2020-09-05,209973.0
2020-09-06,209436.0
2020-09-07,211953.0
2020-09-08,191199.0
2020-09-09,174480.0
2020-09-10,172515.0
2020-09-11,165948.0
2020-09-12,162394.0
2020-09-13,166805.0
2020-09-14,177653.0
2020-09-15,181123.0
2020-09-16,184397.0
2020-09-17,184388.0
2020-09-18,181678.0
2020-09-19,174549.0
2020-09-20,177589.0
2020-09-21,186312.0
2020-09-22,186330.0
2020-09-23,192100.0
2020-09-24,192245.0
2020-09-25,192924.0
2020-09-26,188838.0
2020-09-27,185578.0
2020-09-28,152660.0
2020-09-29,135512.0
2020-09-30,143186.0
2020-10-01,175187.0
2020-10-02,173904.0
2020-10-03,167808.0
2020-10-04,164288.0
2020-10-05,175528.0
2020-10-06,177976.0
2020-10-07,176597.0
2020-10-08,176718.0
2020-10-09,176319.0
2020-10-10,169253.0
2020-10-11,167281.0
2020-10-12,141573.0
2020-10-13,139535.0
2020-10-14,150753.0
2020-10-15,172129.0
2020-10-16,168779.0
2020-10-17,164099.0
2020-10-18,164113.0
2020-10-19,171517.0
2020-10-20,170952.0
2020-10-21,169285.0
2020-10-22,169132.0
2020-10-23,166820.0
2020-10-24,160498.0
2020-10-25,161949.0
2020-10-26,188934.0
2020-10-27,196799.0
2020-10-28,190057.0
2020-10-29,179496.0
2020-10-30,172685.0
2020-10-31,164542.0
2020-11-01,167078.0
2020-11-02,168917.0
2020-11-03,168729.0
2020-11-04,168505.0
2020-11-05,167976.0
2020-11-06,167157.0
2020-11-07,166851.0
2020-11-08,163911.0
2020-11-09,176464.0
2020-11-10,183223.0
2020-11-11,180146.0
2020-11-12,181989.0
2020-11-13,179316.0
2020-11-14,174301.0
2020-11-15,172294.0
2020-11-16,174504.0
2020-11-17,173071.0
2020-11-18,172873.0
2020-11-19,170322.0
2020-11-20,165149.0
2020-11-21,4075.0
2020-11-22,1325.0
2020-11-23,170510.0
2020-11-24,177334.0
2020-11-25,181383.0
2020-11-26,173953.0
2020-11-27,181377.0
2020-11-28,178061.0
2020-11-29,180618.0
2020-11-30,191787.0
2020-12-01,203063.0
2020-12-02,199230.0
2020-12-03,201158.0
2020-12-04,196427.0
2020-12-05,187352.0
2020-12-06,183025.0
2020-12-07,189756.0
2020-12-08,189155.0
2020-12-09,188788.0
2020-12-10,202304.0
