period,value
2020-01-01,675642.0
2020-01-02,696331.0
2020-01-03,702650.0
2020-01-04,661818.0
2020-01-05,658636.0
2020-01-06,713469.0
2020-01-07,687172.0
2020-01-08,687421.0
2020-01-09,700557.0
2020-01-10,720562.0
2020-01-11,705317.0
2020-01-12,681846.0
2020-01-13,721936.0
2020-01-14,695309.0
2020-01-15,697232.0
2020-01-16,730243.0
2020-01-17,703611.0
2020-01-18,684705.0
2020-01-19,668142.0
2020-01-20,696813.0
2020-01-21,697190.0
2020-01-22,687720.0
2020-01-23,699367.0
2020-01-24,675613.0
2020-01-25,636010.0
2020-01-26,632477.0
2020-01-27,698548.0
2020-01-28,694158.0
2020-01-29,699117.0
2020-01-30,716043.0
2020-01-31,699206.0
2020-02-01,633535.0
2020-02-02,611583.0
2020-02-03,722616.0
2020-02-04,763919.0
2020-02-05,772304.0
2020-02-06,742005.0
2020-02-07,737831.0
2020-02-08,669891.0
2020-02-09,690778.0
2020-02-10,735685.0
2020-02-11,728831.0
2020-02-12,733676.0
2020-02-13,734479.0
2020-02-14,697059.0
2020-02-15,656306.0
2020-02-16,649220.0
2020-02-17,691183.0
2020-02-18,712726.0
2020-02-19,751083.0
2020-02-20,738601.0
2020-02-21,711136.0
2020-02-22,639755.0
2020-02-23,653323.0
2020-02-24,700657.0
2020-02-25,750563.0
2020-02-26,719998.0
2020-02-27,683888.0
2020-02-28,659689.0
2020-02-29,632810.0
2020-03-01,644006.0
2020-03-02,676796.0
2020-03-03,658367.0
2020-03-04,658239.0
2020-03-05,652344.0
2020-03-06,648906.0
2020-03-07,584076.0
2020-03-08,617184.0
2020-03-09,633209.0
2020-03-10,638445.0
2020-03-11,631542.0
2020-03-12,637796.0
2020-03-13,682528.0
2020-03-14,636389.0
2020-03-15,612328.0
2020-03-17,626865.0
2020-03-18,617247.0
2020-03-19,668751.0
2020-03-20,689381.0
2020-03-21,630070.0
2020-03-22,596081.0
2020-03-23,613930.0
2020-03-24,603235.0
2020-03-25,585255.0
2020-03-26,583380.0
2020-03-27,624921.0
2020-03-28,596308.0
2020-03-29,575587.0
2020-03-30,593612.0
2020-03-31,580983.0
2020-04-01,572598.0
2020-04-02,642739.0
2020-04-03,642699.0
2020-04-04,574002.0
2020-04-05,549332.0
2020-04-06,575933.0
2020-04-07,567334.0
2020-04-08,565995.0
2020-04-09,564074.0
2020-04-10,565761.0
2020-04-11,542649.0
2020-04-12,604723.0
2020-04-13,669701.0
2020-04-14,647239.0
2020-04-15,612221.0
2020-04-16,660783.0
2020-04-17,627929.0
2020-04-18,582960.0
2020-04-19,553574.0
2020-04-20,572806.0
2020-04-21,560190.0
2020-04-22,566989.0
2020-04-23,566852.0
2020-04-24,564393.0
2020-04-25,538198.0
2020-04-26,543164.0
2020-04-27,574947.0
2020-04-28,573462.0
2020-04-29,565171.0
2020-04-30,594383.0
2020-05-01,615004.0
2020-05-02,552819.0
2020-05-04,565758.0
2020-05-05,569961.0
2020-05-06,572841.0
2020-05-07,574383.0
2020-05-08,562443.0
2020-05-09,538000.0
2020-05-10,524962.0
2020-05-11,596376.0
2020-05-12,586453.0
2020-05-13,586808.0
2020-05-14,588808.0
2020-05-15,575248.0
2020-05-16,542197.0
2020-05-17,546307.0
2020-05-18,634968.0
2020-05-19,674355.0
2020-05-20,669250.0
2020-05-21,595682.0
2020-05-22,609617.0
2020-05-23,575468.0
2020-05-24,538651.0
2020-05-25,527681.0
2020-05-26,586515.0
2020-05-27,623249.0
2020-05-28,617989.0
2020-05-29,663466.0
2020-05-30,645814.0
2020-05-31,631382.0
2020-06-01,734430.0
2020-06-02,742353.0
2020-06-03,724746.0
2020-06-04,708111.0
2020-06-05,738044.0
2020-06-06,631646.0
2020-06-07,639539.0
2020-06-08,633487.0
2020-06-09,569114.0
2020-06-10,582670.0
2020-06-11,644716.0
2020-06-12,692785.0
2020-06-13,658084.0
2020-06-14,685125.0
2020-06-15,744219.0
2020-06-16,779866.0
2020-06-17,757604.0
2020-06-18,618091.0
2020-06-19,583416.0
2020-06-20,600158.0
2020-06-21,609313.0
2020-06-22,686115.0
2020-06-23,720115.0
2020-06-24,744434.0
2020-06-25,733354.0
2020-06-26,685317.0
2020-06-27,666189.0
2020-06-28,680447.0
2020-06-29,743097.0
2020-06-30,571544.0
2020-07-01,689720.0
2020-07-02,763830.0
2020-07-03,724227.0
2020-07-04,668141.0
2020-07-05,674198.0
2020-07-06,770266.0
2020-07-07,812621.0
2020-07-08,802986.0
