period,value
2020-01-01,405615.0
2020-01-02,457207.0
2020-01-03,428047.0
2020-01-04,424793.0
2020-01-05,429259.0
2020-01-06,445120.0
2020-01-07,424054.0
2020-01-08,453362.0
2020-01-09,490471.0
2020-01-10,480444.0
2020-01-11,437814.0
2020-01-12,455628.0
2020-01-13,514954.0
2020-01-14,524708.0
2020-01-15,525989.0
2020-01-16,485542.0
2020-01-17,500349.0
2020-01-18,451041.0
2020-01-19,416835.0
2020-01-20,433748.0
2020-01-21,438245.0
2020-01-22,444697.0
2020-01-23,422185.0
2020-01-24,410887.0
2020-01-25,402050.0
2020-01-26,397568.0
2020-01-27,433584.0
2020-01-28,425664.0
2020-01-29,427850.0
2020-01-30,441030.0
2020-01-31,405147.0
2020-02-01,397562.0
2020-02-02,447821.0
2020-02-03,478056.0
2020-02-04,505896.0
2020-02-05,466894.0
2020-02-06,438054.0
2020-02-07,431827.0
2020-02-08,418455.0
2020-02-09,441364.0
2020-02-10,459713.0
2020-02-11,465839.0
2020-02-12,435682.0
2020-02-13,456044.0
2020-02-14,445950.0
2020-02-15,433822.0
2020-02-16,425373.0
2020-02-17,456877.0
2020-02-18,470366.0
2020-02-19,462583.0
2020-02-20,450038.0
2020-02-21,440686.0
2020-02-22,422949.0
2020-02-23,426456.0
2020-02-24,451286.0
2020-02-25,450382.0
2020-02-26,421349.0
2020-02-27,419585.0
2020-02-28,434440.0
2020-02-29,416640.0
2020-03-01,439263.0
2020-03-02,449358.0
2020-03-03,394168.0
2020-03-04,392264.0
2020-03-05,401285.0
2020-03-06,410448.0
2020-03-07,425697.0
2020-03-08,416778.0
2020-03-09,456623.0
2020-03-10,452538.0
2020-03-11,417416.0
2020-03-12,432651.0
2020-03-13,459500.0
2020-03-14,448294.0
2020-03-15,442816.0
2020-03-17,426955.0
2020-03-18,420067.0
2020-03-19,409320.0
2020-03-20,395569.0
2020-03-21,380778.0
2020-03-22,386946.0
2020-03-23,406589.0
2020-03-24,421639.0
2020-03-25,411754.0
2020-03-26,419480.0
2020-03-27,404875.0
2020-03-28,379403.0
2020-03-29,362250.0
2020-03-30,399606.0
2020-03-31,412689.0
2020-04-01,407705.0
2020-04-02,410284.0
2020-04-03,411866.0
2020-04-04,395110.0
2020-04-05,371323.0
2020-04-06,377766.0
2020-04-07,380164.0
2020-04-08,374003.0
2020-04-09,359981.0
2020-04-10,349326.0
2020-04-11,340200.0
2020-04-12,356025.0
2020-04-13,371272.0
2020-04-14,354829.0
2020-04-15,345192.0
2020-04-16,350685.0
2020-04-17,352095.0
2020-04-18,332444.0
2020-04-19,335520.0
2020-04-20,347682.0
2020-04-21,354613.0
2020-04-22,373539.0
2020-04-23,363061.0
2020-04-24,354049.0
2020-04-25,331441.0
2020-04-26,313278.0
2020-04-27,323142.0
2020-04-28,348458.0
2020-04-29,345114.0
2020-04-30,321428.0
2020-05-01,344534.0
2020-05-02,335959.0
2020-05-04,341611.0
2020-05-05,322909.0
2020-05-06,314258.0
2020-05-07,320387.0
2020-05-08,318203.0
2020-05-09,303437.0
2020-05-10,311831.0
2020-05-11,325608.0
2020-05-12,314857.0
2020-05-13,310491.0
2020-05-14,318201.0
2020-05-15,314752.0
2020-05-16,315975.0
2020-05-17,301164.0
2020-05-18,316375.0
2020-05-19,311859.0
2020-05-20,319826.0
2020-05-21,324875.0
2020-05-22,324985.0
2020-05-23,299123.0
2020-05-24,292926.0
2020-05-25,298942.0
2020-05-26,310942.0
2020-05-27,322899.0
2020-05-28,329725.0
2020-05-29,327265.0
2020-05-30,306795.0
2020-05-31,299347.0
2020-06-01,313342.0
2020-06-02,313219.0
2020-06-03,318649.0
2020-06-04,313574.0
2020-06-05,315726.0
2020-06-06,291794.0
2020-06-07,294523.0
2020-06-08,309526.0
2020-06-09,332312.0
2020-06-10,326272.0
2020-06-11,319826.0
2020-06-12,321737.0
2020-06-13,297898.0
2020-06-14,294942.0
2020-06-15,328094.0
2020-06-16,316466.0
2020-06-17,316793.0
2020-06-18,323795.0
2020-06-19,330922.0
2020-06-20,307865.0
2020-06-21,296601.0
2020-06-22,325566.0
2020-06-23,338191.0
2020-06-24,331763.0
2020-06-25,338583.0
2020-06-26,333581.0
2020-06-27,292525.0
2020-06-28,290822.0
2020-06-29,316410.0
2020-06-30,316283.0
2020-07-01,318662.0
2020-07-02,323559.0
2020-07-03,309530.0
2020-07-04,302935.0
2020-07-05,310407.0
2020-07-06,324400.0
2020-07-07,324871.0
2020-07-08,339953.0
2020-07-09,345042.0
2020-07-10,339661.0
2020-07-11,313104.0
2020-07-12,304463.0
2020-07-13,340682.0
2020-07-14,356833.0
2020-07-15,362645.0
2020-07-16,369018.0
2020-07-17,330232.0
2020-07-18,328236.0
2020-07-19,351016.0
2020-07-20,389360.0
2020-07-21,388486.0
2020-07-22,354145.0
2020-07-23,338984.0
2020-07-24,323150.0
2020-07-25,325258.0
2020-07-26,349354.0
2020-07-27,405499.0
2020-07-28,386592.0
2020-07-29,375225.0
2020-07-30,381849.0
2020-07-31,365227.0
2020-08-01,322619.0
2020-08-02,328839.0
2020-08-03,364391.0
2020-08-04,376196.0
2020-08-05,375200.0
2020-08-06,329223.0
2020-08-07,342346.0
2020-08-08,307609.0
2020-08-09,319481.0
2020-08-10,364757.0
2020-08-11,346642.0
2020-08-12,329219.0
2020-08-13,345802.0
2020-08-14,354625.0
2020-08-15,358054.0
2020-08-16,383600.0
2020-08-17,412707.0
2020-08-18,387833.0
2020-08-19,370317.0
2020-08-20,369080.0
2020-08-21,364929.0
2020-08-22,322291.0
2020-08-23,329671.0
2020-08-24,349278.0
2020-08-25,350216.0
2020-08-26,349458.0
2020-08-27,352478.0
2020-08-28,353496.0
2020-08-29,321074.0
2020-08-30,313141.0
2020-08-31,331746.0
2020-09-01,355982.0
2020-09-02,357872.0
2020-09-03,354503.0
2020-09-04,315775.0
2020-09-05,295431.0
2020-09-06,317056.0
2020-09-07,326525.0
2020-09-08,325300.0
2020-09-09,342912.0
2020-09-10,354286.0
2020-09-11,331681.0
2020-09-12,302121.0
2020-09-13,297286.0
2020-09-14,320488.0
2020-09-15,330824.0
2020-09-16,335107.0
2020-09-17,331601.0
2020-09-18,324581.0
2020-09-19,300724.0
2020-09-20,295691.0
2020-09-21,317497.0
2020-09-22,316789.0
2020-09-23,319508.0
2020-09-24,314388.0
2020-09-25,317825.0
2020-09-26,317670.0
2020-09-27,300547.0
2020-09-28,328383.0
2020-09-29,328881.0
2020-09-30,332037.0
2020-10-01,327926.0
2020-10-02,325586.0
2020-10-03,303130.0
2020-10-04,304289.0
2020-10-05,320696.0
2020-10-06,320558.0
2020-10-07,325243.0
2020-10-08,319892.0
2020-10-09,320112.0
2020-10-10,321490.0
2020-10-11,308241.0
2020-10-12,307578.0
2020-10-13,311100.0
2020-10-14,321526.0
2020-10-15,336323.0
2020-10-16,332866.0
2020-10-17,302384.0
2020-10-18,312384.0
2020-10-19,327639.0
2020-10-20,339128.0
2020-10-21,356646.0
2020-10-22,379015.0
2020-10-23,397927.0
2020-10-24,366284.0
2020-10-25,392732.0
2020-10-26,417129.0
2020-10-27,381526.0
2020-10-28,344249.0
2020-10-29,325259.0
2020-10-30,333904.0
2020-10-31,336445.0
2020-11-01,351737.0
2020-11-02,364042.0
2020-11-03,382861.0
2020-11-04,347550.0
2020-11-05,355225.0
2020-11-06,385968.0
2020-11-07,407193.0
2020-11-08,413052.0
2020-11-09,456873.0
2020-11-10,429781.0
2020-11-11,428602.0
2020-11-12,428017.0
2020-11-13,400995.0
2020-11-14,402375.0
2020-11-15,383718.0
2020-11-16,405978.0
2020-11-17,389770.0
2020-11-18,406085.0
2020-11-19,414248.0
2020-11-20,405952.0
2020-11-21,382862.0
2020-11-22,412465.0
2020-11-23,421268.0
2020-11-24,419743.0
2020-11-25,431354.0
2020-11-26,416168.0
2020-11-27,403495.0
2020-11-28,406906.0
2020-11-29,433264.0
2020-11-30,439383.0
2020-12-01,460405.0
2020-12-02,461669.0
2020-12-03,464819.0
2020-12-04,449422.0
2020-12-05,436954.0
2020-12-06,406175.0
2020-12-07,431948.0
2020-12-08,417005.0
2020-12-09,422661.0
2020-12-10,464156.0
2020-12-11,458440.0
