period,value
2020-01-01,260228.0
2020-01-02,281036.0
2020-01-03,281763.0
2020-01-04,235181.0
2020-01-05,225974.0
2020-01-06,289446.0
2020-01-07,290087.0
2020-01-08,258771.0
2020-01-09,303457.0
2020-01-10,296929.0
2020-01-11,247726.0
2020-01-12,227960.0
2020-01-13,224871.0
2020-01-14,235813.0
2020-01-15,225847.0
2020-01-16,233430.0
2020-01-17,234504.0
2020-01-18,287123.0
2020-01-19,280538.0
2020-01-20,250223.0
2020-01-21,362457.0
2020-01-22,415475.0
2020-01-23,367455.0
2020-01-24,335976.0
2020-01-25,271016.0
2020-01-26,262021.0
2020-01-27,286675.0
2020-01-28,278333.0
2020-01-29,290885.0
2020-01-30,317639.0
2020-01-31,300958.0
2020-02-01,342285.0
2020-02-02,314891.0
2020-02-03,286842.0
2020-02-04,260216.0
2020-02-05,240646.0
2020-02-06,223152.0
2020-02-07,229895.0
2020-02-08,262823.0
2020-02-09,321682.0
2020-02-10,305500.0
2020-02-11,269368.0
2020-02-12,233499.0
2020-02-13,221882.0
2020-02-14,236454.0
2020-02-15,259722.0
2020-02-16,299901.0
2020-02-17,286755.0
2020-02-18,259900.0
2020-02-19,251713.0
2020-02-20,252635.0
2020-02-21,340346.0
2020-02-22,385386.0
2020-02-23,369971.0
2020-02-24,321413.0
2020-02-25,277450.0
2020-02-26,246983.0
2020-02-27,235657.0
2020-02-28,298771.0
2020-02-29,319416.0
2020-03-01,308710.0
2020-03-02,313688.0
2020-03-03,260999.0
2020-03-04,236573.0
2020-03-05,244277.0
2020-03-06,277583.0
2020-03-07,280461.0
2020-03-08,274422.0
2020-03-09,296188.0
2020-03-10,274762.0
2020-03-11,241866.0
2020-03-12,235015.0
2020-03-13,242873.0
2020-03-14,246119.0
2020-03-15,226314.0
2020-03-17,244999.0
2020-03-18,242675.0
2020-03-19,237559.0
2020-03-20,249286.0
2020-03-21,255925.0
2020-03-22,239600.0
2020-03-23,214900.0
2020-03-24,239989.0
2020-03-25,235756.0
2020-03-26,214829.0
2020-03-27,206424.0
2020-03-28,219388.0
2020-03-29,225661.0
2020-03-30,231063.0
2020-03-31,217101.0
2020-04-01,199100.0
2020-04-02,215227.0
2020-04-03,219060.0
2020-04-04,215997.0
2020-04-05,202253.0
2020-04-06,215374.0
2020-04-07,235735.0
2020-04-08,245474.0
2020-04-09,259197.0
2020-04-10,261924.0
2020-04-11,227339.0
2020-04-12,265990.0
2020-04-13,260363.0
2020-04-14,275722.0
2020-04-15,285793.0
2020-04-16,263982.0
2020-04-17,254815.0
2020-04-18,263094.0
2020-04-19,261218.0
2020-04-20,250336.0
2020-04-21,257367.0
2020-04-22,255956.0
2020-04-23,257875.0
2020-04-24,256810.0
2020-04-25,264369.0
2020-04-26,256685.0
2020-04-27,253982.0
2020-04-28,256894.0
2020-04-29,266876.0
2020-04-30,261674.0
2020-05-01,254207.0
2020-05-02,243438.0
2020-05-04,273118.0
2020-05-05,306911.0
2020-05-06,305658.0
2020-05-07,279283.0
2020-05-08,258471.0
2020-05-09,256065.0
2020-05-10,246606.0
2020-05-11,249827.0
2020-05-12,247365.0
2020-05-13,249295.0
2020-05-14,259215.0
2020-05-15,249835.0
2020-05-16,251177.0
2020-05-17,263420.0
2020-05-18,264058.0
2020-05-19,272991.0
2020-05-20,265211.0
2020-05-21,238607.0
2020-05-22,249124.0
2020-05-23,270919.0
2020-05-24,282658.0
2020-05-25,291322.0
2020-05-26,269326.0
2020-05-27,240393.0
2020-05-28,253342.0
2020-05-29,293748.0
2020-05-30,292258.0
2020-05-31,288291.0
2020-06-01,278571.0
2020-06-02,264596.0
