period,value
2020-01-01,301160.0
2020-01-02,309577.0
2020-01-03,274151.0
2020-01-04,265340.0
2020-01-05,309401.0
2020-01-06,328867.0
2020-01-07,318191.0
2020-01-08,342587.0
2020-01-09,334784.0
2020-01-10,292196.0
2020-01-11,267235.0
2020-01-12,266203.0
2020-01-13,285054.0
2020-01-14,280850.0
2020-01-15,278001.0
2020-01-16,275857.0
2020-01-17,307964.0
2020-01-18,299587.0
2020-01-19,287368.0
2020-01-20,378442.0
2020-01-21,435023.0
2020-01-22,403704.0
2020-01-23,357271.0
2020-01-24,299485.0
2020-01-25,296579.0
2020-01-26,311110.0
2020-01-27,314022.0
2020-01-28,331915.0
2020-01-29,345996.0
2020-01-30,338316.0
2020-01-31,368858.0
2020-02-01,335440.0
2020-02-02,316259.0
2020-02-03,299261.0
2020-02-04,286948.0
2020-02-05,274512.0
2020-02-06,273729.0
2020-02-07,300714.0
2020-02-08,338977.0
2020-02-09,323876.0
2020-02-10,301191.0
2020-02-11,281499.0
2020-02-12,279598.0
2020-02-13,282721.0
2020-02-14,299600.0
2020-02-15,322330.0
2020-02-16,311172.0
2020-02-17,306401.0
2020-02-18,295584.0
2020-02-19,302714.0
2020-02-20,372017.0
2020-02-21,405875.0
2020-02-22,393630.0
2020-02-23,340001.0
2020-02-24,307112.0
2020-02-25,293629.0
2020-02-26,294853.0
2020-02-27,341655.0
2020-02-28,353022.0
2020-02-29,333975.0
2020-03-01,336713.0
2020-03-02,305951.0
2020-03-03,278517.0
2020-03-04,284832.0
2020-03-05,315055.0
2020-03-06,307072.0
2020-03-07,330919.0
2020-03-08,314679.0
2020-03-09,305000.0
2020-03-10,279245.0
2020-03-11,282896.0
2020-03-12,287708.0
2020-03-13,289751.0
2020-03-14,265965.0
2020-03-15,257646.0
2020-03-17,279018.0
2020-03-18,279625.0
2020-03-19,296882.0
2020-03-20,304622.0
2020-03-21,292168.0
2020-03-22,252125.0
2020-03-23,273798.0
2020-03-24,266407.0
2020-03-25,268010.0
2020-03-26,260511.0
2020-03-27,280451.0
2020-03-28,289851.0
2020-03-29,301225.0
2020-03-30,283449.0
2020-03-31,252932.0
2020-04-01,253456.0
2020-04-02,262792.0
2020-04-03,258110.0
2020-04-04,245397.0
2020-04-05,250667.0
2020-04-06,271841.0
2020-04-07,290752.0
2020-04-08,304462.0
2020-04-09,299275.0
2020-04-10,252602.0
2020-04-11,245160.0
2020-04-12,249674.0
2020-04-13,279600.0
2020-04-14,284597.0
2020-04-15,261792.0
2020-04-16,259832.0
2020-04-17,259629.0
2020-04-18,258428.0
2020-04-19,245238.0
2020-04-20,257746.0
2020-04-21,266314.0
2020-04-22,265649.0
2020-04-23,261629.0
2020-04-24,268180.0
2020-04-25,271583.0
2020-04-26,261958.0
2020-04-27,260362.0
2020-04-28,269524.0
2020-04-29,292536.0
2020-04-30,269765.0
2020-05-01,256676.0
2020-05-02,258542.0
2020-05-04,336990.0
2020-05-05,345893.0
2020-05-06,292114.0
2020-05-07,263467.0
2020-05-08,258503.0
2020-05-09,250273.0
2020-05-10,254397.0
2020-05-11,261398.0
2020-05-12,260080.0
2020-05-13,272135.0
2020-05-14,294988.0
2020-05-15,307899.0
2020-05-16,309794.0
2020-05-17,322378.0
2020-05-18,333322.0
2020-05-19,322865.0
2020-05-20,279203.0
2020-05-21,304459.0
2020-05-22,314090.0
2020-05-23,338367.0
2020-05-24,337482.0
2020-05-25,309793.0
2020-05-26,308281.0
2020-05-27,322184.0
2020-05-28,369367.0
2020-05-29,369836.0
2020-05-30,351495.0
2020-05-31,333191.0
2020-06-01,326323.0
2020-06-02,337466.0
2020-06-03,367504.0
2020-06-04,353250.0
2020-06-05,377310.0
2020-06-06,366541.0
2020-06-07,361104.0
2020-06-08,374658.0
2020-06-09,401790.0
2020-06-10,396399.0
2020-06-11,400463.0
2020-06-12,354509.0
2020-06-13,326855.0
2020-06-14,313895.0
2020-06-15,289796.0
2020-06-16,272580.0
2020-06-17,270401.0
2020-06-18,306364.0
2020-06-19,336330.0
2020-06-20,349671.0
2020-06-21,373894.0
2020-06-22,403641.0
2020-06-23,388108.0
2020-06-24,378806.0
2020-06-25,361428.0
2020-06-26,395727.0
2020-06-27,362888.0
2020-06-28,390293.0
2020-06-29,425694.0
2020-06-30,418784.0
2020-07-01,398660.0
2020-07-02,400890.0
2020-07-03,403354.0
2020-07-04,397427.0
2020-07-05,393494.0
2020-07-06,385139.0
2020-07-07,351045.0
2020-07-08,378687.0
2020-07-09,400807.0
2020-07-10,428720.0
2020-07-11,425268.0
2020-07-12,427813.0
2020-07-13,447053.0
2020-07-14,440911.0
2020-07-15,450025.0
2020-07-16,447456.0
2020-07-17,446721.0
2020-07-18,437320.0
2020-07-19,445608.0
2020-07-20,450143.0
2020-07-21,445260.0
2020-07-22,449963.0
2020-07-23,443719.0
2020-07-24,417568.0
2020-07-25,384093.0
2020-07-26,397526.0
2020-07-27,440538.0
2020-07-28,450013.0
2020-07-29,417897.0
2020-07-30,402268.0
2020-07-31,449052.0
2020-08-01,429716.0
2020-08-02,422323.0
2020-08-03,372782.0
2020-08-04,398778.0
2020-08-05,411686.0
2020-08-06,403610.0
2020-08-07,404955.0
2020-08-08,398522.0
2020-08-09,404809.0
2020-08-10,415275.0
2020-08-11,412386.0
2020-08-12,416123.0
2020-08-13,398585.0
2020-08-14,397967.0
2020-08-15,383799.0
2020-08-16,368005.0
2020-08-17,397049.0
2020-08-18,380512.0
2020-08-19,391098.0
2020-08-20,383789.0
2020-08-21,380672.0
2020-08-22,346306.0
2020-08-23,340821.0
2020-08-24,365742.0
2020-08-25,386983.0
2020-08-26,396548.0
2020-08-27,412692.0
2020-08-28,428459.0
2020-08-29,406478.0
2020-08-30,402469.0
2020-08-31,425218.0
2020-09-01,439474.0
2020-09-02,455647.0
2020-09-03,455285.0
2020-09-04,449505.0
2020-09-05,387020.0
2020-09-06,337946.0
2020-09-07,340402.0
2020-09-08,355753.0
2020-09-09,377231.0
2020-09-10,396355.0
2020-09-11,403985.0
2020-09-12,376361.0
2020-09-13,369561.0
2020-09-14,398586.0
2020-09-15,349754.0
2020-09-16,313176.0
2020-09-17,353842.0
2020-09-18,320112.0
2020-09-19,267351.0
2020-09-20,263839.0
2020-09-21,273433.0
2020-09-22,271924.0
2020-09-23,273553.0
2020-09-24,303764.0
2020-09-25,335922.0
2020-09-26,305160.0
2020-09-27,303735.0
2020-09-28,322414.0
2020-09-29,329597.0
2020-09-30,289816.0
2020-10-01,291797.0
2020-10-02,272912.0
2020-10-03,260419.0
2020-10-04,252459.0
2020-10-05,279024.0
2020-10-06,291841.0
2020-10-07,321484.0
2020-10-08,318850.0
2020-10-09,312753.0
2020-10-10,320009.0
2020-10-11,341845.0
2020-10-12,335895.0
2020-10-13,334154.0
2020-10-14,316753.0
2020-10-15,323069.0
2020-10-16,325330.0
2020-10-17,267212.0
2020-10-18,261611.0
2020-10-19,291660.0
2020-10-20,295614.0
2020-10-21,313693.0
2020-10-22,319578.0
2020-10-23,315931.0
