period,value
2020-01-01,124761.0
2020-01-02,145738.0
2020-01-03,142398.0
2020-01-04,140872.0
2020-01-05,143417.0
2020-01-06,155492.0
2020-01-07,146376.0
2020-01-08,151493.0
2020-01-09,159803.0
2020-01-10,164295.0
2020-01-11,149105.0
2020-01-12,153509.0
2020-01-13,177653.0
2020-01-14,184117.0
2020-01-15,175025.0
2020-01-16,159746.0
2020-01-17,165809.0
2020-01-18,148802.0
2020-01-19,137403.0
2020-01-20,145774.0
2020-01-21,151846.0
2020-01-22,150288.0
2020-01-23,139456.0
2020-01-24,140948.0
2020-01-25,134150.0
2020-01-26,132965.0
2020-01-27,147796.0
2020-01-28,146024.0
2020-01-29,145857.0
2020-01-30,143896.0
2020-01-31,140818.0
2020-02-01,136666.0
2020-02-02,145668.0
2020-02-03,161687.0
2020-02-04,172117.0
2020-02-05,156344.0
2020-02-06,144480.0
2020-02-07,148291.0
2020-02-08,141804.0
2020-02-09,144178.0
2020-02-10,155818.0
2020-02-11,158013.0
2020-02-12,148578.0
2020-02-13,148060.0
2020-02-14,148227.0
2020-02-15,142440.0
2020-02-16,139899.0
2020-02-17,150695.0
2020-02-18,155810.0
2020-02-19,151598.0
2020-02-20,142895.0
2020-02-21,145478.0
2020-02-22,139291.0
2020-02-23,139917.0
2020-02-24,151568.0
2020-02-25,151368.0
2020-02-26,142044.0
2020-02-27,134257.0
2020-02-28,145290.0
2020-02-29,139246.0
2020-03-01,142973.0
2020-03-02,155997.0
2020-03-03,146274.0
2020-03-04,141214.0
2020-03-05,138993.0
2020-03-06,149547.0
2020-03-07,141798.0
2020-03-08,136506.0
2020-03-09,151447.0
2020-03-10,149662.0
2020-03-11,139891.0
2020-03-12,141011.0
2020-03-13,150676.0
2020-03-14,145137.0
2020-03-15,142520.0
2020-03-17,139165.0
2020-03-18,134993.0
2020-03-19,129505.0
2020-03-20,124545.0
2020-03-21,121271.0
2020-03-22,125083.0
2020-03-23,135044.0
2020-03-24,137687.0
2020-03-25,133752.0
2020-03-26,134206.0
2020-03-27,135494.0
2020-03-28,126244.0
2020-03-29,121997.0
2020-03-30,135943.0
2020-03-31,134830.0
2020-04-01,130227.0
2020-04-02,129666.0
2020-04-03,136036.0
2020-04-04,128512.0
2020-04-05,123013.0
2020-04-06,122039.0
2020-04-07,118360.0
2020-04-08,116222.0
2020-04-09,112141.0
2020-04-10,108692.0
2020-04-11,109378.0
2020-04-12,113533.0
2020-04-13,116497.0
2020-04-14,109722.0
2020-04-15,107603.0
2020-04-16,107072.0
2020-04-17,110378.0
2020-04-18,107498.0
2020-04-19,106547.0
2020-04-20,107929.0
2020-04-21,110061.0
2020-04-22,114509.0
2020-04-23,112175.0
2020-04-24,114023.0
2020-04-25,108053.0
2020-04-26,107504.0
2020-04-27,109288.0
2020-04-28,109514.0
2020-04-29,107057.0
2020-04-30,106043.0
2020-05-01,111486.0
2020-05-02,107747.0
2020-05-04,116564.0
2020-05-05,107994.0
2020-05-06,106397.0
2020-05-07,107008.0
2020-05-08,109873.0
2020-05-09,104879.0
2020-05-10,105856.0
2020-05-11,108168.0
2020-05-12,103126.0
2020-05-13,102953.0
2020-05-14,103579.0
2020-05-15,106941.0
2020-05-16,104371.0
2020-05-17,103457.0
2020-05-18,109998.0
2020-05-19,106075.0
2020-05-20,106383.0
2020-05-21,108542.0
2020-05-22,113121.0
2020-05-23,104937.0
2020-05-24,101521.0
2020-05-25,102248.0
2020-05-26,105537.0
2020-05-27,105253.0
2020-05-28,106574.0
2020-05-29,110207.0
2020-05-30,105674.0
2020-05-31,105599.0
2020-06-01,110265.0
2020-06-02,106225.0
2020-06-03,104273.0
2020-06-04,104091.0
2020-06-05,108011.0
2020-06-06,102353.0
2020-06-07,102731.0
2020-06-08,108138.0
2020-06-09,107195.0
2020-06-10,105893.0
2020-06-11,104633.0
2020-06-12,108733.0
2020-06-13,102271.0
2020-06-14,97027.0
2020-06-15,105337.0
2020-06-16,104597.0
2020-06-17,104558.0
2020-06-18,109326.0
2020-06-19,112543.0
2020-06-20,105010.0
2020-06-21,101855.0
2020-06-22,111639.0
2020-06-23,115332.0
2020-06-24,112010.0
2020-06-25,110555.0
2020-06-26,114090.0
2020-06-27,103581.0
2020-06-28,103139.0
2020-06-29,111171.0
2020-06-30,110904.0
2020-07-01,105810.0
2020-07-02,104613.0
2020-07-03,102913.0
2020-07-04,98599.0
2020-07-05,100968.0
2020-07-06,110413.0
2020-07-07,106822.0
2020-07-08,105664.0
2020-07-09,104876.0
2020-07-10,108472.0
2020-07-11,101947.0
2020-07-12,101657.0
2020-07-13,111677.0
2020-07-14,109385.0
2020-07-15,109866.0
2020-07-16,111067.0
2020-07-17,109879.0
2020-07-18,104651.0
2020-07-19,108194.0
2020-07-20,123009.0
2020-07-21,123446.0
2020-07-22,112107.0
2020-07-23,105880.0
2020-07-24,107705.0
2020-07-25,102628.0
2020-07-26,106876.0
2020-07-27,125676.0
2020-07-28,119812.0
2020-07-29,113982.0
2020-07-30,117400.0
2020-07-31,120122.0
2020-08-01,107677.0
2020-08-02,109126.0
2020-08-03,120059.0
2020-08-04,119956.0
2020-08-05,115084.0
2020-08-06,107332.0
2020-08-07,109805.0
2020-08-08,102838.0
2020-08-09,103191.0
2020-08-10,115620.0
2020-08-11,111879.0
2020-08-12,104865.0
2020-08-13,105413.0
2020-08-14,111276.0
2020-08-15,110211.0
2020-08-16,118125.0
2020-08-17,130466.0
2020-08-18,123413.0
2020-08-19,116232.0
2020-08-20,115271.0
2020-08-21,117339.0
2020-08-22,105306.0
2020-08-23,103959.0
2020-08-24,113519.0
2020-08-25,113939.0
2020-08-26,108806.0
2020-08-27,108896.0
2020-08-28,112583.0
2020-08-29,103187.0
2020-08-30,102320.0
2020-08-31,110849.0
2020-09-01,115887.0
2020-09-02,113611.0
2020-09-03,111368.0
2020-09-04,116535.0
2020-09-05,105213.0
2020-09-06,104588.0
2020-09-07,110015.0
2020-09-08,116279.0
2020-09-09,116479.0
2020-09-10,117860.0
2020-09-11,116273.0
2020-09-12,106662.0
2020-09-13,105605.0
2020-09-14,110878.0
2020-09-15,112230.0
2020-09-16,111577.0
2020-09-17,111875.0
2020-09-18,114429.0
2020-09-19,107670.0
2020-09-20,106653.0
2020-09-21,113803.0
2020-09-22,113650.0
2020-09-23,111295.0
2020-09-24,108868.0
2020-09-25,113556.0
2020-09-26,106746.0
2020-09-27,105593.0
2020-09-28,115247.0
2020-09-29,116137.0
2020-09-30,111453.0
2020-10-01,108770.0
2020-10-02,113200.0
2020-10-03,105716.0
2020-10-04,106755.0
2020-10-05,115115.0
2020-10-06,113969.0
2020-10-07,109475.0
2020-10-08,108985.0
2020-10-09,112625.0
2020-10-10,107268.0
2020-10-11,109563.0
2020-10-12,118593.0
2020-10-13,118177.0
2020-10-14,114295.0
2020-10-15,112815.0
2020-10-16,118062.0
2020-10-17,110518.0
2020-10-18,112841.0
2020-10-19,121450.0
2020-10-20,121906.0
2020-10-21,122814.0
2020-10-22,126178.0
2020-10-23,137528.0
2020-10-24,129968.0
2020-10-25,134331.0
2020-10-26,146161.0
2020-10-27,133847.0
2020-10-28,128233.0
2020-10-29,120705.0
2020-10-30,124396.0
2020-10-31,120914.0
2020-11-01,126400.0
2020-11-02,130344.0
2020-11-03,129452.0
2020-11-04,118115.0
2020-11-05,121470.0
2020-11-06,134335.0
2020-11-07,137407.0
2020-11-08,139946.0
2020-11-09,160221.0
2020-11-10,150397.0
2020-11-11,145451.0
2020-11-12,142725.0
2020-11-13,141443.0
2020-11-14,139636.0
2020-11-15,133082.0
2020-11-16,144079.0
2020-11-17,135731.0
2020-11-18,136870.0
2020-11-19,137588.0
2020-11-20,140346.0
2020-11-21,127648.0
2020-11-22,136224.0
2020-11-23,147043.0
2020-11-24,140651.0
2020-11-25,138051.0
2020-11-26,128574.0
2020-11-27,125007.0
2020-11-28,125737.0
2020-11-29,131708.0
2020-11-30,143649.0
2020-12-01,149782.0
2020-12-02,144209.0
2020-12-03,141769.0
2020-12-04,140654.0
2020-12-05,135700.0
2020-12-06,131587.0
2020-12-07,142402.0
2020-12-08,140562.0
2020-12-09,138517.0
2020-12-10,145759.0
2020-12-11,150504.0
2020-12-12,149096.0
2020-12-13,147437.0
2020-12-14,152024.0
2020-12-15,150734.0
2020-12-16,143583.0
2020-12-17,139869.0
2020-12-18,145120.0
2020-12-19,137150.0
2020-12-20,131429.0
2020-12-21,149831.0
2020-12-22,158164.0
2020-12-23,159835.0
2020-12-24,152862.0
2020-12-25,139186.0
2020-12-26,133234.0
2020-12-27,132973.0
2020-12-28,152977.0
2020-12-29,156334.0
2020-12-30,154645.0
2020-12-31,139543.0
2021-01-01,127412.0
2021-01-02,130853.0
2021-01-03,139909.0
2021-01-04,152469.0
2021-01-05,153465.0
2021-01-06,143876.0
2021-01-07,141983.0
2021-01-08,147822.0
2021-01-09,143363.0
2021-01-10,139203.0
2021-01-11,151571.0
2021-01-12,142679.0
2021-01-13,131612.0
2021-01-14,140705.0
2021-01-15,137682.0
2021-01-16,136555.0
2021-01-17,134392.0
2021-01-18,144420.0
2021-01-19,154428.0
2021-01-20,150229.0
2021-01-21,145242.0
2021-01-22,150571.0
2021-01-23,150074.0
2021-01-24,149376.0
2021-01-25,158384.0
2021-01-26,161242.0
2021-01-27,149483.0
2021-01-28,145914.0
2021-01-29,147672.0
2021-01-30,140201.0
2021-01-31,138327.0
2021-02-01,146557.0
2021-02-02,151735.0
2021-02-03,147480.0
2021-02-04,146519.0
2021-02-05,143603.0
2021-02-06,139381.0
2021-02-07,139915.0
2021-02-08,157264.0
2021-02-09,158750.0
2021-02-10,158992.0
2021-02-11,166634.0
2021-02-12,178629.0
2021-02-13,175693.0
2021-02-14,168324.0
2021-02-15,170410.0
2021-02-16,159093.0
2021-02-17,152592.0
2021-02-18,154530.0
2021-02-19,151539.0
2021-02-20,141029.0
2021-02-21,140132.0
2021-02-22,146359.0
2021-02-23,151424.0
2021-02-24,149676.0
2021-02-25,147910.0
2021-02-26,146740.0
2021-02-27,139628.0
2021-02-28,136823.0
