period,value
2020-01-01,2993920.0
2020-01-02,3033149.0
2020-01-03,2821496.0
2020-01-04,2781465.0
2020-01-05,3205549.0
2020-01-06,3240258.0
2020-01-07,3109368.0
2020-01-08,3405114.0
2020-01-09,3260160.0
2020-01-10,2816156.0
2020-01-11,2572625.0
2020-01-12,2582518.0
2020-01-13,2808941.0
2020-01-14,2808842.0
2020-01-15,2801588.0
2020-01-16,2813390.0
2020-01-17,3006288.0
2020-01-18,2923725.0
2020-01-19,3001790.0
2020-01-20,3935992.0
2020-01-21,4255452.0
2020-01-22,4038555.0
2020-01-23,3568244.0
2020-01-24,3159967.0
2020-01-25,3249415.0
2020-01-26,3239222.0
2020-01-27,3252256.0
2020-01-28,3336886.0
2020-01-29,3428161.0
2020-01-30,3308199.0
2020-01-31,3367490.0
2020-02-01,3212349.0
2020-02-02,3085168.0
2020-02-03,2996833.0
2020-02-04,2784218.0
2020-02-05,2746032.0
2020-02-06,2835449.0
2020-02-07,3452044.0
2020-02-08,3477049.0
2020-02-09,3129948.0
2020-02-10,3116822.0
2020-02-11,2869479.0
2020-02-12,2838687.0
2020-02-13,2873065.0
2020-02-14,3239332.0
2020-02-15,3173990.0
2020-02-16,3014721.0
2020-02-17,3025496.0
2020-02-18,2898738.0
2020-02-19,2925083.0
2020-02-20,3387644.0
2020-02-21,3636712.0
2020-02-22,3479027.0
2020-02-23,3153034.0
2020-02-24,3115624.0
2020-02-25,2875038.0
2020-02-26,3115360.0
2020-02-27,3533299.0
2020-02-28,3503402.0
2020-02-29,3136517.0
2020-03-01,2986557.0
2020-03-02,2967191.0
2020-03-03,2807540.0
2020-03-04,2851332.0
2020-03-05,3023036.0
2020-03-06,3056786.0
2020-03-07,3054499.0
2020-03-08,2818009.0
2020-03-09,2901929.0
2020-03-10,2779704.0
2020-03-11,2770264.0
2020-03-12,2789898.0
2020-03-13,2733070.0
2020-03-14,2621005.0
2020-03-15,2559036.0
2020-03-17,2837859.0
2020-03-18,2841837.0
2020-03-19,2907524.0
2020-03-20,2872967.0
2020-03-21,2565444.0
2020-03-22,2471906.0
2020-03-23,2770781.0
2020-03-24,2819605.0
2020-03-25,2847785.0
2020-03-26,2813090.0
2020-03-27,2908744.0
2020-03-28,2878080.0
2020-03-29,2756453.0
2020-03-30,2671700.0
2020-03-31,2569530.0
2020-04-01,2583803.0
2020-04-02,2613209.0
2020-04-03,2562480.0
2020-04-04,2440404.0
2020-04-05,2479460.0
2020-04-06,2720074.0
2020-04-07,2706224.0
2020-04-08,2863118.0
2020-04-09,2902992.0
2020-04-10,2417809.0
2020-04-11,2389941.0
2020-04-12,2414066.0
2020-04-13,2615466.0
2020-04-14,2589699.0
2020-04-15,2516240.0
2020-04-16,2557612.0
2020-04-17,2541117.0
2020-04-18,2456930.0
2020-04-19,2470091.0
2020-04-20,2578043.0
2020-04-21,2610991.0
2020-04-22,2573299.0
2020-04-23,2552535.0
2020-04-24,2564643.0
2020-04-25,2538119.0
2020-04-26,2365195.0
2020-04-27,2553483.0
2020-04-28,2631259.0
2020-04-29,2604266.0
2020-04-30,2512140.0
2020-05-01,2496126.0
2020-05-02,2491936.0
2020-05-04,3068124.0
2020-05-05,3126370.0
2020-05-06,2736139.0
2020-05-07,2566283.0
2020-05-08,2542545.0
2020-05-09,2382143.0
2020-05-10,2415951.0
2020-05-11,2609289.0
2020-05-12,2671009.0
2020-05-13,2782483.0
2020-05-14,2928436.0
2020-05-15,2962642.0
2020-05-16,2964901.0
2020-05-17,2966159.0
2020-05-18,3036519.0
2020-05-19,2978587.0
2020-05-20,2727543.0
2020-05-21,2863246.0
2020-05-22,3121361.0
2020-05-23,3130664.0
2020-05-24,3131782.0
2020-05-25,3081467.0
2020-05-26,2956185.0
2020-05-27,2938028.0
2020-05-28,3268364.0
2020-05-29,3307247.0
2020-05-30,3224455.0
2020-05-31,3118178.0
2020-06-01,3311774.0
2020-06-02,3428507.0
2020-06-03,3500207.0
2020-06-04,3579121.0
2020-06-05,3491204.0
2020-06-06,3286625.0
2020-06-07,3304178.0
2020-06-08,3628797.0
2020-06-09,3644432.0
2020-06-10,3677655.0
2020-06-11,3584639.0
2020-06-12,3461296.0
2020-06-13,3284119.0
2020-06-14,3164648.0
2020-06-15,3234569.0
2020-06-16,3041496.0
2020-06-17,3033134.0
2020-06-18,3289666.0
2020-06-19,3476003.0
2020-06-20,3497491.0
2020-06-21,3451456.0
2020-06-22,3539334.0
2020-06-23,3584732.0
2020-06-24,3437768.0
2020-06-25,3514440.0
2020-06-26,3488817.0
2020-06-27,3331970.0
2020-06-28,3646378.0
2020-06-29,4015778.0
2020-06-30,3850885.0
2020-07-01,3525608.0
2020-07-02,3699518.0
2020-07-03,3761984.0
2020-07-04,3560436.0
2020-07-05,3540096.0
2020-07-06,3560848.0
2020-07-07,3599868.0
2020-07-08,3717304.0
2020-07-09,3875259.0
2020-07-10,4056855.0
2020-07-11,3859670.0
2020-07-12,3538444.0
2020-07-13,3927999.0
2020-07-14,4102019.0
2020-07-15,4019512.0
2020-07-16,4081250.0
2020-07-17,4220193.0
2020-07-18,4044046.0
2020-07-19,4013995.0
2020-07-20,4305471.0
2020-07-21,4111090.0
