period,value
2020-01-23,31486.0
2020-01-24,32079.0
2020-01-25,39799.0
2020-01-26,46422.0
2020-01-27,35106.0
2020-01-28,37466.0
2020-01-29,39389.0
2020-01-30,34990.0
2020-01-31,34486.0
2020-02-01,21330.0
2020-02-02,31240.0
2020-02-03,22145.0
2020-02-04,22725.0
2020-02-05,25741.0
2020-02-06,37921.0
2020-02-07,33578.0
2020-02-08,35911.0
2020-02-09,25747.0
2020-02-10,21201.0
2020-02-11,25918.0
2020-02-12,28644.0
2020-02-13,42726.0
2020-02-14,48841.0
2020-02-15,36243.0
2020-02-16,32724.0
2020-02-17,55279.0
2020-02-18,53968.0
2020-02-19,53524.0
2020-02-20,56974.0
2020-02-21,47304.0
2020-02-22,38936.0
2020-02-23,39051.0
2020-02-24,37687.0
2020-02-25,11674.0
2020-02-26,13078.0
2020-02-29,12847.0
2020-03-01,12228.0
2020-03-02,13784.0
2020-03-03,11703.0
2020-03-04,11573.0
2020-03-05,13021.0
2020-03-06,12912.0
2020-03-07,13355.0
2020-03-09,39881.0
2020-03-10,37612.0
2020-03-11,40377.0
2020-03-12,37602.0
2020-03-13,39571.0
2020-03-14,41217.0
2020-03-15,36915.0
2020-03-17,0.0
2020-03-18,32726.0
2020-03-19,44076.0
2020-03-20,36729.0
2020-03-21,44014.0
2020-03-22,36738.0
2020-03-23,20919.0
2020-03-24,18255.0
2020-03-25,21141.0
2020-03-26,38797.0
2020-03-27,32052.0
2020-03-28,36866.0
2020-03-29,38961.0
2020-03-30,43881.0
2020-03-31,37265.0
2020-04-01,29313.0
2020-04-02,26715.0
2020-04-03,32112.0
2020-04-04,45698.0
2020-04-05,34822.0
2020-04-06,39397.0
2020-04-07,43873.0
2020-04-08,43677.0
2020-04-09,54135.0
2020-04-10,12698.0
2020-04-11,0.0
2020-04-12,6356.0
2020-04-13,52694.0
2020-04-14,87762.0
2020-04-15,89651.0
2020-04-16,83540.0
2020-04-17,87750.0
2020-04-18,65799.0
2020-04-19,50200.0
2020-04-20,53446.0
2020-04-21,19504.0
2020-04-22,72970.0
2020-04-23,53208.0
2020-04-24,42988.0
2020-04-25,40398.0
2020-04-26,32786.0
2020-04-27,25906.0
2020-04-28,26409.0
2020-04-29,35467.0
2020-04-30,31886.0
2020-05-01,19221.0
2020-05-02,30891.0
2020-05-04,19220.0
2020-05-05,54229.0
2020-05-06,49857.0
2020-05-07,58115.0
2020-05-08,34965.0
2020-05-09,34252.0
2020-05-10,29849.0
2020-05-11,30483.0
2020-05-12,26207.0
2020-05-13,20289.0
2020-05-14,35123.0
2020-05-15,35478.0
2020-05-16,47316.0
2020-05-17,50529.0
2020-05-18,49344.0
2020-05-19,59985.0
2020-05-20,49477.0
2020-05-21,42028.0
2020-05-22,42931.0
2020-05-23,48340.0
2020-05-24,47543.0
2020-05-25,20145.0
2020-05-26,15318.0
2020-05-27,31650.0
2020-05-28,69592.0
2020-05-29,53075.0
2020-05-30,20961.0
2020-05-31,55625.0
2020-06-01,49876.0
2020-06-02,19767.0
2020-06-03,20824.0
2020-06-04,50159.0
2020-06-05,58427.0
2020-06-06,58974.0
2020-06-07,67682.0
2020-06-08,66333.0
2020-06-09,61100.0
2020-06-10,58082.0
2020-06-11,57731.0
2020-06-12,60271.0
2020-06-13,56165.0
2020-06-14,55057.0
2020-06-15,54661.0
2020-06-16,58176.0
2020-06-17,59333.0
2020-06-18,57770.0
2020-06-19,56820.0
2020-06-20,64394.0
2020-06-21,54053.0
2020-06-22,50704.0
2020-06-23,82604.0
2020-06-24,71001.0
2020-06-25,61373.0
2020-06-26,51227.0
2020-06-27,21106.0
2020-06-28,23974.0
2020-06-29,61247.0
2020-06-30,52974.0
2020-07-01,54358.0
2020-07-02,68661.0
2020-07-03,65374.0
2020-07-04,73399.0
2020-07-05,64904.0
2020-07-06,66389.0
2020-07-07,77749.0
2020-07-08,82283.0
2020-07-09,72997.0
2020-07-10,86707.0
2020-07-11,81815.0
2020-07-12,59293.0
2020-07-13,71101.0
2020-07-14,65996.0
2020-07-15,61466.0
2020-07-16,66643.0
2020-07-17,67828.0
2020-07-18,69970.0
2020-07-19,74197.0
2020-07-20,71365.0
2020-07-21,23886.0
2020-07-22,21349.0
2020-07-23,20841.0
2020-07-24,66852.0
2020-07-25,65839.0
2020-07-26,62822.0
2020-07-27,56855.0
2020-07-28,33710.0
2020-07-29,17179.0
2020-07-30,73973.0
2020-07-31,66622.0
2020-08-01,66947.0
2020-08-02,74975.0
2020-08-03,71658.0
2020-08-04,60338.0
2020-08-05,56687.0
2020-08-06,60721.0
2020-08-07,46898.0
2020-08-08,59037.0
2020-08-09,51896.0
2020-08-10,57223.0
2020-08-11,52786.0
2020-08-12,58887.0
2020-08-13,20628.0
2020-08-14,22083.0
2020-08-15,62362.0
2020-08-16,70953.0
2020-08-17,63373.0
2020-08-18,60513.0
2020-08-19,60520.0
2020-08-20,71116.0
2020-08-21,76784.0
2020-08-22,62435.0
2020-08-23,76256.0
2020-08-24,66516.0
2020-08-25,60820.0
2020-08-26,59203.0
2020-08-27,59363.0
2020-08-28,66469.0
2020-08-29,71791.0
2020-08-30,60338.0
2020-08-31,42765.0
2020-09-01,22457.0
2020-09-02,26369.0
2020-09-03,74282.0
2020-09-04,76060.0
2020-09-05,70423.0
2020-09-06,67629.0
2020-09-07,62927.0
2020-09-08,69375.0
2020-09-09,54933.0
2020-09-10,55877.0
2020-09-11,78302.0
2020-09-12,70293.0
2020-09-13,69289.0
2020-09-14,81221.0
2020-09-15,89349.0
2020-09-16,91281.0
