period,value
2020-01-01,2932217.0
2020-01-02,2981520.0
2020-01-03,2772474.0
2020-01-04,2730804.0
2020-01-05,3138764.0
2020-01-06,3176049.0
2020-01-07,3048244.0
2020-01-08,3333306.0
2020-01-09,3195278.0
2020-01-10,2766116.0
2020-01-11,2524338.0
2020-01-12,2533746.0
2020-01-13,2757637.0
2020-01-14,2757695.0
2020-01-15,2750156.0
2020-01-16,2762902.0
2020-01-17,2955321.0
2020-01-18,2872948.0
2020-01-19,2943297.0
2020-01-20,3852867.0
2020-01-21,4159125.0
2020-01-22,3951271.0
2020-01-23,3500172.0
2020-01-24,3104297.0
2020-01-25,3182674.0
2020-01-26,3169638.0
2020-01-27,3187480.0
2020-01-28,3270171.0
2020-01-29,3355839.0
2020-01-30,3242175.0
2020-01-31,3303258.0
2020-02-01,3145891.0
2020-02-02,3018597.0
2020-02-03,2938837.0
2020-02-04,2732207.0
2020-02-05,2696146.0
2020-02-06,2783275.0
2020-02-07,3380855.0
2020-02-08,3408107.0
2020-02-09,3073221.0
2020-02-10,3063951.0
2020-02-11,2817524.0
2020-02-12,2787768.0
2020-02-13,2822826.0
2020-02-14,3177554.0
2020-02-15,3110278.0
2020-02-16,2954745.0
2020-02-17,2971067.0
2020-02-18,2847901.0
2020-02-19,2874443.0
2020-02-20,3329625.0
2020-02-21,3564300.0
2020-02-22,3403580.0
2020-02-23,3087544.0
2020-02-24,3061263.0
2020-02-25,2825271.0
2020-02-26,3056292.0
2020-02-27,3459533.0
2020-02-28,3431475.0
2020-02-29,3074567.0
2020-03-01,2928653.0
2020-03-02,2914882.0
2020-03-03,2756123.0
2020-03-04,2799693.0
2020-03-05,2968779.0
2020-03-06,3000699.0
2020-03-07,2992396.0
2020-03-08,2758569.0
2020-03-09,2848508.0
2020-03-10,2728633.0
2020-03-11,2719345.0
2020-03-12,2739428.0
2020-03-13,2680507.0
2020-03-14,2568326.0
2020-03-15,2505911.0
2020-03-17,2782810.0
2020-03-18,2785948.0
2020-03-19,2850408.0
2020-03-20,2815887.0
2020-03-21,2513611.0
2020-03-22,2422340.0
2020-03-23,2714375.0
2020-03-24,2761157.0
2020-03-25,2786531.0
2020-03-26,2753665.0
2020-03-27,2849131.0
2020-03-28,2818389.0
2020-03-29,2696009.0
2020-03-30,2617755.0
2020-03-31,2520082.0
2020-04-01,2536198.0
2020-04-02,2565582.0
2020-04-03,2515998.0
2020-04-04,2392736.0
2020-04-05,2430644.0
2020-04-06,2667779.0
2020-04-07,2653455.0
2020-04-08,2805121.0
