period,value
2020-01-01,9339.0
2020-01-02,9566.0
2020-01-03,8707.0
2020-01-04,9352.0
2020-01-05,9596.0
2020-01-06,10118.0
2020-01-07,10060.0
2020-01-08,9837.0
2020-01-09,9550.0
2020-01-10,8616.0
2020-01-11,9251.0
2020-01-12,9173.0
2020-01-13,9898.0
2020-01-14,9191.0
2020-01-15,9129.0
2020-01-16,10833.0
2020-01-17,11574.0
2020-01-18,8689.0
2020-01-19,10108.0
2020-01-20,12768.0
2020-01-21,11710.0
2020-01-22,12223.0
2020-01-23,11118.0
2020-01-24,10502.0
2020-01-25,10086.0
2020-01-26,9081.0
2020-01-27,10405.0
2020-01-28,10831.0
2020-01-29,11644.0
2020-01-30,11483.0
2020-01-31,9834.0
2020-02-01,9192.0
2020-02-02,9442.0
2020-02-03,9191.0
2020-02-04,9680.0
2020-02-05,10578.0
2020-02-06,11820.0
2020-02-07,10809.0
2020-02-08,9724.0
2020-02-09,8733.0
2020-02-10,9827.0
2020-02-11,10732.0
2020-02-12,10735.0
2020-02-13,11334.0
2020-02-14,12430.0
2020-02-15,10154.0
2020-02-16,8946.0
2020-02-17,9919.0
2020-02-18,10421.0
2020-02-19,10868.0
2020-02-20,10778.0
2020-02-21,11670.0
2020-02-22,10610.0
2020-02-23,9128.0
2020-02-24,9408.0
2020-02-25,10415.0
2020-02-26,11095.0
2020-02-27,10766.0
2020-02-28,9733.0
2020-02-29,9608.0
2020-03-01,8691.0
2020-03-02,8598.0
2020-03-03,8243.0
2020-03-04,8926.0
2020-03-05,9847.0
2020-03-06,9514.0
2020-03-07,9271.0
2020-03-08,8349.0
2020-03-09,8279.0
2020-03-10,8563.0
2020-03-11,8644.0
2020-03-12,8566.0
2020-03-13,8535.0
2020-03-14,8701.0
2020-03-15,8494.0
2020-03-17,8348.0
2020-03-18,8371.0
2020-03-19,8488.0
2020-03-20,8653.0
2020-03-21,8498.0
2020-03-22,8591.0
2020-03-23,8060.0
2020-03-24,8163.0
2020-03-25,8651.0
2020-03-26,8212.0
2020-03-27,7818.0
2020-03-28,8014.0
2020-03-29,7248.0
2020-03-30,8124.0
2020-03-31,8200.0
2020-04-01,9271.0
2020-04-02,9031.0
2020-04-03,7850.0
2020-04-04,6966.0
2020-04-05,7713.0
2020-04-06,8922.0
2020-04-07,8887.0
2020-04-08,9831.0
2020-04-09,9344.0
2020-04-10,8446.0
2020-04-11,7856.0
2020-04-12,7417.0
2020-04-13,8803.0
2020-04-14,9379.0
2020-04-15,9272.0
2020-04-16,8632.0
2020-04-17,8733.0
2020-04-18,7951.0
2020-04-19,7184.0
2020-04-20,8325.0
2020-04-21,8323.0
2020-04-22,9190.0
2020-04-23,7971.0
2020-04-24,8021.0
2020-04-25,7080.0
2020-04-26,7372.0
2020-04-27,8665.0
2020-04-28,8632.0
2020-04-29,7611.0
2020-04-30,7551.0
2020-05-01,7603.0
2020-05-02,6698.0
2020-05-04,7498.0
2020-05-05,7320.0
2020-05-06,7706.0
2020-05-07,7206.0
2020-05-08,7149.0
2020-05-09,6267.0
2020-05-10,6117.0
2020-05-11,7169.0
2020-05-12,7780.0
2020-05-13,7521.0
2020-05-14,7824.0
2020-05-15,7681.0
2020-05-16,7084.0
2020-05-17,7982.0
2020-05-18,7878.0
2020-05-19,8225.0
2020-05-20,7993.0
2020-05-21,7521.0
2020-05-22,7960.0
2020-05-23,7126.0
2020-05-24,7577.0
