period,value
2020-01-01,355563.0
2020-01-02,365638.0
2020-01-03,368843.0
2020-01-04,352961.0
2020-01-05,347562.0
2020-01-06,362961.0
2020-01-07,354138.0
2020-01-08,358498.0
2020-01-09,368597.0
2020-01-10,363137.0
2020-01-11,365051.0
2020-01-12,363273.0
2020-01-13,371931.0
2020-01-14,364912.0
2020-01-15,353174.0
2020-01-16,354970.0
2020-01-17,347754.0
2020-01-18,340635.0
2020-01-19,324101.0
2020-01-20,326340.0
2020-01-21,336660.0
2020-01-22,331997.0
2020-01-23,339035.0
2020-01-24,335116.0
2020-01-25,323458.0
2020-01-26,320952.0
2020-01-27,326790.0
2020-01-28,337524.0
2020-01-29,350168.0
2020-01-30,346154.0
2020-01-31,343469.0
2020-02-01,330325.0
2020-02-02,320273.0
2020-02-03,340748.0
2020-02-04,393252.0
2020-02-05,412390.0
2020-02-06,400962.0
2020-02-07,369978.0
2020-02-08,341811.0
2020-02-09,331052.0
2020-02-10,329426.0
2020-02-11,344672.0
2020-02-12,356908.0
2020-02-13,353516.0
2020-02-14,340484.0
2020-02-15,327303.0
2020-02-16,322490.0
2020-02-17,332841.0
2020-02-18,331239.0
2020-02-19,327555.0
2020-02-20,326087.0
2020-02-21,318333.0
2020-02-22,316834.0
2020-02-23,319120.0
2020-02-24,334409.0
2020-02-25,334424.0
2020-02-26,343646.0
2020-02-27,343194.0
2020-02-28,328011.0
2020-02-29,313562.0
2020-03-01,307959.0
2020-03-02,327932.0
2020-03-03,327395.0
2020-03-04,327486.0
2020-03-05,330755.0
2020-03-06,329219.0
2020-03-07,317534.0
2020-03-08,297002.0
2020-03-09,319295.0
2020-03-10,321789.0
2020-03-11,321206.0
2020-03-12,322835.0
2020-03-13,316867.0
2020-03-14,313778.0
2020-03-15,310057.0
2020-03-17,320499.0
2020-03-18,323106.0
2020-03-19,326064.0
2020-03-20,320445.0
2020-03-21,304140.0
2020-03-22,301762.0
2020-03-23,313203.0
2020-03-24,314287.0
2020-03-25,317118.0
2020-03-26,311316.0
2020-03-27,311351.0
2020-03-28,309247.0
2020-03-29,300410.0
2020-03-30,313773.0
2020-03-31,316502.0
2020-04-01,321820.0
2020-04-02,322700.0
