period,value
2020-01-01,1239262.0
2020-01-02,1283841.0
2020-01-03,1299332.0
2020-01-04,1248378.0
2020-01-05,1208198.0
2020-01-06,1251167.0
2020-01-07,1265538.0
2020-01-08,1271446.0
2020-01-09,1304596.0
2020-01-10,1285734.0
2020-01-11,1294479.0
2020-01-12,1253372.0
2020-01-13,1256607.0
2020-01-14,1257357.0
2020-01-15,1235185.0
2020-01-16,1269890.0
2020-01-17,1214493.0
2020-01-18,1181815.0
2020-01-19,1151091.0
2020-01-20,1188303.0
2020-01-21,1240906.0
2020-01-22,1185374.0
2020-01-23,1220163.0
2020-01-24,1199554.0
2020-01-25,1157003.0
2020-01-26,1154530.0
2020-01-27,1203987.0
2020-01-28,1241062.0
2020-01-29,1294143.0
2020-01-30,1248752.0
2020-01-31,1244836.0
2020-02-01,1161464.0
2020-02-02,1126110.0
2020-02-03,1209026.0
2020-02-04,1351633.0
2020-02-05,1416904.0
2020-02-06,1360600.0
2020-02-07,1272270.0
2020-02-08,1201186.0
2020-02-09,1178775.0
2020-02-10,1205063.0
2020-02-11,1291835.0
2020-02-12,1295793.0
2020-02-13,1259047.0
2020-02-14,1219496.0
2020-02-15,1167936.0
2020-02-16,1140214.0
2020-02-17,1179120.0
2020-02-18,1156342.0
2020-02-19,1156439.0
2020-02-20,1158123.0
2020-02-21,1157256.0
2020-02-22,1159764.0
2020-02-23,1151104.0
2020-02-24,1192756.0
2020-02-25,1201029.0
2020-02-26,1232710.0
2020-02-27,1209747.0
2020-02-28,1176596.0
2020-02-29,1133251.0
2020-03-01,1130336.0
2020-03-02,1196567.0
2020-03-03,1192885.0
2020-03-04,1173382.0
2020-03-05,1168640.0
2020-03-06,1157136.0
2020-03-07,1107259.0
2020-03-08,1048635.0
2020-03-09,1127369.0
2020-03-10,1169803.0
2020-03-11,1163364.0
2020-03-12,1179408.0
2020-03-13,1156848.0
2020-03-14,1093819.0
2020-03-15,1081274.0
2020-03-17,1141368.0
2020-03-18,1175467.0
2020-03-19,1134844.0
2020-03-20,1111215.0
2020-03-21,1040769.0
2020-03-22,1052512.0
2020-03-23,1083474.0
2020-03-24,1101043.0
2020-03-25,1100019.0
2020-03-26,1079155.0
2020-03-27,1120270.0
2020-03-28,1118537.0
2020-03-29,1074637.0
2020-03-30,1110731.0
2020-03-31,1144154.0
2020-04-01,1171266.0
2020-04-02,1166768.0
2020-04-03,1166889.0
2020-04-04,1132719.0
2020-04-05,1105340.0
2020-04-06,1139524.0
2020-04-07,1137621.0
2020-04-08,1132755.0
2020-04-09,1101764.0
2020-04-10,1107234.0
2020-04-11,1097617.0
2020-04-12,1089143.0
2020-04-13,1141980.0
2020-04-14,1141502.0
2020-04-15,1151746.0
2020-04-16,1165197.0
2020-04-17,1169028.0
2020-04-18,1119260.0
2020-04-19,1131694.0
2020-04-20,1199363.0
2020-04-21,1202779.0
2020-04-22,1223486.0
2020-04-23,1313448.0
2020-04-24,1386289.0
2020-04-25,1397574.0
2020-04-26,1461626.0
2020-04-27,1541836.0
2020-04-28,1523401.0
2020-04-29,1569294.0
2020-04-30,1576664.0
2020-05-01,1555152.0
2020-05-02,1511239.0
2020-05-04,1515231.0
2020-05-05,1552940.0
2020-05-06,1620289.0
2020-05-07,1639743.0
2020-05-08,1590857.0
2020-05-09,1602936.0
2020-05-10,1536155.0
2020-05-11,1593834.0
2020-05-12,1499697.0
2020-05-13,1456826.0
2020-05-14,1436885.0
2020-05-15,1483657.0
2020-05-16,1524797.0
2020-05-17,1532066.0
2020-05-18,1542492.0
2020-05-19,1445839.0
2020-05-20,1342604.0
2020-05-21,1380973.0
2020-05-22,1438763.0
2020-05-23,1420023.0
2020-05-24,1411014.0
2020-05-25,1466661.0
2020-05-26,1581667.0
2020-05-27,1694850.0
2020-05-28,1831783.0
2020-05-29,1918575.0
2020-05-30,1905892.0
2020-05-31,1798820.0
2020-06-01,1802047.0
2020-06-02,1864815.0
2020-06-03,1952282.0
2020-06-04,1992281.0
2020-06-05,1881568.0
2020-06-06,1622175.0
2020-06-07,1539739.0
2020-06-08,1489820.0
2020-06-09,1447645.0
2020-06-10,1642713.0
2020-06-11,1799509.0
2020-06-12,1880551.0
2020-06-13,1768471.0
2020-06-14,1693440.0
2020-06-15,1807881.0
2020-06-16,1798763.0
2020-06-17,1770245.0
2020-06-18,1745770.0
2020-06-19,1729598.0
2020-06-20,1775973.0
2020-06-21,1830432.0
2020-06-22,1939009.0
2020-06-23,1912889.0
2020-06-24,1929458.0
2020-06-25,1986444.0
2020-06-26,1958627.0
2020-06-27,1952472.0
2020-06-28,1822149.0
2020-06-29,1803196.0
2020-06-30,1743375.0
2020-07-01,1766697.0
2020-07-02,1842428.0
2020-07-03,1945531.0
2020-07-04,2015531.0
2020-07-05,2041302.0
2020-07-06,2060838.0
2020-07-07,2094670.0
2020-07-08,2191331.0
2020-07-09,2171573.0
2020-07-10,2246016.0
2020-07-11,2287638.0
2020-07-12,2298436.0
2020-07-13,2325509.0
2020-07-14,2226596.0
2020-07-15,2151264.0
