period,value
2020-01-01,3402043.0
2020-01-02,3425784.0
2020-01-03,3493214.0
2020-01-04,3485410.0
2020-01-05,3357016.0
2020-01-06,3607427.0
2020-01-07,3622604.0
2020-01-08,3673652.0
2020-01-09,3413468.0
2020-01-10,3555184.0
2020-01-11,3877917.0
2020-01-12,3750801.0
2020-01-13,3763954.0
2020-01-14,3525139.0
2020-01-15,3576447.0
2020-01-16,3993733.0
2020-01-17,3911739.0
2020-01-18,3603258.0
2020-01-19,3777453.0
2020-01-20,4040398.0
2020-01-21,4111729.0
2020-01-22,3963406.0
2020-01-23,3799979.0
2020-01-24,3818119.0
2020-01-25,3555750.0
2020-01-26,3335890.0
2020-01-27,3567275.0
2020-01-28,3765051.0
2020-01-29,3816753.0
2020-01-30,3775547.0
2020-01-31,3653854.0
2020-02-01,3400371.0
2020-02-02,3176243.0
2020-02-03,3428043.0
2020-02-04,3814478.0
2020-02-05,3976296.0
2020-02-06,3973901.0
2020-02-07,3825335.0
2020-02-08,3506003.0
2020-02-09,3324625.0
2020-02-10,3683891.0
2020-02-11,3791803.0
2020-02-12,3881104.0
2020-02-13,4205526.0
2020-02-14,4112976.0
2020-02-15,3517574.0
2020-02-16,3242866.0
2020-02-17,3363194.0
2020-02-18,3580351.0
2020-02-19,3794580.0
2020-02-20,3943617.0
2020-02-21,3857530.0
2020-02-22,3438763.0
2020-02-23,3258819.0
2020-02-24,3457815.0
2020-02-25,3663459.0
2020-02-26,3831502.0
2020-02-27,3751508.0
2020-02-28,3481374.0
2020-02-29,3238331.0
2020-03-01,3062340.0
2020-03-02,3283969.0
2020-03-03,3286208.0
2020-03-04,3332919.0
2020-03-05,3375152.0
2020-03-06,3358505.0
2020-03-07,3176660.0
2020-03-08,2996204.0
2020-03-09,3296662.0
2020-03-10,3333902.0
2020-03-11,3230474.0
2020-03-12,3235661.0
2020-03-13,3329453.0
2020-03-14,3284314.0
2020-03-15,3271048.0
2020-03-17,3323879.0
2020-03-18,3233188.0
2020-03-19,3233085.0
2020-03-20,3387614.0
2020-03-21,3273021.0
2020-03-22,3122024.0
2020-03-23,3183494.0
2020-03-24,3135544.0
2020-03-25,3155092.0
2020-03-26,3206886.0
2020-03-27,3148766.0
2020-03-28,2957238.0
2020-03-29,2853431.0
2020-03-30,3045499.0
2020-03-31,3022041.0
2020-04-01,3047432.0
2020-04-02,3111320.0
2020-04-03,3308215.0
2020-04-04,3175269.0
2020-04-05,2952525.0
2020-04-06,3033851.0
2020-04-07,3129203.0
2020-04-08,3240142.0
2020-04-09,3033989.0
2020-04-10,2966563.0
2020-04-11,2851195.0
2020-04-12,2903988.0
2020-04-13,3268431.0
2020-04-14,3244697.0
2020-04-15,3172876.0
2020-04-16,3177930.0
2020-04-17,3159711.0
2020-04-18,2966584.0
2020-04-19,2779653.0
2020-04-20,2987668.0
2020-04-21,3013869.0
2020-04-22,2837877.0
2020-04-23,2556544.0
2020-04-24,2942356.0
2020-04-25,2754364.0
2020-04-26,2775865.0
2020-04-27,3011648.0
2020-04-28,3118942.0
2020-04-29,2961256.0
2020-04-30,3004255.0
2020-05-01,3124796.0
2020-05-02,3098595.0
2020-05-04,3240298.0
2020-05-05,2993531.0
2020-05-06,2932822.0
2020-05-07,3009301.0
2020-05-08,2870157.0
2020-05-09,2744336.0
2020-05-10,2679088.0
2020-05-11,2945099.0
2020-05-12,2993542.0
2020-05-13,3045475.0
2020-05-14,3207099.0
2020-05-15,3075763.0
2020-05-16,2850782.0
2020-05-17,2859717.0
2020-05-18,3108296.0
2020-05-19,3174140.0
2020-05-20,3166124.0
2020-05-21,3178507.0
2020-05-22,3214723.0
2020-05-23,3166270.0
2020-05-24,3147565.0
2020-05-25,2893453.0
2020-05-26,3061370.0
2020-05-27,3175295.0
2020-05-28,3211158.0
2020-05-29,3267766.0
2020-05-30,3132700.0
2020-05-31,3194739.0
2020-06-01,3627110.0
2020-06-02,3862722.0
2020-06-03,4124858.0
2020-06-04,4139802.0
2020-06-05,4197647.0
2020-06-06,4189928.0
2020-06-07,4140518.0
2020-06-08,4310889.0
2020-06-09,4026307.0
2020-06-10,3410581.0
2020-06-11,3711507.0
2020-06-12,3898314.0
2020-06-13,3922113.0
2020-06-14,3974021.0
2020-06-15,4262531.0
2020-06-16,4319743.0
2020-06-17,4328293.0
2020-06-18,4252387.0
2020-06-19,3745331.0
2020-06-20,3625030.0
2020-06-21,3688519.0
2020-06-22,3977719.0
2020-06-23,3807242.0
2020-06-24,3941228.0
2020-06-25,4203718.0
2020-06-26,4286361.0
2020-06-27,4050075.0
2020-06-28,4149106.0
2020-06-29,4474480.0
2020-06-30,4601646.0
2020-07-01,4560693.0
2020-07-02,4521808.0
2020-07-03,4260210.0
2020-07-04,4046416.0
2020-07-05,4090695.0
2020-07-06,4420001.0
2020-07-07,4536780.0
2020-07-08,4758751.0
2020-07-09,4472773.0
2020-07-10,4363793.0
2020-07-11,4443176.0
2020-07-12,4184790.0
