period,value
2020-01-01,32769.0
2020-01-02,30678.0
2020-01-03,32212.0
2020-01-04,28740.0
2020-01-05,34323.0
2020-01-06,37588.0
2020-01-07,35108.0
2020-01-08,38660.0
2020-01-09,37138.0
2020-01-10,31693.0
2020-01-11,31010.0
2020-01-12,30902.0
2020-01-13,33768.0
2020-01-14,34602.0
2020-01-15,34037.0
2020-01-16,35158.0
2020-01-17,31365.0
2020-01-18,29550.0
2020-01-19,29964.0
2020-01-20,40866.0
2020-01-21,50182.0
2020-01-22,46984.0
2020-01-23,37462.0
2020-01-24,33366.0
2020-01-25,34057.0
2020-01-26,35247.0
2020-01-27,35280.0
2020-01-28,37258.0
2020-01-29,40953.0
2020-01-30,35910.0
2020-01-31,37007.0
2020-02-01,37557.0
2020-02-02,36619.0
2020-02-03,36136.0
2020-02-04,33481.0
2020-02-05,33485.0
2020-02-06,32981.0
2020-02-07,36585.0
2020-02-08,36700.0
2020-02-09,32844.0
2020-02-10,32781.0
2020-02-11,34727.0
2020-02-12,34917.0
2020-02-13,35195.0
2020-02-14,33339.0
2020-02-15,32930.0
2020-02-16,31876.0
2020-02-17,32555.0
2020-02-18,33135.0
2020-02-19,35548.0
2020-02-20,33135.0
2020-02-21,39148.0
2020-02-22,39793.0
2020-02-23,35232.0
2020-02-24,32380.0
2020-02-25,32777.0
2020-02-26,33229.0
2020-02-27,39304.0
2020-02-28,40537.0
2020-02-29,33924.0
2020-03-01,33612.0
2020-03-02,32835.0
2020-03-03,34069.0
2020-03-04,35337.0
2020-03-05,34453.0
2020-03-06,31890.0
2020-03-07,31989.0
2020-03-08,30887.0
2020-03-09,31993.0
2020-03-10,32612.0
2020-03-11,33551.0
2020-03-12,34200.0
2020-03-13,34916.0
2020-03-14,32485.0
2020-03-15,31965.0
2020-03-17,34188.0
2020-03-18,36202.0
2020-03-19,35618.0
2020-03-20,36003.0
2020-03-21,34025.0
2020-03-22,33274.0
2020-03-23,34678.0
2020-03-24,36213.0
2020-03-25,38422.0
2020-03-26,38148.0
2020-03-27,37859.0
2020-03-28,35898.0
2020-03-29,36494.0
2020-03-30,37097.0
2020-03-31,34215.0
2020-04-01,27432.0
2020-04-02,27962.0
2020-04-03,27942.0
2020-04-04,28814.0
2020-04-05,28835.0
2020-04-06,31795.0
2020-04-07,33186.0
2020-04-08,36934.0
2020-04-09,40762.0
2020-04-10,29596.0
2020-04-11,26249.0
2020-04-12,30627.0
2020-04-13,36883.0
2020-04-14,33162.0
2020-04-15,27811.0
2020-04-16,27632.0
2020-04-17,29498.0
2020-04-18,31473.0
2020-04-19,34060.0
2020-04-20,32663.0
2020-04-21,31494.0
2020-04-22,30822.0
2020-04-23,29404.0
2020-04-24,31672.0
2020-04-25,33130.0
2020-04-26,29706.0
2020-04-27,28189.0
2020-04-28,29810.0
2020-04-29,31579.0
2020-04-30,29872.0
2020-05-01,28966.0
2020-05-02,30239.0
2020-05-04,35263.0
2020-05-05,37946.0
2020-05-06,34477.0
2020-05-07,27949.0
2020-05-08,29361.0
2020-05-09,28379.0
2020-05-10,29169.0
