period,value
2020-01-01,220577.0
2020-01-02,245000.0
2020-01-03,267481.0
2020-01-04,237147.0
2020-01-05,233134.0
2020-01-06,265332.0
2020-01-07,258196.0
2020-01-08,250332.0
2020-01-09,248915.0
2020-01-10,246898.0
2020-01-11,256920.0
2020-01-12,264696.0
2020-01-13,276082.0
2020-01-14,270360.0
2020-01-15,271003.0
2020-01-16,259825.0
2020-01-17,244898.0
2020-01-18,230540.0
2020-01-19,228382.0
2020-01-20,239633.0
2020-01-21,306494.0
2020-01-22,332480.0
2020-01-23,253447.0
2020-01-24,234580.0
2020-01-25,220694.0
2020-01-26,237055.0
2020-01-27,237273.0
2020-01-28,233866.0
2020-01-29,241057.0
2020-01-30,239468.0
2020-01-31,232724.0
2020-02-01,226328.0
2020-02-02,245259.0
2020-02-03,255454.0
2020-02-04,244839.0
2020-02-05,243165.0
2020-02-06,264952.0
2020-02-07,229101.0
2020-02-08,239977.0
2020-02-09,227335.0
2020-02-10,250730.0
2020-02-11,261340.0
2020-02-12,272005.0
2020-02-13,278894.0
2020-02-14,254133.0
2020-02-15,229284.0
2020-02-16,241226.0
2020-02-17,270540.0
2020-02-18,279072.0
2020-02-19,280511.0
2020-02-20,276550.0
2020-02-21,248484.0
2020-02-22,254553.0
2020-02-23,230061.0
2020-02-24,238335.0
2020-02-25,251244.0
2020-02-26,238017.0
2020-02-27,238677.0
2020-02-28,262887.0
2020-02-29,241586.0
2020-03-01,238760.0
2020-03-02,235408.0
2020-03-03,245509.0
2020-03-04,272078.0
2020-03-05,286239.0
2020-03-06,231245.0
2020-03-07,210723.0
2020-03-08,213002.0
2020-03-09,229314.0
2020-03-10,242156.0
2020-03-11,248601.0
2020-03-12,261941.0
2020-03-13,268834.0
2020-03-14,264425.0
2020-03-15,271045.0
2020-03-17,280583.0
2020-03-18,290789.0
2020-03-19,286611.0
2020-03-20,287205.0
2020-03-21,280587.0
2020-03-22,278805.0
2020-03-23,291118.0
2020-03-24,286606.0
2020-03-25,294287.0
2020-03-26,301136.0
2020-03-27,301868.0
2020-03-28,295424.0
2020-03-29,292827.0
2020-03-30,304288.0
2020-03-31,302925.0
2020-04-01,245626.0
2020-04-02,234194.0
2020-04-03,247517.0
2020-04-04,248927.0
2020-04-05,212066.0
2020-04-06,246504.0
2020-04-07,277058.0
2020-04-08,292447.0
2020-04-09,299169.0
2020-04-10,288686.0
2020-04-11,257093.0
2020-04-12,316633.0
2020-04-13,340291.0
2020-04-14,323665.0
2020-04-15,312132.0
2020-04-16,225354.0
2020-04-17,262243.0
2020-04-18,253180.0
2020-04-19,295440.0
2020-04-20,285726.0
2020-04-21,269571.0
2020-04-22,268167.0
2020-04-23,308902.0
2020-04-24,247566.0
2020-04-25,273726.0
2020-04-26,282500.0
2020-04-27,241793.0
2020-04-28,258513.0
2020-04-29,283713.0
2020-04-30,255790.0
2020-05-01,239314.0
2020-05-02,251634.0
2020-05-04,294766.0
2020-05-05,294236.0
2020-05-06,296307.0
2020-05-07,249248.0
2020-05-08,254404.0
2020-05-09,281348.0
2020-05-10,247980.0
2020-05-11,280073.0
2020-05-12,280649.0
2020-05-13,285173.0
2020-05-14,290549.0
2020-05-15,305258.0
2020-05-16,315578.0
2020-05-17,317095.0
2020-05-18,268914.0
2020-05-19,296816.0
2020-05-20,308324.0
2020-05-21,339003.0
