period,value
2020-01-01,134307.0
2020-01-02,135990.0
2020-01-03,148374.0
2020-01-04,146233.0
2020-01-05,137042.0
2020-01-06,133944.0
2020-01-07,149247.0
2020-01-08,148465.0
2020-01-09,155483.0
2020-01-10,149772.0
2020-01-11,161261.0
2020-01-12,142111.0
2020-01-13,115719.0
2020-01-14,128646.0
2020-01-15,125859.0
2020-01-16,133591.0
2020-01-17,123932.0
2020-01-18,118153.0
2020-01-19,123066.0
2020-01-20,136830.0
2020-01-21,146724.0
2020-01-22,131124.0
2020-01-23,151223.0
2020-01-24,145151.0
2020-01-25,141625.0
2020-01-26,157980.0
2020-01-27,159516.0
2020-01-28,180487.0
2020-01-29,200131.0
2020-01-30,171766.0
2020-01-31,177666.0
2020-02-01,139379.0
2020-02-02,133337.0
2020-02-03,150434.0
2020-02-04,162727.0
2020-02-05,167265.0
2020-02-06,152288.0
2020-02-07,155682.0
2020-02-08,160818.0
2020-02-09,164224.0
2020-02-10,165241.0
2020-02-11,184332.0
2020-02-12,182162.0
2020-02-13,165929.0
2020-02-14,161071.0
2020-02-15,162337.0
2020-02-16,154813.0
2020-02-17,155432.0
2020-02-18,124015.0
2020-02-19,124712.0
2020-02-20,122779.0
2020-02-21,125111.0
2020-02-22,148515.0
2020-02-23,155662.0
2020-02-24,153816.0
2020-02-25,140714.0
2020-02-26,151390.0
2020-02-27,142939.0
2020-02-28,140635.0
2020-02-29,154434.0
2020-03-01,153237.0
2020-03-02,154928.0
2020-03-03,145927.0
2020-03-04,138224.0
2020-03-05,127314.0
2020-03-06,119754.0
2020-03-07,111343.0
2020-03-08,110003.0
2020-03-09,114929.0
2020-03-10,137216.0
2020-03-11,131622.0
2020-03-12,154106.0
2020-03-13,149078.0
2020-03-14,141436.0
2020-03-15,151350.0
2020-03-17,189057.0
2020-03-18,178659.0
2020-03-19,147716.0
2020-03-20,146690.0
2020-03-21,124458.0
2020-03-22,143348.0
2020-03-23,141477.0
2020-03-24,149451.0
2020-03-25,128129.0
2020-03-26,119969.0
2020-03-27,154848.0
2020-03-28,161718.0
2020-03-29,149544.0
2020-03-30,149107.0
2020-03-31,164220.0
2020-04-01,179010.0
2020-04-02,178365.0
2020-04-03,181854.0
2020-04-04,171749.0
2020-04-05,161521.0
2020-04-06,159368.0
2020-04-07,147644.0
2020-04-08,147040.0
2020-04-09,143659.0
2020-04-10,156400.0
2020-04-11,160972.0
2020-04-12,162877.0
2020-04-13,158522.0
2020-04-14,163962.0
2020-04-15,164799.0
2020-04-16,168261.0
2020-04-17,171291.0
2020-04-18,167513.0
2020-04-19,170819.0
2020-04-20,173455.0
2020-04-21,171539.0
2020-04-22,158896.0
2020-04-23,183828.0
2020-04-24,200578.0
2020-04-25,209356.0
2020-04-26,239777.0
2020-04-27,251965.0
2020-04-28,230620.0
2020-04-29,233812.0
2020-04-30,234345.0
2020-05-01,234158.0
2020-05-02,235343.0
2020-05-04,227803.0
2020-05-05,224165.0
2020-05-06,235115.0
2020-05-07,230805.0
2020-05-08,221892.0
2020-05-09,236852.0
2020-05-10,220499.0
2020-05-11,244608.0
2020-05-12,216232.0
2020-05-13,216590.0
2020-05-14,203615.0
2020-05-15,216927.0
2020-05-16,222887.0
2020-05-17,211511.0
2020-05-18,196879.0
2020-05-19,186468.0
2020-05-20,172400.0
2020-05-21,189001.0
2020-05-22,203953.0
2020-05-23,203987.0
2020-05-24,202128.0
2020-05-25,213093.0
2020-05-26,213463.0
2020-05-27,205957.0
2020-05-28,234771.0
2020-05-29,260245.0
2020-05-30,260508.0
2020-05-31,244734.0
2020-06-01,230671.0
2020-06-02,211570.0
2020-06-03,242438.0
2020-06-04,258547.0
2020-06-05,247721.0
2020-06-06,216080.0
2020-06-07,202764.0
2020-06-08,203066.0
2020-06-09,190263.0
2020-06-10,246214.0
2020-06-11,261816.0
2020-06-12,296004.0
2020-06-13,294600.0
2020-06-14,275484.0
2020-06-15,285381.0
2020-06-16,257641.0
2020-06-17,247832.0
2020-06-18,239806.0
2020-06-19,237229.0
2020-06-20,272306.0
2020-06-21,283378.0
2020-06-22,280661.0
2020-06-23,252632.0
2020-06-24,262251.0
2020-06-25,312032.0
2020-06-26,308332.0
2020-06-27,327330.0
2020-06-28,272118.0
2020-06-29,272252.0
2020-06-30,246626.0
2020-07-01,249041.0
2020-07-02,231715.0
2020-07-03,246486.0
2020-07-04,295029.0
2020-07-05,312561.0
2020-07-06,299609.0
2020-07-07,312531.0
2020-07-08,325840.0
2020-07-09,325575.0
2020-07-10,339058.0
2020-07-11,344017.0
2020-07-12,341236.0
2020-07-13,352896.0
2020-07-14,336767.0
2020-07-15,319156.0
2020-07-16,317449.0
2020-07-17,325533.0
2020-07-18,315955.0
2020-07-19,299421.0
2020-07-20,302847.0
2020-07-21,315033.0
2020-07-22,313511.0
2020-07-23,230432.0
2020-07-24,214377.0
2020-07-25,222305.0
2020-07-26,298779.0
2020-07-27,342460.0
2020-07-28,361155.0
2020-07-29,299252.0
2020-07-30,296588.0
2020-07-31,307966.0
2020-08-01,288691.0
2020-08-02,282498.0
2020-08-03,287635.0
2020-08-04,277598.0
2020-08-05,272893.0
2020-08-06,274896.0
2020-08-07,288785.0
2020-08-08,301783.0
2020-08-09,313917.0
2020-08-10,280378.0
2020-08-11,286262.0
2020-08-12,287440.0
2020-08-13,323040.0
2020-08-14,336553.0
2020-08-15,338289.0
2020-08-16,279798.0
2020-08-17,277518.0
2020-08-18,268605.0
2020-08-19,288896.0
2020-08-20,287338.0
2020-08-21,235515.0
2020-08-22,248508.0
2020-08-23,267719.0
2020-08-24,273796.0
2020-08-25,279409.0
2020-08-26,247840.0
2020-08-27,280950.0
2020-08-28,294114.0
2020-08-29,281347.0
