period,value
2020-01-01,4593406.0
2020-01-02,4502690.0
2020-01-03,4546405.0
2020-01-04,4564575.0
2020-01-05,4371043.0
2020-01-06,4605396.0
2020-01-07,4686158.0
2020-01-08,4874600.0
2020-01-09,4474425.0
2020-01-10,4482406.0
2020-01-11,4757100.0
2020-01-12,4868938.0
2020-01-13,4741276.0
2020-01-14,4539000.0
2020-01-15,4586573.0
2020-01-16,4678404.0
2020-01-17,4634954.0
2020-01-18,4318834.0
2020-01-19,4634033.0
2020-01-20,4921737.0
2020-01-21,5053014.0
2020-01-22,5118018.0
2020-01-23,4693737.0
2020-01-24,4770317.0
2020-01-25,4532499.0
2020-01-26,4167597.0
2020-01-27,4508397.0
2020-01-28,4636657.0
2020-01-29,5031711.0
2020-01-30,5125946.0
2020-01-31,4832549.0
2020-02-01,4592198.0
2020-02-02,4281434.0
2020-02-03,4349617.0
2020-02-04,4662255.0
2020-02-05,5599229.0
2020-02-06,5680699.0
2020-02-07,5044067.0
2020-02-08,4500488.0
2020-02-09,4267108.0
2020-02-10,4834551.0
2020-02-11,5251666.0
2020-02-12,5140436.0
2020-02-13,5288058.0
2020-02-14,5334873.0
2020-02-15,4669107.0
2020-02-16,4189470.0
2020-02-17,4445743.0
2020-02-18,4591565.0
2020-02-19,4885618.0
2020-02-20,5272840.0
2020-02-21,5294822.0
2020-02-22,4720936.0
2020-02-23,4395075.0
2020-02-24,4412179.0
2020-02-25,4655365.0
2020-02-26,5208655.0
2020-02-27,5227086.0
2020-02-28,4729276.0
2020-02-29,4329118.0
2020-03-01,4116825.0
2020-03-02,4407017.0
2020-03-03,4486005.0
2020-03-04,4531977.0
2020-03-05,4442925.0
2020-03-06,4397791.0
2020-03-07,4355882.0
2020-03-08,4121050.0
2020-03-09,4361115.0
2020-03-10,4508958.0
2020-03-11,4707772.0
2020-03-12,4795811.0
2020-03-13,4666258.0
2020-03-14,4522599.0
2020-03-15,4399965.0
2020-03-17,4671586.0
2020-03-18,4783068.0
2020-03-19,4924795.0
2020-03-20,4578982.0
2020-03-21,4356924.0
2020-03-22,4209936.0
2020-03-23,4594872.0
2020-03-24,4843446.0
2020-03-25,4952039.0
2020-03-26,5098597.0
2020-03-27,5115028.0
2020-03-28,4540266.0
2020-03-29,4091802.0
2020-03-30,4482620.0
2020-03-31,4426011.0
2020-04-01,4295867.0
2020-04-02,4358910.0
2020-04-03,4497137.0
2020-04-04,4382445.0
2020-04-05,4080033.0
2020-04-06,4324897.0
2020-04-07,4900967.0
2020-04-08,5212904.0
2020-04-09,4851398.0
2020-04-10,4256044.0
2020-04-11,4189636.0
2020-04-12,4525657.0
2020-04-13,4160605.0
2020-04-14,4217945.0
2020-04-15,4196413.0
2020-04-16,4224528.0
2020-04-17,4309014.0
2020-04-18,4126109.0
2020-04-19,4292232.0
2020-04-20,4494258.0
2020-04-21,4753658.0
2020-04-22,4805580.0
2020-04-23,4823038.0
2020-04-24,4887349.0
2020-04-25,4242495.0
2020-04-26,4272569.0
2020-04-27,4693098.0
2020-04-28,5157546.0
2020-04-29,4587016.0
2020-04-30,4514220.0
2020-05-01,4738993.0
2020-05-02,4949353.0
2020-05-04,5610313.0
2020-05-05,5198240.0
2020-05-06,4706828.0
2020-05-07,4852354.0
2020-05-08,4862204.0
2020-05-09,4057663.0
2020-05-10,4156192.0
2020-05-11,4656155.0
2020-05-12,4722684.0
2020-05-13,5023476.0
2020-05-14,5448136.0
2020-05-15,5239497.0
2020-05-16,4329712.0
2020-05-17,4616652.0
2020-05-18,5404319.0
2020-05-19,5851193.0
2020-05-20,5683438.0
2020-05-21,5618951.0
2020-05-22,5928369.0
2020-05-23,5646464.0
2020-05-24,5132794.0
2020-05-25,4474615.0
2020-05-26,4769750.0
2020-05-27,4959220.0
2020-05-28,5088134.0
2020-05-29,5157655.0
2020-05-30,4982250.0
2020-05-31,4826244.0
2020-06-01,5124315.0
2020-06-02,5563753.0
2020-06-03,5800229.0
2020-06-04,6122047.0
2020-06-05,6203431.0
2020-06-06,6120538.0
2020-06-07,6071625.0
2020-06-08,6505495.0
2020-06-09,6574658.0
2020-06-10,5569459.0
2020-06-11,5582956.0
2020-06-12,5568269.0
2020-06-13,5531080.0
2020-06-14,5570959.0
2020-06-15,6107338.0
2020-06-16,6156392.0
2020-06-17,6124882.0
2020-06-18,6131356.0
2020-06-19,6048591.0
2020-06-20,5610872.0
2020-06-21,5628272.0
2020-06-22,5835304.0
2020-06-23,5520940.0
2020-06-24,5627454.0
2020-06-25,5779268.0
2020-06-26,5716993.0
2020-06-27,5918816.0
2020-06-28,5868772.0
2020-06-29,6401641.0
2020-06-30,6536898.0
2020-07-01,6638260.0
2020-07-02,6592812.0
2020-07-03,6363907.0
2020-07-04,6209636.0
2020-07-05,6143964.0
2020-07-06,6232453.0
2020-07-07,6276985.0
2020-07-08,6632962.0
2020-07-09,6846735.0
2020-07-10,6838565.0
2020-07-11,6781094.0
2020-07-12,6611314.0
2020-07-13,7143502.0
2020-07-14,7018719.0
2020-07-15,6907036.0
2020-07-16,6973144.0
2020-07-17,6737324.0
2020-07-18,6298785.0
2020-07-19,6326375.0
2020-07-20,6535848.0
2020-07-21,6313423.0
2020-07-22,6507227.0
2020-07-23,6756454.0
2020-07-24,6692902.0
2020-07-25,5888548.0
2020-07-26,5716128.0
2020-07-27,6173916.0
2020-07-28,5901933.0
2020-07-29,6000067.0
2020-07-30,6582946.0
2020-07-31,6307235.0
2020-08-01,5709489.0
2020-08-02,5865616.0
2020-08-03,6223012.0
2020-08-04,6376054.0
2020-08-05,6425264.0
2020-08-06,6679406.0
2020-08-07,6797600.0
2020-08-08,6555196.0
2020-08-09,6557173.0
2020-08-10,6939433.0
2020-08-11,7082180.0
2020-08-12,7195371.0
2020-08-13,7201696.0
2020-08-14,7164859.0
2020-08-15,7001654.0
2020-08-16,6820879.0
2020-08-17,6365500.0
2020-08-18,6502369.0
2020-08-19,6318970.0
2020-08-20,6266118.0
2020-08-21,6329870.0
2020-08-22,5935654.0
2020-08-23,6030480.0
2020-08-24,6381327.0
2020-08-25,6502571.0
2020-08-26,6400248.0
2020-08-27,6469518.0
2020-08-28,7042316.0
2020-08-29,6899281.0
2020-08-30,6609956.0
2020-08-31,7171351.0
2020-09-01,6799817.0
2020-09-02,6192156.0
2020-09-03,6106802.0
2020-09-04,5891485.0
2020-09-05,5579766.0
2020-09-06,5702177.0
2020-09-07,5998368.0
2020-09-08,6044038.0
2020-09-09,5693812.0
2020-09-10,4884347.0
2020-09-11,5069692.0
2020-09-12,5487937.0
2020-09-13,5644428.0
2020-09-14,5864155.0
2020-09-15,5996143.0
2020-09-16,5963248.0
2020-09-17,5758157.0
2020-09-18,5510916.0
2020-09-19,4973515.0
2020-09-20,4635848.0
2020-09-21,4799991.0
2020-09-22,4861860.0
2020-09-23,4880452.0
2020-09-24,4871146.0
2020-09-25,5147818.0
2020-09-26,5278106.0
2020-09-27,5706564.0
2020-09-28,4919025.0
2020-09-29,4565397.0
2020-09-30,4777803.0
2020-10-01,4853391.0
2020-10-02,4701636.0
2020-10-03,4645843.0
2020-10-04,4709087.0
2020-10-05,4995370.0
2020-10-06,5206474.0
2020-10-07,5313258.0
2020-10-08,5402137.0
2020-10-09,5497654.0
2020-10-10,5368380.0
2020-10-11,5720622.0
2020-10-12,5608952.0
2020-10-13,5200854.0
2020-10-14,5521319.0
2020-10-15,5410247.0
2020-10-16,4451236.0
2020-10-17,4464188.0
2020-10-18,5151403.0
2020-10-19,5244102.0
2020-10-20,5506078.0
2020-10-21,5544355.0
2020-10-22,5556249.0
2020-10-23,5007089.0
2020-10-24,4105990.0
2020-10-25,4371223.0
2020-10-26,4961804.0
2020-10-27,5064931.0
2020-10-28,4941167.0
2020-10-29,4761451.0
2020-10-30,4510337.0
2020-10-31,4245925.0
2020-11-01,4249802.0
2020-11-02,4375611.0
2020-11-03,4439766.0
2020-11-04,4457803.0
2020-11-05,4496502.0
2020-11-06,4462824.0
2020-11-07,4398327.0
2020-11-08,4471480.0
2020-11-09,4961041.0
2020-11-10,4868570.0
2020-11-11,4731374.0
2020-11-12,4734368.0
2020-11-13,4713403.0
2020-11-14,4857450.0
2020-11-15,4262604.0
2020-11-16,4456187.0
2020-11-17,4476595.0
2020-11-18,4520165.0
2020-11-19,4579048.0
2020-11-20,4605138.0
2020-11-21,4424276.0
2020-11-22,4358948.0
2020-11-23,4493609.0
2020-11-24,4705361.0
2020-11-25,4558172.0
2020-11-26,4385959.0
2020-11-27,4380446.0
2020-11-28,4320453.0
2020-11-29,4471864.0
2020-11-30,5186215.0
2020-12-01,5335633.0
2020-12-02,4924967.0
2020-12-03,5270711.0
2020-12-04,5174317.0
2020-12-05,4986647.0
2020-12-06,4597539.0
2020-12-07,4890289.0
2020-12-08,4790160.0
2020-12-09,4714501.0
2020-12-10,4613972.0
2020-12-11,4466342.0
2020-12-12,4483075.0
2020-12-13,4911477.0
2020-12-14,5451775.0
2020-12-15,5486637.0
2020-12-16,5537224.0
2020-12-17,5497244.0
2020-12-18,5072763.0
2020-12-19,4432999.0
2020-12-20,4607760.0
2020-12-21,4791088.0
2020-12-22,4679789.0
2020-12-23,4627801.0
2020-12-24,5141619.0
2020-12-25,4735790.0
2020-12-26,4580203.0
2020-12-27,4275941.0
2020-12-28,4515356.0
2020-12-29,4432944.0
2020-12-30,4745034.0
2020-12-31,5437860.0
2021-01-01,5315555.0
2021-01-02,4972933.0
2021-01-03,4737986.0
2021-01-04,4747873.0
2021-01-05,4713207.0
2021-01-06,4657519.0
2021-01-07,5002289.0
2021-01-08,5255358.0
2021-01-09,5318765.0
2021-01-10,5765786.0
2021-01-11,6028758.0
2021-01-12,5884714.0
2021-01-13,5438429.0
2021-01-14,5071676.0
2021-01-15,5292310.0
2021-01-16,5052351.0
2021-01-17,4734350.0
2021-01-18,4855928.0
2021-01-19,4671599.0
2021-01-20,4913973.0
2021-01-21,4714869.0
2021-01-22,4617197.0
2021-01-23,4479442.0
2021-01-24,4402583.0
2021-01-25,4563247.0
2021-01-26,4696683.0
2021-01-27,4846900.0
2021-01-28,5260387.0
2021-01-29,4940587.0
2021-01-30,4377826.0
2021-01-31,4443027.0
2021-02-01,4906413.0
2021-02-02,4835423.0
2021-02-03,4661484.0
2021-02-04,4499263.0
2021-02-05,4768918.0
2021-02-06,4618602.0
2021-02-07,4660988.0
2021-02-08,4679449.0
2021-02-09,5228998.0
2021-02-10,5826585.0
2021-02-11,6701950.0
2021-02-12,7175193.0
2021-02-13,7037135.0
2021-02-14,7521925.0
2021-02-15,5848214.0
