period,value
2020-01-01,27397.0
2020-01-02,31176.0
2020-01-03,32493.0
2020-01-04,30025.0
2020-01-05,28335.0
2020-01-06,33642.0
2020-01-07,35318.0
2020-01-08,34225.0
2020-01-09,34451.0
2020-01-10,33505.0
2020-01-11,29778.0
2020-01-12,29602.0
2020-01-13,33008.0
2020-01-14,32919.0
2020-01-15,33817.0
2020-01-16,34936.0
2020-01-17,33486.0
2020-01-18,31097.0
2020-01-19,30153.0
2020-01-20,34200.0
2020-01-21,33432.0
2020-01-22,32715.0
2020-01-23,32344.0
2020-01-24,30728.0
2020-01-25,27861.0
2020-01-26,27011.0
2020-01-27,31510.0
2020-01-28,32093.0
2020-01-29,32304.0
2020-01-30,32805.0
2020-01-31,31819.0
2020-02-01,29014.0
2020-02-02,27152.0
2020-02-03,32615.0
2020-02-04,34350.0
2020-02-05,34025.0
2020-02-06,33139.0
2020-02-07,32520.0
2020-02-08,29373.0
2020-02-09,27615.0
2020-02-10,32004.0
2020-02-11,32923.0
2020-02-12,32562.0
2020-02-13,33102.0
2020-02-14,32455.0
2020-02-15,29528.0
2020-02-16,27021.0
2020-02-17,29433.0
2020-02-18,32736.0
2020-02-19,33788.0
2020-02-20,33653.0
2020-02-21,33389.0
2020-02-22,29512.0
2020-02-23,27604.0
2020-02-24,32580.0
2020-02-25,33752.0
2020-02-26,33885.0
2020-02-27,33403.0
2020-02-28,33102.0
2020-02-29,28637.0
2020-03-01,27686.0
2020-03-02,32292.0
2020-03-03,33450.0
2020-03-04,33656.0
2020-03-05,33925.0
2020-03-06,32555.0
2020-03-07,29937.0
2020-03-08,26608.0
2020-03-09,32149.0
2020-03-10,33946.0
2020-03-11,33462.0
2020-03-12,32948.0
2020-03-13,32122.0
2020-03-14,28795.0
2020-03-15,27643.0
2020-03-17,32849.0
2020-03-18,31886.0
2020-03-19,31400.0
2020-03-20,31039.0
2020-03-21,28436.0
2020-03-22,26609.0
2020-03-23,30599.0
2020-03-24,31105.0
2020-03-25,31547.0
2020-03-26,31784.0
2020-03-27,30930.0
2020-03-28,28267.0
2020-03-29,25972.0
2020-03-30,29968.0
2020-03-31,31008.0
2020-04-01,30815.0
2020-04-02,31181.0
2020-04-03,31153.0
2020-04-04,28706.0
2020-04-05,27380.0
2020-04-06,30797.0
2020-04-07,30436.0
2020-04-08,30579.0
2020-04-09,24306.0
2020-04-10,28894.0
2020-04-11,26955.0
2020-04-12,25057.0
2020-04-13,30191.0
2020-04-14,31446.0
2020-04-15,32247.0
2020-04-16,33368.0
2020-04-17,32753.0
2020-04-18,29193.0
2020-04-19,26911.0
2020-04-20,32617.0
2020-04-21,33057.0
2020-04-22,34737.0
2020-04-23,36253.0
2020-04-24,37459.0
2020-04-25,35622.0
2020-04-26,32472.0
2020-04-27,36408.0
2020-04-28,40916.0
2020-04-29,40230.0
2020-04-30,37641.0
2020-05-01,35774.0
2020-05-02,32594.0
2020-05-04,34925.0
2020-05-05,37428.0
2020-05-06,36659.0
2020-05-07,39930.0
2020-05-08,43061.0
2020-05-09,9022.0
2020-05-10,32301.0
2020-05-11,36746.0
2020-05-12,37044.0
2020-05-13,36208.0
2020-05-14,36368.0
2020-05-15,36419.0
2020-05-16,35035.0
2020-05-17,31335.0
2020-05-18,33582.0
2020-05-19,34075.0
2020-05-20,35862.0
2020-05-21,39235.0
2020-05-22,37656.0
2020-05-23,34545.0
2020-05-24,34675.0
2020-05-25,42010.0
2020-05-26,53101.0
2020-05-27,57058.0
2020-05-28,55651.0
2020-05-29,48921.0
2020-05-30,37754.0
2020-05-31,33435.0
2020-06-01,41285.0
2020-06-02,48329.0
2020-06-03,53909.0
2020-06-04,55553.0
2020-06-05,45886.0
2020-06-06,33910.0
2020-06-07,29492.0
2020-06-08,32297.0
2020-06-09,37952.0
2020-06-10,50207.0
2020-06-11,50885.0
2020-06-12,41240.0
2020-06-13,33425.0
2020-06-14,33347.0
2020-06-15,42000.0
2020-06-16,40914.0
2020-06-17,42112.0
2020-06-18,46902.0
2020-06-19,50518.0
2020-06-20,46514.0
2020-06-21,43306.0
2020-06-22,52650.0
2020-06-23,55585.0
2020-06-24,54861.0
2020-06-25,55880.0
2020-06-26,56571.0
2020-06-27,54307.0
2020-06-28,40718.0
2020-06-29,43337.0
2020-06-30,50186.0
2020-07-01,50912.0
2020-07-02,48543.0
2020-07-03,45009.0
2020-07-04,42888.0
2020-07-05,42925.0
2020-07-06,46952.0
2020-07-07,46521.0
2020-07-08,50844.0
2020-07-09,52662.0
2020-07-10,53772.0
2020-07-11,51354.0
2020-07-12,49568.0
2020-07-13,54643.0
2020-07-14,52417.0
2020-07-15,52426.0
2020-07-16,51924.0
2020-07-17,50621.0
2020-07-18,47834.0
2020-07-19,45369.0
2020-07-20,49094.0
2020-07-21,49955.0
2020-07-22,49103.0
2020-07-23,49465.0
2020-07-24,51233.0
2020-07-25,47026.0
2020-07-26,46154.0
2020-07-27,52746.0
2020-07-28,54097.0
2020-07-29,41914.0
2020-07-30,50604.0
2020-07-31,50553.0
2020-08-01,46474.0
2020-08-02,45268.0
2020-08-03,52125.0
2020-08-04,51874.0
2020-08-05,47439.0
2020-08-06,46463.0
2020-08-07,49402.0
2020-08-08,49005.0
2020-08-09,48360.0
2020-08-10,54713.0
2020-08-11,52676.0
2020-08-12,53350.0
2020-08-13,55475.0
2020-08-14,59472.0
2020-08-15,58479.0
2020-08-16,57866.0
2020-08-17,65221.0
2020-08-18,65500.0
2020-08-19,56282.0
2020-08-20,51627.0
2020-08-21,48144.0
2020-08-22,45640.0
2020-08-23,45396.0
2020-08-24,53555.0
2020-08-25,55183.0
2020-08-26,53602.0
2020-08-27,48163.0
2020-08-28,51265.0
