period,value
2020-01-01,66413.0
2020-01-02,77086.0
2020-01-03,73242.0
2020-01-04,75225.0
2020-01-05,76064.0
2020-01-06,79664.0
2020-01-07,74840.0
2020-01-08,82589.0
2020-01-09,88900.0
2020-01-10,84090.0
2020-01-11,76949.0
2020-01-12,80178.0
2020-01-13,92690.0
2020-01-14,94048.0
2020-01-15,94249.0
2020-01-16,85370.0
2020-01-17,89354.0
2020-01-18,77189.0
2020-01-19,71873.0
2020-01-20,76583.0
2020-01-21,79297.0
2020-01-22,80541.0
2020-01-23,74423.0
2020-01-24,72387.0
2020-01-25,69578.0
2020-01-26,68805.0
2020-01-27,77015.0
2020-01-28,76017.0
2020-01-29,76155.0
2020-01-30,78559.0
2020-01-31,71435.0
2020-02-01,69775.0
2020-02-02,79054.0
2020-02-03,86238.0
2020-02-04,91561.0
2020-02-05,81558.0
2020-02-06,75978.0
2020-02-07,74169.0
2020-02-08,74724.0
2020-02-09,76319.0
2020-02-10,82991.0
2020-02-11,83606.0
2020-02-12,76575.0
2020-02-13,82621.0
2020-02-14,78954.0
2020-02-15,75384.0
2020-02-16,75119.0
2020-02-17,80080.0
2020-02-18,84193.0
2020-02-19,82688.0
2020-02-20,79559.0
2020-02-21,78451.0
2020-02-22,73030.0
2020-02-23,75151.0
2020-02-24,80439.0
2020-02-25,79052.0
2020-02-26,74172.0
2020-02-27,74139.0
2020-02-28,76993.0
2020-02-29,74241.0
2020-03-01,76787.0
2020-03-02,78844.0
2020-03-03,73620.0
2020-03-04,74234.0
2020-03-05,76745.0
2020-03-06,77931.0
2020-03-07,75546.0
2020-03-08,74299.0
2020-03-09,80187.0
2020-03-10,79782.0
2020-03-11,73954.0
2020-03-12,76204.0
2020-03-13,83269.0
2020-03-14,81563.0
2020-03-15,81375.0
2020-03-17,77320.0
2020-03-18,74820.0
2020-03-19,72110.0
2020-03-20,68359.0
2020-03-21,66251.0
2020-03-22,66842.0
2020-03-23,71950.0
2020-03-24,72878.0
2020-03-25,73604.0
2020-03-26,75948.0
2020-03-27,72730.0
2020-03-28,66215.0
2020-03-29,63727.0
2020-03-30,70779.0
2020-03-31,73842.0
2020-04-01,72210.0
2020-04-02,72476.0
2020-04-03,75253.0
2020-04-04,69085.0
2020-04-05,62976.0
2020-04-06,66776.0
2020-04-07,68249.0
2020-04-08,66426.0
2020-04-09,62742.0
2020-04-10,60030.0
2020-04-11,58247.0
2020-04-12,61210.0
2020-04-13,64041.0
2020-04-14,60519.0
2020-04-15,58524.0
2020-04-16,58833.0
2020-04-17,58148.0
2020-04-18,55604.0
2020-04-19,54709.0
2020-04-20,57579.0
2020-04-21,58749.0
2020-04-22,61203.0
2020-04-23,60200.0
2020-04-24,58682.0
2020-04-25,55300.0
2020-04-26,54479.0
2020-04-27,57030.0
2020-04-28,59309.0
2020-04-29,57890.0
2020-04-30,58618.0
2020-05-01,59818.0
2020-05-02,55559.0
2020-05-04,61675.0
2020-05-05,57684.0
2020-05-06,55671.0
2020-05-07,58624.0
2020-05-08,56389.0
2020-05-09,52192.0
2020-05-10,52196.0
2020-05-11,54290.0
2020-05-12,55714.0
2020-05-13,55686.0
2020-05-14,56199.0
2020-05-15,55116.0
2020-05-16,52817.0
2020-05-17,52131.0
2020-05-18,55097.0
2020-05-19,55809.0
2020-05-20,57503.0
2020-05-21,58466.0
2020-05-22,57249.0
2020-05-23,52856.0
2020-05-24,50830.0
2020-05-25,51600.0
2020-05-26,55053.0
2020-05-27,56574.0
2020-05-28,57118.0
2020-05-29,56162.0
2020-05-30,52857.0
2020-05-31,52379.0
2020-06-01,54951.0
2020-06-02,54553.0
2020-06-03,55184.0
2020-06-04,55021.0
2020-06-05,54105.0
2020-06-06,51948.0
2020-06-07,53208.0
2020-06-08,56809.0
2020-06-09,57654.0
2020-06-10,56807.0
2020-06-11,55237.0
2020-06-12,56041.0
2020-06-13,53152.0
2020-06-14,52414.0
2020-06-15,56457.0
2020-06-16,57485.0
2020-06-17,57381.0
2020-06-18,57015.0
2020-06-19,56842.0
2020-06-20,52060.0
2020-06-21,50441.0
2020-06-22,56471.0
2020-06-23,59333.0
2020-06-24,59878.0
2020-06-25,59578.0
2020-06-26,59569.0
2020-06-27,51798.0
2020-06-28,51026.0
2020-06-29,55578.0
2020-06-30,54178.0
2020-07-01,54926.0
2020-07-02,56030.0
2020-07-03,52403.0
2020-07-04,50028.0
2020-07-05,50356.0
2020-07-06,55337.0
2020-07-07,55410.0
2020-07-08,56462.0
2020-07-09,56843.0
2020-07-10,55712.0
2020-07-11,48666.0
2020-07-12,47417.0
2020-07-13,52260.0
2020-07-14,53862.0
2020-07-15,55297.0
2020-07-16,54653.0
2020-07-17,52484.0
2020-07-18,49610.0
2020-07-19,51257.0
2020-07-20,59398.0
2020-07-21,60187.0
2020-07-22,56438.0
2020-07-23,54069.0
2020-07-24,53435.0
2020-07-25,51321.0
2020-07-26,53920.0
2020-07-27,64349.0
2020-07-28,63199.0
2020-07-29,62428.0
2020-07-30,63928.0
2020-07-31,62082.0
2020-08-01,54267.0
2020-08-02,55467.0
2020-08-03,60683.0
2020-08-04,62228.0
2020-08-05,61574.0
2020-08-06,58745.0
2020-08-07,57160.0
2020-08-08,52136.0
2020-08-09,52173.0
2020-08-10,58850.0
2020-08-11,58407.0
2020-08-12,56772.0
2020-08-13,57384.0
2020-08-14,57514.0
2020-08-15,56492.0
2020-08-16,60167.0
2020-08-17,65957.0
2020-08-18,63260.0
2020-08-19,62112.0
2020-08-20,61666.0
2020-08-21,59126.0
2020-08-22,53531.0
2020-08-23,52554.0
2020-08-24,56916.0
2020-08-25,57930.0
2020-08-26,57228.0
2020-08-27,58406.0
2020-08-28,58058.0
2020-08-29,53051.0
2020-08-30,52067.0
2020-08-31,56404.0
2020-09-01,59186.0
2020-09-02,60796.0
2020-09-03,60630.0
2020-09-04,59339.0
2020-09-05,51787.0
2020-09-06,52086.0
2020-09-07,54430.0
2020-09-08,57907.0
2020-09-09,60453.0
2020-09-10,61737.0
2020-09-11,58211.0
2020-09-12,53158.0
2020-09-13,52857.0
2020-09-14,56839.0
2020-09-15,58411.0
2020-09-16,58669.0
2020-09-17,58879.0
2020-09-18,57151.0
2020-09-19,52826.0
2020-09-20,51675.0
2020-09-21,55324.0
2020-09-22,56983.0
2020-09-23,56314.0
2020-09-24,57095.0
2020-09-25,56893.0
2020-09-26,53240.0
2020-09-27,52019.0
2020-09-28,57137.0
2020-09-29,58293.0
2020-09-30,58381.0
2020-10-01,57851.0
2020-10-02,57381.0
2020-10-03,53079.0
2020-10-04,53513.0
2020-10-05,57654.0
2020-10-06,59175.0
2020-10-07,59000.0
2020-10-08,58620.0
2020-10-09,57487.0
2020-10-10,54589.0
2020-10-11,57294.0
2020-10-12,59574.0
2020-10-13,60717.0
2020-10-14,60752.0
2020-10-15,63038.0
2020-10-16,60145.0
2020-10-17,55663.0
2020-10-18,55220.0
2020-10-19,59675.0
2020-10-20,60991.0
2020-10-21,64301.0
2020-10-22,70072.0
2020-10-23,72794.0
2020-10-24,67995.0
2020-10-25,72171.0
2020-10-26,75766.0
2020-10-27,69802.0
2020-10-28,67048.0
2020-10-29,64001.0
2020-10-30,64416.0
2020-10-31,64506.0
2020-11-01,66405.0
2020-11-02,69191.0
2020-11-03,69828.0
2020-11-04,61460.0
2020-11-05,64472.0
2020-11-06,71341.0
2020-11-07,75701.0
2020-11-08,75760.0
2020-11-09,85060.0
2020-11-10,79066.0
2020-11-11,76575.0
2020-11-12,76411.0
2020-11-13,73877.0
2020-11-14,74487.0
2020-11-15,68862.0
2020-11-16,73972.0
2020-11-17,71942.0
2020-11-18,74368.0
2020-11-19,77444.0
2020-11-20,74175.0
2020-11-21,69119.0
2020-11-22,74098.0
2020-11-23,76582.0
2020-11-24,76611.0
2020-11-25,76671.0
2020-11-26,70819.0
2020-11-27,67760.0
2020-11-28,68801.0
2020-11-29,72140.0
2020-11-30,75361.0
2020-12-01,83006.0
2020-12-02,82209.0
2020-12-03,83917.0
2020-12-04,79668.0
2020-12-05,75875.0
2020-12-06,68646.0
2020-12-07,75940.0
2020-12-08,72689.0
2020-12-09,74220.0
2020-12-10,82974.0
2020-12-11,81406.0
2020-12-12,82131.0
2020-12-13,77779.0
2020-12-14,78436.0
2020-12-15,80040.0
2020-12-16,78777.0
2020-12-17,79292.0
2020-12-18,78250.0
2020-12-19,73334.0
2020-12-20,68699.0
2020-12-21,74834.0
2020-12-22,83504.0
2020-12-23,89579.0
2020-12-24,87154.0
2020-12-25,79839.0
2020-12-26,73011.0
2020-12-27,74111.0
2020-12-28,85421.0
2020-12-29,87957.0
2020-12-30,81470.0
2020-12-31,75100.0
2021-01-01,69560.0
2021-01-02,71924.0
