period,value
2020-01-01,2040256.0
2020-01-02,2084140.0
2020-01-03,1927807.0
2020-01-04,2058592.0
2020-01-05,2161915.0
2020-01-06,2208195.0
2020-01-07,2183847.0
2020-01-08,2238388.0
2020-01-09,2162216.0
2020-01-10,1873907.0
2020-01-11,1726485.0
2020-01-12,1886070.0
2020-01-13,2054474.0
2020-01-14,1899992.0
2020-01-15,1841136.0
2020-01-16,2023864.0
2020-01-17,2291680.0
2020-01-18,2039068.0
2020-01-19,2334614.0
2020-01-20,2961719.0
2020-01-21,2863816.0
2020-01-22,2724751.0
2020-01-23,2397609.0
2020-01-24,2220198.0
2020-01-25,2301140.0
2020-01-26,2255498.0
2020-01-27,2184188.0
2020-01-28,2335096.0
2020-01-29,2277751.0
2020-01-30,2204892.0
2020-01-31,2144787.0
2020-02-01,2116143.0
2020-02-02,1987438.0
2020-02-03,1946170.0
2020-02-04,1910745.0
2020-02-05,1959502.0
2020-02-06,2163572.0
2020-02-07,2564832.0
2020-02-08,2386789.0
2020-02-09,2117401.0
2020-02-10,2102203.0
2020-02-11,2129020.0
2020-02-12,2181962.0
2020-02-13,2264858.0
2020-02-14,2640385.0
2020-02-15,2388078.0
2020-02-16,1981537.0
2020-02-17,2049657.0
2020-02-18,2004728.0
2020-02-19,2216718.0
2020-02-20,2477398.0
2020-02-21,2595325.0
2020-02-22,2353576.0
2020-02-23,2131038.0
2020-02-24,2193390.0
2020-02-25,2025786.0
2020-02-26,2306562.0
2020-02-27,2461302.0
2020-02-28,2358094.0
2020-02-29,2198531.0
2020-03-01,2027145.0
2020-03-02,1980143.0
2020-03-03,1832845.0
2020-03-04,1898877.0
2020-03-05,1936729.0
2020-03-06,2088469.0
2020-03-07,2059739.0
2020-03-08,1847509.0
2020-03-09,1911024.0
2020-03-10,1859227.0
2020-03-11,1888591.0
2020-03-12,1861508.0
2020-03-13,1806157.0
2020-03-14,1817729.0
2020-03-15,1878165.0
2020-03-17,1931503.0
2020-03-18,1863373.0
2020-03-19,1851707.0
2020-03-20,1794661.0
2020-03-21,1779785.0
2020-03-22,1816585.0
2020-03-23,1821690.0
2020-03-24,1844825.0
2020-03-25,1782383.0
2020-03-26,1829451.0
2020-03-27,1848858.0
2020-03-28,1787090.0
2020-03-29,1628128.0
2020-03-30,1675781.0
2020-03-31,1800411.0
2020-04-01,1839166.0
2020-04-02,1768304.0
2020-04-03,1699376.0
2020-04-04,1611536.0
2020-04-05,1637420.0
2020-04-06,1764029.0
2020-04-07,1758001.0
2020-04-08,1838502.0
2020-04-09,1644627.0
2020-04-10,1641701.0
2020-04-11,1660226.0
2020-04-12,1570964.0
2020-04-13,1676851.0
2020-04-14,1838627.0
2020-04-15,1876686.0
2020-04-16,1795948.0
2020-04-17,1717199.0
2020-04-18,1614774.0
2020-04-19,1659967.0
2020-04-20,1687951.0
2020-04-21,1814881.0
2020-04-22,1648229.0
2020-04-23,1655687.0
2020-04-24,1635353.0
2020-04-25,1565608.0
2020-04-26,1628909.0
2020-04-27,1732457.0
2020-04-28,1690425.0
2020-04-29,1643894.0
2020-04-30,1671332.0
2020-05-01,1698408.0
2020-05-02,1710692.0
2020-05-04,1835743.0
2020-05-05,1743246.0
2020-05-06,1671306.0
2020-05-07,1728188.0
2020-05-08,1719115.0
2020-05-09,1683202.0
2020-05-10,1622751.0
2020-05-11,1691609.0
2020-05-12,1712793.0
2020-05-13,1725252.0
2020-05-14,1869084.0
2020-05-15,1892000.0
2020-05-16,1902882.0
2020-05-17,1842642.0
2020-05-18,1857709.0
2020-05-19,1716808.0
2020-05-20,1724591.0
2020-05-21,1778015.0
2020-05-22,1806171.0
2020-05-23,1924836.0
2020-05-24,1995290.0
2020-05-25,2042676.0
2020-05-26,2011974.0
2020-05-27,1954244.0
2020-05-28,2008083.0
2020-05-29,2036840.0
2020-05-30,1906521.0
2020-05-31,1811755.0
2020-06-01,1974226.0
2020-06-02,2229292.0
2020-06-03,2332609.0
2020-06-04,2300833.0
2020-06-05,2276646.0
2020-06-06,2310484.0
2020-06-07,2382838.0
2020-06-08,2373237.0
2020-06-09,2440327.0
2020-06-10,2432066.0
2020-06-11,2136295.0
2020-06-12,2117101.0
2020-06-13,2081762.0
2020-06-14,1980019.0
2020-06-15,2049341.0
2020-06-16,2035583.0
2020-06-17,2047170.0
2020-06-18,2147088.0
2020-06-19,2243598.0
2020-06-20,2283461.0
2020-06-21,2110638.0
2020-06-22,2265381.0
2020-06-23,2289365.0
2020-06-24,2190771.0
2020-06-25,2304392.0
2020-06-26,2169306.0
2020-06-27,2126466.0
2020-06-28,2286817.0
2020-06-29,2393511.0
2020-06-30,2295270.0
2020-07-01,2222730.0
2020-07-02,2408233.0
2020-07-03,2425033.0
2020-07-04,2351444.0
2020-07-05,2301527.0
2020-07-06,2496259.0
