period,value
2020-01-01,49307626.0
2020-01-02,51688865.0
2020-01-03,50807776.0
2020-01-04,49292787.0
2020-01-05,50221673.0
2020-01-06,53574387.0
2020-01-07,54029858.0
2020-01-08,55445796.0
2020-01-09,54480906.0
2020-01-10,51556281.0
2020-01-11,48849567.0
2020-01-12,49063170.0
2020-01-13,52750494.0
2020-01-14,52116720.0
2020-01-15,51753801.0
2020-01-16,53693595.0
2020-01-17,55616896.0
2020-01-18,52460705.0
2020-01-19,52986524.0
2020-01-20,59378285.0
2020-01-21,60907554.0
2020-01-22,59815697.0
2020-01-23,55999217.0
2020-01-24,53227567.0
2020-01-25,50656547.0
2020-01-26,49976818.0
2020-01-27,53363570.0
2020-01-28,54538439.0
2020-01-29,55521295.0
2020-01-30,55362049.0
2020-01-31,54091887.0
2020-02-01,50682230.0
2020-02-02,48569935.0
2020-02-03,50640392.0
2020-02-04,51824372.0
2020-02-05,54132114.0
2020-02-06,55201022.0
2020-02-07,54918633.0
2020-02-08,52543885.0
2020-02-09,50451452.0
2020-02-10,53341405.0
2020-02-11,53551914.0
2020-02-12,53937380.0
2020-02-13,55605858.0
2020-02-14,57262184.0
2020-02-15,53381623.0
2020-02-16,49283614.0
2020-02-17,51465714.0
2020-02-18,52379161.0
2020-02-19,53766133.0
2020-02-20,57248782.0
2020-02-21,57487279.0
2020-02-22,52275588.0
2020-02-23,48903325.0
2020-02-24,51270177.0
2020-02-25,51543728.0
2020-02-26,53425934.0
2020-02-27,55237574.0
2020-02-28,54271633.0
2020-02-29,50825254.0
2020-03-01,48555557.0
2020-03-02,50041345.0
2020-03-03,49234524.0
2020-03-04,49796325.0
2020-03-05,50652126.0
2020-03-06,51173499.0
2020-03-07,48424002.0
2020-03-08,45373895.0
2020-03-09,48541330.0
2020-03-10,48746603.0
2020-03-11,48937342.0
2020-03-12,49380793.0
2020-03-13,48935151.0
2020-03-14,47429675.0
2020-03-15,47190163.0
2020-03-17,49958857.0
2020-03-18,49558383.0
2020-03-19,49494172.0
2020-03-20,48454891.0
2020-03-21,46097565.0
2020-03-22,45671293.0
2020-03-23,49013729.0
2020-03-24,48632462.0
2020-03-25,48604799.0
2020-03-26,47931348.0
2020-03-27,47376541.0
2020-03-28,45504536.0
2020-03-29,43950848.0
2020-03-30,46277221.0
2020-03-31,46808778.0
2020-04-01,46029964.0
2020-04-02,45658508.0
2020-04-03,45564234.0
2020-04-04,43460964.0
2020-04-05,42061380.0
2020-04-06,44746601.0
2020-04-07,45919530.0
2020-04-08,47029829.0
2020-04-09,47212638.0
2020-04-10,44397716.0
2020-04-11,42312119.0
2020-04-12,42828733.0
2020-04-13,45976715.0
2020-04-14,46353121.0
2020-04-15,46518998.0
2020-04-16,46258690.0
2020-04-17,46156037.0
2020-04-18,43339829.0
2020-04-19,42677162.0
2020-04-20,44958163.0
2020-04-21,45803190.0
2020-04-22,45730535.0
2020-04-23,45895736.0
2020-04-24,45842431.0
2020-04-25,43157382.0
2020-04-26,43052137.0
2020-04-27,45737217.0
2020-04-28,46440807.0
2020-04-29,45865249.0
2020-04-30,45605160.0
2020-05-01,44921928.0
2020-05-02,43574793.0
2020-05-04,47848087.0
2020-05-05,47661930.0
2020-05-06,46968637.0
2020-05-07,46198671.0
2020-05-08,46202130.0
2020-05-09,44025283.0
2020-05-10,42465785.0
2020-05-11,46257053.0
2020-05-12,46222607.0
2020-05-13,46537137.0
2020-05-14,47479473.0
2020-05-15,47742058.0
2020-05-16,45532285.0
2020-05-17,45349616.0
2020-05-18,48020425.0
2020-05-19,48065963.0
2020-05-20,47600330.0
2020-05-21,48268194.0
2020-05-22,49288082.0
2020-05-23,47932114.0
2020-05-24,47055879.0
2020-05-25,47521466.0
2020-05-26,52324178.0
2020-05-27,53485128.0
2020-05-28,54259583.0
2020-05-29,53600595.0
2020-05-30,49623246.0
2020-05-31,47128100.0
2020-06-01,51216763.0
2020-06-02,55288023.0
2020-06-03,58298824.0
2020-06-04,59291048.0
2020-06-05,58730273.0
2020-06-06,55623028.0
2020-06-07,53046070.0
2020-06-08,57377665.0
2020-06-09,60234761.0
2020-06-10,59732173.0
2020-06-11,57575159.0
2020-06-12,55930873.0
2020-06-13,51025366.0
2020-06-14,49760669.0
2020-06-15,54058417.0
2020-06-16,54826566.0
2020-06-17,55639516.0
2020-06-18,57297675.0
2020-06-19,57872095.0
2020-06-20,56213361.0
2020-06-21,56239206.0
2020-06-22,60717870.0
2020-06-23,60148097.0
2020-06-24,59457678.0
2020-06-25,59942784.0
2020-06-26,60408141.0
2020-06-27,58442144.0
2020-06-28,58637812.0
2020-06-29,63152569.0
2020-06-30,62622720.0
2020-07-01,62290279.0
2020-07-02,63698802.0
2020-07-03,62402622.0
2020-07-04,60195800.0
2020-07-05,60726044.0
2020-07-06,64842484.0
2020-07-07,65081294.0
2020-07-08,66894517.0
2020-07-09,68212095.0
2020-07-10,66966793.0
2020-07-11,64351701.0
2020-07-12,62023908.0
2020-07-13,66743594.0
2020-07-14,66181585.0
2020-07-15,65883185.0
2020-07-16,65630342.0
2020-07-17,66737657.0
2020-07-18,65522537.0
2020-07-19,65288537.0
2020-07-20,68469922.0
2020-07-21,66856581.0
2020-07-22,66101072.0
2020-07-23,65558339.0
2020-07-24,64690667.0
2020-07-25,62408996.0
2020-07-26,63464702.0
2020-07-27,67597922.0
2020-07-28,67155945.0
2020-07-29,66427747.0
2020-07-30,66638831.0
2020-07-31,64715248.0
2020-08-01,60566084.0
2020-08-02,60186974.0
2020-08-03,62884040.0
2020-08-04,61089236.0
2020-08-05,61036770.0
2020-08-06,61365729.0
2020-08-07,61964038.0
2020-08-08,61240302.0
2020-08-09,62784620.0
2020-08-10,67725329.0
2020-08-11,67068048.0
2020-08-12,66983534.0
