period,value
2020-01-01,304954.0
2020-01-02,304930.0
2020-01-03,308752.0
2020-01-04,296969.0
2020-01-05,265420.0
2020-01-06,312235.0
2020-01-07,306660.0
2020-01-08,304251.0
2020-01-09,304769.0
2020-01-10,313342.0
2020-01-11,311720.0
2020-01-12,307185.0
2020-01-13,314133.0
2020-01-14,314836.0
2020-01-15,313992.0
2020-01-16,302949.0
2020-01-17,312823.0
2020-01-18,311945.0
2020-01-19,306806.0
2020-01-20,305634.0
2020-01-21,306807.0
2020-01-22,301556.0
2020-01-23,308132.0
2020-01-24,299291.0
2020-01-25,286041.0
2020-01-26,286596.0
2020-01-27,306238.0
2020-01-28,306787.0
2020-01-29,298317.0
2020-01-30,311195.0
2020-01-31,309540.0
2020-02-01,290185.0
2020-02-02,284158.0
2020-02-03,307853.0
2020-02-04,320814.0
2020-02-05,334704.0
2020-02-06,321768.0
2020-02-07,302092.0
2020-02-08,293278.0
2020-02-09,302793.0
2020-02-10,316446.0
2020-02-11,319906.0
2020-02-12,318247.0
2020-02-13,319158.0
2020-02-14,302444.0
2020-02-15,292732.0
2020-02-16,288309.0
2020-02-17,295248.0
2020-02-18,301842.0
2020-02-19,304277.0
2020-02-20,312157.0
2020-02-21,298345.0
2020-02-22,284213.0
2020-02-23,280195.0
2020-02-24,307460.0
2020-02-25,320111.0
2020-02-26,315624.0
2020-02-27,295038.0
2020-02-28,290788.0
2020-02-29,280502.0
2020-03-01,273949.0
2020-03-02,295334.0
2020-03-03,290245.0
2020-03-04,285826.0
2020-03-05,297488.0
2020-03-06,291734.0
2020-03-07,273388.0
2020-03-08,256369.0
2020-03-09,269733.0
2020-03-10,280157.0
2020-03-11,273895.0
2020-03-12,268503.0
2020-03-13,295485.0
2020-03-14,282972.0
2020-03-15,262311.0
2020-03-17,271186.0
2020-03-18,271205.0
2020-03-19,281032.0
2020-03-20,286244.0
2020-03-21,275795.0
2020-03-22,268085.0
2020-03-23,278655.0
2020-03-24,283194.0
2020-03-25,283307.0
2020-03-26,284143.0
2020-03-27,283384.0
2020-03-28,268342.0
2020-03-29,258727.0
2020-03-30,262760.0
2020-03-31,259333.0
2020-04-01,259161.0
2020-04-02,273647.0
2020-04-03,273320.0
2020-04-04,249640.0
2020-04-05,238784.0
2020-04-06,245565.0
2020-04-07,247542.0
2020-04-08,236689.0
2020-04-09,237031.0
2020-04-10,240170.0
2020-04-11,242357.0
2020-04-12,249484.0
2020-04-13,272261.0
2020-04-14,278574.0
2020-04-15,271257.0
2020-04-16,268907.0
2020-04-17,262043.0
2020-04-18,245852.0
2020-04-19,242385.0
2020-04-20,244768.0
2020-04-21,246086.0
2020-04-22,243074.0
2020-04-23,245348.0
2020-04-24,245090.0
2020-04-25,234267.0
2020-04-26,234183.0
2020-04-27,243739.0
2020-04-28,237371.0
2020-04-29,231343.0
2020-04-30,243977.0
2020-05-01,239232.0
2020-05-02,231386.0
2020-05-04,207726.0
2020-05-05,183232.0
2020-05-06,235905.0
2020-05-07,238396.0
2020-05-08,230410.0
2020-05-09,231501.0
2020-05-10,232765.0
2020-05-11,247496.0
2020-05-12,242209.0
2020-05-13,243267.0
2020-05-14,238857.0
2020-05-15,241672.0
2020-05-16,227082.0
2020-05-17,231331.0
2020-05-18,247544.0
2020-05-19,260034.0
2020-05-20,260777.0
2020-05-21,250981.0
2020-05-22,251859.0
2020-05-23,241296.0
2020-05-24,234065.0
2020-05-25,225635.0
2020-05-26,241867.0
2020-05-27,249440.0
2020-05-28,247537.0
2020-05-29,261931.0
2020-05-30,253483.0
2020-05-31,259906.0
2020-06-01,283211.0
2020-06-02,253629.0
2020-06-03,256297.0
2020-06-04,265880.0
2020-06-05,283327.0
2020-06-06,255889.0
2020-06-07,260368.0
2020-06-08,263343.0
2020-06-09,244255.0
2020-06-10,246465.0
2020-06-11,260187.0
2020-06-12,272887.0
2020-06-13,280744.0
2020-06-14,283760.0
2020-06-15,264116.0
2020-06-16,299161.0
2020-06-17,282159.0
2020-06-18,272978.0
2020-06-19,258601.0
2020-06-20,264145.0
2020-06-21,272389.0
2020-06-22,280416.0
2020-06-23,271954.0
2020-06-24,303296.0
2020-06-25,303740.0
2020-06-26,287853.0
2020-06-27,264289.0
2020-06-28,294145.0
2020-06-29,326488.0
2020-06-30,303958.0
2020-07-01,307703.0
2020-07-02,320116.0
2020-07-03,307606.0
2020-07-04,295720.0
2020-07-05,297293.0
2020-07-06,309709.0
2020-07-07,323618.0
2020-07-08,328229.0
2020-07-09,320066.0
2020-07-10,316634.0
2020-07-11,315619.0
2020-07-12,328401.0
2020-07-13,327351.0
2020-07-14,297308.0
2020-07-15,306355.0
2020-07-16,320976.0
2020-07-17,334318.0
2020-07-18,314656.0
2020-07-19,306630.0
2020-07-20,307792.0
2020-07-21,313553.0
2020-07-22,316698.0
2020-07-23,324562.0
2020-07-24,308204.0
2020-07-25,289932.0
2020-07-26,280433.0
2020-07-27,300808.0
2020-07-28,287988.0
2020-07-29,297961.0
2020-07-30,290185.0
2020-07-31,297775.0
2020-08-01,298871.0
2020-08-02,298407.0
2020-08-03,308857.0
2020-08-04,312100.0
2020-08-05,310300.0
2020-08-06,304669.0
2020-08-07,305023.0
2020-08-08,311977.0
2020-08-09,285219.0
2020-08-10,301075.0
2020-08-11,303378.0
2020-08-12,308593.0
2020-08-13,299676.0
2020-08-14,290721.0
2020-08-15,276246.0
2020-08-16,267277.0
2020-08-17,301247.0
2020-08-18,298832.0
2020-08-19,282317.0
2020-08-20,281713.0
2020-08-21,292485.0
2020-08-22,281013.0
2020-08-23,280092.0
2020-08-24,307135.0
2020-08-25,287835.0
2020-08-26,279274.0
2020-08-27,280616.0
2020-08-28,301303.0
2020-08-29,284958.0
2020-08-30,286140.0
2020-08-31,277570.0
2020-09-01,284485.0
2020-09-02,295948.0
2020-09-03,282239.0
2020-09-04,287546.0
2020-09-05,295753.0
2020-09-06,289036.0
2020-09-07,268435.0
2020-09-08,247734.0
2020-09-09,250222.0
2020-09-10,239696.0
2020-09-11,235015.0
2020-09-12,231064.0
2020-09-13,232718.0
2020-09-14,250071.0
2020-09-15,252125.0
2020-09-16,247192.0
2020-09-17,248479.0
2020-09-18,247846.0
2020-09-19,247080.0
2020-09-20,252094.0
2020-09-21,253332.0
2020-09-22,254942.0
2020-09-23,252232.0
2020-09-24,260116.0
2020-09-25,257517.0
2020-09-26,258800.0
2020-09-27,252897.0
2020-09-28,249893.0
2020-09-29,248477.0
2020-09-30,238616.0
2020-10-01,234418.0
2020-10-02,235361.0
2020-10-03,214653.0
2020-10-04,226668.0
2020-10-05,238160.0
2020-10-06,237850.0
2020-10-07,240014.0
2020-10-08,248881.0
2020-10-09,264256.0
2020-10-10,252164.0
2020-10-11,250181.0
2020-10-12,263358.0
2020-10-13,263132.0
2020-10-14,264969.0
2020-10-15,266278.0
2020-10-16,263639.0
2020-10-17,254122.0
2020-10-18,257659.0
2020-10-19,246847.0
2020-10-20,244880.0
2020-10-21,253154.0
2020-10-22,246972.0
2020-10-23,256026.0
2020-10-24,245326.0
2020-10-25,264163.0
2020-10-26,282861.0
2020-10-27,300418.0
2020-10-28,274399.0
2020-10-29,254108.0
2020-10-30,244731.0
2020-10-31,233523.0
2020-11-01,250496.0
2020-11-02,244093.0
2020-11-03,248012.0
2020-11-04,242080.0
2020-11-05,234676.0
2020-11-06,233781.0
2020-11-07,227071.0
2020-11-08,240605.0
2020-11-09,265342.0
2020-11-10,281229.0
2020-11-11,276085.0
2020-11-12,273610.0
2020-11-13,270733.0
2020-11-14,271553.0
2020-11-15,269041.0
2020-11-16,261002.0
2020-11-17,262313.0
2020-11-18,254192.0
2020-11-19,255310.0
2020-11-20,252117.0
2020-11-21,248767.0
2020-11-22,250292.0
2020-11-23,258879.0
2020-11-24,260137.0
2020-11-25,271908.0
2020-11-26,255499.0
2020-11-27,265908.0
2020-11-28,259458.0
2020-11-29,256590.0
2020-11-30,231295.0
2020-12-01,232760.0
2020-12-02,278688.0
2020-12-03,262325.0
2020-12-04,268534.0
2020-12-05,261841.0
2020-12-06,254952.0
2020-12-07,271574.0
2020-12-08,275365.0
2020-12-09,231264.0
2020-12-10,277313.0
2020-12-11,286068.0
2020-12-12,289096.0
2020-12-13,287730.0
2020-12-14,266865.0
2020-12-15,301564.0
2020-12-16,306346.0
2020-12-17,305580.0
2020-12-18,286573.0
2020-12-19,292888.0
2020-12-20,289411.0
2020-12-21,284683.0
2020-12-22,284890.0
2020-12-23,308529.0
2020-12-24,298191.0
2020-12-25,274907.0
2020-12-26,274609.0
2020-12-27,268288.0
2020-12-28,294512.0
2020-12-29,295059.0
2020-12-30,306129.0
2020-12-31,291076.0
2021-01-01,280140.0
2021-01-02,285322.0
2021-01-03,281602.0
2021-01-04,280526.0
2021-01-05,283041.0
2021-01-06,285775.0
2021-01-07,286043.0
2021-01-08,277425.0
2021-01-09,282481.0
2021-01-10,287384.0
2021-01-11,295651.0
2021-01-12,287387.0
2021-01-13,283941.0
2021-01-14,285582.0
2021-01-15,287975.0
2021-01-16,264061.0
2021-01-17,267409.0
2021-01-18,277219.0
2021-01-19,284606.0
2021-01-20,278217.0
2021-01-21,267955.0
2021-01-22,276332.0
2021-01-23,272973.0
2021-01-24,283135.0
2021-01-25,295722.0
2021-01-26,307252.0
2021-01-27,314943.0
2021-01-28,297284.0
2021-01-29,284392.0
2021-01-30,277260.0
2021-01-31,277956.0
2021-02-01,287620.0
2021-02-02,284578.0
2021-02-03,288352.0
2021-02-04,302933.0
2021-02-05,322433.0
2021-02-06,321175.0
2021-02-07,316313.0
2021-02-08,307750.0
2021-02-09,308682.0
2021-02-10,318028.0
2021-02-11,320077.0
2021-02-12,325135.0
2021-02-13,321502.0
2021-02-14,325726.0
2021-02-15,344858.0
2021-02-16,330207.0
2021-02-17,325206.0
2021-02-18,330203.0
2021-02-19,312686.0
2021-02-20,290392.0
2021-02-21,296156.0
2021-02-22,294603.0
2021-02-23,294371.0
2021-02-24,288417.0
2021-02-25,284702.0
2021-02-26,300568.0
2021-02-27,294356.0
2021-02-28,300909.0
2021-03-01,297772.0
2021-03-02,293889.0
2021-03-03,275651.0
2021-03-04,273444.0
2021-03-05,269402.0
2021-03-06,261958.0
2021-03-07,252279.0
2021-03-08,265470.0
2021-03-09,275481.0
2021-03-10,280110.0
2021-03-11,277715.0
2021-03-12,278645.0
2021-03-13,287742.0
2021-03-14,274909.0
2021-03-15,269984.0
2021-03-16,273519.0
2021-03-17,279107.0
2021-03-18,270498.0
2021-03-19,273345.0
2021-03-20,255905.0
2021-03-21,264541.0
2021-03-22,270781.0
2021-03-23,291684.0
2021-03-24,278436.0
2021-03-25,266867.0
2021-03-26,267949.0
2021-03-27,266909.0
2021-03-28,267319.0
2021-03-29,269274.0
2021-03-30,281410.0
2021-03-31,263798.0
2021-04-01,266930.0
2021-04-02,255448.0
2021-04-03,240652.0
2021-04-04,235227.0
2021-04-05,248440.0
2021-04-06,266282.0
2021-04-07,266271.0
2021-04-08,269720.0
2021-04-09,285915.0
2021-04-10,271001.0
2021-04-11,268992.0
2021-04-12,281061.0
2021-04-13,327539.0
2021-04-14,319874.0
2021-04-15,319383.0
2021-04-16,309522.0
2021-04-17,298693.0
2021-04-18,302775.0
2021-04-19,314317.0
2021-04-20,289059.0
2021-04-21,252453.0
2021-04-22,311790.0
2021-04-23,300951.0
2021-04-24,296216.0
2021-04-25,296737.0
2021-04-26,265050.0
2021-04-27,252128.0
2021-04-28,238229.0
2021-04-29,246838.0
2021-04-30,260067.0
2021-05-01,283633.0
2021-05-02,279279.0
2021-05-03,283890.0
2021-05-04,290633.0
