period,value
2020-01-01,96877.0
2020-01-02,98803.0
2020-01-03,101574.0
2020-01-04,98702.0
2020-01-05,97052.0
2020-01-06,99119.0
2020-01-07,101702.0
2020-01-08,100716.0
2020-01-09,104588.0
2020-01-10,102325.0
2020-01-11,102909.0
2020-01-12,99614.0
2020-01-13,103052.0
2020-01-14,103272.0
2020-01-15,103047.0
2020-01-16,105257.0
2020-01-17,98878.0
2020-01-18,99212.0
2020-01-19,97482.0
2020-01-20,97933.0
2020-01-21,98593.0
2020-01-22,95560.0
2020-01-23,99314.0
2020-01-24,96114.0
2020-01-25,93868.0
2020-01-26,91570.0
2020-01-27,96313.0
2020-01-28,98572.0
2020-01-29,102430.0
2020-01-30,100603.0
2020-01-31,100324.0
2020-02-01,95628.0
2020-02-02,95457.0
2020-02-03,98266.0
2020-02-04,107788.0
2020-02-05,115058.0
2020-02-06,109969.0
2020-02-07,103413.0
2020-02-08,100057.0
2020-02-09,97789.0
2020-02-10,98732.0
2020-02-11,103152.0
2020-02-12,102389.0
2020-02-13,100783.0
2020-02-14,99724.0
2020-02-15,96195.0
2020-02-16,96337.0
2020-02-17,99902.0
2020-02-18,103367.0
2020-02-19,103280.0
2020-02-20,102846.0
2020-02-21,103734.0
2020-02-22,99319.0
2020-02-23,95833.0
2020-02-24,100901.0
2020-02-25,103543.0
2020-02-26,104421.0
2020-02-27,103526.0
2020-02-28,101136.0
2020-02-29,97819.0
2020-03-01,113011.0
2020-03-02,117722.0
2020-03-03,121999.0
2020-03-04,118609.0
2020-03-05,119514.0
2020-03-06,120356.0
2020-03-07,116651.0
2020-03-08,113418.0
2020-03-09,118493.0
2020-03-10,117656.0
2020-03-11,115436.0
2020-03-12,110004.0
2020-03-13,104308.0
2020-03-14,87839.0
2020-03-15,83967.0
2020-03-17,74932.0
2020-03-18,80426.0
2020-03-19,75599.0
2020-03-20,78138.0
2020-03-21,75055.0
2020-03-22,76507.0
2020-03-23,80540.0
2020-03-24,90080.0
2020-03-25,93121.0
2020-03-26,95529.0
2020-03-27,102100.0
2020-03-28,104006.0
2020-03-29,101531.0
2020-03-30,106446.0
2020-03-31,113255.0
2020-04-01,117923.0
2020-04-02,117302.0
2020-04-03,115699.0
2020-04-04,114358.0
2020-04-05,110902.0
2020-04-06,115294.0
2020-04-07,118972.0
2020-04-08,118507.0
2020-04-09,118594.0
2020-04-10,119305.0
2020-04-11,120823.0
2020-04-12,116847.0
2020-04-13,119369.0
2020-04-14,120529.0
2020-04-15,125027.0
2020-04-16,126440.0
2020-04-17,123975.0
2020-04-18,119936.0
2020-04-19,124980.0
2020-04-20,131650.0
2020-04-21,132723.0
2020-04-22,135831.0
2020-04-23,142370.0
2020-04-24,143768.0
2020-04-25,146665.0
2020-04-26,145912.0
2020-04-27,152983.0
2020-04-28,151147.0
2020-04-29,162521.0
2020-04-30,163748.0
2020-05-01,159655.0
2020-05-02,155496.0
2020-05-04,154514.0
2020-05-05,162060.0
2020-05-06,169284.0
2020-05-07,171608.0
2020-05-08,169619.0
2020-05-09,169249.0
2020-05-10,165510.0
2020-05-11,161515.0
2020-05-12,159477.0
2020-05-13,157009.0
2020-05-14,155972.0
2020-05-15,158083.0
2020-05-16,161708.0
2020-05-17,160841.0
2020-05-18,136726.0
2020-05-19,139980.0
2020-05-20,148486.0
2020-05-21,151156.0
2020-05-22,154932.0
2020-05-23,150760.0
2020-05-24,148994.0
2020-05-25,154263.0
2020-05-26,166258.0
2020-05-27,178389.0
2020-05-28,186542.0
2020-05-29,191149.0
2020-05-30,185362.0
2020-05-31,175524.0
2020-06-01,174256.0
2020-06-02,181094.0
2020-06-03,177916.0
2020-06-04,178264.0
2020-06-05,172527.0
2020-06-06,151893.0
2020-06-07,144653.0
2020-06-08,140717.0
2020-06-09,141060.0
2020-06-10,153792.0
2020-06-11,165628.0
2020-06-12,171764.0
2020-06-13,164317.0
2020-06-14,156897.0
2020-06-15,157013.0
2020-06-16,161942.0
