period,value
2020-01-01,11163.0
2020-01-02,11866.0
2020-01-03,11747.0
2020-01-04,11019.0
2020-01-05,10971.0
2020-01-06,11613.0
2020-01-07,12016.0
2020-01-08,11940.0
2020-01-09,13433.0
2020-01-10,13618.0
2020-01-11,12228.0
2020-01-12,13089.0
2020-01-13,15012.0
2020-01-14,15340.0
2020-01-15,15699.0
2020-01-16,15407.0
2020-01-17,15121.0
2020-01-18,14576.0
2020-01-19,13599.0
2020-01-20,13186.0
2020-01-21,11625.0
2020-01-22,11884.0
2020-01-23,11867.0
2020-01-24,11195.0
2020-01-25,11005.0
2020-01-26,11143.0
2020-01-27,11482.0
2020-01-28,11434.0
2020-01-29,11417.0
2020-01-30,11852.0
2020-01-31,11087.0
2020-02-01,10327.0
2020-02-02,11146.0
2020-02-03,12260.0
2020-02-04,10793.0
2020-02-05,12026.0
2020-02-06,11700.0
2020-02-07,11419.0
2020-02-08,11618.0
2020-02-09,11718.0
2020-02-10,10606.0
2020-02-11,9826.0
2020-02-12,9693.0
2020-02-13,10814.0
2020-02-14,11111.0
2020-02-15,11148.0
2020-02-16,11050.0
2020-02-17,11720.0
2020-02-18,12875.0
2020-02-19,12381.0
2020-02-20,12099.0
2020-02-21,11173.0
2020-02-22,10899.0
2020-02-23,11053.0
2020-02-24,11610.0
2020-02-25,11746.0
2020-02-26,11332.0
2020-02-27,11137.0
2020-02-28,10454.0
2020-02-29,10233.0
2020-03-01,10740.0
2020-03-02,11085.0
2020-03-03,10703.0
2020-03-04,10891.0
2020-03-05,10898.0
2020-03-06,10136.0
2020-03-07,10705.0
2020-03-08,10634.0
2020-03-09,10679.0
2020-03-10,10123.0
2020-03-11,10781.0
2020-03-12,12002.0
2020-03-13,12641.0
2020-03-14,13426.0
2020-03-15,13218.0
2020-03-17,11320.0
2020-03-18,12265.0
2020-03-19,12146.0
2020-03-20,12234.0
2020-03-21,11340.0
2020-03-22,10902.0
2020-03-23,10893.0
2020-03-24,11013.0
2020-03-25,11208.0
2020-03-26,10886.0
2020-03-27,10357.0
2020-03-28,9893.0
2020-03-29,9850.0
2020-03-30,10054.0
2020-03-31,10813.0
2020-04-01,12076.0
2020-04-02,12076.0
2020-04-03,11384.0
2020-04-04,10424.0
2020-04-05,10430.0
2020-04-06,10030.0
2020-04-07,10012.0
2020-04-08,10381.0
2020-04-09,10365.0
2020-04-10,9410.0
2020-04-11,10348.0
2020-04-12,11037.0
2020-04-13,10700.0
2020-04-14,10398.0
2020-04-15,10493.0
2020-04-16,10075.0
2020-04-17,10002.0
2020-04-18,8969.0
2020-04-19,8658.0
2020-04-20,8583.0
2020-04-21,8405.0
2020-04-22,8460.0
2020-04-23,8447.0
2020-04-24,8294.0
2020-04-25,8192.0
2020-04-26,8127.0
2020-04-27,8674.0
2020-04-28,8516.0
2020-04-29,8428.0
2020-04-30,8633.0
2020-05-01,8317.0
2020-05-02,8218.0
2020-05-04,8729.0
2020-05-05,8844.0
2020-05-06,9227.0
2020-05-07,8851.0
2020-05-08,8714.0
2020-05-09,8805.0
2020-05-10,8633.0
2020-05-11,9218.0
2020-05-12,9687.0
2020-05-13,9277.0
2020-05-14,9149.0
2020-05-15,9001.0
2020-05-16,8756.0
2020-05-17,9002.0
2020-05-18,9825.0
2020-05-19,10031.0
2020-05-20,9876.0
2020-05-21,9827.0
2020-05-22,9964.0
2020-05-23,9285.0
2020-05-24,8854.0
2020-05-25,8996.0
2020-05-26,9460.0
2020-05-27,9705.0
2020-05-28,9869.0
2020-05-29,9889.0
2020-05-30,10761.0
2020-05-31,10950.0
2020-06-01,11666.0
2020-06-02,11556.0
2020-06-03,12007.0
2020-06-04,11550.0
2020-06-05,12021.0
2020-06-06,11231.0
2020-06-07,10157.0
2020-06-08,9643.0
2020-06-09,9571.0
2020-06-10,9683.0
2020-06-11,10494.0
2020-06-12,11552.0
2020-06-13,11876.0
2020-06-14,10601.0
2020-06-15,11276.0
2020-06-16,11864.0
2020-06-17,11448.0
2020-06-18,10715.0
2020-06-19,10394.0
2020-06-20,10508.0
2020-06-21,10714.0
2020-06-22,11501.0
2020-06-23,12605.0
2020-06-24,13546.0
2020-06-25,12953.0
2020-06-26,13812.0
2020-06-27,12974.0
2020-06-28,11465.0
2020-06-29,11041.0
2020-06-30,10209.0
2020-07-01,9665.0
2020-07-02,10531.0
2020-07-03,11074.0
2020-07-04,11384.0
2020-07-05,11133.0
2020-07-06,12374.0
2020-07-07,11218.0
2020-07-08,10188.0
2020-07-09,12090.0
2020-07-10,12595.0
2020-07-11,12644.0
2020-07-12,13073.0
2020-07-13,12999.0
2020-07-14,13377.0
2020-07-15,14021.0
2020-07-16,14747.0
2020-07-17,14783.0
2020-07-18,13801.0
2020-07-19,13947.0
2020-07-20,13156.0
2020-07-21,13256.0
2020-07-22,14788.0
2020-07-23,14292.0
2020-07-24,14699.0
2020-07-25,13867.0
2020-07-26,13474.0
2020-07-27,14603.0
2020-07-28,14255.0
2020-07-29,13128.0
2020-07-30,15637.0
2020-07-31,15058.0
2020-08-01,14665.0
2020-08-02,13737.0
2020-08-03,12952.0
2020-08-04,13595.0
2020-08-05,13563.0
2020-08-06,14217.0
2020-08-07,12885.0
2020-08-08,11822.0
2020-08-09,10846.0
2020-08-10,11443.0
2020-08-11,12289.0
2020-08-12,11730.0
2020-08-13,11528.0
2020-08-14,11875.0
2020-08-15,12451.0
2020-08-16,12585.0
2020-08-17,13651.0
2020-08-18,13960.0
2020-08-19,13902.0
2020-08-20,13638.0
2020-08-21,12740.0
2020-08-22,12768.0
2020-08-23,12243.0
2020-08-24,12985.0
2020-08-25,12824.0
2020-08-26,12984.0
2020-08-27,12017.0
2020-08-28,10984.0
2020-08-29,10984.0
2020-08-30,9973.0
2020-08-31,10082.0
2020-09-01,9882.0
2020-09-02,10376.0
2020-09-03,10762.0
2020-09-04,11335.0
2020-09-05,11258.0
2020-09-06,10565.0
2020-09-07,9978.0
2020-09-08,9669.0
2020-09-09,9656.0
2020-09-10,9890.0
2020-09-11,9288.0
2020-09-12,9055.0
2020-09-13,8597.0
2020-09-14,9256.0
2020-09-15,9926.0
2020-09-16,9957.0
2020-09-17,9896.0
2020-09-18,9343.0
2020-09-19,9149.0
2020-09-20,9079.0
2020-09-21,9396.0
2020-09-22,8806.0
2020-09-23,9359.0
2020-09-24,9494.0
2020-09-25,9369.0
2020-09-26,9025.0
2020-09-27,9033.0
2020-09-28,9379.0
2020-09-29,8413.0
2020-09-30,8935.0
2020-10-01,9348.0
2020-10-02,8351.0
2020-10-03,8151.0
2020-10-04,8245.0
2020-10-05,8848.0
2020-10-06,9004.0
2020-10-07,8997.0
2020-10-08,9105.0
2020-10-09,9007.0
2020-10-10,8083.0
2020-10-11,9803.0
2020-10-12,9393.0
2020-10-13,9429.0
2020-10-14,9819.0
2020-10-15,9608.0
2020-10-16,10006.0
2020-10-17,10323.0
2020-10-18,10701.0
2020-10-19,9961.0
2020-10-20,9065.0
2020-10-21,9552.0
2020-10-22,10089.0
2020-10-23,10662.0
2020-10-24,10304.0
2020-10-25,10507.0
2020-10-26,10389.0
2020-10-27,9750.0
2020-10-28,9295.0
2020-10-29,8884.0
2020-10-30,9107.0
2020-10-31,9232.0
2020-11-01,9183.0
2020-11-02,8526.0
2020-11-03,8547.0
2020-11-04,8476.0
