period,value
2020-01-01,29691721.0
2020-01-02,31112241.0
2020-01-03,30571937.0
2020-01-04,29630014.0
2020-01-05,30212234.0
2020-01-06,32225516.0
2020-01-07,32472765.0
2020-01-08,33355386.0
2020-01-09,32842120.0
2020-01-10,31057298.0
2020-01-11,29392924.0
2020-01-12,29528770.0
2020-01-13,31742901.0
2020-01-14,31378678.0
2020-01-15,31156005.0
2020-01-16,32252596.0
2020-01-17,33477847.0
2020-01-18,31581009.0
2020-01-19,31808081.0
2020-01-20,35670861.0
2020-01-21,36622065.0
2020-01-22,36042440.0
2020-01-23,33732585.0
2020-01-24,32041459.0
2020-01-25,30479815.0
2020-01-26,30071875.0
2020-01-27,32078424.0
2020-01-28,32785667.0
2020-01-29,33393104.0
2020-01-30,33316731.0
2020-01-31,32556778.0
2020-02-01,30503398.0
2020-02-02,29271713.0
2020-02-03,30473875.0
2020-02-04,31169199.0
2020-02-05,32537338.0
2020-02-06,33192043.0
2020-02-07,33024414.0
2020-02-08,31643793.0
2020-02-09,30396621.0
2020-02-10,32083812.0
2020-02-11,32217078.0
2020-02-12,32435678.0
2020-02-13,33390790.0
2020-02-14,34426470.0
2020-02-15,32209655.0
2020-02-16,29680482.0
2020-02-17,30971638.0
2020-02-18,31504235.0
2020-02-19,32311181.0
2020-02-20,34374486.0
2020-02-21,34588217.0
2020-02-22,31526235.0
2020-02-23,29481396.0
2020-02-24,30842456.0
2020-02-25,31001808.0
2020-02-26,32082005.0
2020-02-27,33210115.0
2020-02-28,32679973.0
2020-02-29,30593501.0
2020-03-01,29278191.0
2020-03-02,30126629.0
2020-03-03,29615202.0
2020-03-04,29943557.0
2020-03-05,30458162.0
2020-03-06,30767869.0
2020-03-07,29160296.0
2020-03-08,27164265.0
2020-03-09,29230389.0
2020-03-10,29321436.0
2020-03-11,29443370.0
2020-03-12,29715209.0
2020-03-13,29445673.0
2020-03-14,28547753.0
2020-03-15,28388802.0
2020-03-17,30073457.0
2020-03-18,29831920.0
2020-03-19,29784395.0
2020-03-20,29158495.0
2020-03-21,27739948.0
2020-03-22,27484318.0
2020-03-23,29468525.0
2020-03-24,29271571.0
2020-03-25,29249195.0
2020-03-26,28861778.0
2020-03-27,28508624.0
2020-03-28,27409596.0
2020-03-29,26451911.0
2020-03-30,27812574.0
2020-03-31,28152383.0
2020-04-01,27709325.0
2020-04-02,27484337.0
2020-04-03,27435572.0
2020-04-04,26175193.0
2020-04-05,25326365.0
2020-04-06,26902999.0
2020-04-07,27613682.0
2020-04-08,28285601.0
2020-04-09,28401021.0
2020-04-10,26714801.0
2020-04-11,25475646.0
2020-04-12,25765457.0
2020-04-13,27622647.0
2020-04-14,27859616.0
2020-04-15,27983269.0
2020-04-16,27769165.0
2020-04-17,27710466.0
2020-04-18,26088447.0
2020-04-19,25688248.0
2020-04-20,27033422.0
2020-04-21,27530678.0
2020-04-22,27515526.0
2020-04-23,27610610.0
2020-04-24,27588185.0
2020-04-25,25975158.0
2020-04-26,25894343.0
2020-04-27,27479999.0
2020-04-28,27932211.0
2020-04-29,27600570.0
2020-04-30,27429040.0
2020-05-01,27033304.0
2020-05-02,26213412.0
2020-05-04,28739380.0
2020-05-05,28671532.0
2020-05-06,28239872.0
2020-05-07,27788390.0
2020-05-08,27781018.0
2020-05-09,26493869.0
2020-05-10,25570916.0
2020-05-11,27773240.0
2020-05-12,27805685.0
2020-05-13,27981367.0
2020-05-14,28540970.0
2020-05-15,28717384.0
2020-05-16,27398118.0
2020-05-17,27262730.0
2020-05-18,28860484.0
2020-05-19,28898412.0
2020-05-20,28624087.0
2020-05-21,29014453.0
2020-05-22,29630793.0
2020-05-23,28828533.0
2020-05-24,28308841.0
2020-05-25,28552148.0
